generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,136,570.4119873046875,-0.22220541815007244,5,-1,-1,3,18,18,0
1,670,58.418609619140625,-0.4327215435347757,1,62,62,3,18,18,0
2,1389,55.15650177001953,-0.43481122901557967,1,237,237,3,19,19,0
3,1979,46.60823059082031,-0.4352169526719632,2,882,882,3,17,17,0
4,2005,34.14763259887695,0.7326161217198252,5,1635,1635,2,13,13,0
5,2544,30.617755889892578,0.7309619487691674,5,1389,1389,2,7,7,0
6,3286,31.130142211914062,0.7414136821527756,5,1591,1591,4,22,19,3
7,3628,32.83708190917969,0.7330555516535081,4,2615,2615,3,18,18,0
8,4136,24.6905574798584,0.7593894867335881,4,3909,3909,4,21,20,1
9,4961,7.454744338989258,0.7263744016192053,2,4017,4017,3,19,18,1
10,5149,3.451314926147461,0.7367844777997234,2,4885,4885,3,20,19,1
11,5562,3.337322473526001,0.7316036272161851,4,4921,4921,4,20,19,1
12,6082,5.207210540771484,0.14573890130956102,5,5337,5337,3,18,18,0
13,6919,1.7400915622711182,0.2990222136864639,3,6327,6327,3,20,20,0
14,7064,2.369823694229126,0.7604476062983022,4,3739,3739,3,18,18,0
15,7691,5.051137447357178,0.7330132672976626,2,6445,6445,4,17,15,2
16,8163,4.400620460510254,0.7491443949838188,2,6726,6726,4,21,21,0
17,8524,4.2166266441345215,0.7407572977837322,2,5355,5355,4,20,19,1
18,9239,4.293481826782227,0.7490326152521384,2,8521,8521,5,22,20,2
19,9725,3.3167786598205566,0.7377496136140426,5,8394,8394,3,19,18,1
20,10300,2.5466113090515137,-0.43305387022426967,2,9538,9538,3,19,19,0
21,10595,2.479320526123047,-0.4349410705328319,2,10300,10300,3,18,18,0
22,11257,2.3251821994781494,0.7397503159912009,3,8163,8163,4,21,20,1
23,11743,2.542417526245117,0.7485409819164556,5,7064,7064,3,20,19,1
24,12030,3.250974416732788,0.7411622854288795,5,11463,11463,5,23,20,3
25,12950,2.9885189533233643,0.7334082760620259,1,6726,6726,4,22,21,1
26,13427,3.006131410598755,-0.4352424102226878,2,11568,11568,2,14,14,0
27,13742,2.4825687408447266,-0.4344957287316396,3,11500,11500,4,22,19,3
28,14385,1.7910547256469727,-0.43464718397891583,5,12182,12182,2,12,12,0
29,14995,2.591578722000122,0.7469089200662721,3,12049,12049,4,22,20,2
30,15251,3.88485050201416,0.7471605335327852,4,5149,5149,3,20,18,2
31,15882,3.3721683025360107,0.7357188812553818,3,14153,14153,3,21,20,1
32,16149,1.6846551895141602,0.7464165369310036,5,8163,8163,2,12,10,2
33,16847,1.4188905954360962,0.2994462580934728,2,10511,10511,2,12,12,0
34,17225,1.7640271186828613,0.7350246449789812,4,15340,15340,2,11,11,0
35,17502,2.598224639892578,-0.4335537389627119,5,3739,3739,2,12,11,1
36,18296,3.083141565322876,-0.43516515531366645,1,16910,16910,2,12,12,0
37,18522,2.127019166946411,-0.4357749933496974,5,17502,17502,4,20,17,3
38,19452,3.7510247230529785,-0.4338779322623848,4,18721,18721,3,19,18,1
39,19761,4.616457462310791,0.7491594664773686,4,19168,19168,4,21,18,3
40,20438,6.121261119842529,0.7441509554352216,6,19654,19654,2,13,13,0
41,20616,5.370462417602539,0.7455455030673854,6,20497,20497,2,11,11,0
42,21498,3.2183611392974854,0.743500673998506,1,20875,20875,4,15,13,2
43,21581,1.9249053001403809,-0.23577684066175528,5,21065,21065,4,16,14,2
44,22500,2.042731761932373,0.7477145800221507,6,20438,20438,3,15,15,0
45,22630,3.3993191719055176,0.7456472446071323,6,21770,21770,4,16,14,2
46,23119,3.1331944465637207,0.738498142962986,6,20640,20640,4,16,14,2
47,23838,1.329262375831604,0.732160168464562,2,21385,21385,4,20,17,3
48,24095,1.1697094440460205,0.29939531650355716,2,17567,17567,4,16,14,2
49,24544,1.2696506977081299,-0.35963227855959656,1,24022,24022,4,24,23,1
50,25226,1.4527153968811035,0.563651755517927,3,17152,17152,3,17,15,2
51,25915,3.0476551055908203,0.7095770155041026,2,23593,23593,4,16,15,1
52,26330,1.936820387840271,0.7501412329887276,3,25059,25059,2,11,11,0
53,26745,1.6434872150421143,0.7444723571842035,4,26330,26330,2,10,10,0
54,27268,2.209883689880371,0.700377497889123,2,26515,26515,2,14,14,0
55,27592,3.3845179080963135,0.7427583897327941,2,26624,26624,2,10,10,0
56,28143,4.042536735534668,0.7324367239552235,2,27877,27877,3,15,13,2
57,28626,1.9822779893875122,0.7343835127270574,2,28303,28303,2,15,14,1
58,29168,1.3360285758972168,0.7336114317374509,2,28143,28143,2,11,11,0
59,29971,2.2773733139038086,0.7368439704188868,3,26745,26745,2,11,10,1
60,30209,1.4818933010101318,0.4646855272803584,6,29167,29167,3,12,12,0
61,30684,1.2637156248092651,0.4643399587336838,6,27769,27769,2,11,10,1
