generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,256.0216064453125,0.7581625877241497,1,-1,-1,3,18,18,0
1,676,34.830543518066406,0.7503357219123562,1,124,124,3,18,18,0
2,1394,33.29497528076172,0.7550110304227695,1,489,489,3,19,19,0
3,1635,32.162208557128906,0.756564799643504,5,1394,1394,3,17,17,0
4,2235,30.966609954833984,0.7485617632143309,2,1383,1383,2,13,13,0
5,2690,28.909608840942383,0.7528238976628445,5,1268,1268,2,7,7,0
6,3260,29.735816955566406,0.7607738082088922,4,2784,2784,4,22,19,3
7,3803,29.967586517333984,0.759622553416685,4,2858,2858,3,18,18,0
8,4278,24.494909286499023,0.7604262180199879,4,3260,3260,4,21,20,1
9,4822,7.038061141967773,0.7593693526519083,3,2519,2519,3,19,18,1
10,5452,1.6255873441696167,0.7589617428910327,1,3755,3755,3,20,19,1
11,5711,2.5642619132995605,0.7605205721754454,2,4901,4901,4,20,19,1
12,6263,1.0755826234817505,0.7587863822886372,5,4070,4070,3,18,18,0
13,6685,0.5293277502059937,0.751171360054474,4,5805,5805,3,20,20,0
14,7064,2.369823694229126,0.7604476062983022,4,3739,3739,3,18,18,0
15,7557,4.699768543243408,0.7559642406844357,2,6491,6491,4,17,15,2
16,8467,3.295149564743042,0.7605133570552732,2,7789,7789,4,21,21,0
17,8940,3.1705663204193115,0.7615057618653601,2,6945,6945,4,20,19,1
18,9329,3.435215950012207,0.7617771385012396,5,7557,7557,5,22,20,2
19,9831,2.4924869537353516,0.7556792604143653,5,5099,5099,3,19,18,1
20,10356,1.7570061683654785,0.759236838788694,1,8971,8971,3,19,19,0
21,10509,0.6617843508720398,0.7508999679879403,2,7744,7744,3,18,18,0
22,11305,1.5922881364822388,0.7620733177942286,5,10722,10722,4,21,20,1
23,11529,1.4525072574615479,0.7617558838743866,5,9725,9725,3,20,19,1
24,12265,2.0507678985595703,0.7600454302006665,3,6726,6726,5,23,20,3
25,12724,1.9811729192733765,0.7600049046946059,2,9275,9275,4,22,21,1
26,13175,1.163901686668396,0.7598664417030744,3,12871,12871,2,14,14,0
27,13903,0.5097249150276184,0.761336783288752,5,9725,9725,4,22,19,3
28,14338,0.8569200038909912,0.7579759752036735,4,13078,13078,2,12,12,0
29,14887,1.1487305164337158,0.753248197602755,1,9502,9502,4,22,20,2
30,15034,2.899571657180786,0.7603397438531652,3,11555,11555,3,20,18,2
31,15968,2.2223973274230957,0.7604589760935653,1,15376,15376,3,21,20,1
32,16456,0.7235580682754517,0.7592775552053589,4,14902,14902,2,12,10,2
33,16516,0.6040262579917908,0.7607304261442763,5,14023,14023,2,12,12,0
34,17025,0.6899285912513733,0.7614947195237021,4,14482,14482,2,11,11,0
35,17866,1.5157229900360107,0.7543231474100763,5,3005,3005,2,12,11,1
36,18093,0.5465810298919678,0.7595475628062629,3,15297,15297,2,12,12,0
37,18827,0.37687528133392334,0.759231796669505,6,17231,17231,4,20,17,3
38,19442,0.3583865761756897,0.7560685857480258,5,17823,17823,3,19,18,1
39,19784,3.218888759613037,0.7529858774043358,1,18952,18952,4,21,18,3
40,20469,4.136632919311523,0.7600686978751429,2,19917,19917,2,13,13,0
41,20720,4.131822109222412,0.7612470622342147,4,19761,19761,2,11,11,0
42,21094,1.1878950595855713,0.7535675323159842,1,20686,20686,4,15,13,2
43,21541,0.7903440594673157,0.7617272223221644,4,19761,19761,4,16,14,2
44,22441,0.8849119544029236,0.7617946242798969,1,21656,21656,3,15,15,0
45,22959,2.243570566177368,0.7570948627708789,2,21541,21541,4,16,14,2
46,23245,1.5540074110031128,0.7592910270134242,1,21159,21159,4,16,14,2
47,23632,0.41839587688446045,0.7569660468880746,5,23455,23455,4,20,17,3
