generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,218,0.7015098766886435,0.16117786275851434,5,-1,-1,3,18,18,0
1,714,0.7262221771284196,0.15985458434064642,5,145,406,3,19,19,0
2,1318,0.6699155747781385,0.15985443872518604,5,714,628,3,18,18,0
3,1670,0.6063551574554198,0.15985442618387896,5,1318,783,4,20,19,1
4,2226,0.6069823267826717,0.13675621830489215,2,576,1528,4,20,19,1
5,2905,0.5942242820258341,0.32228349082517893,4,783,784,3,18,18,0
6,3129,0.6338372627194346,0.3102263571213474,3,1873,2905,3,19,19,0
7,3514,0.6487064364194046,0.13675532237901364,3,3369,2972,3,19,19,0
8,4201,0.6742154688096744,0.16064759928854663,5,2972,2972,4,20,18,2
9,4844,0.7263354491151106,0.1598538442506644,5,1617,2972,3,18,18,0
10,5435,0.7565560622018018,0.1367562214904554,3,4118,4168,2,9,9,0
11,5788,0.8567343956900549,0.13675616558499454,4,4118,4118,2,12,11,1
12,6179,0.9322446292567962,0.1367566945264218,1,5588,1873,3,18,18,0
13,6562,0.915066280913849,0.1367562171316032,2,4508,4118,4,21,17,4
14,7106,0.8945690189491307,0.13675621829862306,3,6562,4501,5,21,17,4
15,7518,0.931302519110036,0.15985457232817102,3,5776,3271,2,12,12,0
16,8148,0.9421993644109221,0.1608143928926339,1,5776,6821,3,18,14,4
17,8836,0.8895799849895883,0.15985459290893922,1,8148,8148,3,16,16,0
18,9070,0.8536817512523756,0.13675621830487847,1,8990,7758,4,21,20,1
19,9909,0.8536817528471243,0.1367562183048835,3,7485,8990,2,14,14,0
20,10199,0.905915161123209,0.13675621830489215,1,6766,8990,3,14,13,1
21,10747,0.9023743666944986,0.13675621830489215,1,10199,4723,3,15,14,1
22,11066,0.9257139950524784,0.13675621830489215,1,10695,10199,2,10,10,0
23,11925,0.8205445995600751,0.13675621830489215,5,11066,11066,2,14,12,2
24,12323,0.8205445995601182,0.13675621830489215,1,3271,11925,3,18,17,1
25,12840,0.7875282216239039,0.13675621830489215,4,10695,12323,3,18,18,0
26,13365,0.7634856346766823,0.13675621830489215,4,10695,12323,3,18,18,0
27,13949,0.7634856346785022,0.13675621830489215,7,12323,11217,2,13,13,0
28,14469,0.7349949507224578,0.15985383981265724,1,6766,11204,2,10,10,0
29,14979,0.7351167453523284,0.1598503776047462,1,10695,11204,2,9,9,0
30,15472,0.7191677754120802,0.15985232419361364,1,11217,11204,2,9,9,0
31,15869,0.7167065763245952,0.13675621830489215,7,6821,14840,2,14,14,0
32,16210,0.7167065763098521,0.13675621830488746,7,3545,14840,3,19,19,0
33,16502,0.696359342374578,0.14319286996997957,6,8966,11204,3,18,18,0
34,17152,0.6964299520975421,0.159854564082373,2,15496,2346,3,15,13,2
35,17988,0.703104875333285,0.13675621830489215,2,10556,14840,2,9,9,0
36,18326,0.7031048759750418,0.13675621830489215,7,14840,15141,4,17,16,1
37,18638,0.7354513159143703,0.13675621804878355,1,3545,14840,5,24,20,4
38,19257,0.7231018202824052,0.13675621830489215,4,14840,14840,3,18,18,0
39,19737,0.7231018202711121,0.13675621830489215,4,19257,15511,2,15,15,0
40,20005,0.7231018202810122,0.13675621830489215,7,19257,7662,3,14,13,1
41,20878,0.7303843083051189,0.13675621830489215,7,19257,15511,2,13,13,0
42,21359,0.7303843083051217,0.13675621830489215,7,20878,20663,2,13,13,0
43,21697,0.7694933002694169,0.13675621830489215,7,21359,15141,5,23,18,5
44,22409,0.7694933002694719,0.13675621830489215,7,21359,17766,3,11,10,1
45,22766,0.7694933002694702,0.13675621830489215,5,18563,22409,3,20,18,2
46,23382,0.732354887206139,0.13675621830489215,7,22409,10695,2,12,11,1
47,23871,0.7323548872061396,0.13675621830489215,1,22409,18563,2,13,13,0
48,24399,0.7323548872061396,0.13675621830489215,4,23871,23793,3,18,18,0
49,24783,0.7694933002694719,0.13675621830489215,2,24399,22671,4,22,21,1
50,25236,0.747297759919103,0.13675621830489215,4,4330,24783,3,14,13,1
51,25783,0.7408884476848676,0.13675621830489215,7,25236,25236,3,20,18,2
52,26226,0.7408884476848676,0.13675621830489215,7,24737,25783,3,13,13,0
53,26610,0.7408884476848676,0.13675621830489215,4,26226,19948,3,17,15,2
54,27151,0.7408884476848676,0.13675621830489215,2,22671,26610,2,10,9,1
55,27655,0.7164283494862819,0.13675621830489215,8,19948,27151,2,13,12,1
56,28290,0.7164282518118269,0.13675621806021587,4,24737,27655,4,20,18,2
57,28866,0.7164283494862819,0.13675621830489215,8,27655,26146,3,15,13,2
58,29318,0.7433147716898896,0.13675621830489215,8,28866,24737,2,15,14,1
59,29618,0.7433147716898056,0.13675621830489215,4,29318,27989,4,22,21,1
60,30115,0.7433147716898519,0.13675621830489215,2,29318,27989,3,17,17,0
61,30544,0.7433147716898896,0.13675621830489215,2,29318,29685,2,13,11,2
62,31076,0.7433147716898896,0.13675621830489215,2,30544,30544,2,11,11,0
63,31619,0.7433147716898896,0.13675621830489215,2,27280,31076,3,18,18,0
64,32139,0.7433147716898896,0.13675621830489215,4,31619,15511,4,18,17,1
65,32747,0.7202288069387961,0.13675621830489215,9,14747,32139,2,9,9,0
66,33151,0.7202288069387961,0.13675621830489215,9,19948,32747,3,17,16,1
