generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,33.52146428066999,0.7601082949303936,5,-1,-1,3,18,18,0
1,901,7.172743334093809,0.7563084906463242,1,387,323,3,18,18,0
2,1481,4.261486210642053,0.7482841480245157,1,651,913,3,18,17,1
3,1728,3.3854111578317387,0.7561674610960947,1,580,1194,3,19,19,0
4,2301,3.690097256093651,0.7584784091229072,6,1723,549,3,18,18,0
5,2951,1.6983595284817763,0.7610797609049026,1,2066,549,3,17,16,1
6,3063,0.6778924667089778,0.7608318568984904,1,2448,868,3,18,18,0
7,3800,0.4858163410941481,0.7617073714439371,1,640,2116,2,12,12,0
8,4008,0.35679077794844866,0.7600007086580267,1,1702,2010,3,16,15,1
9,4784,1.5094132045790418,0.7627730136857379,2,2896,4277,3,21,21,0
10,5140,0.25550243642940845,0.7602706016839758,1,3760,4582,3,18,18,0
11,5550,0.43635716181892564,0.7594063837790923,1,2010,4008,6,25,21,4
12,6103,0.33969490856274287,0.7615123784067958,3,5442,4277,3,18,18,0
13,6679,0.16897934841032966,0.7602168936432592,2,6194,4277,3,15,14,1
14,7480,0.2813416608115356,0.7617123826245811,4,2411,5832,3,22,20,2
15,7960,0.4539996814129731,0.7594471305684483,7,4784,4526,3,17,15,2
16,8269,0.2532654701009468,0.7617180964910572,1,5524,4277,3,17,17,0
17,8813,0.9847168880428405,0.7624529903356161,1,8083,4526,3,11,10,1
18,9489,0.6765788319197552,0.761275879511697,1,5296,4526,4,20,19,1
19,9743,0.8682720752986368,0.7621448365003972,1,9031,5644,2,10,10,0
20,10163,0.6754559265692881,0.7621154039205819,5,9552,8988,2,13,13,0
21,10689,0.3926417318355856,0.7613222139177197,1,4385,5550,2,13,12,1
22,11283,0.7895739943610252,0.7616580015124409,3,8677,6875,3,21,19,2
23,11881,0.8698459122223727,0.761241188301673,2,10130,10130,2,9,9,0
24,12202,0.1967184525812206,0.7615732202286345,2,6242,11168,3,19,18,1
25,12553,0.16570741098272573,0.7612868158703533,4,10249,10130,3,21,18,3
26,13432,0.9309516241471743,0.7623223939733765,4,6421,8995,4,23,21,2
27,13885,0.2888581458831293,0.762118712474393,2,7097,11732,2,10,10,0
28,14069,0.20778670252673934,0.7616871837669033,4,12676,13673,2,9,8,1
29,14908,0.11428507172602223,0.7603295841564899,4,11211,14191,2,12,12,0
30,15126,1.026795797038733,0.7616323706569985,4,11516,9348,3,20,18,2
31,15768,0.38700875788359107,0.7616544509756223,4,11164,13694,3,17,15,2
32,16114,0.2957993570325438,0.7609787465640196,1,9715,11164,2,14,13,1
33,16865,0.5544321420406286,0.7616250438891684,4,15116,13673,2,13,11,2
34,17049,0.35040461937360606,0.7615751973315578,1,12013,11168,4,21,21,0
35,17750,0.10673823716059846,0.7617596517235036,4,8834,14377,2,14,14,0
36,18490,0.09777222639109896,0.7614571783678831,4,5140,13673,2,13,11,2
37,18563,0.6730282744286878,0.7622576720988536,4,8813,13673,3,17,16,1
38,19249,0.1806807628208919,0.7617312116822907,4,6242,13673,3,21,20,1
39,19598,0.1703439418333871,0.7618491887104445,7,16333,11168,3,13,12,1
40,20242,0.13940714780771296,0.7612793497944685,1,12720,14377,2,13,12,1
41,20736,0.11040330728448078,0.7617651826237002,7,12013,19776,4,18,17,1
42,21428,0.16630725058025572,0.7617581366165841,4,16498,11168,4,19,18,1
43,22000,0.184982963961176,0.7600538210874721,4,12553,15479,2,16,16,0
44,22408,0.12092262756341055,0.7612977366111896,2,8505,10130,3,19,19,0
