generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,494,105.89484163226454,-0.3817235413397433,4,-1,-1,3,18,18,0
1,868,139.19333762456992,-0.43560671876875673,1,266,494,3,18,18,0
2,1365,144.9786385457972,-0.4336971353920896,5,549,868,3,18,17,1
3,1905,171.10535401002545,-0.43412702066998765,3,868,868,3,19,19,0
4,2369,174.61890346053642,-0.43477101595447426,1,1450,1702,3,18,18,0
5,2596,180.062581793762,-0.43395371065999094,1,549,868,3,17,16,1
6,3264,188.6751578079603,-0.43282909623180005,4,868,549,3,18,18,0
7,3810,195.011087274795,-0.435044121902897,7,868,868,2,12,12,0
8,4277,196.61051850043972,-0.4356967441043806,5,3664,549,3,16,15,1
9,4773,199.75008016066855,-0.4341039354365291,2,549,4277,3,21,21,0
10,5012,201.43380451535182,-0.4352937386188687,7,4277,3763,3,18,18,0
11,5630,201.4133367815454,-0.4345402085567767,2,4277,4277,6,25,21,4
12,6348,202.806929177409,-0.4351359955955463,6,4277,4277,3,18,18,0
13,6643,203.67508930048854,-0.4352399718466776,5,4277,4277,2,15,15,0
14,7102,204.78332143527786,-0.43460908548795585,3,2951,4277,4,20,18,2
15,7519,204.66970024137973,-0.4337477126898835,5,4277,4277,3,18,17,1
16,8382,205.07386376092717,-0.43527475139503014,6,5550,4277,3,16,16,0
17,8923,205.4659397992992,-0.4350892413116799,5,4277,4277,4,20,19,1
18,9485,205.409071970635,-0.4348399794102003,3,4277,4277,3,17,17,0
19,9717,205.53664605590626,-0.4348318867039799,3,4277,4277,3,21,21,0
20,10178,205.44176891121396,-0.43421559285893896,3,4277,4277,3,21,21,0
21,10752,205.89735729279332,-0.43513983783691745,5,4277,4277,4,21,19,2
22,11369,205.98464692178717,-0.43544283826003244,3,4277,4277,3,21,21,0
23,11772,205.98299552856275,-0.43522819505631805,1,4277,4277,4,18,17,1
24,12493,206.37497656629733,-0.4353906259519507,4,10170,4277,5,22,20,2
25,12882,206.44978939700485,-0.43449430619636187,4,4277,4277,3,19,19,0
26,13373,206.5194424524056,-0.4338547512845057,3,4277,4277,3,16,14,2
27,13824,206.85725250745,-0.43538559791819753,3,4277,4277,3,18,18,0
28,14293,206.62882858340822,-0.4337724374465776,3,4277,4277,3,15,14,1
29,14681,206.75456072312372,-0.4346836373997499,3,4277,4277,3,16,15,1
30,15111,206.75627412278146,-0.43453780884957405,3,4277,4277,3,19,18,1
31,15572,206.73986773518513,-0.43455849871191427,5,4277,14662,2,12,12,0
32,16243,206.8283758524447,-0.434586159934371,3,4277,4277,5,23,21,2
33,16515,206.89993010621774,-0.43493690223020537,3,4277,4277,2,14,14,0
34,17022,206.87737892535384,-0.4342816651339462,3,8151,4277,3,21,21,0
35,17872,206.8504924502942,-0.43365850816563806,3,4277,4277,2,14,13,1
36,18234,207.00093902490113,-0.4344035841005002,3,4277,4277,4,21,18,3
37,18546,206.9717859286713,-0.43380580167737665,5,4277,4277,3,18,18,0
38,19120,207.14939764446643,-0.4337964557639019,5,4277,4277,3,17,17,0
39,19720,207.3425479481165,-0.4345558367956203,3,4277,4277,4,18,16,2
40,20326,207.48600126333093,-0.43511640919647865,5,17352,4277,3,22,22,0
41,20639,207.60826043940853,-0.4352697788930518,3,19537,19537,3,18,17,1
42,21203,207.49353070999047,-0.434344023429649,4,4277,4277,2,14,14,0
43,21714,207.51352629295926,-0.43401388327797646,5,4277,4277,3,22,22,0
44,22161,207.56985831033074,-0.4343400948323263,5,4277,4277,2,13,13,0
45,22820,207.5403758639787,-0.43412844667674555,3,4277,4277,3,16,15,1
46,23349,207.68160820410307,-0.43510688552777216,5,4277,4277,4,21,20,1
47,23827,207.59850274131222,-0.4345822361836864,3,8701,4277,3,14,12,2
48,24084,207.65856966527454,-0.43416198651515586,3,4277,4277,3,21,20,1
49,24837,207.80797177030627,-0.4352015375195118,3,4277,4277,2,13,13,0
50,25322,207.76443119446262,-0.4350135413492895,3,4277,4277,3,17,16,1
51,25817,207.67915519100703,-0.4340034447641365,3,12239,19537,2,14,13,1
52,26217,207.88625956035122,-0.43513735360440237,3,4277,4277,2,13,12,1
