generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,62,114.82174353388257,-0.43231685226842653,,-1,-1,3,18,18,0
0,440,43.650156115099165,0.736481583452029,,-1,-1,3,18,18,0
1,650,137.74892512502214,-0.4355224221306482,,62,62,3,18,18,0
1,972,58.17285655288288,-0.03359578934926703,,191,361,3,18,18,0
1,727,17.000697767514666,0.6085456199779437,,405,440,3,18,18,0
2,650,143.96687954029616,-0.4355224221306482,,62,62,3,18,18,0
2,972,64.74829084867966,-0.03359578934926703,,191,361,3,18,18,0
2,1489,14.779255643360688,0.29777082122377324,,417,238,3,18,17,1
3,650,167.63428515459796,-0.4355224221306482,,62,62,3,18,18,0
3,972,70.96708004834676,-0.03359578934926703,,191,361,3,18,18,0
3,1489,17.318920767783023,0.29777082122377324,,417,238,3,18,17,1
4,650,171.31370766382958,-0.4355224221306482,,62,62,3,18,18,0
4,2137,81.68964702741259,-0.03531256323377423,,1643,650,4,22,20,2
4,1489,26.588881777534322,0.29777082122377324,,417,238,3,18,17,1
5,650,176.4371496639846,-0.4355224221306482,,62,62,3,18,18,0
5,2137,92.02662304051537,-0.03531256323377423,,1643,650,4,22,20,2
5,2836,40.351590227785586,0.2880118053915631,,2158,1647,2,12,12,0
6,3269,183.56869319232965,-0.4356275114019378,,650,650,2,10,10,0
6,2137,104.99857883619015,-0.03531256323377423,,1643,650,4,22,20,2
6,2836,52.387251872092655,0.2880118053915631,,2158,1647,2,12,12,0
7,3269,185.81465067695666,-0.4356275114019378,,650,650,2,10,10,0
7,3900,110.07917162508481,-0.03635876988944965,,1620,3343,3,18,18,0
7,3639,61.47315487573121,0.2606830900888506,,2137,2137,4,23,21,2
8,3269,188.03472156663378,-0.4356275114019378,,650,650,2,10,10,0
8,3900,119.58188966628147,-0.03635876988944965,,1620,3343,3,18,18,0
8,3639,72.10140529905178,0.2606830900888506,,2137,2137,4,23,21,2
9,3269,193.22544414291315,-0.4356275114019378,,650,650,2,10,10,0
9,3900,122.93648920163699,-0.03635876988944965,,1620,3343,3,18,18,0
9,3639,74.95589763799038,0.2606830900888506,,2137,2137,4,23,21,2
10,3269,195.1723337372563,-0.4356275114019378,,650,650,2,10,10,0
10,5219,128.2297713554107,-0.03761077779804884,,3900,3900,3,18,18,0
10,3639,79.4248320655832,0.2606830900888506,,2137,2137,4,23,21,2
11,3269,197.19987616770123,-0.4356275114019378,,650,650,2,10,10,0
11,5859,129.06579807108037,-0.037893077850342155,,1716,1941,3,19,18,1
11,3639,80.14521585975228,0.2606830900888506,,2137,2137,4,23,21,2
12,3269,200.74516986318835,-0.4356275114019378,,650,650,2,10,10,0
12,6450,128.9458843870726,-0.03792327887181135,,3131,3639,2,11,10,1
12,3639,80.03438417005005,0.2606830900888506,,2137,2137,4,23,21,2
13,3269,200.9976900570501,-0.4356275114019378,,650,650,2,10,10,0
13,6450,129.4030688092061,-0.03792327887181135,,3131,3639,2,11,10,1
13,3639,80.62313691743897,0.2606830900888506,,2137,2137,4,23,21,2
14,3269,201.72688626739537,-0.4356275114019378,,650,650,2,10,10,0
14,6450,129.69046155030296,-0.03792327887181135,,3131,3639,2,11,10,1
14,7444,87.31252628877684,0.22109119920112588,,4506,3269,2,12,11,1
15,3269,202.03703519977347,-0.4356275114019378,,650,650,2,10,10,0
15,6450,129.69064176455566,-0.03792327887181135,,3131,3639,2,11,10,1
15,7444,87.28907601607332,0.22109119920112588,,4506,3269,2,12,11,1
16,3269,202.17595965930823,-0.4356275114019378,,650,650,2,10,10,0
16,6450,129.90942505364129,-0.03792327887181135,,3131,3639,2,11,10,1
16,7444,87.50182659452165,0.22109119920112588,,4506,3269,2,12,11,1
17,3269,202.40004225587424,-0.4356275114019378,,650,650,2,10,10,0
17,6450,129.93906146513137,-0.03792327887181135,,3131,3639,2,11,10,1
17,7444,87.61722653479693,0.22109119920112588,,4506,3269,2,12,11,1
18,3269,203.16286171175406,-0.4356275114019378,,650,650,2,10,10,0
18,6450,130.27340799951256,-0.03792327887181135,,3131,3639,2,11,10,1
18,7444,87.93155771957984,0.22109119920112588,,4506,3269,2,12,11,1
19,3269,203.78329399275142,-0.4356275114019378,,650,650,2,10,10,0
19,6450,130.43159514164154,-0.03792327887181135,,3131,3639,2,11,10,1
19,7444,88.12219038252694,0.22109119920112588,,4506,3269,2,12,11,1
20,3269,204.20048665955127,-0.4356275114019378,,650,650,2,10,10,0
