generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,99,40.85464128658185,0.7581809433333908,1,-1,-1,3,18,18,0
1,668,11.031018684582325,0.7597965021017197,1,125,140,3,18,18,0
2,1188,4.940681042804071,0.7594054765536031,1,668,255,3,18,18,0
3,1567,5.265933345949197,0.7583195798970082,1,1184,899,2,11,11,0
4,2091,1.9458748203893503,0.7547221239781634,4,1058,1281,3,19,19,0
5,2617,3.5296296700806273,0.7580764452127324,3,2250,1058,4,19,17,2
6,3287,2.5928019110129927,0.7603917697871824,5,1609,1608,3,20,20,0
7,3759,0.6481851285383897,0.7611893323228371,5,1561,2052,3,18,18,0
8,4087,0.4863434330889748,0.7609812910880367,3,3590,2609,2,12,12,0
9,4848,0.272635896009084,0.7616319296030314,3,3763,4179,4,18,17,1
10,5311,0.19551546717004045,0.7618040158706607,5,4297,5000,3,16,16,0
11,5750,0.2053114438367966,0.7620223258177794,5,3328,4494,5,22,20,2
12,6320,0.16082329173884946,0.7615546537338137,5,2660,5792,2,11,11,0
13,6828,0.05813270230879457,0.7613358338290034,5,4519,6383,3,18,18,0
14,7103,0.06777244834988418,0.7607782263085862,5,6252,6929,3,12,11,1
15,7590,0.07372489692014939,0.761350889588615,4,6340,6344,3,19,18,1
16,8406,0.13720604093488256,0.7611850266056922,5,4562,6185,3,19,18,1
17,8677,0.2235619622623127,0.7619414326284006,5,6902,5792,3,16,16,0
18,9214,0.09342683718413669,0.7620278449195317,5,8501,8676,3,19,18,1
19,9509,0.022385788501882387,0.7612353084265486,5,7801,8344,2,12,12,0
20,10244,0.05433369569913116,0.7617261413033882,5,7851,8566,3,18,18,0
21,10961,0.1020707129223104,0.7621196552096254,3,10038,4087,3,17,17,0
22,11137,3.0775566583752942,0.7619648331842499,3,10162,10483,3,16,16,0
23,11869,0.0520657341532003,0.7617765084887598,3,7712,10461,3,12,11,1
24,12400,0.07114889036062898,0.7619438215525749,5,6343,6964,3,11,10,1
25,12576,0.06293017848985596,0.7621043339082205,3,7878,2378,3,14,14,0
26,13456,0.12066807569734335,0.7609939912254399,5,10863,10863,3,16,16,0
27,13789,0.02802740759953377,0.7611341274113919,3,8758,8861,3,13,13,0
28,14041,0.18225389494460625,0.7616851798995721,5,7773,10863,4,21,20,1
29,14982,0.017033674394604077,0.7612499600318141,4,14254,2378,3,13,12,1
30,15074,0.14673010407578652,0.7616261964312063,1,12461,7590,3,17,17,0
