generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,0.21344227847377653,0.7581625877241497,1,-1,-1,3,18,18,0
1,614,0.15844885479297172,0.7571570347332325,4,48,180,3,18,18,0
2,1131,0.12559471802549133,0.7586102492096786,1,651,658,2,9,9,0
3,1988,0.10287222262437605,0.7616958890256897,4,1202,1209,3,18,18,0
4,2184,0.10023437056384024,0.7620628684338935,4,1988,1988,2,10,10,0
5,2578,0.08075482959344264,0.7619772862671966,4,2119,2184,3,13,12,1
6,3326,0.0917372656948299,0.7612513525964688,1,2787,2037,3,17,15,2
7,3772,0.10476209135035255,0.7621605143732013,4,2479,3376,3,18,17,1
8,4334,0.15351667730566432,0.7620764573148997,4,1935,3772,3,19,18,1
9,4921,0.06536122344588592,0.7601953725112759,1,4412,3067,2,10,9,1
10,5167,0.0971373144928298,0.7606418584152073,4,1988,4846,3,19,19,0
11,5658,0.13426808759450415,0.7608077190526141,1,3772,1661,3,19,19,0
12,6183,0.08816334098900305,0.7611689506894921,1,2037,2534,3,20,20,0
13,6974,0.08841868387580956,0.7624932913349427,4,2578,2578,3,21,21,0
14,7045,0.06288661802971633,0.7623422263419678,4,1988,4921,3,18,17,1
15,7629,0.06573511930762008,0.7599095883985212,1,2430,4850,3,19,19,0
16,8498,0.076155602302206,0.7623381775644883,4,2184,2578,3,19,19,0
17,8775,0.11895023145067614,0.7606043408048917,4,8313,7045,2,12,11,1
18,9337,0.11761742282662171,0.7618216504510145,4,6974,8839,3,20,20,0
19,9954,0.07247315021270037,0.7624560892110694,4,8498,3772,4,18,16,2
20,10176,0.0648621405219569,0.7583521334784139,4,8210,4921,3,20,20,0
21,10823,0.089951955920716,0.7622099824244004,4,9954,9954,3,21,21,0
22,11496,0.07443162414983417,0.7627103086577284,4,6974,2037,3,19,19,0
23,11832,0.072574864639537,0.7616524005912522,4,8498,4334,3,21,20,1
24,12440,0.07197807195655297,0.7607374591080405,4,11496,8498,3,19,19,0
25,12503,0.0866617000758311,0.7614827388855004,4,6974,1521,3,18,15,3
26,13234,0.0959775318479431,0.7582086514137437,4,8498,6974,3,20,19,1
27,13839,0.07473951515909757,0.7604422377414215,4,7045,5801,2,11,11,0
28,14132,0.07465035592898388,0.7617622662484809,4,7045,8498,3,20,20,0
29,14761,0.06497889647833059,0.7624212582062191,4,6974,6974,3,21,21,0
30,15142,0.09337278649996261,0.7599705664311972,4,9337,4334,3,19,19,0
31,15793,0.06288049065844692,0.7620676480161753,4,8498,2578,3,21,21,0
32,16045,0.19413934664940355,0.7623349630597915,4,10823,7045,3,14,11,3
33,16713,0.06708955275045969,0.7617176722285162,4,14761,6974,3,19,19,0
34,17388,0.07236053848973399,0.7614395622188592,4,2184,8498,3,20,19,1
35,17922,0.08809209419392054,0.760400390026106,4,6974,8498,3,20,20,0
36,18042,0.0679405161880848,0.762497294979604,4,6974,10823,3,20,19,1
37,18939,0.06702944249226722,0.762712399270515,4,4378,7045,3,18,16,2
38,19399,0.08768657956761775,0.7604369637400313,4,6974,3772,3,20,19,1
39,19555,0.05823059106748072,0.7621567950832646,4,18939,8498,3,20,20,0
40,20312,0.11611383610944559,0.76192553219027,4,8498,18276,3,20,20,0
41,20700,0.06269769493838089,0.7620858760907154,4,7045,7045,3,20,18,2
42,21044,0.10384007923154026,0.7613292332651203,4,18042,1521,3,20,20,0
