generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,157,1.0744209552348225,0.15985455243455754,1,-1,-1,3,18,18,0
1,881,0.7695644134028686,0.15985455731571718,1,319,157,3,19,19,0
2,1325,1.0010518347333925,0.1598545873563703,5,972,881,2,11,11,0
3,1611,0.7638391600017845,0.15985458346353437,5,1325,1325,3,18,18,0
4,2256,0.8132141448345566,0.15985421123647803,3,1573,1611,3,19,19,0
5,2636,1.2294011131475133,0.15985459457564363,5,2197,1611,2,11,11,0
6,3414,1.3470479802197057,0.15985459405624114,5,2636,2873,3,18,17,1
7,3827,1.2910821125967238,0.15985451732223027,5,2636,3244,2,13,11,2
8,4445,1.3360304064864787,0.1598545923559293,5,3766,2636,4,20,19,1
9,4996,1.3535712425338653,0.1598545945811055,5,4096,2636,3,17,16,1
10,5271,1.2914730076389307,0.159854594594959,5,4996,4996,4,20,19,1
11,5748,1.2942740605344292,0.15985459455207027,5,3316,4996,4,20,18,2
12,6421,1.2950093204945428,0.1598545944531236,5,4548,4996,3,18,18,0
13,6779,1.2950074904950712,0.15985459459753254,5,4996,6079,4,20,19,1
14,7390,1.2970242846546427,0.15985459459604837,5,6991,6779,3,17,17,0
15,7666,1.297835312840188,0.1598545945976242,5,6779,6779,4,19,16,3
16,8013,1.2978353101878548,0.15985459453312337,5,7928,7666,4,19,17,2
17,8880,1.2977084416363496,0.15985459459764775,5,7666,7666,4,19,17,2
18,9062,1.2977084416369873,0.1598545945976545,5,8831,8880,3,17,16,1
19,9967,1.2977084416360394,0.1598545945976545,5,9062,8787,5,23,20,3
20,10374,1.2977084416296176,0.15985459459712756,5,9062,9062,4,19,17,2
21,10619,1.2977084416374067,0.15985459459765225,5,9062,3244,2,9,9,0
22,11385,1.346362587526611,0.15985459459764825,5,3316,10619,5,26,24,2
23,11520,1.3463625875389404,0.15985459459765328,5,10834,10619,3,18,17,1
24,12147,1.3463625875389558,0.15985459459765572,5,11520,7089,4,19,17,2
25,12775,1.346362587538956,0.15985459459765572,5,10198,12147,3,17,16,1
26,13032,1.4057493379091448,0.15985459459765572,5,12775,3316,2,10,8,2
27,13554,1.4057493379091448,0.15985459459765572,5,10161,13032,3,17,16,1
28,14464,1.4057493379091448,0.15985459459765572,5,13554,13554,2,12,12,0
29,14521,1.314879602903081,0.15985459459765572,5,14464,6570,3,17,16,1
30,15041,1.2689309309912944,0.15985459459765572,5,14759,14521,3,16,14,2
31,15588,1.2705461621027705,0.15985459459765572,5,10161,15041,5,18,16,2
32,16218,1.2705461621027705,0.15985459459765572,5,15588,6570,5,21,19,2
33,16917,1.2705461621027705,0.15985459459765572,5,16218,15928,4,20,19,1
34,17273,1.2705461621027705,0.15985459459765572,5,16917,16917,4,19,18,1
35,17540,1.2705461621027705,0.15985459459765572,5,17273,17273,2,9,9,0
36,18007,1.2705461621027705,0.15985459459765572,5,17540,6570,4,24,21,3
37,18858,1.2678908429705824,0.15985459459765572,5,15928,18007,4,19,17,2
38,19032,1.331002760114917,0.15985459459765572,5,18007,16845,4,19,18,1
39,19615,1.331002760114917,0.15985459459765572,5,17440,19032,5,22,19,3
40,20431,1.2717176858321109,0.15985459459765572,5,17440,19615,3,14,14,0
41,20529,1.2717176858321109,0.15985459459765572,5,20166,20431,3,16,13,3
42,21065,1.2101192611577667,0.15985459459765572,5,6570,20529,4,19,17,2
43,21521,1.209807377720708,0.15985459459765572,5,21065,21065,3,17,15,2
44,22289,1.209807377720708,0.15985459459765572,5,21521,21521,4,20,17,3
45,22531,1.209807377720708,0.15985459459765572,5,22289,6570,3,10,9,1
46,23235,1.2713328059090379,0.15985459459765572,5,22531,3316,4,19,17,2
47,23502,1.2713328059090379,0.15985459459765572,5,23155,23235,4,19,17,2
48,24011,1.2713328059090379,0.15985459459765572,5,23502,23115,4,19,16,3
49,24568,1.2714058023950519,0.15985459459765572,5,24011,24011,4,24,22,2
50,25084,1.2714058023950519,0.15985459459765572,5,3316,24568,4,22,20,2
51,25503,1.2714058023950519,0.15985459459765572,5,25084,25074,5,26,24,2
52,26300,1.2714058023950519,0.15985459459765572,5,25503,25655,4,19,18,1
53,26524,1.3612007699124187,0.15985459459765572,5,26300,25627,5,26,24,2
54,27090,1.3612007699124187,0.15985459459765572,5,24575,26524,4,20,18,2
55,27688,1.3086447679674904,0.15985459459765572,5,25074,27090,4,19,16,3
56,28261,1.3086447679674904,0.15985459459765572,5,27688,27533,4,22,20,2
57,28519,1.3086447679674904,0.15985459459765572,5,28261,27584,5,26,23,3
58,29111,1.3086447679674904,0.15985459459765572,5,28519,3316,4,20,18,2
59,29627,1.3082781857539927,0.15985459459765572,5,29111,23249,4,22,20,2
60,30097,1.3082781857539725,0.15985459459765328,5,6570,29627,4,21,17,4
61,30716,1.3082781857539927,0.15985459459765572,5,29627,26607,3,13,12,1
62,31260,1.3082781857539927,0.15985459459765572,5,23148,30716,4,19,17,2
63,31580,1.3082781857539927,0.15985459459765572,1,31260,3316,4,19,17,2
64,32101,1.3199771204827968,0.15985459459765572,5,23863,31580,5,22,20,2
65,32842,1.3199771204827968,0.15985459459765572,1,28960,32101,4,18,15,3
66,33019,1.3199771204827968,0.15985459459765572,1,32842,32016,11,37,30,7
67,33504,1.3199771204827968,0.15985459459765572,5,33019,31184,5,27,24,3
68,34493,1.3199771204827964,0.15985459459765572,1,33504,22974,4,19,18,1
69,34683,1.3199771204827968,0.15985459459765572,1,28419,33504,4,20,18,2
70,35058,1.3199771204827968,0.15985459459765572,2,34683,33855,4,22,19,3
71,35654,1.3199771204827968,0.15985459459765572,3,35058,35058,3,19,16,3
72,36046,1.3199771204827968,0.15985459459765572,3,35654,31184,5,25,22,3
73,36585,1.3199771204827968,0.15985459459765572,2,36046,36046,5,25,21,4
74,37081,1.3199771204827968,0.15985459459765572,2,36741,36585,4,19,18,1
75,37562,1.3199245176718655,0.15985459459765572,2,37081,23249,5,24,20,4
76,38057,1.3199245176718655,0.15985459459765572,2,6570,37562,4,20,18,2
77,38543,1.3199245176718655,0.15985459459765572,3,38057,22974,4,19,17,2
78,39187,1.3199245176718655,0.15985459459765572,2,38543,38251,4,21,19,2
79,39775,1.3199245176718655,0.15985459459765572,2,39187,36717,4,20,18,2
80,40387,1.3199245176718655,0.15985459459765572,2,39775,32016,3,17,15,2
