generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,427,1.0474288458721506,0.14793249250471055,6,-1,-1,3,18,18,0
1,602,0.6708184832243475,0.12980522475392756,6,427,427,3,18,18,0
2,1401,0.5782510685181463,0.13675621830488122,3,496,601,2,10,10,0
3,1905,0.7164962340239346,0.1598409776777468,6,602,1232,3,18,18,0
4,2368,0.8473435748470906,0.15539461515038186,6,1992,602,5,23,21,2
5,2521,0.8606624476140808,0.14790882502157252,3,1714,602,3,19,19,0
6,3170,0.8596930748488012,0.15985312904567686,2,602,602,3,18,18,0
7,3647,0.8395812852160868,0.15985384769026004,6,3170,3170,3,18,18,0
8,4141,0.8970991058812736,0.15985024681057067,2,721,563,3,18,18,0
9,4777,0.8949395293684355,0.1478370674553705,1,3170,4461,5,22,18,4
10,5453,0.8829959615756117,0.15985459433737573,2,2257,3170,3,17,17,0
11,5614,0.857301644344675,0.15985459449823564,2,5453,3649,3,19,19,0
12,6144,0.8483006221710996,0.1598501604400384,2,5392,5453,3,18,18,0
13,6610,0.8479920077604076,0.1598545922185799,1,5453,5408,3,17,16,1
14,7254,0.8483857738063894,0.15985181937046344,1,5392,5453,3,18,18,0
15,7634,0.8486478184654244,0.15985423342867147,6,5453,5415,6,24,21,3
16,8021,0.848021103769757,0.15985459292467719,2,5453,2494,3,17,17,0
17,8540,0.8473277442095792,0.15985385368333202,1,417,5453,4,21,20,1
18,9043,0.8523138990820103,0.1598545944053729,2,5509,5453,3,18,18,0
19,9623,0.852313235493248,0.15985415409660644,1,4543,5453,4,20,19,1
20,10471,0.863247211083326,0.1598545206320494,7,4543,5453,3,18,17,1
21,10934,0.8319317842165919,0.15985459459760826,2,8816,5453,4,21,18,3
22,11412,0.8181276184020488,0.1598545945976382,1,10934,2494,3,18,17,1
23,11837,0.7987298320864952,0.15985459446270905,6,5408,10934,3,20,19,1
24,12169,0.7988339416375604,0.15985459273781208,7,5392,10934,3,19,19,0
25,12705,0.7852685653418584,0.15985459445967973,7,10934,9063,3,18,18,0
26,13060,0.7817878190051708,0.15985459459759752,2,10934,10934,5,22,20,2
27,13557,0.7787863988542157,0.1598545930733533,2,5392,10934,3,19,19,0
28,14278,0.7781504196978439,0.159854593963328,1,8237,10934,5,22,18,4
29,14532,0.7763925140220626,0.15985459443928485,2,717,10934,5,22,19,3
30,15395,0.7781505036724062,0.15985459458157544,1,10934,12565,4,21,20,1
31,15776,0.7777864223749011,0.15985425314542623,1,13740,10934,4,21,20,1
