generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,0.17704250631198357,0.7601082949303936,5,-1,-1,3,18,18,0
1,563,0.32797298487075754,0.7628172078647947,2,417,78,3,18,18,0
2,1076,0.09607419837958604,0.7617208027452682,5,417,864,2,10,10,0
3,1626,0.0866485416194818,0.7620019116265999,5,506,496,3,18,18,0
4,2319,0.0807408605207947,0.7612931620082208,4,1910,1218,5,23,21,2
5,2769,0.26499525051016487,0.7617588968858492,2,563,417,3,19,19,0
6,3247,0.09175130745241152,0.7608309076386081,4,1272,1525,3,18,18,0
7,3822,0.08479679284043562,0.7603132682637481,3,721,2818,3,18,18,0
8,4371,0.09516654083233349,0.7614234418766272,4,506,1272,3,18,18,0
9,4533,0.09540080597713299,0.7624847552600545,5,1626,3444,5,22,18,4
10,5393,0.22132297982537544,0.762582624598437,6,563,4383,3,17,17,0
11,5509,0.17855388569634062,0.7623345254909374,6,4543,4776,3,19,19,0
12,6113,0.08473175825024407,0.7616066610644335,4,4371,1272,3,18,18,0
13,6563,0.06740108172090008,0.7614350396408236,4,5091,6040,3,17,16,1
14,7281,0.061361133719702164,0.7600599166312563,2,5460,1076,3,18,18,0
15,7689,0.06001049368327954,0.7588458416449438,1,1076,5460,6,24,21,3
16,8270,0.09195184455780793,0.7616225160789127,5,1141,6934,3,17,17,0
17,8595,0.3569774168942547,0.7616619068637109,1,5392,8463,4,21,20,1
18,9480,0.05110087218162411,0.7616469096555989,5,4543,4533,3,18,18,0
19,9748,0.09899234806131871,0.7623790771189436,1,4543,7525,4,20,19,1
20,10252,0.39838701581257796,0.7622297374563101,2,9748,717,3,18,17,1
21,10790,0.25240386742242826,0.7621346294284421,2,717,5509,4,21,18,3
22,11253,0.14850448091751117,0.7615642883694538,7,563,563,3,18,17,1
23,11561,0.4199389739745209,0.7621383364622331,6,10252,6040,3,20,19,1
24,12332,0.08260919519314183,0.7588170380187728,5,4533,9063,3,19,19,0
25,12605,0.30330953962582485,0.7624097092162845,1,10790,5393,3,18,18,0
26,13068,0.17145275237805452,0.7608520739561857,2,563,4543,5,22,20,2
27,13564,0.2834469028625775,0.7624875778748592,1,10790,6040,3,19,19,0
28,14103,0.08720119077567048,0.7625068048038983,5,4885,4533,5,22,18,4
29,14886,0.2991436485726207,0.762137307702336,2,10252,11119,5,22,19,3
30,15453,0.3981053443839164,0.7609102897981783,7,4543,4885,4,21,20,1
31,15775,0.0763992324047467,0.7586733899340101,5,14103,12605,4,21,20,1
32,16423,0.2846560912133843,0.7610132357928118,2,4543,2494,4,21,20,1
33,16897,0.09520436867389429,0.7615175030018105,5,14103,5509,3,19,19,0
34,17136,0.1922161279292997,0.7602985441777803,7,717,6040,3,19,19,0
35,17671,0.1930330971876748,0.7623867677565311,6,5392,15403,3,20,20,0
36,18373,0.2598517750760468,0.7618044106024119,1,12605,6040,3,19,19,0
37,18692,0.29897810320920426,0.7611804027068899,1,5393,17671,2,12,12,0
38,19424,0.2394785478499414,0.7594760305999185,5,12605,14103,3,18,18,0
39,19557,0.21639873058703823,0.7622613449796276,1,13564,13564,3,18,18,0
40,20157,0.07346770908049056,0.7626511782650869,1,717,14103,4,20,19,1
41,20753,0.18998668389455153,0.7626296738454913,7,717,717,2,11,11,0
42,21310,0.12951329600043066,0.7609587895077535,5,14103,17671,2,11,10,1
43,21680,0.08595673085070549,0.7624402303220003,6,20157,15643,2,11,10,1
44,22205,0.21104511724643432,0.7591264350374962,1,17671,21024,2,11,11,0
45,22858,0.23058492795854338,0.7601977590100943,1,563,20157,3,19,18,1
46,23076,0.2174457654506893,0.7627215153511425,7,5460,20753,4,20,17,3
47,23916,0.16744418068394437,0.7610541488400879,7,23182,563,3,19,18,1
48,24027,0.4251095483237588,0.7627796062384903,1,563,12605,3,14,13,1
49,24611,0.1829814072475187,0.7619062639948081,2,8270,20753,3,19,19,0
50,25202,0.3097329838812689,0.7599109027364853,2,10252,19408,3,18,18,0
51,25839,0.16429713907253118,0.762650848238761,2,5509,23076,3,17,17,0
52,26032,0.1499204341804226,0.7620669217593679,3,20753,25839,2,11,11,0
53,26565,0.08078096411941274,0.7617790477925155,5,23182,25608,3,18,17,1
54,27022,0.16127509411591884,0.7623208580938386,1,563,21680,4,16,15,1
55,27515,0.2446175509681813,0.7579980234159027,4,9748,27064,4,20,19,1
56,28485,0.10922950099763791,0.7614980846279407,5,14103,24780,3,19,19,0
57,28732,0.15523313148951484,0.7607951096465816,7,563,23076,3,20,20,0
58,29396,0.15774362281058535,0.762071269679742,3,23076,20753,3,19,18,1
59,29530,0.2420774524086645,0.7627038856167643,2,5393,5509,3,19,19,0
60,30455,0.07890230394867867,0.7616744624675666,5,4543,23182,3,13,12,1
61,30773,0.19988951893534215,0.7615802009323016,1,24027,20157,3,18,17,1
62,31297,0.1099666511396868,0.7604724618233532,3,23790,15387,3,18,18,0
63,31811,0.07879990098310789,0.7616151025552634,5,4543,23182,3,20,20,0
64,32349,0.283792979763358,0.7614080541299563,3,23076,21024,3,18,17,1
65,32968,0.28340100566054904,0.7611924321339795,3,717,21024,4,24,23,1
66,33097,0.1604236360922568,0.7624914162288813,3,717,24027,3,13,12,1
67,33560,0.08590259821447079,0.7618558523541709,6,21680,563,3,17,16,1
68,34258,0.1307902886248509,0.761392568740499,7,27022,24249,3,20,20,0
69,34948,0.14975552459009137,0.7621927018794692,4,717,717,3,19,19,0
70,35038,0.28612832208241923,0.760128188570192,7,29530,563,3,18,18,0
71,35769,0.1291166747711644,0.7617483691330275,7,29530,23076,4,20,19,1
72,36043,0.19127094722874152,0.762685922935464,1,717,717,4,16,15,1
73,36916,0.08956590699831701,0.7606847632406539,5,23182,35926,3,19,18,1
74,37073,0.09728731438265788,0.7624753673635702,5,5393,23182,3,19,19,0
75,37956,0.10884253074970437,0.7614851083557779,5,23182,35926,4,21,18,3
76,38303,0.1830221567864483,0.76281377001001,4,25839,25839,3,18,17,1
77,38929,0.1319647665718761,0.762819253782974,4,25839,563,3,19,18,1
78,39481,0.19325692962012214,0.7628005212385491,4,4533,38929,3,18,18,0
79,39741,0.15045519724774897,0.7607581304146818,4,38929,38303,5,23,19,4
80,40064,0.11018674551104976,0.762610896199277,7,34948,23076,3,18,17,1
81,40807,0.393600952592799,0.761545661638787,4,24027,38929,2,12,10,2
82,41233,0.2598968653305504,0.7614281184980417,1,38929,5393,3,15,12,3
83,41590,0.3519004480855898,0.7624049524948087,2,4533,38929,3,19,18,1
84,42477,0.11315706808206942,0.7622349125488062,2,20157,38850,3,19,19,0
85,42714,0.30406919470159777,0.7621635136590156,7,23182,23076,3,19,18,1
86,43353,0.0819645244546191,0.7597819754862344,5,29753,41505,3,18,18,0
87,43972,0.13753125901030616,0.7627267414493727,7,40064,38303,4,20,19,1
88,44168,0.14816115153453616,0.7619722262195631,4,38929,38262,3,18,15,3
89,44732,0.11524380250242308,0.7621796174114986,7,43972,717,4,20,17,3
90,45229,0.18404675852122204,0.7625516340848649,4,40064,38303,4,16,14,2
91,45884,0.09646900732279655,0.7625706598887189,2,39481,31320,3,19,19,0
92,46169,0.13650672930853086,0.7628029950342546,4,38303,38929,3,20,20,0
93,46604,0.13583510954980743,0.7626570418367103,7,43972,15819,3,19,19,0
94,47245,0.16609836119515659,0.7606473594599641,2,563,9748,2,11,11,0
95,47771,0.17283571382863003,0.76155743996057,7,20661,35876,3,20,19,1
96,48195,0.13684627534418967,0.7610607338389526,2,563,47305,4,21,19,2
97,48912,0.13168542116800042,0.762081060688782,7,20753,33097,3,18,18,0
98,49460,0.11686706754473071,0.7625308725042187,7,23076,38929,3,19,17,2
99,49890,0.200732495060214,0.760413070101717,7,46169,23076,3,19,18,1
100,50379,0.13435380375175326,0.7626635320944575,1,38929,35876,3,19,17,2
101,50957,0.13034942543526548,0.7620246906751666,3,5509,24027,4,20,20,0
102,51432,0.14558719501977496,0.7619846462560039,4,24027,717,3,18,16,2
103,51959,0.21575325450478927,0.7620555344289127,2,50548,41505,3,18,17,1
104,52140,0.2686330831660703,0.7604609630027527,6,38303,38929,3,20,20,0
105,52503,0.12431673362059811,0.7616823980941135,6,45229,38929,3,19,18,1
106,53438,0.18835414428640146,0.7623925722649331,7,36043,36043,3,19,17,2
107,53845,0.10620742268908723,0.7618531674669232,6,43972,717,3,19,19,0
108,54455,0.15615427553564282,0.7627514113546356,3,38303,23076,3,19,19,0
109,54879,0.19051806302918797,0.7603123854793805,6,38929,25839,3,18,18,0
110,55131,0.14687534971696808,0.7610364256745863,4,38929,563,3,19,16,3
111,55519,0.21830871688146547,0.7603601104123097,2,29530,46169,3,18,18,0
112,56073,0.17884011282265833,0.7626353266993944,1,23076,13564,3,19,18,1
113,56834,0.10947844654036194,0.7592891669562369,2,46169,38929,2,12,11,1
114,57266,0.18553388491914818,0.7608019097000386,6,38303,37950,3,19,18,1
115,57777,0.10496779547907478,0.7594493719611682,5,29753,35803,3,18,17,1
116,58467,0.15180712390170195,0.7610441316305372,7,56073,43972,2,11,11,0
117,58600,0.2044027072581684,0.7614542652950299,1,24027,23076,3,19,19,0
118,59376,0.1689285803096321,0.7616225449187105,1,43972,56073,3,19,18,1
119,59535,0.13274751134905322,0.7627402526910521,1,20157,29753,3,18,18,0
120,60030,0.19119309291231718,0.7614331543969126,7,59535,38929,3,18,17,1
121,60793,0.12311726340806847,0.7627228454815508,2,49460,563,3,18,17,1
122,61436,0.1023738159230837,0.7627505023314575,1,23076,54455,3,18,18,0
123,61656,0.21167760114802764,0.7595358181057156,4,60793,20132,4,22,20,2
124,62179,0.07689672284951665,0.7622339717528857,1,54455,36043,3,19,19,0
125,62707,0.26621021469179246,0.7622848183239535,2,38303,55937,3,19,17,2
126,63145,0.2993048693552886,0.7614839095465613,3,39481,61436,4,21,21,0
127,63586,0.100976198996104,0.7617550039555374,3,38929,38303,3,19,18,1
128,64235,0.09767321088085992,0.7624009317792382,2,38303,20661,3,18,18,0
129,64720,0.11013733895524921,0.7617982809993283,3,43972,57215,3,18,18,0
130,65313,0.29827167887440187,0.7616607042754916,4,61436,23182,3,19,18,1
131,65782,0.08442612877195622,0.762756020060374,3,39481,43972,3,20,19,1
132,66281,0.19442995991469955,0.7626273677475942,6,59535,65782,3,18,17,1
133,66744,0.2838518217810103,0.7606733187879976,1,38303,38823,2,11,11,0
134,67266,0.12539635164949198,0.7624757372007834,6,54455,25839,3,19,19,0
135,67618,0.21253362958003544,0.7621243462868386,7,60793,563,3,18,17,1
136,68187,0.152961406110109,0.7617403153596615,7,38929,38303,3,18,17,1
137,68966,0.08653983351763836,0.7624676372275182,5,59885,23182,2,12,12,0
138,69253,0.08413508896582544,0.762788775606502,7,38929,38929,4,21,20,1
139,69904,0.29870586846110136,0.7624897925932403,2,24027,50379,2,12,12,0
140,70092,0.10166988280252573,0.7627554779308114,1,39481,67482,3,18,18,0
141,70656,0.11341665878600315,0.7627522201654034,4,717,39481,2,12,11,1
142,71464,0.07785764426934681,0.7626489284369602,4,36043,58128,3,18,17,1
143,71841,0.28152401869444554,0.7614795125380203,6,20132,70092,4,21,20,1
144,72225,0.1294798857291792,0.7605364476180384,3,54455,65782,3,18,18,0
145,72563,0.12939178381633412,0.7618748560869476,3,39481,45927,3,18,16,2
146,73066,0.2730735686690896,0.761896547262472,6,69253,61436,3,19,18,1
147,73854,0.21542172644941976,0.7624722142474551,2,38303,24027,3,18,17,1
148,74268,0.17401116855878584,0.7613901249823,4,60700,563,3,19,19,0
149,74845,0.13222865963345656,0.7622729132288958,2,563,74422,3,18,15,3
150,75455,0.16895526291214522,0.7614697642271836,3,23076,38929,3,19,19,0
151,75600,0.1415899250379835,0.7628490162229067,2,46169,46604,3,18,17,1
152,76230,0.20811920655478894,0.7606159753833585,4,54455,33097,4,21,20,1
153,76929,0.1493023419579469,0.7621959621267393,1,46169,20661,3,18,17,1
154,77351,0.23464412119896325,0.7623038545330746,7,38823,45927,4,20,19,1
155,77771,0.33112770672341874,0.7611145935065846,6,65782,24027,4,20,18,2
156,78210,0.15107530484544607,0.7613420349295916,3,65782,69253,3,18,17,1
157,78666,0.13083631668410606,0.7593756930730707,6,38929,40154,4,21,20,1
158,79099,0.1457320925839331,0.7627285381550414,1,61436,75600,2,12,11,1
159,79772,0.11741790374129994,0.7614233143787859,1,563,75600,4,21,19,2
160,80022,0.1370303838867059,0.7570367326769792,2,563,72497,3,18,17,1
161,80675,0.1485557362362493,0.76274255916975,3,79099,54034,3,18,18,0
162,81165,0.1263658527961863,0.7624321037030319,2,69253,54455,3,19,18,1
163,81661,0.28209499288903345,0.7608926493173561,3,75600,39481,3,19,18,1
164,82047,0.16693226306321424,0.7612127782527235,7,563,75600,3,18,18,0
165,82953,0.1375336006837815,0.7614191484099672,6,39481,38303,3,13,12,1
166,83280,0.12852332823881704,0.7625669385959926,3,38929,70092,3,18,17,1
167,83959,0.21401634761171526,0.7610154504379516,3,38303,75600,3,18,18,0
168,84458,0.18306796566401426,0.7624833459220448,4,61436,563,2,11,11,0
169,84879,0.10237214024907734,0.7623203943307494,1,38303,59767,3,17,16,1
170,85206,0.12249376364402398,0.7622053069353679,2,70656,39481,3,18,18,0
171,85641,0.20505847580102315,0.7613472699002368,1,54455,36043,2,12,11,1
172,86142,0.2751845964985572,0.7623204522644108,7,24027,563,4,21,18,3
173,86655,0.1866831663641753,0.7617013517649415,2,60700,38303,3,18,17,1
174,87258,0.17446481076978984,0.7608040351038673,6,59885,38929,3,19,18,1
175,87903,0.22914757349969167,0.7600667327523178,4,717,70092,2,11,10,1
176,88205,0.12509289351064018,0.762517587121569,1,71464,65782,4,22,21,1
177,88812,0.13708273280817146,0.7601328289656207,1,70656,78158,4,22,20,2
178,89304,0.13612268645773165,0.760447849222798,4,46169,40154,3,18,18,0
179,89693,0.12124014830635259,0.7627053320492078,4,61436,24027,5,23,20,3
180,90222,0.12546529686032504,0.7618220201201993,1,38929,38929,3,19,17,2
181,90654,0.20327847013114608,0.7604533701570703,7,75600,81194,3,13,11,2
182,91126,0.1268367302453024,0.762365263642721,2,38303,77845,3,19,16,3
183,91615,0.37523904888353854,0.760723820532456,6,91019,89131,4,21,19,2
184,92268,0.2873232544468057,0.7620447080016506,3,70656,39481,3,18,16,2
185,92709,0.3038801347285637,0.7627068495057004,4,24027,81092,3,19,18,1
186,93119,0.12591825934047113,0.7623379885745175,2,38929,61436,3,19,18,1
187,93658,0.20285028980012712,0.7584661388578674,1,38303,70092,4,20,19,1
188,94242,0.14491173160551024,0.7623724748495456,3,38303,65782,3,19,17,2
189,94983,0.13448672159255717,0.7595770679974377,7,70092,54455,4,21,20,1
190,95462,0.15608163360068428,0.7603153083057975,7,38929,36043,3,19,17,2
191,95815,0.1452264015808195,0.7625352009382742,6,36043,94153,3,18,18,0
192,96421,0.1545464570970571,0.7624111713282781,6,38929,38303,2,13,12,1
193,96575,0.11665590222151448,0.7619537811823534,6,60700,75600,3,18,17,1
194,97090,0.18405092872575793,0.7617892900949932,4,72497,54482,4,21,18,3
195,97986,0.20744642176668254,0.7624209579732499,3,23182,70656,2,11,11,0
196,98254,0.24262373695645395,0.7622809947465922,7,46169,37950,4,21,20,1
197,98937,0.17406952946814977,0.7623228976366799,3,38303,39481,3,19,17,2
