generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,1,inf,0.16536744679522397,1,-1,-1,3,18,18,0
1,880,2.478792898778462,-0.039143518691074124,2,10,242,4,19,18,1
2,1095,2.6558912053139205,-0.07450104544333634,1,1,1,3,18,18,0
3,1763,2.0716445324046444,0.05064944349122524,2,550,1271,3,18,17,1
4,2042,2.4134982801163463,0.1888823356893456,4,671,1271,3,18,18,0
5,2927,2.1752558487609948,0.1707533340783378,2,10,1271,3,18,18,0
6,3234,2.4720022360514715,-0.044834453773583284,4,2505,1,3,18,18,0
7,3864,2.475538221906189,-0.04741964650236842,4,2505,2505,3,18,17,1
8,4453,2.5472314964999687,-0.05264288475179659,4,3052,2505,3,14,13,1
9,4919,2.4942342461605884,-0.046683766922189174,1,2831,2831,3,18,18,0
10,5279,2.504880845186298,0.3311640819625814,3,1271,3320,2,10,10,0
11,5834,2.40400654156241,0.21550837948960896,2,2505,1,3,18,18,0
12,6454,2.229473013107507,-0.053602294788935086,4,2505,4643,4,20,19,1
13,6591,2.1291723301508143,-0.057695782805785086,4,2831,1,2,11,11,0
14,7257,2.163206705248996,0.37023611769653075,3,6756,1,4,21,20,1
15,7727,2.8456883988915496,-0.03329768450209258,2,1524,1,2,11,11,0
16,8477,2.2749193571266346,-0.07853342769817143,1,7346,1,4,15,13,2
17,8712,2.415958279883467,-0.02141456206103292,1,2831,7346,3,18,18,0
18,9253,2.419120292900942,-0.01999681167997273,4,6756,1,2,12,11,1
19,9553,2.6431312641062226,-0.037748227086755425,1,2831,1,3,19,19,0
20,10125,2.1844305602478307,-0.016025572541648818,3,6756,8728,3,18,18,0
21,10578,2.1157934526981266,0.3625806478426476,1,9611,7346,2,8,8,0
22,11425,2.5159505527826247,-0.042943895637136416,4,10631,6756,3,13,12,1
23,11978,2.7169255452382424,-0.04232667543057757,4,9175,9175,3,13,12,1
24,12073,2.5117342329309262,-0.044325434584653926,4,9175,1,3,19,19,0
25,12513,2.5022802547207403,-0.05038427227422326,4,12427,6756,3,13,11,2
26,13016,2.2373497264660513,-0.04609879951658596,4,12706,8728,3,18,18,0
27,13984,2.4715251693272835,0.11451095432811076,4,12118,1,3,14,13,1
28,14098,2.64144816483732,-0.049520359172744215,4,11257,6756,2,11,11,0
29,14571,2.4051979257274345,0.2704012728856592,4,14426,1,3,13,12,1
30,15015,2.457905972759014,-0.05247757448223878,2,14797,8870,2,11,10,1
31,15709,2.2662905362020784,0.1479235492528115,3,14735,14888,3,18,18,0
32,16355,2.4062273164236254,0.3762564821079532,1,10631,1,3,18,18,0
33,16739,2.2629891086941245,-0.07452442649084612,2,8870,1,3,14,13,1
34,17384,2.361253801355823,0.10979002219052038,2,15032,14797,3,18,18,0
35,17664,2.0775670222963916,0.17129961406502822,3,16511,17455,3,13,12,1
36,18101,2.227674675820369,0.6193598870310255,4,16820,16749,2,11,10,1
37,18811,2.0287573391187617,0.7508391019360581,4,16511,14797,3,13,12,1
38,19391,2.4565825482883468,-0.06575030096368602,2,6173,1,4,18,17,1
39,19755,2.3102565465376617,-0.07420466844215036,2,2153,1,3,19,19,0
40,20010,2.4659440806104476,0.1558106731824246,4,13109,14797,3,18,18,0
41,20719,2.380085094491948,-0.03803221200075974,4,20116,14797,2,11,11,0
42,21340,2.675431141746121,-0.3675984162775116,3,14888,1,3,17,17,0
43,21550,1.9845358731705793,0.3268065982652093,4,20303,1,3,15,13,2
44,22260,2.024871668917951,0.12220055751773326,4,14797,1,3,18,18,0
45,22907,2.231509818939664,0.7613151710590442,3,21656,1,2,12,11,1
46,23361,2.814476425428803,-0.07687517994151755,3,21479,1,3,13,12,1
47,23815,2.4624301540025897,-0.04476645875697608,3,10631,6173,3,18,17,1
48,24389,2.3530104346157183,-0.07278193335284622,3,18767,1,3,17,17,0
49,24587,2.520377972697154,-0.048321216683432464,3,14797,1,3,18,18,0
50,25352,2.2117880274880446,0.3343822675715616,3,19119,16820,4,20,19,1
51,25822,2.386055659917889,-0.04614234751475936,3,14648,14797,2,11,11,0
52,26080,2.7974406574199153,0.4606684972859905,4,10631,25122,3,15,15,0
53,26739,2.5800205591422563,0.4567376616130392,4,25122,1,3,18,18,0
54,27499,2.868304198795029,0.4583235218228278,2,17455,8728,3,14,14,0
55,27671,2.1090083085039617,-0.05160255903577906,2,26377,1,3,14,14,0
56,28163,2.478504673418173,-0.07582439341810539,2,2153,1,4,16,14,2
57,28613,2.8937266721107635,-0.05243247727512507,2,18543,8728,2,11,11,0
58,29150,2.3192500280611825,-0.04647317194351491,4,18767,14797,3,19,18,1
59,29513,2.954367370644289,-0.053152729948852895,2,26377,25122,3,15,15,0
60,30228,2.4040110863638664,0.25509139577935197,1,1,1,3,15,15,0
61,30662,2.3240811971670756,-0.04831243658636275,3,26377,1,3,18,18,0
62,31113,2.3200191874943914,0.118416115154078,2,25122,8728,2,10,9,1
63,31670,2.255842284225298,-0.4266998163408688,3,28559,17455,3,18,17,1
64,32081,2.4825456827466668,-0.04107313142216385,4,25122,1,3,14,14,0
65,32547,2.703911210857515,-0.04510765527653459,3,26377,1,3,17,17,0
66,33415,2.184418686817328,-0.0521039747629865,3,8728,1,2,10,10,0
67,33647,2.1887684622316796,-0.04043127049538127,2,32118,4636,3,19,18,1
68,34272,2.2151767578781216,0.13241265929967808,3,32794,1,2,12,12,0
69,34683,2.917324107344344,-0.0523877861932792,3,19119,8728,3,14,14,0
70,35055,2.267448219671008,0.35763072849996863,2,32794,1,3,15,14,1
71,35950,2.351578617870584,-0.048263041474149004,3,32794,26377,3,13,12,1
72,36318,2.2186549466825927,-0.04423924414496363,3,30130,32118,3,18,18,0
73,36718,2.13300143743165,-0.05223441503662753,3,25663,26377,3,14,14,0
74,37121,2.1328580950735225,-0.01828251018219168,3,18767,1,3,19,19,0
75,37981,2.1400189662121516,0.44144612212364165,3,8728,19360,3,14,13,1
76,38200,2.4147848757304415,0.0005380399686812381,3,10631,8728,3,18,18,0
77,38731,2.46381932406348,0.19974573832169554,3,32118,1,3,18,18,0
78,39497,2.3798415664733854,0.16067566761508384,3,32118,1,3,19,17,2
79,39830,2.405726989893218,-0.04749475476845676,2,32118,1,3,13,13,0
