generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
1,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
2,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
3,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
4,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
5,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
6,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
7,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
8,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
9,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
10,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
11,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
12,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
13,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
14,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
15,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
16,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
17,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
18,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
19,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
20,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
21,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
22,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
23,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
24,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
25,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
26,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
27,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
28,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
29,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
30,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
31,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
32,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
33,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
34,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
35,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
36,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
37,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
38,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
39,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
40,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
41,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
42,1,inf,0.16536744679522397,,-1,-1,3,18,18,0
