generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,93,1.0380858832754365,0.7240061720068204,2,-1,-1,3,18,18,0
1,964,0.9075064180695669,0.7528534892742016,3,327,93,4,19,18,1
2,1271,0.7780184219288097,0.761092062712685,3,964,10,3,18,18,0
3,1514,1.4061882001412316,0.7609540045140938,3,1055,1271,3,18,17,1
4,2097,1.110707064021951,0.7567713129374694,3,1706,1271,3,18,18,0
5,2822,0.9224517012222636,0.7595322838010673,3,1271,2153,3,18,18,0
6,3029,0.7965503567627643,0.7594748123007675,3,2831,1271,3,18,18,0
7,3644,2.0594221925237965,0.7565773028819667,3,1524,1524,3,18,17,1
8,4144,1.1106886906667597,0.7603560850855728,1,3320,3132,3,14,13,1
9,4698,1.0187080711642857,0.7533483106159665,2,1271,1524,3,18,18,0
10,5257,1.3291734824452381,0.7606259018109777,2,4636,1271,2,10,10,0
11,5958,1.0146738973632201,0.7616017692069239,2,2153,1271,3,18,18,0
12,6466,0.8863502262215712,0.7608759714159868,1,5768,1,4,20,19,1
13,6996,0.9945368134725902,0.7606069207105516,3,5958,1,2,11,11,0
14,7245,0.822534389512429,0.7600245129760376,1,6836,6907,4,21,20,1
15,7845,0.7929840481536576,0.7609134886857167,1,7346,1,2,11,11,0
16,8484,0.9359651417555123,0.7598281480863982,1,7346,1,4,15,13,2
17,8728,1.299116691980614,0.76262206031847,3,5958,1,3,18,18,0
18,9140,0.8523053673975609,0.7595955506201005,4,6756,1,2,12,11,1
19,9570,1.5034300742913425,0.7607470603499538,3,4890,8728,3,19,19,0
20,10180,1.0426401318879042,0.7523248685295947,3,292,9854,3,18,18,0
21,10982,0.9166133867106845,0.7514945353210276,2,10216,1,2,8,8,0
22,11132,0.9019164079119087,0.7581198042682536,3,292,8870,3,13,12,1
23,11938,1.4753993323636143,0.7589103692123095,3,4636,8728,3,13,12,1
24,12466,0.8752662088861871,0.7580405989687701,4,2153,11257,3,19,19,0
25,12761,1.3272138245249983,0.7581069819706205,3,12204,8728,3,13,11,2
26,13329,1.2148186665627931,0.7612102593767714,2,8870,1,3,18,18,0
27,13521,0.9639380709779797,0.7616298113831632,4,11257,1,3,14,13,1
28,14128,0.8818644245114501,0.7613918373783816,2,8870,1,2,11,11,0
29,14797,1.5677383761060137,0.7619311473823722,4,12210,12210,3,13,12,1
30,15080,0.833925124764791,0.7614807402210798,2,14701,13812,2,11,10,1
31,15868,1.4163724846053851,0.7619382736591325,2,8728,1,3,18,18,0
32,16180,1.281382514782127,0.7571155432571894,2,8728,1,3,18,18,0
33,16705,0.9232176781553905,0.7585215219995589,2,8870,8870,3,14,13,1
34,17221,0.9576498229185738,0.7574366365153227,2,9854,8870,3,18,18,0
35,17564,0.9406108297567893,0.7586863208153106,3,8870,1,3,13,12,1
36,18167,1.0008143945687595,0.7616411751380521,3,8870,2153,2,11,10,1
37,18517,1.7933811905473718,0.7616314494217364,4,14797,14797,3,13,12,1
38,19257,0.7972762679434866,0.751718478060539,3,14888,18767,4,18,17,1
39,19926,1.8978662537784776,0.7470903051591737,4,14797,1,3,19,19,0
40,20095,1.2432049145071116,0.7615024028745118,2,2153,8728,3,18,18,0
41,20747,0.923858898106674,0.7542015827224134,3,18543,1,2,11,11,0
42,21120,1.386807078603023,0.7410698822540032,2,8728,2153,3,17,17,0
43,21757,1.343114888367298,0.7551492364570797,4,19823,14625,3,15,13,2
44,22037,1.008019734541855,0.7569098001100162,4,14625,1,3,18,18,0
45,22907,2.231509818939664,0.7613151710590442,3,21656,1,2,12,11,1
46,23499,1.0877779823754878,0.7609888486280584,3,22905,16820,3,13,12,1
47,23676,1.9297025254950015,0.7583376499172927,3,8728,1,3,18,17,1
48,24144,1.2820737056740976,0.7575901881762889,4,8728,14625,3,17,17,0
49,24701,1.1074224612597836,0.7552911567117144,2,19119,8728,3,18,18,0
50,25267,1.879773889511516,0.76104803264291,3,21146,19360,4,20,19,1
51,25891,1.771188143572067,0.7529630670640638,2,20116,17455,2,11,11,0
52,26223,1.0531850737936836,0.7587177683266715,3,23274,18543,3,15,15,0
53,26971,1.336383787545485,0.760792566450822,2,8728,1,3,18,18,0
54,27345,1.4006274801584058,0.7599445836918577,2,10631,19360,3,14,14,0
55,27844,1.7351037375554401,0.7592198417022624,3,26377,1,3,14,14,0
56,28495,1.7046757021652788,0.7570529917544865,3,26377,1,4,16,14,2
57,28584,1.9935188676892994,0.7548542025741753,3,18543,26377,2,11,11,0
58,29286,1.3728526482743655,0.7555765654132205,2,8728,18767,3,19,18,1
59,29695,1.440817488300893,0.7510853667319192,2,19360,2153,3,15,15,0
