generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,1,70.77083670269931,0.3798422994321212,1,-1,-1,3,18,18,0
1,505,86.64040324612597,-0.03117147201810861,5,180,1,3,18,17,1
2,1267,91.45443065859402,-0.4299721100872265,1,1,6,2,10,10,0
3,1696,82.28803546092587,-0.42395680835030103,5,1115,620,2,10,10,0
4,2001,88.1196036829662,0.1367514858490628,2,1502,1005,3,18,18,0
5,2501,82.3876958155589,0.13441805570859516,5,620,1,3,18,18,0
6,3216,186.85991608419275,-0.4294468679378851,5,505,1005,3,18,18,0
7,3501,76.0130827469033,0.004547520789394974,3,1504,1504,2,10,10,0
8,4360,78.52764956189388,-0.4346698776602372,5,1502,1501,3,18,18,0
9,4501,112.62962961737455,0.73412248646461,5,1504,620,3,18,17,1
10,5038,69.12636410007653,-0.4340087753476846,2,501,3216,3,19,19,0
11,5501,87.96539470873587,0.7293640582988973,3,5464,1001,3,18,17,1
12,6250,53.05850928541749,-0.10519753505565155,5,5101,3216,3,18,17,1
13,6502,135.16441734142302,-0.4338673147668538,5,5101,3216,3,19,18,1
14,7002,74.21403761178041,0.7573494698340476,5,5464,6368,2,13,13,0
15,7519,61.04102679081768,-0.1106764755673236,5,3216,6003,2,11,11,0
16,8015,119.13164194240136,-0.4348302041429833,5,5101,6502,3,18,18,0
17,8522,107.4366454861592,-0.4289411407291698,5,3216,6502,4,21,21,0
18,9355,38.489714713723856,-0.23559032225861629,5,6502,3216,3,18,18,0
19,9528,100.08163011405804,-0.36941840096918777,5,8203,6502,2,10,9,1
20,10094,49.05809150784786,-0.15310342926204196,5,8203,6368,4,17,15,2
21,10555,56.32757368796089,-0.1452484012626261,5,8203,6368,4,21,21,0
22,11180,59.000223728923395,-0.09040413674682629,5,8203,6001,3,15,14,1
23,11502,87.01013669561031,-0.3627140283196766,5,8203,6368,2,11,11,0
24,12444,52.793910071756656,0.04084026809275385,4,3216,2001,2,11,11,0
25,12508,68.92062839077784,-0.29112433457964176,5,8203,11999,2,10,9,1
26,13478,53.375489315416296,-0.13782482849607966,5,12510,4002,2,11,11,0
27,13941,45.9661626115741,-0.19177920615880095,5,3216,6502,3,15,14,1
28,14434,42.34997070976724,-0.21911731961089537,5,12510,8015,2,11,11,0
29,14650,71.64075351664401,-0.3826970979689234,5,14071,3216,2,11,11,0
30,15003,57.75030379326348,0.06509900986632254,3,10009,14650,3,18,18,0
31,15877,41.501706495581274,-0.22916442961043965,5,13009,14501,3,19,19,0
32,16165,52.736963466746765,-0.028607659872336752,5,11999,6001,2,11,11,0
33,16503,54.48487381235167,-0.17690527247070242,5,13465,11999,2,10,10,0
34,17090,39.848625515591706,-0.22849386168877853,2,14071,12508,5,23,21,2
35,17570,52.518714211421134,-0.07547463965176707,5,15507,8522,5,23,22,1
36,18007,55.38645556833406,-0.27487974611265287,2,6534,8015,3,13,12,1
37,18503,40.85611288539003,0.13676224232364187,1,2501,7001,2,12,12,0
38,19015,59.976894452253646,-0.2304762487763501,1,18838,8522,2,12,12,0
39,19614,53.10658176493031,-0.12964299325432824,5,18838,6001,3,20,20,0
40,20246,39.78526342645661,-0.049644540354403896,5,18838,2503,2,11,11,0
41,20502,37.143565392486714,0.13305887323613666,3,13465,13465,2,12,12,0
42,21369,44.36980017888928,-0.20980635924768953,5,18838,14650,5,23,22,1
43,21502,40.152116252082344,-0.21408880134536287,5,14650,8015,3,19,19,0
44,22001,37.295115556435626,0.09814106648048453,3,12508,9604,3,12,10,2
45,22878,44.866487356395766,-0.11699532849949877,5,22223,14002,3,18,18,0
46,23039,46.79550756859087,-0.16741925294785018,1,22223,6001,4,15,15,0
47,23525,51.04705589933744,-0.14334863985222848,1,6001,10501,3,20,20,0
48,24001,58.73883196919521,-0.27495389070963544,5,23406,3216,4,21,19,2
49,24583,51.26497246859337,-0.030574478810569152,5,23406,8001,4,20,20,0
50,25308,54.44756969865491,-0.0257439130686387,5,23406,3025,3,14,14,0
51,25826,51.732605760757785,-0.07512760982583015,1,3216,8015,5,24,22,2
52,26005,47.70932820083901,-0.13363746821669742,1,23406,2503,5,24,23,1
53,26592,25.933832584493327,-0.2934022139913565,3,26402,21425,6,26,25,1
54,27028,44.61474531059127,-0.12248380253625563,3,26402,12508,5,23,23,0
55,27509,61.95589363289641,-0.050664645809807486,2,15502,13001,3,21,21,0
56,28004,46.517888442157975,-0.18465296076491003,1,18007,19015,5,24,22,2
57,28727,34.7216953399594,-0.20142583122487911,5,24001,8015,2,11,11,0
58,29471,35.800703961022926,-0.20323746182754168,5,24001,9528,2,11,11,0
59,29585,37.75263604083026,-0.20104599203380194,3,26402,29413,2,13,13,0
60,30209,32.07796643781591,-0.17904630976816724,1,26402,1,5,23,22,1
61,30723,37.49735332684249,-0.23074176753559847,4,13001,15502,2,10,10,0
62,31175,34.31508524073786,-0.20156953905934938,3,21425,20001,5,23,22,1
63,31890,36.20966546710945,-0.17534219272879806,5,21002,24001,5,23,22,1
64,32022,36.09257193833795,-0.22904610682950452,2,31890,9528,5,23,22,1
65,32948,33.46753818122765,-0.24487153477799387,4,31890,6502,5,23,22,1
66,33028,39.18867044787859,-0.19584235349265508,5,16010,3025,4,16,16,0
67,33525,32.777520625322104,-0.19240897571962157,1,33028,24001,5,23,22,1
68,34076,47.3081696259333,-0.14773975213557208,1,13501,6001,6,25,23,2
69,34968,42.73175432720134,-0.13968036837376366,1,22501,3502,2,11,11,0
70,35187,44.94991901514702,-0.13975934550591665,2,34438,6502,5,23,22,1
71,35939,50.793425483114405,-0.09135112831309408,2,2002,3216,5,24,24,0
72,36048,41.0374166003407,-0.16944594272488,4,29502,8001,2,11,11,0
73,36590,40.710631818321694,-0.15553699193647555,2,34438,9528,5,22,21,1
74,37251,36.00027051083351,-0.2123321312391755,2,15003,6503,5,23,22,1
75,37506,28.250211948590525,-0.22303529670832256,4,34438,14650,4,15,15,0
76,38492,36.09819659889759,-0.13838236609043994,4,3025,16003,5,23,22,1
77,38855,33.7850100276949,-0.2535168686491801,2,34438,33028,5,23,22,1
78,39005,38.3332328187875,-0.1811346251979207,1,34438,10501,5,24,23,1
79,39859,37.15190394816998,-0.17858852445576492,2,34438,6502,2,12,12,0
80,40370,49.25663201536254,-0.093128638216505,2,34438,21016,5,23,22,1
81,40549,46.46250240269269,-0.07845683629095494,3,28145,3001,5,24,23,1
82,41177,43.1086525216713,-0.13426613469730303,5,34438,10502,3,19,18,1
83,41898,34.365899268191676,-0.16254461075785193,5,39501,2503,3,14,14,0
84,42306,34.61209409318497,-0.21568513414532708,1,10002,15003,6,24,21,3
85,42502,34.15789069631072,-0.18651690432464574,1,8501,15507,5,23,22,1
86,43075,22.709024357674533,-0.29121548281785803,5,42003,33028,3,19,19,0
87,43612,36.08531062106284,-0.19713557162852663,3,34438,12007,5,23,22,1
88,44155,32.142224280856716,-0.14939470729144153,5,5506,27509,2,12,11,1
89,44866,22.862411143440763,-0.22249364213286177,4,12503,33028,5,24,22,2
90,45104,32.85209653362481,-0.16831833134473528,4,14650,39001,2,11,11,0
91,45630,47.42387057630614,-0.1053701442879005,2,6001,20502,4,21,19,2
92,46428,43.881977191410435,0.1007565924564445,4,3216,27509,5,23,21,2
93,46504,38.88021375765627,-0.21183602364522086,4,44046,39001,2,11,11,0
94,47364,34.24026227367066,-0.22899713116760986,4,19015,12508,5,26,25,1
95,47990,33.319276598782466,-0.16420744308009785,5,44155,24001,5,24,22,2
96,48412,37.033000432318254,-0.13779744748724154,5,44155,3216,6,27,24,3
97,48609,30.017034605715047,-0.06626640706758588,4,6,1005,4,21,20,1
98,49015,26.490326756492763,-0.11896403352973571,4,44155,8015,2,10,9,1
99,49864,41.182925909667624,-0.10294670310348267,2,46504,3001,4,20,19,1
100,50393,20.20816092327924,0.17916193093005003,5,28502,6534,5,24,22,2
101,50655,24.2274789809969,-0.2628599142481656,4,49015,12508,2,12,12,0
