generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,177,109.48143487063258,0.46256828212308765,,-1,-1,3,18,18,0
0,4,97.82352203916228,-0.068367174794172,,-1,-1,3,18,18,0
0,1,69.10165230326496,0.16536744679522397,,-1,-1,3,18,18,0
1,177,106.11305770161802,0.46256828212308765,,-1,-1,3,18,18,0
1,4,66.64977440903981,-0.068367174794172,,-1,-1,3,18,18,0
1,502,66.62047606091726,-0.06805129324588266,,256,256,3,18,17,1
1,501,65.56947085094025,0.34089037062939304,,256,256,3,18,18,0
1,1,62.21085979796653,0.16536744679522397,,-1,-1,3,18,18,0
2,1001,168.29048516049968,-0.2825207713633245,,570,256,3,19,19,0
2,177,112.15539384758797,0.46256828212308765,,-1,-1,3,18,18,0
2,1002,96.91112729714455,0.4775270568535148,,655,256,3,18,18,0
2,4,86.15063829082885,-0.068367174794172,,-1,-1,3,18,18,0
2,502,86.11228366902907,-0.06805129324588266,,256,256,3,18,17,1
2,501,78.80602275843893,0.34089037062939304,,256,256,3,18,18,0
2,1,76.5669487231231,0.16536744679522397,,-1,-1,3,18,18,0
3,1749,184.45124428578208,-0.43134622860950267,,1362,1019,3,18,18,0
3,1001,162.47542893108437,-0.2825207713633245,,570,256,3,19,19,0
3,1513,161.62328399529486,0.7413244518646557,,1019,1362,3,18,18,0
3,177,119.09285975983575,0.46256828212308765,,-1,-1,3,18,18,0
3,1002,106.89744651948102,0.4775270568535148,,655,256,3,18,18,0
3,4,97.74596414322038,-0.068367174794172,,-1,-1,3,18,18,0
3,502,97.70350563952361,-0.06805129324588266,,256,256,3,18,17,1
3,501,94.42262803498498,0.34089037062939304,,256,256,3,18,18,0
3,1501,87.63577723261474,0.10820692262145824,,1362,1362,3,18,18,0
3,1,87.01486094725166,0.16536744679522397,,-1,-1,3,18,18,0
4,1749,178.6368623461376,-0.43134622860950267,,1362,1019,3,18,18,0
4,1513,161.15797999148637,0.7413244518646557,,1019,1362,3,18,18,0
4,1001,157.92634720764306,-0.2825207713633245,,570,256,3,19,19,0
4,177,117.63059976405957,0.46256828212308765,,-1,-1,3,18,18,0
4,2003,106.3830000288553,-0.1176918683898865,,1362,1362,3,18,18,0
4,1002,104.32651259276349,0.4775270568535148,,655,256,3,18,18,0
4,4,90.32201470224179,-0.068367174794172,,-1,-1,3,18,18,0
4,502,90.27700916846186,-0.06805129324588266,,256,256,3,18,17,1
4,501,88.12936474288549,0.34089037062939304,,256,256,3,18,18,0
4,2001,86.99694984697605,0.3452052532267709,,1001,1749,3,19,19,0
4,1501,83.21214480186921,0.10820692262145824,,1362,1362,3,18,18,0
4,1,82.19609997127509,0.16536744679522397,,-1,-1,3,18,18,0
5,1749,177.77257010562633,-0.43134622860950267,,1362,1019,3,18,18,0
5,1513,157.63752350023637,0.7413244518646557,,1019,1362,3,18,18,0
5,1001,154.95153108344024,-0.2825207713633245,,570,256,3,19,19,0
5,177,113.41994297067806,0.46256828212308765,,-1,-1,3,18,18,0
5,2003,102.97064014027211,-0.1176918683898865,,1362,1362,3,18,18,0
5,1002,101.71806225774523,0.4775270568535148,,655,256,3,18,18,0
5,2502,97.16039020532631,0.1367581986828464,,2478,2478,3,19,19,0
5,2501,91.90831517704535,0.153250980568972,,1001,177,3,18,17,1
5,4,89.41422228746856,-0.068367174794172,,-1,-1,3,18,18,0
5,502,89.36745342516951,-0.06805129324588266,,256,256,3,18,17,1
5,501,85.35713037084614,0.34089037062939304,,256,256,3,18,18,0
5,2001,83.91983454142266,0.3452052532267709,,1001,1749,3,19,19,0
5,1501,79.43251653146673,0.10820692262145824,,1362,1362,3,18,18,0
5,1,77.38083467598085,0.16536744679522397,,-1,-1,3,18,18,0
6,1749,174.38250043770822,-0.43134622860950267,,1362,1019,3,18,18,0
6,1001,152.55210380376647,-0.2825207713633245,,570,256,3,19,19,0
6,1513,137.05917905945117,0.7413244518646557,,1019,1362,3,18,18,0
6,3083,132.7377156887176,0.7361074953378678,,1362,1501,3,18,18,0
6,177,98.43510324190946,0.46256828212308765,,-1,-1,3,18,18,0
6,2003,96.8162511821158,-0.1176918683898865,,1362,1362,3,18,18,0
6,2502,96.4182334601845,0.1367581986828464,,2478,2478,3,19,19,0
6,1002,88.50116710198017,0.4775270568535148,,655,256,3,18,18,0
6,4,81.17393380485652,-0.068367174794172,,-1,-1,3,18,18,0
6,502,81.12587183497678,-0.06805129324588266,,256,256,3,18,17,1
6,3011,80.76463811663099,-0.06380056015950684,,2740,1749,3,19,18,1
6,2501,79.42398339955078,0.153250980568972,,1001,177,3,18,17,1
6,501,78.55772706290672,0.34089037062939304,,256,256,3,18,18,0
6,3001,75.85398325529732,0.08029186058488616,,2740,501,3,18,18,0
6,2001,75.16748786831154,0.3452052532267709,,1001,1749,3,19,19,0
6,1501,70.3971109398394,0.10820692262145824,,1362,1362,3,18,18,0
6,1,68.99153643630281,0.16536744679522397,,-1,-1,3,18,18,0
7,1749,163.29540150876312,-0.43134622860950267,,1362,1019,3,18,18,0
7,1001,142.92798776996136,-0.2825207713633245,,570,256,3,19,19,0
7,1513,118.84048394853434,0.7413244518646557,,1019,1362,3,18,18,0
7,3083,114.51902057780077,0.7361074953378678,,1362,1501,3,18,18,0
7,2502,89.88335855136314,0.1367581986828464,,2478,2478,3,19,19,0
7,2003,85.72915225317075,-0.1176918683898865,,1362,1362,3,18,18,0
7,177,80.21640813099266,0.46256828212308765,,-1,-1,3,18,18,0
7,1002,71.7625724501367,0.4775270568535148,,655,256,3,18,18,0
7,4,70.08683487591146,-0.068367174794172,,-1,-1,3,18,18,0
7,502,70.03877290603171,-0.06805129324588266,,256,256,3,18,17,1
7,3011,69.67753918768592,-0.06380056015950684,,2740,1749,3,19,18,1
7,501,69.2966705842609,0.34089037062939304,,256,256,3,18,18,0
7,3501,66.52873686549196,0.007261186893664655,,2740,501,2,13,13,0
7,2501,65.44237195554375,0.153250980568972,,1001,177,3,18,17,1
7,2001,62.61179612408994,0.3452052532267709,,1001,1749,3,19,19,0
7,3550,62.13046736459008,0.3507594384623551,,2501,3083,3,18,18,0
7,3001,61.32107678501581,0.08029186058488616,,2740,501,3,18,18,0
7,1501,57.64969083601465,0.10820692262145824,,1362,1362,3,18,18,0
7,1,56.616666103695906,0.16536744679522397,,-1,-1,3,18,18,0
8,1749,153.0316390460604,-0.43134622860950267,,1362,1019,3,18,18,0
8,1001,134.61655836834188,-0.2825207713633245,,570,256,3,19,19,0
8,1513,114.09097623067395,0.7413244518646557,,1019,1362,3,18,18,0
8,3083,109.76951285994036,0.7361074953378678,,1362,1501,3,18,18,0
8,2502,82.67315846428522,0.1367581986828464,,2478,2478,3,19,19,0
8,177,75.46690041313225,0.46256828212308765,,-1,-1,3,18,18,0
8,2003,75.46538979046805,-0.1176918683898865,,1362,1362,3,18,18,0
8,1002,67.01306473227629,0.4775270568535148,,655,256,3,18,18,0
8,2501,63.0617171866534,0.153250980568972,,1001,177,3,18,17,1
8,4006,62.13746723692106,0.3497980940057669,,1513,2502,3,18,18,0
8,501,60.256505510689095,0.34089037062939304,,256,256,3,18,18,0
8,3501,59.862503514168495,0.007261186893664655,,2740,501,2,13,13,0
8,4001,59.16333867341438,-0.04473283418138788,,2740,3011,3,19,18,1
8,4,58.465265911780754,-0.068367174794172,,-1,-1,3,18,18,0
8,502,58.419524302566444,-0.06805129324588266,,256,256,3,18,17,1
8,3550,58.12493517555204,0.3507594384623551,,2501,3083,3,18,18,0
8,3011,58.05162927825243,-0.06380056015950684,,2740,1749,3,19,18,1
8,2001,56.45104752092712,0.3452052532267709,,1001,1749,3,19,19,0
8,3001,56.108709442023226,0.08029186058488616,,2740,501,3,18,18,0
