generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,256,62.35193715899761,0.7613664806470559,1,-1,-1,3,18,18,0
1,681,19.800219869378473,0.7558179164103499,5,268,177,2,14,14,0
2,1362,17.850825076123826,0.7627747933259518,3,570,502,3,18,18,0
3,1841,14.031701018083139,0.7603185415214554,6,501,502,3,18,18,0
4,2199,17.741755617295482,0.7603642882046431,6,1019,1002,3,18,18,0
5,2586,35.10042234902282,0.751151229312053,6,1362,1002,3,18,18,0
6,3218,32.19382231691749,0.7559183355102309,6,1362,1362,3,18,18,0
7,3781,34.82572511359042,0.7621279332757271,6,1362,1362,3,17,17,0
8,4328,40.502015173010825,0.7567632130868462,3,2740,1001,3,18,17,1
9,4508,34.521786825993374,0.7503217767254146,3,177,3501,4,20,19,1
10,5429,21.476943777790108,0.7612740137938245,2,501,3083,3,18,18,0
11,5994,27.762583766476872,0.7562643210192771,6,1362,1362,4,20,19,1
12,6471,32.23127592742266,0.7610771799075204,6,1362,1362,4,20,18,2
13,6898,13.198811803883824,0.7605651249929749,3,6201,501,3,18,18,0
14,7007,23.52831929654366,0.7613113914797869,2,5804,6503,3,18,16,2
15,7709,21.319768959773523,0.7599023044565659,2,7053,7053,3,18,17,1
16,8483,23.873808544461067,0.7607393393942583,3,501,3001,2,13,13,0
17,8648,33.19057612377832,0.7604095867004832,6,2003,7001,3,18,18,0
18,9219,10.267454126066436,0.7575506117209221,3,5505,5001,4,20,19,1
19,9514,30.212183999546323,0.7602298097754643,6,9375,1362,3,20,19,1
20,10244,18.96257156271973,0.7567417187671069,3,5505,8049,3,18,18,0
21,10501,63.749227741281445,0.7558548984265475,6,1362,1001,3,18,17,1
22,11062,20.38971187420888,0.759778332039316,6,1362,1362,4,21,20,1
23,11595,8.652800835889776,0.7627222439276917,6,3550,8053,2,14,14,0
24,12142,13.543613755787458,0.7616146867219836,6,1362,1362,3,18,18,0
25,12920,21.753105294552878,0.7595975148347178,3,11091,8509,4,20,20,0
26,13111,14.545498887870288,0.760978646125699,6,1362,1749,3,18,18,0
27,13509,13.772830859688609,0.761201156573509,6,9375,13007,3,20,20,0
28,14462,24.272553687915078,0.7620964676599336,6,9375,6503,3,18,16,2
29,14509,45.76383288014573,0.7596774148605782,3,1362,11091,3,19,18,1
30,15247,20.511027124734955,0.7628287638152703,3,3083,1,3,18,18,0
31,15935,14.247926179701635,0.7606521362012609,6,15247,15247,3,18,18,0
32,16466,10.888762647345988,0.7593736304367691,4,15247,4513,3,15,14,1
33,16599,23.942022289638505,0.7416628811461825,4,15247,4006,2,13,13,0
34,17040,14.194991338970329,0.7542465060010832,1,9375,16501,2,14,14,0
35,17586,13.047968119208468,0.7610342340572172,1,4006,9007,4,21,20,1
36,18317,26.124306768199958,0.7482702329713814,1,7504,5001,3,15,14,1
37,18960,9.688823654966068,0.7611683634497696,1,3083,2003,4,21,20,1
38,19452,16.713424360383833,0.7579033152648101,1,9375,15247,4,20,19,1
39,19657,10.839690448795649,0.7627217723821952,4,18313,15247,2,13,12,1
