generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,167,52.822672209705196,0.7597242992849822,,-1,-1,3,18,18,0
0,100,14.932230216877423,0.2693802179203189,,-1,-1,3,18,18,0
0,70,40.97293208206733,-0.18785517596989978,,-1,-1,3,18,18,0
1,597,5.947847610048156,0.7615181438819316,,100,100,3,18,18,0
1,950,15.802723091683928,0.2813058759666229,,100,100,3,18,18,0
1,765,36.329055334577546,-0.16031004273664248,,100,19,3,18,18,0
2,597,5.947847610048156,0.7615181438819316,,100,100,3,18,18,0
2,1428,3.8672872071143845,0.285310388767744,,950,19,3,18,18,0
2,765,36.329055334577546,-0.16031004273664248,,100,19,3,18,18,0
3,597,5.947847610048156,0.7615181438819316,,100,100,3,18,18,0
3,1643,6.836464604198257,0.28646077815799736,,1428,597,3,18,18,0
3,765,36.329055334577546,-0.16031004273664248,,100,19,3,18,18,0
4,2368,10.996755505038712,0.7621946437066252,,765,1643,3,18,18,0
4,2352,10.108450332079178,0.2776729279865438,,765,597,3,17,17,0
4,765,36.329055334577546,-0.16031004273664248,,100,19,3,18,18,0
5,2368,10.996755505038712,0.7621946437066252,,765,1643,3,18,18,0
5,2684,7.272287474463513,0.28073496471975096,,1001,150,3,18,18,0
5,2761,28.770650383357125,-0.12421639172601992,,765,2368,3,19,19,0
6,2368,10.996755505038712,0.7621946437066252,,765,1643,3,18,18,0
6,2684,7.272287474463513,0.28073496471975096,,1001,150,3,18,18,0
6,2761,28.770650383357125,-0.12421639172601992,,765,2368,3,19,19,0
7,2368,10.996755505038712,0.7621946437066252,,765,1643,3,18,18,0
7,2684,7.272287474463513,0.28073496471975096,,1001,150,3,18,18,0
7,2761,28.770650383357125,-0.12421639172601992,,765,2368,3,19,19,0
8,2368,10.996755505038712,0.7621946437066252,,765,1643,3,18,18,0
8,2684,7.272287474463513,0.28073496471975096,,1001,150,3,18,18,0
8,2761,28.770650383357125,-0.12421639172601992,,765,2368,3,19,19,0
9,2368,10.996755505038712,0.7621946437066252,,765,1643,3,18,18,0
9,2684,7.272287474463513,0.28073496471975096,,1001,150,3,18,18,0
9,2761,28.770650383357125,-0.12421639172601992,,765,2368,3,19,19,0
10,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
10,5473,10.559070024023734,0.2634320175128808,,2684,2501,3,19,19,0
10,5422,44.416575105000206,-0.2029457156311314,,2508,501,3,18,17,1
11,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
11,5565,12.5320733928297,0.27024717807834775,,4501,3007,3,18,18,0
11,5816,38.14912920148724,-0.20126874142771142,,5473,5372,3,18,17,1
12,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
12,5565,12.5320733928297,0.27024717807834775,,4501,3007,3,18,18,0
12,6116,36.015943109158584,-0.15673782195508335,,2508,2508,3,14,13,1
13,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
13,6906,13.140752567560838,0.2708736935173866,,5372,3501,3,18,18,0
13,6116,36.015943109158584,-0.15673782195508335,,2508,2508,3,14,13,1
14,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
14,6906,13.140752567560838,0.2708736935173866,,5372,3501,3,18,18,0
14,6116,36.015943109158584,-0.15673782195508335,,2508,2508,3,14,13,1
15,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
15,6906,13.140752567560838,0.2708736935173866,,5372,3501,3,18,18,0
15,6116,36.015943109158584,-0.15673782195508335,,2508,2508,3,14,13,1
16,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
16,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
16,6116,36.015943109158584,-0.15673782195508335,,2508,2508,3,14,13,1
17,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
17,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
17,6116,36.015943109158584,-0.15673782195508335,,2508,2508,3,14,13,1
18,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
18,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
18,6116,36.015943109158584,-0.15673782195508335,,2508,2508,3,14,13,1
19,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
19,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
19,6116,36.015943109158584,-0.15673782195508335,,2508,2508,3,14,13,1
20,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
20,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
20,10195,26.202783011683145,-0.14363329885351167,,4184,8002,4,20,19,1
21,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
21,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
21,10195,26.202783011683145,-0.14363329885351167,,4184,8002,4,20,19,1
22,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
22,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
22,10195,26.202783011683145,-0.14363329885351167,,4184,8002,4,20,19,1
23,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
23,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
23,11591,31.255273614600917,-0.1414292305601091,,10195,4011,3,19,19,0
24,5372,8.707611922134532,0.7627067388976182,,2761,2368,3,18,18,0
24,8025,6.802973637120208,0.27509726626766523,,6906,5372,3,18,18,0
24,11591,31.255273614600917,-0.1414292305601091,,10195,4011,3,19,19,0
25,12745,9.568080176552858,0.7627085158360958,,5372,2501,3,18,18,0
25,12630,3.845624352755766,0.2816730991663162,,8025,2508,3,18,18,0
