generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,353,70.27941140307159,-0.43167565877976755,2,-1,-1,3,18,18,0
1,965,51.96165837548672,0.7539533825955418,3,204,230,3,17,17,0
2,1353,36.699034889933,-0.08681501594201436,3,920,307,3,18,18,0
3,1971,47.245765850871386,0.20017407095816442,6,1207,350,2,12,12,0
4,2039,23.516828867783534,0.6064076961356903,3,1383,1332,2,12,12,0
5,2744,23.916492637791087,-0.10560191698907424,1,1505,98,3,17,17,0
6,3176,21.580324463279375,-0.1922804521651549,1,588,1191,3,18,18,0
7,3959,43.91912658704318,0.2802219162001282,2,864,749,2,11,11,0
8,4112,33.72277548058115,0.048762569678851446,6,82,3803,3,17,17,0
9,4799,31.117347518145113,0.4194456934706254,6,4171,3718,4,20,19,1
10,5248,35.02243378542925,0.1402291839926553,4,636,885,3,19,19,0
11,5915,28.26019562994293,-0.026452963007465295,1,3324,2873,3,17,17,0
12,6259,27.35838670590781,0.19203160069354544,6,2717,4798,3,20,20,0
13,6925,21.07024240186697,-0.08950697227068265,6,588,3803,3,19,18,1
14,7464,20.79787714771116,-0.15918669738569194,2,531,802,3,17,14,3
15,7905,24.360219707228982,-0.022750221458409305,1,4281,5516,3,19,19,0
16,8208,20.785728196406698,-0.008641820926140327,1,149,1986,3,18,18,0
17,8602,20.272356296987198,-0.08102322901715886,7,4119,5248,3,18,18,0
18,9240,25.41873582493503,0.039437462894613806,2,1959,204,3,18,18,0
19,9982,22.94251490135512,0.05002450689611203,2,826,640,3,16,15,1
20,10444,38.05560595781582,0.3212716787007714,1,8992,2090,4,21,19,2
21,10680,21.478716591754964,-0.09704969065047427,1,5516,5599,4,17,16,1
22,11199,34.61486629856033,0.3119296680311124,6,3,681,4,21,20,1
23,11706,23.93705225123454,0.008369505557641656,2,2193,1049,3,19,19,0
24,12181,27.67241392090348,0.2898964259489081,2,4711,362,4,20,19,1
25,12946,20.2008531790528,-0.21321935830215602,2,528,367,2,9,9,0
26,13131,25.012925833256553,0.640659686877783,4,7180,66,2,12,10,2
27,13800,19.973762161547665,-0.11918317662950521,4,12720,3803,2,13,13,0
28,14258,19.919137351754888,-0.06291729271088721,7,12138,12227,3,19,18,1
29,14669,20.38856763495949,-0.06638870510091312,4,8419,4112,2,11,10,1
30,15433,18.92382670960522,-0.19701781526493733,4,353,1274,3,19,19,0
31,15796,21.42454959779551,-0.13383000102560066,1,98,1683,3,19,19,0
32,16184,21.11094869225762,-0.19245945098968112,5,661,374,3,19,18,1
33,16960,21.25253442252212,-0.1833240687338626,4,759,547,3,19,18,1
34,17478,18.836840643267,-0.18107843607395582,5,8263,3176,3,19,18,1
35,17746,26.13589407680592,0.03315473103021364,2,636,13131,4,21,20,1
36,18471,20.64746103643201,-0.18933054979619526,5,1040,1353,2,13,13,0
37,18565,20.933863390289655,-0.17565472164814322,6,1889,1144,3,21,19,2
38,19150,25.355432405764823,-0.006420016845931638,5,17584,15732,4,21,20,1
39,19835,21.92491766789995,-0.09490703167460218,1,1279,4112,2,12,11,1
40,20165,20.73156746502414,-0.23060975671725206,2,13494,14406,3,18,18,0
41,20834,22.09314531870307,-0.21005794534109612,4,907,691,2,11,11,0
42,21287,23.92704421155721,0.0014429904417583355,5,18057,691,2,14,14,0
43,21549,20.207927988842968,-0.18001873690702083,5,12412,9171,4,21,17,4
44,22024,19.421736368354384,-0.048477485491683854,6,640,688,4,23,22,1
45,22687,26.49425274262884,0.03771851342565131,2,617,281,2,13,12,1
46,23135,19.80183139212097,-0.08136443254672722,2,1889,586,3,16,16,0
47,23674,44.11412026456649,0.0768561215056364,5,11016,5915,3,19,17,2
48,24263,38.367330284569874,0.4679779569690932,5,11016,1158,2,11,11,0
49,24614,27.314228712106516,0.22655800002384996,5,728,2744,3,17,17,0
50,25500,35.38341776916639,0.5781060544581569,6,617,307,3,19,19,0
51,25826,59.220168637309214,-0.1011679764325919,2,7180,536,2,12,12,0
52,26257,71.98255127566402,-0.06263226090890192,2,17584,20554,3,19,19,0
53,26832,28.747269724827046,0.34411386253737414,2,10444,26257,3,19,18,1
54,27346,21.137521758850667,-0.08117499903284382,4,22098,147,3,17,16,1
55,27967,22.105744475509088,-0.20663034370969116,6,1191,700,3,18,17,1
56,28185,20.724204526020547,-0.11701301261808442,7,22908,11664,3,17,15,2
57,28918,21.45348634312332,-0.05538217729654146,1,700,3803,3,19,18,1
58,29056,20.42776813275541,-0.04880499688408456,2,586,367,4,21,20,1
59,29533,20.468244481362138,0.11517047077715732,5,1549,26257,3,15,15,0
60,30091,19.560815081146888,-0.16328482588476337,5,1093,534,2,12,11,1
61,30868,20.93793127667027,-0.13782313485202466,7,22908,3176,3,19,17,2
62,31300,21.26868874346943,-0.08036830372510094,4,1207,5248,4,21,18,3
63,31622,20.115588350732185,-0.09169022910829216,6,8419,531,2,11,11,0
64,32062,91.72587198951311,0.034379781210170234,5,15036,7180,2,12,12,0
65,32914,27.37085143663553,0.2832034124801206,5,759,32062,3,18,18,0
66,33140,21.722203124458645,-0.2068635101639067,4,20751,90,2,11,11,0
67,33629,18.580127555864845,-0.1637585243521994,2,763,1566,3,13,11,2
68,34213,50.71955856847511,0.6176746008499856,2,32062,96,2,11,11,0
69,34990,20.306199675782047,-0.12921444131537016,1,531,3803,3,17,14,3
70,35140,33.041939397958785,0.4155635579592827,5,1720,4799,3,20,20,0
71,35734,19.693261828554842,-0.05644565148271301,4,13702,11664,2,10,10,0
72,36327,53.75522784510123,-0.09260386943905123,4,25826,34213,2,11,11,0
73,36611,22.214548972712155,-0.1494624203498595,5,50,1566,2,12,12,0
74,37249,21.359940011862175,-0.14052667192361762,5,566,640,3,19,17,2
75,37879,20.142748323317594,-0.1429392514734202,7,22994,12,3,13,13,0
76,38257,20.139949611202493,-0.2330894061822047,5,26257,1226,2,11,11,0
77,38586,25.6843128201242,0.30184211670910227,4,1040,25826,2,11,11,0
78,39248,18.653090777967602,-0.11785306557363341,4,296,664,3,19,19,0
79,39795,21.04216364053801,-0.1914403094992092,7,1889,2970,3,18,18,0
80,40273,19.73395267670693,-0.11746767183668756,7,19758,688,3,20,20,0
81,40820,20.931257351701056,-0.1705846030283802,7,365,11199,3,18,18,0
82,41119,22.714068302003515,-0.02660184040258186,7,586,1341,2,13,13,0
83,41813,57.598258998400624,-0.06334457528127271,7,845,32062,3,20,19,1
84,42275,24.092858642511054,0.4640557130712994,2,640,24263,2,11,9,2
85,42831,23.56221660770357,-0.005906093722235635,6,136,1986,2,11,11,0
86,43148,34.566938809608345,0.04056729207320478,5,4799,34213,3,19,18,1
87,43644,20.96139463744702,-0.08853748178452522,4,111,36327,3,20,20,0
88,44477,48.40751887335004,0.028580219947605852,5,1353,24263,3,20,17,3
89,44796,20.245235855215412,-0.08779965663460436,6,40374,1462,3,18,18,0
90,45237,19.788158845792598,-0.13426232159122864,1,3803,98,4,20,19,1
91,45826,19.41764125514137,-0.08250682795535247,6,5516,66,3,21,20,1
92,46111,20.978872374991134,-0.08116445296397216,1,374,885,3,17,17,0
93,46512,21.81224939146731,-0.196014738294726,4,39320,1538,3,17,17,0
94,47395,41.63509223352581,0.5872620829802834,5,558,24263,5,23,21,2
95,47983,20.12520751718662,-0.1531081698150663,5,367,3803,2,12,12,0
96,48144,19.91258743380038,-0.03252499735905177,1,1778,3803,2,12,11,1
97,48971,63.14617849825951,0.4590275248018377,4,25500,534,2,13,13,0
98,49264,27.00025489368473,0.2552971912906468,2,1889,41813,3,18,15,3
99,49628,40.399466392574986,-0.06903116045051805,5,826,34213,3,19,18,1
100,50120,25.938255581653415,0.3286723610384247,5,96,48573,3,18,18,0
101,50747,26.24845886514997,0.24307212032441225,2,1366,567,3,19,19,0
102,51238,26.880903830744444,0.3217472492089467,2,32062,472,3,19,17,2
103,51989,21.100019376402127,-0.06003236119847644,6,2970,1366,3,16,16,0
104,52339,26.680127365494975,0.26327312109607376,2,374,43148,3,19,19,0
105,52643,32.40735337424344,-0.1766264729404096,2,11016,828,3,19,18,1
106,53263,27.090225223798154,0.37387914167304476,2,1366,48573,3,19,19,0
107,53857,25.21820119815077,0.25648048224827447,7,35140,41813,2,11,11,0
108,54391,19.585955637835262,-0.05710379585948428,6,20751,940,3,19,18,1
109,54518,18.673995405112837,-0.07985487547499054,2,11016,4,3,19,19,0
110,55032,20.67108420121414,-0.03850138980215476,2,1039,108,3,20,20,0
111,55769,21.01017225102317,-0.10546635000903516,3,567,828,3,19,19,0
112,56138,66.57602412223692,0.4191268177072025,4,1041,4799,3,17,17,0
113,56884,20.444836227538687,0.06987497170256983,4,9982,828,3,13,12,1
114,57043,44.09159587552436,0.14518032471782555,2,48971,359,2,10,10,0
115,57589,19.46505082541592,-0.03832578190111734,5,50067,23128,3,14,12,2
116,58079,41.078581016292716,0.15265333487576208,4,357,34213,3,20,20,0
117,58821,51.79159863471462,0.2730843254611738,4,1158,58079,2,12,12,0
118,59432,25.405166646831233,0.31141557882523585,4,48573,48573,2,11,10,1
119,59783,53.954978949043294,0.30270045308538535,4,48971,525,4,20,20,0
120,60040,36.0597515061564,0.6506900607718056,2,1200,34213,3,19,17,2
121,60567,32.81148128338843,0.08161902328902564,2,58821,9982,3,18,18,0
122,61221,20.367213509592084,-0.16726127576720987,2,17242,11016,2,10,10,0
123,61816,26.916989823975612,0.1878430467846217,1,1367,60040,3,17,17,0
124,62091,24.224214884329562,0.15489369488388993,2,688,1538,2,10,9,1
125,62904,25.37526724684749,0.2534161940440649,4,1039,34213,2,11,11,0
126,63403,83.8239222495844,0.2817190945346788,5,60250,43853,3,18,18,0
127,63992,50.628795051732716,0.49781594927515443,4,826,48573,2,11,10,1
128,64294,26.12601843749164,0.13236132381516158,2,47356,63992,3,21,21,0
129,64870,20.94423325446481,-0.2195652220520041,6,1379,60040,3,19,16,3
130,65401,34.81662570465297,-0.07599704964029454,2,32062,194,3,17,17,0
131,65872,40.360506449605445,0.07943197515648923,4,6993,59783,4,20,19,1
132,66120,31.160531482258286,-0.04978352483063146,6,63992,666,3,17,17,0
133,66921,27.39702644356496,0.2949267743061304,6,32062,1032,2,11,11,0
134,67179,64.09496401524045,0.04083496214297511,4,45702,3176,3,16,16,0
135,67750,26.16007140799035,0.18858277981381102,2,34213,1889,3,12,11,1
136,68310,44.375263269398374,0.3664896335482339,6,48573,59783,3,17,17,0
