generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,493,68.12050886837146,0.754513450594071,2,-1,-1,3,18,18,0
1,857,35.894759631568746,0.7537528988783304,1,271,201,3,19,19,0
2,1230,12.459970466721074,0.7606142771948756,3,709,597,3,18,18,0
3,1502,10.09873508981293,0.7584481775068037,4,881,1399,3,18,18,0
4,2137,10.24747918074066,0.7615939456831874,1,268,514,2,12,12,0
5,2685,7.225854541086176,0.7625987311243984,1,1205,939,4,20,19,1
6,3247,5.096638374810494,0.7609484981260544,5,1973,2557,3,19,19,0
7,3995,3.916704894204292,0.7611071061832351,1,236,954,3,15,14,1
8,4370,3.647958802152936,0.7616881414202382,2,3796,940,3,16,16,0
9,4670,6.539931127137271,0.7623191326943248,1,2858,403,3,19,17,2
10,5262,4.492452056893766,0.7625129743951291,1,1491,1973,3,20,20,0
11,5749,0.6200064301333347,0.7618210784563157,2,5014,2683,3,14,14,0
12,6164,0.80538006802461,0.7619262556029455,2,5174,541,4,21,21,0
13,6516,0.5984344197470688,0.7620578898661844,4,546,519,4,21,20,1
14,7025,0.5811840936744607,0.7612430420790197,6,6871,4795,2,12,12,0
15,7695,3.3454701981515607,0.762712893011465,2,7168,168,4,20,18,2
16,8113,0.6098142884566483,0.7612533285788281,4,5556,2,3,18,17,1
17,8893,6.390077631687732,0.7617849737219332,3,128,815,4,21,17,4
18,9017,0.5955376787154886,0.7615406970448354,2,5455,4296,3,17,17,0
19,9558,6.416215441626594,0.76159799090346,2,5682,776,5,23,21,2
20,10038,2.7826684398889343,0.7616827504598922,4,5014,6516,4,18,16,2
21,10630,2.2232802427562848,0.7626535504434376,6,6502,961,2,13,13,0
22,11054,0.744911008827781,0.7617927709222431,2,8901,5518,4,18,14,4
23,11646,0.4667644002554975,0.7615392810473491,3,496,268,4,20,19,1
24,12020,5.5099768573372225,0.7619746695912296,6,7762,11765,4,23,21,2
25,12812,0.5954633394113924,0.7617432809888421,3,11924,10769,3,18,18,0
26,13129,0.45892603446072516,0.7618867723636082,4,5342,12182,2,11,11,0
27,13643,0.8189293438414711,0.7616133607709796,2,5920,4752,2,12,12,0
28,14102,0.5246444976638239,0.7612312004928168,2,7556,6588,3,14,14,0
29,14534,0.4826216543860615,0.7621072377230053,6,12812,308,3,14,13,1
30,15351,0.6552562633124358,0.7611747872379652,2,6735,13351,3,18,17,1
31,15845,0.6489340739342571,0.7616608321849834,2,14915,9004,2,11,11,0
32,16428,0.36937984598686785,0.7612331457157638,3,8113,13677,2,12,12,0
33,16591,0.32527453572135817,0.7620395981748473,2,11862,14878,3,17,17,0
34,17493,0.8340405236391909,0.7623008986339411,4,6516,445,3,15,13,2
35,17890,0.4996316476173201,0.7617854084762729,2,6735,8271,3,17,17,0
36,18058,0.40909079362122,0.7619182097136614,4,13063,496,4,19,16,3
37,18963,3.7609516842538695,0.7623973458420531,4,10038,3534,4,20,17,3
38,19091,0.3937135140778987,0.7619674378359215,2,17890,17589,2,12,12,0
39,19824,0.42489143217554853,0.7619526244352538,3,17661,5398,4,18,16,2
40,20121,0.4584149961972239,0.7618646688643624,2,13584,16649,3,18,18,0
41,20524,0.4629793074268925,0.7613104174499326,4,18355,308,3,20,18,2
42,21279,3.8626019328254606,0.7621866526411787,4,12875,19091,3,18,18,0
43,21878,0.5854224166030018,0.7616799761368822,3,19727,14005,5,22,19,3
44,22152,0.42068898675612637,0.761453727177935,6,17393,6494,3,18,18,0
45,22918,0.8460192678600931,0.7614678696079439,6,21807,14534,3,14,13,1
46,23420,0.4034938422149857,0.7621001607259986,2,12593,21414,3,18,16,2
47,23528,0.32861909599263867,0.7612519182684133,6,17566,272,3,18,18,0
48,24472,0.4978559862329414,0.7615631544121032,4,19008,26,3,16,14,2
49,24907,1.0372567325653728,0.7624084955849976,6,6871,22893,5,22,19,3
50,25451,0.5950625040014159,0.7613838428281264,2,24249,16585,2,12,12,0
51,25834,0.7244500352387905,0.7618819113494567,2,7556,124,3,16,12,4
52,26326,0.49489336835106573,0.7619028183695159,2,13063,23420,3,18,18,0
53,26844,0.6233075404337431,0.7613988067149633,6,19856,26431,2,13,13,0
54,27498,4.1545125103156435,0.7624889149609648,3,2779,7,3,20,18,2
55,27975,1.9903606055697804,0.762021580241258,2,5342,9395,2,13,13,0
56,28453,0.6182008264759337,0.7618842850232462,2,24472,22152,3,19,19,0
57,28801,4.9574747747848384,0.7621183118925051,2,18541,4296,4,19,18,1
58,29457,6.001225455846009,0.7620445675122228,6,16591,18595,2,12,11,1
59,29942,0.7264631051336969,0.7613543794476832,2,20121,2070,2,13,13,0
60,30151,0.46876326282031494,0.761889675266431,6,12812,14534,3,18,18,0
61,30673,5.089998327518655,0.762117644774775,6,18963,40,4,19,18,1
62,31185,0.5235627631517656,0.7616304586729705,6,25451,26249,3,18,18,0
63,31638,0.7776535344950521,0.7618137538583853,4,30607,17720,4,20,15,5
64,32007,0.5734803926169325,0.7613734449621145,6,6494,28801,2,12,12,0
65,32654,0.5030112582671478,0.7615360138376415,4,31517,31517,3,18,17,1
66,33035,0.389415106782981,0.7619167835054576,4,13643,23258,3,18,18,0
67,33826,0.6668427818353838,0.7617696529745639,3,30151,20121,3,19,19,0
68,34274,0.7765743354202213,0.7618906414414198,2,17353,30607,4,21,18,3
69,34513,0.3175291564785141,0.7612569613150719,6,26249,24019,5,23,21,2
70,35452,0.6296266053233898,0.7611706376553795,6,32654,298,4,20,19,1
71,35633,0.6102936613133235,0.7615327328860514,6,19564,19564,3,14,12,2
