generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,494,105.89484163226454,-0.3817235413397433,,-1,-1,3,18,18,0
0,125,36.36323383530196,-0.050604827550229256,,-1,-1,3,18,18,0
0,323,34.768621987326426,0.7503340573265458,,-1,-1,3,18,18,0
1,893,131.00039027278706,-0.43518765253324965,,125,494,3,18,17,1
1,732,56.1797171099836,-0.05281577017936732,,494,125,3,18,18,0
1,794,43.64662547376837,0.034502099683816595,,483,163,3,18,18,0
2,893,145.46863483033624,-0.43518765253324965,,125,494,3,18,17,1
2,1064,67.28902301273872,-0.053345835075522936,,781,935,3,18,18,0
2,1244,53.40066394916149,0.031746870870636976,,893,893,4,20,18,2
2,1353,10.499808251098678,0.7437115015880549,,574,893,3,18,17,1
3,1852,168.6524914669938,-0.4349273133173329,,1183,1182,3,20,20,0
3,1601,73.16664246399971,-0.053657577515070255,,1064,893,3,18,18,0
3,1632,53.04567362938171,0.06933819239310242,,638,1244,3,17,17,0
4,2160,174.44889882432605,-0.43569459317010595,,1632,1852,4,20,19,1
4,2110,84.80541160739287,-0.053858855741782535,,1852,1601,3,18,18,0
4,2251,72.30574292287592,0.021744795585283503,,1852,1852,3,20,20,0
5,2160,179.05598480446082,-0.43569459317010595,,1632,1852,4,20,19,1
5,2110,93.97834126273204,-0.053858855741782535,,1852,1601,3,18,18,0
5,2251,81.74336228652065,0.021744795585283503,,1852,1852,3,20,20,0
5,2761,4.189986406707639,0.7352834881160876,,1679,2110,3,19,18,1
6,3014,189.72302309423895,-0.43580972957035063,,1353,2110,3,18,17,1
6,2110,114.63274693910584,-0.053858855741782535,,1852,1601,3,18,18,0
6,2251,102.38202490772696,0.021744795585283503,,1852,1852,3,20,20,0
6,2761,4.189986406707639,0.7352834881160876,,1679,2110,3,19,18,1
7,3014,195.7385540878284,-0.43580972957035063,,1353,2110,3,18,17,1
7,2110,126.36811283023319,-0.053858855741782535,,1852,1601,3,18,18,0
7,3665,114.03697581316115,0.021695424876921107,,3107,2538,3,16,15,1
7,2761,3.6750007306105665,0.7352834881160876,,1679,2110,3,19,18,1
8,3014,201.38660144820233,-0.43580972957035063,,1353,2110,3,18,17,1
8,4210,131.27544228787826,-0.05389934323874187,,2110,2110,3,18,18,0
8,3665,118.87921168353223,0.021695424876921107,,3107,2538,3,16,15,1
8,4071,3.298949005427221,0.7309287538715147,,3014,3014,3,18,17,1
9,3014,201.79521719214668,-0.43580972957035063,,1353,2110,3,18,17,1
9,4210,132.17470249325177,-0.05389934323874187,,2110,2110,3,18,18,0
9,3665,119.7859611291312,0.021695424876921107,,3107,2538,3,16,15,1
9,4071,5.196009405866078,0.7309287538715147,,3014,3014,3,18,17,1
10,3014,202.55404150477185,-0.43580972957035063,,1353,2110,3,18,17,1
10,4210,132.45267471121403,-0.05389934323874187,,2110,2110,3,18,18,0
10,3665,120.08390499715006,0.021695424876921107,,3107,2538,3,16,15,1
10,5474,6.172533180139458,0.7435577424594574,,3383,3665,2,13,13,0
11,3014,203.90398356236165,-0.43580972957035063,,1353,2110,3,18,17,1
11,4210,132.6270871299136,-0.05389934323874187,,2110,2110,3,18,18,0
11,3665,120.2318105516601,0.021695424876921107,,3107,2538,3,16,15,1
11,5670,10.034527244711821,0.7018224653157759,,4286,3665,3,20,20,0
12,3014,204.76303797197775,-0.43580972957035063,,1353,2110,3,18,17,1
12,4210,132.8836305168282,-0.05389934323874187,,2110,2110,3,18,18,0
12,3665,120.50913665043234,0.021695424876921107,,3107,2538,3,16,15,1
12,5670,10.609563547528444,0.7018224653157759,,4286,3665,3,20,20,0
13,3014,205.26352417775266,-0.43580972957035063,,1353,2110,3,18,17,1
13,4210,133.04026134400138,-0.05389934323874187,,2110,2110,3,18,18,0
13,3665,120.67006497881343,0.021695424876921107,,3107,2538,3,16,15,1
13,5670,10.52982566869591,0.7018224653157759,,4286,3665,3,20,20,0
14,3014,205.21778333654441,-0.43580972957035063,,1353,2110,3,18,17,1
14,7107,133.13534975348028,-0.05397738612462261,,2659,3014,3,18,17,1
14,3665,120.73680443245169,0.021695424876921107,,3107,2538,3,16,15,1
14,5670,10.479092221387008,0.7018224653157759,,4286,3665,3,20,20,0
15,3014,205.44848278520448,-0.43580972957035063,,1353,2110,3,18,17,1
15,7107,133.21924070089585,-0.05397738612462261,,2659,3014,3,18,17,1
15,3665,120.8194523942328,0.021695424876921107,,3107,2538,3,16,15,1
15,5670,10.722403124890828,0.7018224653157759,,4286,3665,3,20,20,0
16,3014,205.84541904224466,-0.43580972957035063,,1353,2110,3,18,17,1
16,7107,133.40401854771852,-0.05397738612462261,,2659,3014,3,18,17,1
16,3665,121.00330427355259,0.021695424876921107,,3107,2538,3,16,15,1
16,5670,11.675411107400205,0.7018224653157759,,4286,3665,3,20,20,0
17,3014,206.00372702198723,-0.43580972957035063,,1353,2110,3,18,17,1
17,7107,133.41877031798435,-0.05397738612462261,,2659,3014,3,18,17,1
17,3665,121.0245992812547,0.021695424876921107,,3107,2538,3,16,15,1
17,5670,12.609450188464788,0.7018224653157759,,4286,3665,3,20,20,0
18,3014,206.00372702198723,-0.43580972957035063,,1353,2110,3,18,17,1
18,7107,133.47953662332253,-0.05397738612462261,,2659,3014,3,18,17,1
18,3665,121.08032052012445,0.021695424876921107,,3107,2538,3,16,15,1
18,5670,12.620832013258074,0.7018224653157759,,4286,3665,3,20,20,0
19,3014,206.18228777249914,-0.43580972957035063,,1353,2110,3,18,17,1
19,7107,133.54515858712418,-0.05397738612462261,,2659,3014,3,18,17,1
19,3665,121.14421708113306,0.021695424876921107,,3107,2538,3,16,15,1
19,5670,12.573567966174519,0.7018224653157759,,4286,3665,3,20,20,0
20,3014,206.83537184298797,-0.43580972957035063,,1353,2110,3,18,17,1
20,7107,133.582174068803,-0.05397738612462261,,2659,3014,3,18,17,1
20,3665,121.17812305474334,0.021695424876921107,,3107,2538,3,16,15,1
20,5670,13.04343674269877,0.7018224653157759,,4286,3665,3,20,20,0
21,3014,206.87253241664843,-0.43580972957035063,,1353,2110,3,18,17,1
21,7107,133.53898849484693,-0.05397738612462261,,2659,3014,3,18,17,1
21,3665,121.12423275793635,0.021695424876921107,,3107,2538,3,16,15,1
21,5670,12.946003442411476,0.7018224653157759,,4286,3665,3,20,20,0
22,3014,206.87253241664843,-0.43580972957035063,,1353,2110,3,18,17,1
22,7107,133.55824343515388,-0.05397738612462261,,2659,3014,3,18,17,1
22,3665,121.14622634280276,0.021695424876921107,,3107,2538,3,16,15,1
22,5670,13.394061096220653,0.7018224653157759,,4286,3665,3,20,20,0
23,3014,206.98700553813745,-0.43580972957035063,,1353,2110,3,18,17,1
23,7107,133.5980268953387,-0.05397738612462261,,2659,3014,3,18,17,1
23,3665,121.19673051699917,0.021695424876921107,,3107,2538,3,16,15,1
23,5670,13.572584675607226,0.7018224653157759,,4286,3665,3,20,20,0
24,3014,207.09436412197525,-0.43580972957035063,,1353,2110,3,18,17,1
24,7107,133.6149200127522,-0.05397738612462261,,2659,3014,3,18,17,1
24,3665,121.2127837368503,0.021695424876921107,,3107,2538,3,16,15,1
24,12247,19.037816209350265,0.6590207303709281,,2451,6981,4,21,19,2
25,3014,207.09436412197525,-0.43580972957035063,,1353,2110,3,18,17,1
25,7107,133.6530925940949,-0.05397738612462261,,2659,3014,3,18,17,1
25,3665,121.24977182251527,0.021695424876921107,,3107,2538,3,16,15,1
25,12247,18.91736318794397,0.6590207303709281,,2451,6981,4,21,19,2
26,3014,207.22645714997515,-0.43580972957035063,,1353,2110,3,18,17,1
26,7107,133.68812482079676,-0.05397738612462261,,2659,3014,3,18,17,1
26,3665,121.2864632007575,0.021695424876921107,,3107,2538,3,16,15,1
26,12247,18.926522628954572,0.6590207303709281,,2451,6981,4,21,19,2
27,3014,207.44594596519028,-0.43580972957035063,,1353,2110,3,18,17,1
27,7107,133.67542889931002,-0.05397738612462261,,2659,3014,3,18,17,1
27,3665,121.26760260723411,0.021695424876921107,,3107,2538,3,16,15,1
27,13776,22.954951592323916,0.6289865352883507,,6517,5559,2,14,13,1
28,3014,207.44594596519028,-0.43580972957035063,,1353,2110,3,18,17,1
28,7107,133.70492092221207,-0.05397738612462261,,2659,3014,3,18,17,1
28,3665,121.29386383738316,0.021695424876921107,,3107,2538,3,16,15,1
28,13776,22.83354438677743,0.6289865352883507,,6517,5559,2,14,13,1
29,3014,207.38947415512385,-0.43580972957035063,,1353,2110,3,18,17,1
29,7107,133.70944472438833,-0.05397738612462261,,2659,3014,3,18,17,1
29,3665,121.2914089821373,0.021695424876921107,,3107,2538,3,16,15,1
