generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,33.51897395965865,0.7601082949303936,5,-1,-1,3,18,18,0
1,534,9.868810779748264,0.7582919407672485,5,323,494,3,19,19,0
2,1273,6.102735339376125,0.7590937929319214,6,893,794,3,18,18,0
3,1989,2.9195648962641334,0.7623233567395703,2,865,1064,2,13,13,0
4,2451,0.8366311119868961,0.7604283875559579,2,1323,1852,3,18,18,0
5,2659,1.73098446674158,0.7625623020176371,6,417,2251,2,14,14,0
6,3032,0.4614269411790076,0.7619909244365182,1,638,2144,3,17,16,1
7,3698,1.6463346754024613,0.7618010289285465,6,2575,2020,2,11,10,1
8,4135,0.8477289908386186,0.7608465085643698,6,3032,3665,2,10,10,0
9,4522,1.3403317575457647,0.7623810692775502,7,3985,4218,2,13,13,0
10,5011,0.20069277238196143,0.7611108577056903,2,4132,1989,2,12,12,0
11,5778,0.901918879541938,0.7626402032349366,5,2438,4135,3,18,17,1
12,6183,0.19258909989604736,0.761331332607668,5,3272,5011,3,20,20,0
13,6517,0.09896037303420202,0.76064804610349,1,2451,6220,3,15,14,1
14,7117,0.07219768953167574,0.7604935144718348,2,3032,5778,2,14,14,0
15,7984,0.34780747235366205,0.7598472719907745,2,6183,5670,2,12,11,1
16,8341,0.22590249296781856,0.7617174767314957,3,5715,6656,3,20,20,0
17,8931,0.7814847316442715,0.7627622614089324,5,8423,6404,2,9,9,0
18,9053,0.15526394307862412,0.7621156365340338,2,4090,1273,3,18,17,1
19,9804,0.1910738443967401,0.7618139496036139,5,3746,4407,3,18,16,2
20,10002,0.6058936965385124,0.7623116414179361,7,9037,7107,3,20,19,1
21,10543,0.5912415454782629,0.7621170796728723,1,3014,3665,3,18,18,0
22,11104,0.28352999021794345,0.7614255496331718,6,8971,1989,3,19,18,1
23,11906,0.5231216308705052,0.7623226077382558,1,8376,7068,3,16,15,1
24,12463,0.1372831833108321,0.761734291630754,4,10342,3665,3,17,16,1
25,12893,0.11712314025495288,0.7619056308033788,6,6183,6517,2,15,15,0
26,13370,0.41186049331038543,0.7622299198838246,4,5559,3014,3,16,15,1
27,13707,0.09519038101852388,0.7619138401765058,2,8376,417,3,17,17,0
28,14261,0.053974388613390836,0.7611483216750395,1,13259,11124,3,19,19,0
29,14508,0.3723875010961576,0.7623471998654688,1,11906,13752,2,11,11,0
30,15201,0.4012795819879186,0.7615631408855086,1,13503,14627,3,20,20,0
31,15883,0.03604408050800706,0.7610232762990051,5,13081,10347,3,18,17,1
32,16121,0.023604310864577503,0.7608471994592265,6,5778,11104,4,18,16,2
33,16982,0.5307954723291138,0.7624729704788166,2,13664,12228,3,21,20,1
34,17219,0.24776232505510318,0.7613454381556095,2,6656,15373,3,14,14,0
35,17776,0.0910056951774763,0.7612103876006677,6,9096,9210,2,12,12,0
36,18330,0.8920979317522413,0.7615073537122486,6,5648,6395,3,20,20,0
37,18667,0.030941244966698693,0.7610575959024642,5,18342,14764,2,11,11,0
38,19491,0.07852199003276938,0.7615518340074727,5,18099,3014,3,17,16,1
39,19895,0.027021703678909208,0.7610574036800232,6,11788,14261,3,21,20,1
40,20404,0.45094485959173636,0.7611094071233492,2,3014,18541,2,14,13,1
41,20926,0.3700412399715652,0.7621628896035622,2,8960,18541,4,23,21,2
42,21315,0.2448257352967964,0.761326712832656,6,14764,11124,3,18,16,2
43,21942,0.056050858632809175,0.7607980769247543,6,5011,8931,2,13,13,0
44,22473,0.9699859785250883,0.7613381321166788,6,14764,14261,3,16,15,1
45,22935,0.16713660114682635,0.7616446947496559,5,20926,14764,3,19,18,1
46,23245,0.1744840412638723,0.7614752636443272,7,13081,13081,2,11,10,1
47,23682,0.14264333437090485,0.7618338830800372,2,13664,8682,2,14,14,0
48,24208,0.3997960385696236,0.7623278106963064,7,22473,13412,4,22,19,3
49,24957,0.476647747124082,0.7622712917512546,4,13412,3014,3,18,16,2
50,25232,0.4539210817110947,0.7624768359686137,1,3014,18541,3,16,16,0
51,25823,0.26985017779609344,0.7624265988963306,1,3014,18541,3,16,15,1
52,26303,0.12035194461676671,0.7616883318576123,1,13664,22910,4,19,18,1
53,26930,0.456481430244707,0.7622596807670681,2,5934,18541,2,14,13,1
54,27360,0.31855067414590443,0.7612278002273257,2,5011,3014,3,18,17,1
55,27951,0.7183564647506178,0.7613997719858633,4,16982,3014,4,21,21,0
56,28161,0.19801883919856297,0.7622035384555581,4,19402,15201,3,17,15,2
57,28680,0.3373475695979181,0.7622248251941448,2,20404,27951,3,18,18,0
58,29389,0.12662809807121,0.7612152542464997,4,11732,22910,3,17,16,1
59,29727,0.2492288162239741,0.7619169455350326,2,19402,3014,3,19,19,0
60,30363,0.5432788736764003,0.7619820551332617,2,11124,3014,3,16,15,1
61,31000,0.18662962509368902,0.7618904154106715,2,28893,3014,3,16,13,3
62,31363,0.051574889929437095,0.76159608033938,7,14261,18541,4,14,13,1
63,31671,0.3145140471561845,0.7625854700619682,7,27951,9512,2,15,15,0
64,32029,0.05712475504940465,0.7618785976114737,2,26847,28530,2,14,13,1
65,32658,0.28981235045501463,0.7622701746178774,5,26847,31716,3,12,11,1
66,33032,0.33040665621587034,0.7625748403896334,7,26582,11906,5,16,14,2
67,33553,0.04084625673713972,0.761601753868516,6,26582,13776,3,17,16,1
68,34361,0.4859421366463838,0.7606560942420608,6,26582,27951,3,15,12,3
69,34698,0.3625098982589023,0.7619877099885607,7,26930,32151,2,10,10,0
70,35322,0.22929268731938493,0.7625933923911347,7,11906,19491,2,10,10,0
71,35702,0.4855020819566672,0.7611938205688296,3,11732,33553,4,14,13,1
72,36331,0.289596729218221,0.76247653906189,1,13707,33032,2,10,9,1
73,36970,0.10993173133005266,0.7621340073625656,7,25823,36331,3,15,14,1
74,37272,0.10101257762159677,0.7610294248335161,7,30624,28311,4,19,18,1
75,37729,0.22025302717369835,0.761603023183516,7,15144,2733,4,15,14,1
76,38427,0.14871504460305457,0.7619841294070187,3,13370,32029,3,14,13,1
77,38553,0.24628930722761405,0.7626500032725214,6,28530,25998,3,19,17,2
78,39116,0.10174979482606945,0.7609830482692904,6,18240,14627,4,23,21,2
79,39955,0.1889081479149548,0.7604090248759166,1,3032,28161,3,18,18,0
80,40418,0.3914541278632589,0.7612894508931498,4,18541,18541,3,18,16,2
81,40761,0.3437111277124565,0.7619067944307383,7,12893,18541,2,14,14,0
82,41492,0.15253918842873151,0.7625054491817493,4,31716,18541,3,18,18,0
83,41834,0.10610991178160596,0.7624204898639675,4,27951,25998,4,21,19,2
84,42255,0.17005626336008478,0.7623004992383348,1,8341,28161,3,16,15,1
85,42935,0.38663361445345557,0.7626684848209448,6,31363,18541,3,16,14,2
86,43149,0.11664911507612472,0.761443783905258,7,9400,40664,4,14,13,1
87,43711,0.31461099828123795,0.761758647184224,7,26930,18330,5,25,23,2
88,44138,0.290862911727542,0.760326787508199,3,24208,10409,4,13,13,0
89,44978,0.22069242354206384,0.7617947080956763,4,20926,12463,4,15,14,1
90,45046,0.20105767613058229,0.7607307161184036,7,43803,41050,4,19,17,2
91,45889,0.04411984065472489,0.7619719475561608,6,8376,23245,3,16,15,1
92,46214,0.22226541633515925,0.7615020118888263,2,14627,36331,2,11,11,0
93,46623,0.17201438861563093,0.7622824902987566,2,3032,5559,2,14,14,0
94,47340,0.12124473488908497,0.7619155411741424,2,26303,25998,2,10,10,0
95,47679,0.06958945881874601,0.7613226206958301,3,33216,25998,3,16,15,1
96,48381,0.3261120358056287,0.7620309022032208,5,33553,31716,2,10,10,0
97,48680,0.09399486710323082,0.7615704345885964,5,26582,10347,4,19,17,2
98,49309,0.23504068036936765,0.7623569958591679,6,46623,25998,2,10,9,1
99,49871,0.1471238115548461,0.7625345522361422,7,32151,18541,3,17,16,1
100,50043,0.11322967016274466,0.7620384424690033,1,41492,34698,4,20,18,2
101,50590,0.1644484597233799,0.7608056846238668,3,32658,50043,3,16,15,1
102,51432,0.2865104354787228,0.762149794377337,7,32151,24208,4,21,18,3
103,51721,0.22934684911339343,0.7625249016079008,7,36970,9400,3,18,17,1
104,52022,0.17955075987254335,0.7610455976488092,5,40761,13370,3,17,16,1
105,52880,1.2007958782087553,0.7604676692609225,7,22935,34698,3,14,14,0
106,53379,0.15310571920939728,0.761167015879578,2,28311,31716,2,14,13,1
107,53824,0.1587240419779297,0.7627884896920244,6,10409,31000,3,15,15,0
108,54253,0.028948281778149964,0.7619551363150449,4,33216,35322,3,16,15,1
109,54798,0.3467233373821659,0.7625356973911862,7,11906,46730,3,17,17,0
