generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,40,0.8390677999890646,0.1837750272354625,3,-1,-1,3,18,18,0
1,738,0.5780727155629566,0.14859099768499698,6,40,460,3,19,19,0
2,1124,0.7165817130861953,0.13675621799951695,1,588,759,3,17,17,0
3,1889,0.7878691562055891,0.15985057268780603,5,226,1277,4,20,19,1
4,2384,0.7427801142575566,0.13675621830482737,3,1784,1311,3,19,19,0
5,2510,0.7252736727298721,0.1367562183048892,4,1008,2384,3,19,19,0
6,3306,0.7730846660047971,0.13675621830489093,4,2510,2905,2,10,10,0
7,3699,0.746798819503376,0.13675621830489215,3,3306,3306,3,19,19,0
8,4091,0.8321078002829883,0.15985449353205936,2,3382,3709,2,13,13,0
9,4531,0.9013469706624271,0.15985458597775798,2,3659,4091,3,20,20,0
10,5300,0.8158181744834199,0.15985426951892828,2,4531,591,3,21,20,1
11,5512,0.8157798791085712,0.15985126480301853,2,4531,3793,3,13,11,2
12,6431,0.8963802089603297,0.15985459456014645,2,4531,5474,3,17,14,3
13,6974,0.888419656014458,0.1598545943975725,7,5428,6431,3,19,19,0
14,7393,0.7975207616246305,0.15985459458280948,7,3821,6974,3,18,15,3
15,7610,0.797503182110938,0.15985039097882464,7,5647,6974,2,12,11,1
16,8321,0.85750241508988,0.1598545945711698,7,6974,7866,3,18,18,0
17,8808,0.8413211087124413,0.15985459457055173,7,5929,6974,4,21,20,1
18,9219,0.879034707795344,0.15985459445588565,7,7882,8808,5,21,19,2
19,9706,0.929966869755362,0.159854590788839,7,5474,8808,3,19,15,4
20,10414,1.0059145231100586,0.15985459459755488,7,8808,8304,3,21,21,0
21,10659,0.9595170415430843,0.15985459459765416,7,3074,10414,3,17,17,0
22,11256,1.0094376475061184,0.15985459459763163,7,9431,10659,2,11,11,0
23,11744,1.0008141238910113,0.15985459440566216,7,10659,3641,2,12,11,1
24,12175,0.923661050422047,0.15985459459764115,7,3821,10659,5,25,24,1
25,12547,0.8501553809630795,0.15985458964499238,7,7882,10659,4,17,17,0
26,13097,0.8555902937425428,0.15985459459765572,7,10659,3821,4,22,19,3
27,13539,0.8554633259964127,0.1598504860816037,7,13097,12017,3,16,16,0
28,14441,0.8555902933025438,0.15985459459765572,7,3793,13097,3,16,15,1
29,14993,0.8556577560039743,0.160138164736067,7,13097,13097,2,9,9,0
30,15081,0.8556592058337413,0.1601302693326831,7,14993,1975,2,12,12,0
31,15978,0.8555902850613728,0.15985459412518704,7,15081,12017,2,14,13,1
32,16283,0.855582784254447,0.15985459459402218,7,1975,15081,5,23,19,4
33,16662,0.8281999698651058,0.1598541808912535,7,13495,15081,4,23,22,1
34,17207,0.892122002283422,0.15985455033157225,7,15081,3793,3,20,19,1
35,17957,0.9695455933491065,0.15984666676285017,7,10818,15081,2,11,11,0
36,18418,0.9695530507431467,0.15985459459389004,7,1975,15081,3,18,18,0
37,18935,0.9695518984976357,0.15985454540970598,7,3074,15081,2,12,12,0
38,19373,0.9703052750812458,0.14793319460919166,7,15081,7135,3,18,17,1
39,19586,0.9576186130132562,0.15985457762991848,7,14112,19373,2,13,13,0
40,20493,0.9582977355732558,0.14767694330280726,7,19373,19373,3,19,18,1
41,20594,0.9576189358580199,0.15985459313826467,7,19602,19373,5,18,17,1
42,21430,0.9576176083046006,0.15985459457517315,7,7114,19373,2,10,10,0
43,21924,0.9576189250603587,0.1598545923084954,7,19373,15608,4,20,17,3
44,22480,0.9581128364878374,0.12978623856193522,7,12044,19373,2,10,10,0
45,22512,0.9576189016058194,0.15985459315081482,7,10671,7882,4,23,22,1
46,23379,0.9007334357535823,0.16029430486661544,7,19373,19373,2,12,11,1
47,23651,0.9401534146451901,0.1476928165816372,7,19373,19373,4,20,17,3
48,24421,0.9394635426418356,0.15985459447981532,7,23529,19373,3,14,12,2
49,24857,0.939428992449882,0.15985403229386985,8,19373,21858,2,11,11,0
50,25242,0.9396859508061972,0.1602606037466749,7,19373,19373,4,23,21,2
51,25888,0.953971887549411,0.15984105636839271,7,19373,11393,6,23,20,3
52,26275,0.954379846666497,0.1598545841700152,7,2702,19373,3,15,15,0
53,26686,0.9544053227133997,0.1598544125672641,7,26214,7882,2,12,12,0
54,27351,1.0196316585492315,0.15985459275845762,7,13495,19373,3,19,17,2
55,27507,1.0196317033096975,0.15985459411577532,7,19373,1715,3,18,18,0
56,28465,1.1176041496502542,0.16014155215619086,7,27756,19373,3,16,14,2
57,28773,1.1175730794148158,0.1598545945971149,7,7882,28361,3,14,13,1
58,29298,1.1175690973257315,0.15985457358121338,7,19373,26171,5,25,22,3
59,29844,1.1174940695491027,0.15985456825748695,5,29213,20533,3,15,13,2
60,30358,1.1175722020761905,0.15985459083830134,7,19373,27793,2,14,14,0
61,30672,1.117615849767096,0.16013323955858758,7,26344,19373,3,21,21,0
62,31058,1.1179386516855785,0.1477076654987848,7,24434,19373,2,12,11,1
63,31503,1.117573067937993,0.15985458261656998,7,19373,7882,5,25,22,3
64,32039,1.1175693574618761,0.15985456633701367,7,7882,19373,2,14,14,0
65,32647,1.0350266035632139,0.14813348169545057,5,25426,31502,4,19,17,2
66,33090,1.1174378840700783,0.15985459440326633,7,19373,10818,3,19,17,2
67,33618,1.1210769946266286,0.15985361362107173,5,24630,19373,2,10,10,0
68,34200,1.1876504173800002,0.15985459455609632,4,19373,32046,2,14,14,0
69,34772,1.1876472670343157,0.15985459133748406,7,19373,11393,2,14,13,1
70,35092,1.1880627198966867,0.14795821870950449,7,19373,19373,2,13,13,0
71,35522,1.1878105736087596,0.1598545945969985,7,35318,35092,4,23,21,2
72,36285,1.187924016328797,0.14754487954944848,7,35092,32708,3,15,14,1
73,36918,1.1877897869490561,0.15985428154254397,7,32243,35092,2,11,10,1
74,37055,1.1875590121260564,0.15984747918701767,6,32302,35092,2,16,15,1
75,37877,1.2564201277096188,0.15985459459765572,7,35092,37058,2,11,10,1
76,38383,1.2565841768458326,0.16026682169548523,7,35092,35092,2,13,13,0
77,38748,1.256456396164206,0.1598545854887836,7,35092,29738,3,18,18,0
78,39438,1.2564563635394463,0.15985459083807166,7,35092,3821,2,12,12,0
79,39932,1.2564560700681484,0.1598540084785025,11,39234,35092,2,14,13,1
80,40368,1.2564558764051639,0.15985454989882766,7,35092,39603,3,18,18,0
81,40511,1.2566169284881428,0.1476932045275045,11,35092,35092,3,20,19,1
82,41281,1.2564563001990445,0.15985459453025566,7,29500,35092,2,11,11,0
83,41685,1.2561976817415144,0.1598545945891103,4,12887,34293,2,13,12,1
84,42346,1.2561976598749816,0.15985456494011718,7,35092,34917,5,22,17,5
85,42562,1.2561837986343174,0.1598464643295134,7,24434,35092,2,13,13,0
86,43499,1.3232363515757428,0.16012635128959907,7,10818,35092,2,11,11,0
