generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,1,91.63191900143573,0.1650438640157085,1,-1,-1,3,18,18,0
1,501,61.878743110178675,0.16852742747861232,2,282,57,3,18,18,0
2,1296,50.3333186270686,-0.0984667805730281,1,974,1,4,19,18,1
3,1755,48.44053637183239,-0.1461651880026562,1,529,501,3,18,18,0
4,2001,60.41783140358247,-0.07920920897119407,5,502,3,3,18,17,1
5,2501,71.85069658428385,0.3605154807854982,2,1733,1001,4,20,19,1
6,3001,70.63482067589358,-0.01564553393466447,2,2983,1502,4,22,21,1
7,3501,124.51944494891657,0.6998424457973331,2,2778,2003,3,18,17,1
8,4001,54.12046926092373,0.2647179305017666,4,3834,99,3,18,17,1
9,4508,158.95642939669582,-0.3779416257457492,3,3923,3503,3,18,18,0
10,5002,143.75745893253347,-0.3813554173135491,4,2001,4508,3,18,18,0
11,5503,133.18858577516747,-0.21489312339453118,2,3503,3001,3,19,19,0
12,6004,52.723864743037204,0.43375599012175464,4,4909,5395,3,19,19,0
13,6524,84.16310592260872,-0.14912692783812959,4,5503,3501,3,18,18,0
14,7006,112.59249429802048,-0.4299000824968299,3,3116,2001,3,18,18,0
15,7512,99.66108074124817,-0.41973277466456016,1,1003,1,4,21,20,1
16,8001,86.96876926117899,0.7514509711868732,5,5625,6169,3,19,19,0
17,8501,66.93491714707697,0.1038612717631881,2,8234,4499,3,19,19,0
18,9001,70.91077051291683,0.06450127431377602,5,2213,6010,4,21,19,2
19,9504,52.65919389120939,0.5885810944077627,5,9406,8175,3,17,15,2
20,10062,81.96652200685617,-0.3606223724161442,4,6165,5002,4,22,21,1
21,10606,47.0783498351638,0.6008232371154572,4,6564,6004,3,19,17,2
22,11349,39.06386979657257,-0.14832241163019724,5,5879,7512,3,17,15,2
23,11504,37.348824657542416,0.588145756781023,4,11434,10062,4,22,20,2
24,12032,36.88726014822832,-0.15660062974881656,4,10119,10606,2,14,13,1
25,12773,43.07911789714766,-0.08651173027981124,5,11058,9013,2,14,13,1
26,13001,51.289272514809355,0.2058327581794206,1,7576,4005,4,20,19,1
27,13502,44.10018997583708,0.7607075503608708,4,3501,9502,3,18,18,0
28,14001,75.22036525143494,-0.3844349478758552,2,5503,7006,2,12,12,0
29,14501,54.72110073150637,0.0956252552780939,5,8234,4508,2,14,13,1
30,15004,68.46463420642255,-0.43586192126771844,1,10062,4501,3,18,18,0
31,15586,48.335158179693074,-0.10500021787889803,2,5503,13003,2,13,13,0
32,16054,58.14627677851283,-0.22002381847426233,4,6280,6524,3,16,15,1
33,16503,52.65942913256338,-0.19994259381218701,4,3503,3503,4,20,18,2
34,17342,48.99384229793723,0.006853253583037868,5,7351,5503,4,21,20,1
35,17537,48.24454224755511,-0.3922395983052533,5,9646,5503,3,18,17,1
36,18048,38.713229947992836,-0.056350784645216,2,14504,2503,3,19,17,2
37,18689,42.90843546072673,-0.0705630186675967,2,5503,14501,2,15,14,1
38,19001,50.52857676352114,-0.27999788042090035,5,5501,16501,4,19,18,1
39,19509,43.37618267136163,0.09576394829837932,4,17136,3503,2,10,10,0
40,20151,47.98570007382534,-0.03757241040355519,2,4638,8011,3,16,16,0
41,20594,38.10441283680698,-0.2725151163955691,1,4501,8501,3,18,17,1
42,21056,48.37504314106313,-0.21405991287303647,5,19001,17537,2,11,10,1
43,21622,43.463031448957594,-0.17602094517566308,2,18502,17001,5,22,20,2
44,22004,32.58255622079568,0.11140464557754352,2,15643,17136,2,13,11,2
45,22939,35.96060141192605,-0.1529681093318533,6,2174,5503,3,18,18,0
46,23049,42.475306491707975,-0.13521195769107425,2,16746,6764,4,21,19,2
47,23672,38.34411715476829,-0.1361982553393289,5,4508,7002,3,19,19,0
48,24001,40.989767271755944,-0.1720856994808774,2,14989,20594,3,17,16,1
49,24811,36.48231384384012,-0.11239439877816965,6,18371,8234,3,18,17,1
50,25015,33.303178949165954,-0.16814292449105342,2,23671,20544,4,20,19,1
51,25938,39.76349440727942,-0.10829687168336094,6,24746,15838,3,17,15,2
52,26175,25.957578132781414,-0.22229281741906368,6,1001,24501,4,19,18,1
53,26588,41.34706357620692,-0.14971448987929645,6,25116,25501,5,23,23,0
54,27374,35.78989778876267,-0.12561871808286929,2,6306,16501,2,11,10,1
55,27546,47.456599692739225,0.08074810913912267,6,12510,19001,3,16,16,0
56,28485,44.24090029844595,-0.07502094523417571,5,16054,1501,3,19,19,0
57,28927,42.89944791142599,-0.14832396522483998,6,26504,16503,3,18,18,0
58,29417,45.51781919670193,0.08932709400656177,4,8289,21003,6,25,23,2
59,29568,40.23256472033099,-0.08707930017768527,4,22075,10857,3,19,19,0
60,30292,34.124549772540014,-0.11587360027126331,2,16503,10062,3,20,20,0
61,30506,36.77766945734255,-0.2674545160872185,2,11501,10001,3,18,18,0
62,31001,38.35567706754758,-0.07753930042138904,4,12932,6764,4,24,23,1
63,31869,28.556142159445972,-0.19803500531750143,2,5977,14623,3,19,18,1
64,32022,35.19708887173106,-0.06081675710042774,6,7086,12501,3,19,19,0
65,32870,40.91451360776076,-0.10667471972597928,2,16503,16503,5,22,20,2
66,33390,43.001367913831345,-0.008619167029539595,4,32022,2501,3,22,19,3
67,33626,43.38434393366421,-0.06994659133369942,2,6754,3503,5,22,19,3
68,34466,42.60543917592289,-0.11705114803854404,4,19004,6524,3,18,17,1
69,34900,30.64539157382146,-0.19717812392076775,3,17537,15004,2,14,14,0
70,35381,39.75366240601746,-0.09903479193621814,2,28015,1,3,19,18,1
71,35828,32.58987001066833,-0.08084003816876595,3,16067,32552,3,20,20,0
72,36372,42.39487386132109,-0.06613765132049,3,18539,34506,4,21,18,3
73,36589,48.514803877475245,0.03477728417002413,2,8289,18056,3,21,18,3
74,37240,35.2685680151643,-0.09244427654771464,3,35530,27555,2,12,11,1
75,37882,39.46860319064583,0.16650644300373624,1,10001,25520,3,19,17,2
76,38004,47.54062017082962,-0.1237368226543726,3,28015,27065,3,14,13,1
77,38661,31.889491232686556,-0.14075675231988163,2,34268,27065,3,19,18,1
78,39441,36.529107654612325,-0.13115450505763818,2,34268,38004,4,22,22,0
79,39980,28.62502597316164,-0.18253270985461256,3,38047,19001,2,13,13,0
80,40261,34.445760726316344,-0.15465421210696534,3,12719,5503,3,18,16,2
81,40544,27.090435440548184,-0.123327122271415,6,6501,15004,3,18,17,1
82,41201,29.991771777198824,-0.17104556923477585,3,28015,5977,2,14,13,1
83,41940,26.458305014134496,-0.1603311202391256,5,19001,39025,3,18,16,2
84,42412,38.41060882957377,-0.12362585216164038,3,19269,6010,3,16,15,1
85,42816,37.836881696328184,-0.10370997661327461,5,8023,7342,4,21,21,0
86,43429,32.484744446253174,-0.060767157836116505,4,25116,12095,4,18,18,0
87,43714,20.45265946004291,0.0617539236060825,3,37006,25501,2,15,13,2
88,44359,28.366265530331408,0.005993215100198564,6,12129,5503,4,20,16,4
89,44591,33.832430381853456,-0.09290250122534845,4,11058,7896,2,15,15,0
90,45477,36.64025218905367,-0.09820170842460539,3,27502,37001,2,10,9,1
91,45713,29.485150872446958,-0.1307387960383624,3,41370,33501,2,10,9,1
92,46313,37.76444781396228,-0.033253769260194195,2,16193,18904,3,17,17,0
93,46742,22.9877981301939,-0.15266133908730598,4,27464,3,2,15,15,0
94,47175,26.709762578558863,-0.11564126298958147,2,43514,41609,3,18,18,0
95,47636,32.34631456754373,-0.1311088875763616,2,2503,34512,3,18,18,0
96,48414,24.91507752965089,-0.1506175495059773,6,30001,40511,3,19,19,0
97,48922,25.44094058990623,-0.005146316470545873,3,44986,32630,2,14,14,0
98,49056,30.885666646398647,-0.013202786214453371,5,2001,21056,3,17,16,1
99,49672,22.98548487411907,-0.1358431383731476,6,15728,23001,3,18,17,1
100,50163,34.01764503873214,-0.04973727829103226,4,6306,45993,3,18,18,0
101,50665,24.966144824973,-0.12145091141295648,4,8502,36036,3,21,18,3
