generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,179,164.38785639038517,-0.43331412757417587,2,-1,-1,3,18,18,0
1,603,205.61955247262028,0.04221855211894277,1,392,364,3,19,19,0
2,1475,194.70386940124197,-0.42072738475636484,1,600,965,2,8,8,0
3,1581,222.87644793089305,-0.4067559893790808,5,1479,1381,3,19,19,0
4,2191,244.15398792817462,-0.4325098854599014,2,1744,1830,3,14,13,1
5,2683,233.44115477909355,-0.3951993760014428,5,2167,2316,3,13,12,1
6,3068,251.60304962946373,-0.43083864657993126,1,920,2660,5,23,21,2
7,3657,254.71478398207506,-0.4237080994359442,4,3209,3412,3,20,20,0
8,4181,264.80787507033403,-0.4319055572099119,2,3334,3835,3,17,16,1
9,4696,269.7068182379086,-0.4330759050000459,3,4121,4181,4,15,13,2
10,5101,263.1020752123307,-0.3799742348336557,1,4894,4815,4,15,13,2
11,5816,283.47801531233824,-0.43373770659600264,5,3205,5233,2,10,10,0
12,6248,284.84291639563486,-0.4340402588082928,3,4584,5755,3,18,18,0
13,6808,285.40182241644015,-0.4346597941572548,2,6466,6409,3,13,12,1
14,7082,284.0957975967546,-0.428362085213069,5,6079,6680,2,13,11,2
15,7693,285.258342904224,-0.4331468990270788,5,6079,7081,3,17,17,0
16,8156,286.15753752529474,-0.4348250370638712,5,7759,7879,4,16,16,0
17,8761,286.0841566636265,-0.43269577235158035,2,8067,8217,3,15,14,1
18,9098,287.0984556184669,-0.4351034914822024,5,8793,8840,5,22,19,3
19,9780,287.349405132063,-0.43404054818455584,5,9342,9300,4,21,19,2
20,10280,287.43946717309984,-0.4336147436908123,4,9641,9762,5,23,19,4
21,10854,287.89834188299994,-0.43461981365317,5,7241,8400,6,28,25,3
22,11090,283.0986311325791,-0.4146378761372314,2,10878,10572,5,23,21,2
23,11652,288.5049798137498,-0.43396971818451996,4,11447,11209,3,18,17,1
24,12472,289.0100892505216,-0.433888001373323,4,11515,11950,4,22,21,1
25,12665,289.2988040708894,-0.43439746442646315,4,4770,8936,4,21,18,3
26,13364,289.44692745793105,-0.4332208207098047,2,12651,12588,3,18,18,0
27,13722,279.72236733130154,-0.38962510717448634,5,7110,13037,6,24,22,2
28,14433,290.56476050325205,-0.4356755436710421,4,13730,13610,4,23,19,4
29,14840,290.6683196516161,-0.4352926704605295,1,13492,14012,2,12,12,0
30,15427,290.5632960082127,-0.43345303755646103,2,14895,14731,2,9,9,0
31,15591,284.414581467366,-0.4074891357570582,1,15340,15478,3,16,16,0
32,16137,291.68901701299023,-0.4357566385787851,2,13568,15582,3,18,18,0
33,16829,291.1998937253301,-0.4331618161193799,1,14359,16192,2,12,9,3
34,17006,291.64118077150164,-0.43376545401611377,1,16847,16685,4,20,20,0
35,17895,291.22055964695636,-0.43176205082661034,1,17463,17103,3,17,16,1
36,18202,291.84754872670663,-0.4343847859414805,1,17380,17365,3,16,15,1
37,18935,291.9179619612497,-0.43468189683441805,5,18405,18151,4,21,19,2
38,19124,291.61181110682844,-0.43450260497161375,1,15007,18842,4,22,20,2
39,19665,291.38475468885724,-0.43338420750732076,2,19242,19217,5,23,23,0
40,20132,291.5601516014239,-0.43387781655669433,1,19987,19847,3,20,18,2
41,20775,291.5059127359054,-0.43364338949715714,1,20309,20276,3,21,18,3
42,21004,291.5309076734037,-0.43311777346207087,1,20775,20777,5,22,19,3
43,21613,290.82486210609096,-0.4301218727354364,2,21295,21451,6,25,24,1
44,22288,288.6648197736768,-0.4200727679608132,2,21888,21867,5,21,19,2
45,22643,281.92643443869235,-0.38951887446185696,2,14337,22112,3,20,18,2
46,23362,291.9209903946255,-0.4328897114533691,1,15007,22548,4,19,17,2
47,23558,292.180846434665,-0.4338315334916331,4,8443,13713,4,20,17,3
48,24095,291.9459517333748,-0.4327151225086955,4,13568,23620,4,21,18,3
49,24768,292.16014223205383,-0.433577746571327,1,22783,24216,3,14,13,1
50,25420,289.7921479648716,-0.423158765593136,4,24603,24596,3,20,19,1
51,25749,289.3589781827273,-0.4213746732590384,2,25396,25059,3,20,18,2
52,26297,291.8467155971092,-0.4323886290576927,5,13312,25542,3,18,17,1
53,26733,291.92053000252406,-0.4322763783930761,3,26300,26113,5,23,20,3
54,27162,291.6950513745857,-0.431619450366367,5,26923,26595,5,24,21,3
55,27538,287.8699993855538,-0.41450288341198965,3,27098,27287,4,20,18,2
56,28116,292.31683814073017,-0.43403514509867874,3,27946,27736,4,20,18,2
57,28949,282.1274744968136,-0.38980183015300746,1,26580,28106,6,25,24,1
58,29017,292.43567161716135,-0.4345776953476928,1,18228,18551,4,21,19,2
59,29823,292.51599003130656,-0.4349260657916665,2,29138,29219,4,15,12,3
60,30328,291.86902012930307,-0.4322109868229028,4,19710,29952,5,21,19,2
61,30746,291.93847385527107,-0.4324699436194213,4,30456,30328,3,20,16,4
62,31115,292.402866788099,-0.4342529312942238,1,25220,30607,5,26,25,1
63,31649,292.26543216115743,-0.43369872481187594,1,31459,31013,6,25,24,1
64,32231,288.7436046129122,-0.4183339168364756,2,31764,31722,2,15,15,0
65,32750,292.34394761225815,-0.4338647067179983,2,12861,32477,3,18,18,0
66,33220,288.3776087045356,-0.41700955706627585,4,32594,32776,4,18,16,2
67,33736,282.4430136379791,-0.3904545764926834,3,30418,33176,4,18,16,2
68,34142,292.1261693893038,-0.4328164286180471,4,20884,33980,3,21,19,2
69,34736,290.5432684311357,-0.42623810236167403,2,22584,34180,4,19,19,0
70,35338,292.377350500591,-0.4335969966853995,1,34873,34726,6,25,24,1
71,35997,292.2763028634045,-0.4327787435201374,4,11570,35289,5,17,16,1
72,36307,292.523556881476,-0.4338709977519736,1,35709,35739,3,20,18,2
73,36950,292.1778406619088,-0.43233577925821887,4,19659,21360,3,17,15,2
74,37305,292.63711562763297,-0.4343662293347288,2,36615,36910,2,10,10,0
75,37567,292.5850340178823,-0.4341501109417922,1,37305,37419,4,18,16,2
76,38303,292.3260887606768,-0.43300436553257754,4,22946,37567,2,14,13,1
77,38977,292.6943502206351,-0.43459784175155614,4,38302,38251,3,18,16,2
78,39064,292.248916711268,-0.43273182539246224,4,19731,21572,2,11,10,1
79,39998,289.03010738265505,-0.4184564362930503,4,32831,39120,4,23,21,2
80,40145,292.38340686871163,-0.43331750728753704,6,36262,39866,4,20,18,2
81,40915,292.36519031775146,-0.4332832810632974,2,40329,40445,4,18,18,0
82,41464,291.8229476862582,-0.4307852932701536,2,9840,40931,3,17,16,1
83,41605,292.34026544904776,-0.43301371318175197,6,41086,41093,4,20,18,2
84,42258,292.6343990964676,-0.4343163983752993,5,41501,41864,3,18,16,2
85,42965,292.72627580208496,-0.4347330585142262,4,42210,42014,3,17,15,2
86,43449,292.5222444086866,-0.43392490981775855,1,42701,42912,4,19,18,1
87,43602,292.5485074899881,-0.43398296650207613,6,43402,43498,3,17,14,3
88,44427,292.0918070736165,-0.43192057759814556,6,43774,43657,3,18,18,0
89,44795,292.6100828908442,-0.43420914706257785,6,44257,44303,4,13,11,2
90,45011,290.6845938246502,-0.4258176135196656,4,14266,44795,2,12,12,0
91,45686,282.42969536935146,-0.3897239283559114,4,45483,45479,7,28,26,2
92,46102,292.83118097585543,-0.4349338816808151,2,45829,45747,2,11,10,1
93,46687,292.92933668208565,-0.4353276532508963,6,46144,46479,2,14,13,1
94,47399,292.68953211273845,-0.43431079991657456,6,41593,19710,4,18,15,3
95,47957,292.7157001859518,-0.4345123818254105,2,43497,47030,3,20,17,3
96,48325,292.25520003276444,-0.4322229695122158,3,47833,47529,6,27,23,4
97,48789,292.5428484979442,-0.4334908419536927,6,48141,48007,3,21,18,3
98,49178,281.17188981623525,-0.3840677384909257,4,48832,48419,4,20,19,1
99,49670,292.9507465536733,-0.4354405023102012,2,49383,49243,2,9,7,2
100,50154,292.4737795855233,-0.4333095381428329,2,25689,49576,4,14,13,1
101,50675,292.4059323287504,-0.4328687559207666,6,50093,50240,3,20,15,5
102,51346,291.2403924728834,-0.42782201958859484,4,50741,50617,4,20,18,2
103,51716,292.3459439986964,-0.43230003966329855,5,47849,13589,5,25,22,3
104,52151,293.06408063003886,-0.4354877332298989,2,48285,51723,3,20,19,1
105,52958,292.6859967514603,-0.4338378216591981,2,34950,52299,6,24,24,0
106,53253,292.76613787645834,-0.4341990065897086,2,52893,52981,2,11,10,1
107,53874,292.7717794353305,-0.4342606278079982,4,53483,53051,4,20,17,3
108,54193,292.628092244813,-0.43331544146022316,5,53824,53895,2,13,13,0
109,54978,292.84313998088777,-0.4343457269678688,4,54132,54016,2,9,8,1
110,55366,292.614183872655,-0.43338244579937263,6,27720,54606,3,18,18,0
111,55893,292.54926948453317,-0.4331181672980477,4,55355,55331,4,20,19,1
112,56225,291.9969108071108,-0.43068256387248655,6,9840,55879,2,14,14,0
113,56688,292.5851582230817,-0.43323769016638153,4,56027,56049,3,19,18,1
114,57270,292.38515931990224,-0.4323800849766233,4,56507,56688,4,20,17,3
