generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,93,57.4100784356446,0.7240061720068204,2,-1,-1,3,18,18,0
1,648,31.57853216355759,0.7494212342619716,4,376,275,3,18,18,0
2,1332,15.804859018579581,0.7601258034369739,3,690,696,3,18,18,0
3,1604,7.2774802976570845,0.7601308444965749,4,1146,705,5,21,18,3
4,2264,3.9204349629953366,0.7598478709627616,3,1342,1414,3,18,18,0
5,2823,4.00583846981271,0.7616333882478044,1,513,2148,3,18,18,0
6,3001,2.3059331684137683,0.7627366324741234,3,2306,2518,2,13,12,1
7,3921,1.6702112959244046,0.76111589951584,3,3286,3001,3,18,16,2
8,4141,1.0854451512579208,0.7617711317738012,2,3986,2780,3,13,12,1
9,4914,1.2905868721600524,0.76228518296803,3,1440,4470,5,22,18,4
10,5287,1.180500188798563,0.7610849699584465,2,3721,4758,4,20,19,1
11,5952,0.3651467991086937,0.7615256039276345,2,3874,5200,3,20,20,0
12,6375,0.25392398470752936,0.7595299688875495,3,5312,5941,3,19,16,3
13,6970,1.3161385636734229,0.7625396710315188,4,6127,6387,3,18,18,0
14,7122,0.30978969746711915,0.7616696919193463,3,6839,6845,4,23,23,0
15,7520,0.25826065501783735,0.7621054295890443,3,4777,4141,3,15,14,1
16,8233,1.506975316109857,0.7618789829469201,3,4908,7762,2,11,11,0
17,8741,0.17570074784092,0.76173316362724,3,6991,8019,3,19,19,0
18,9236,1.1067581550511671,0.7624023307617465,3,8455,6698,5,25,22,3
19,9607,0.1478092525387036,0.7615445510055364,3,8178,9219,2,14,14,0
20,10031,0.21264662379007385,0.7619409004156784,3,7831,9890,2,11,11,0
21,10640,0.15835636026249938,0.7610069636930457,1,9251,10235,4,22,22,0
22,11313,0.10543238238461375,0.7608289939938481,3,7520,10754,4,19,18,1
23,11996,0.09781383562574202,0.761209443170162,3,8882,11466,4,21,20,1
24,12117,0.6447917092320097,0.761056223627968,2,5739,9602,3,12,11,1
25,12691,0.5337692756355189,0.7619333244918901,2,9796,4895,4,13,10,3
26,13437,1.4620641837632975,0.7625946609070624,3,10163,7504,2,11,11,0
27,13657,0.2548358803590148,0.7615972804679163,3,10563,11313,4,22,21,1
28,14109,1.5901114587244214,0.7611707293329921,3,12138,4253,3,20,20,0
29,14963,1.2226737696354533,0.7616496262458633,1,10325,10289,3,13,12,1
30,15419,0.2943790925312643,0.7609297298994768,2,4895,13760,2,12,12,0
31,15844,0.09489759380428826,0.7617321553283937,4,8697,7852,3,19,19,0
32,16102,0.06271668503089198,0.7613146224339,3,13657,15976,3,13,10,3
33,16699,0.26809266615741884,0.7616178084747474,2,12117,16316,3,19,17,2
