generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,188,2.31581974029541,-0.2786011183933603,,-1,-1,3,18,18,0
0,201,2.6964964866638184,-0.3974605108969704,,-1,-1,3,18,18,0
0,217,2.3971877098083496,-0.34044256069504536,,-1,-1,3,18,18,0
0,227,2.303678512573242,-0.31623990692450643,,-1,-1,3,18,18,0
0,245,2.650832176208496,-0.39581553033745304,,-1,-1,3,18,18,0
0,250,2.280787467956543,-0.11220364381211265,,-1,-1,3,18,18,0
0,478,2.262662410736084,-0.3408371113620036,,-1,-1,3,18,18,0
0,491,2.469358205795288,-0.3262340120678435,,-1,-1,3,18,18,0
0,494,2.20200514793396,-0.3817235413397433,,-1,-1,3,18,18,0
1,848,0.7016289234161377,-0.43515134961708407,,245,250,3,18,18,0
3,1626,0.5276975631713867,-0.43310783088056337,,1009,1019,4,20,19,1
3,1694,0.543877899646759,-0.4349039686144433,,1045,1299,3,19,19,0
3,1708,0.5340663194656372,-0.4341127553803632,,1310,1191,3,15,15,0
3,1830,0.5172312259674072,-0.4311304226221372,,1131,1117,2,12,12,0
3,1904,0.5256446003913879,-0.4227521287768522,,774,1467,3,19,19,0
3,1954,0.5278725624084473,-0.4328245537311031,,1277,130,3,19,19,0
5,2568,0.42324191331863403,-0.4342514609595134,,528,869,3,18,18,0
5,2583,0.42257368564605713,-0.4321056046333562,,1915,2054,2,14,14,0
5,2691,0.3771727979183197,-0.24065655806647787,,1758,559,2,14,14,0
5,2817,0.40810665488243103,-0.3925584555703888,,2500,738,3,20,20,0
7,3570,0.2792641520500183,-0.33228557706833695,,2451,3068,3,19,18,1
7,3602,0.3218887150287628,-0.43339181935865234,,3207,1859,3,18,18,0
7,3657,0.3024269938468933,-0.3193857767955621,,2585,3082,3,18,18,0
7,3696,0.2661815583705902,-0.2247565973012996,,1131,2503,3,19,18,1
7,3757,0.3117576241493225,-0.4293469872638823,,3200,582,3,19,19,0
7,3776,0.331193745136261,-0.4320953594636025,,582,2754,3,19,19,0
7,3791,0.28064411878585815,-0.40388765004422034,,3233,2685,3,19,19,0
8,3776,0.2922416031360626,-0.4320953594636025,,582,2754,3,19,19,0
8,4099,0.2902120351791382,-0.43409101328075506,,3757,3757,3,19,19,0
8,4275,0.2953966557979584,-0.4234033954781418,,3954,3791,2,8,8,0
8,4450,0.2891105115413666,-0.43368719672165384,,3791,3757,3,20,20,0
8,4480,0.29578131437301636,-0.42335301406795134,,3602,3602,3,19,19,0
10,5417,0.22614294290542603,-0.43504357551210676,,4624,1497,3,20,20,0
11,5417,0.19596195220947266,-0.43504357551210676,,4624,1497,3,20,20,0
11,5568,0.18944302201271057,-0.4340798298526623,,5417,5417,3,20,20,0
11,5632,0.18922972679138184,-0.43400228017974274,,5417,5417,3,20,20,0
11,5884,0.1875736117362976,-0.4335920970238059,,5417,5417,3,20,20,0
11,5903,0.19654525816440582,-0.43525115010276766,,5295,5417,2,12,12,0
11,5960,0.1864968240261078,-0.4326836953050435,,5417,5417,3,20,20,0
11,5998,0.17881017923355103,-0.4320954980897594,,5417,5417,3,20,20,0
13,6517,0.19526159763336182,0.7488688681553277,,3913,1570,3,19,18,1
13,6534,0.1781194657087326,0.7406824389343214,,5544,6314,3,19,19,0
13,6627,0.19431348145008087,0.7398136010149492,,2716,6264,3,18,18,0
