generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,27.172752380371094,0.7581625877241497,1,-1,-1,3,18,18,0
1,706,20.964101791381836,0.7611596195844492,4,440,31,3,19,19,0
2,1188,18.263837814331055,0.7486468070639077,2,492,155,3,20,20,0
3,1826,21.39192008972168,0.7617705114393242,4,829,636,3,18,18,0
4,2013,18.896778106689453,0.7617537374997857,4,1339,1918,3,19,19,0
5,2827,20.563282012939453,0.7554997903008266,5,1049,636,2,13,13,0
6,3138,21.015888214111328,0.7547198734102676,1,601,2903,4,20,19,1
7,3572,21.39612579345703,0.7619457798947901,2,3365,1342,4,22,21,1
8,4296,22.56686019897461,0.7615439951380427,4,2971,3486,3,19,19,0
9,4897,19.21383285522461,0.7615882537431011,1,2856,2768,3,18,18,0
10,5007,14.954748153686523,0.7573328338786834,1,440,3966,3,19,19,0
11,5766,14.230581283569336,0.7570011638014141,4,4125,4934,3,17,17,0
12,6350,15.355740547180176,0.7625981179129458,2,5845,2013,2,13,13,0
13,6698,13.453269958496094,0.7614219861333801,1,4853,5137,4,20,18,2
14,7229,11.588075637817383,0.7615686105373619,1,6366,6568,3,19,18,1
15,7776,9.845770835876465,0.761829952673782,2,7313,5672,3,18,18,0
16,8258,7.601154327392578,0.7615676713340296,1,3847,6547,2,10,10,0
17,8502,6.319604396820068,0.760342693880307,4,7336,8113,3,15,15,0
18,9118,6.523245334625244,0.7617769154466779,3,8678,6575,2,12,12,0
19,9929,6.133847713470459,0.7617966781629233,1,6575,5433,5,24,22,2
20,10259,4.85391092300415,0.7618563045898399,1,5007,9400,4,22,20,2
21,10800,3.7533416748046875,0.7592010310167693,4,7032,8185,3,15,15,0
22,11331,2.484733819961548,0.76123677324186,3,10164,6485,3,19,19,0
23,11791,1.628638505935669,0.7603317405696866,1,10755,11360,3,19,19,0
24,12004,1.6421916484832764,0.7612592619926789,3,10718,10255,3,19,18,1
25,12644,1.6563647985458374,0.7618126111708519,2,12193,9663,2,14,11,3
26,13017,1.3767797946929932,0.7620472678339507,1,11509,11829,3,18,18,0
27,13656,1.028156042098999,0.7627557352714759,5,13135,10504,4,22,21,1
28,14244,0.3753643035888672,0.7618795328733767,3,9996,9749,2,14,13,1
29,14637,0.4179539084434509,0.760995651520275,4,14370,11382,4,20,19,1
30,15378,0.587726354598999,0.7618321370045892,5,9749,9435,2,14,13,1
31,15575,0.15690405666828156,0.762068357830022,3,14056,11298,2,10,10,0
32,16401,0.23069283366203308,0.7612381551649169,4,14056,15657,3,21,21,0
33,16858,0.9443846344947815,0.7614794224968379,4,11331,4897,3,14,14,0
34,17404,0.07598928362131119,0.7608869511587847,4,9759,10259,2,10,10,0
35,17795,0.4106096625328064,0.7613142578832883,4,12816,17009,3,19,17,2
36,18335,0.16281430423259735,0.7622908029136733,1,14064,17705,2,12,12,0
37,18731,0.10751407593488693,0.7621070692475012,1,15829,15815,2,12,11,1
38,19062,0.1691940575838089,0.7613770049658412,1,18335,13727,4,21,19,2
39,19959,0.0889095813035965,0.7618184844049234,5,17451,13437,2,15,15,0
40,20162,0.32686078548431396,0.7619685026735865,4,16894,17954,4,20,20,0
41,20679,0.11975695192813873,0.7619858164257478,1,17451,18305,2,12,11,1
42,21333,0.00507869990542531,0.7619155959019688,4,14064,15140,2,16,16,0
43,21624,0.08625992387533188,0.7616903581482988,3,18335,17964,2,12,11,1
