generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,359,6.912294864654541,-0.4340201488872593,2,-1,-1,3,18,18,0
1,686,6.9045257568359375,-0.43438839460248707,1,226,150,3,18,18,0
2,1185,6.912784576416016,-0.4344480615573522,1,957,461,3,17,16,1
3,1579,6.768677711486816,-0.4328724394160654,3,1289,1427,3,17,17,0
4,2206,6.550082683563232,-0.43345082900371357,1,1740,1010,2,12,11,1
5,2996,6.270214080810547,-0.435242948003577,3,1961,1603,3,19,19,0
6,3353,5.434762477874756,-0.4337382159190178,3,2848,2315,2,12,11,1
7,3566,4.141767501831055,-0.4350816184548065,2,2299,1681,2,11,11,0
8,4329,2.3374035358428955,-0.43559800264908966,5,3001,3268,4,20,20,0
9,4792,0.759648323059082,-0.4353755032923102,3,1908,2982,5,23,21,2
10,5137,0.45323917269706726,-0.04763364959456788,2,2818,4744,3,19,19,0
11,5655,0.5937108397483826,-0.06248008825469214,1,5152,5260,3,18,18,0
12,6033,0.3282276690006256,0.7308523109502878,5,1289,5740,3,20,19,1
13,6626,1.0405635833740234,-0.4331531610226738,1,6452,5950,4,21,20,1
14,7390,0.5026922225952148,-0.43254480998087885,3,6745,6059,2,12,12,0
15,7809,1.0736576318740845,-0.3970117331676586,1,6152,7160,2,9,9,0
16,8486,0.41373857855796814,0.7317532261616976,2,7701,7817,6,26,24,2
17,8602,0.37507766485214233,-0.43363539311965005,1,2676,6607,3,15,15,0
18,9019,0.3442792296409607,-0.4346112596336748,2,7341,7564,2,11,10,1
19,9798,0.2634643316268921,0.7315722083291076,1,8214,6294,2,10,10,0
20,10094,0.25727811455726624,0.7333451643901605,2,9063,8358,2,12,11,1
21,10841,0.257953941822052,0.7330423390970183,2,10208,6518,3,19,18,1
22,11006,0.3502238690853119,-0.43242169471291203,4,10394,8653,2,10,10,0
23,11718,0.5757571458816528,-0.43215736104388897,4,2676,11001,3,17,17,0
24,12159,0.7921257615089417,-0.4342114444989823,1,11875,5236,2,12,11,1
25,12765,0.5217742323875427,-0.4346274342208208,2,11049,11747,2,11,11,0
26,13113,0.24682481586933136,0.7333174868545942,2,8358,12765,2,10,10,0
27,13854,0.3401350975036621,-0.056654993735440626,3,6055,9798,2,10,10,0
28,14044,0.5455695390701294,-0.19928882767746445,1,13752,9947,3,19,19,0
29,14513,0.2637942433357239,0.7335784089285136,2,11400,9211,3,18,18,0
30,15076,0.2519606053829193,0.7337236559464148,2,14344,6226,2,12,12,0
31,15788,0.3794790804386139,-0.4317546754657686,4,2676,8653,2,10,10,0
32,16190,0.45012548565864563,-0.43496371932812883,2,9046,15788,5,24,22,2
33,16941,0.2456457018852234,-0.43356307072347966,2,15136,14814,3,20,18,2
