generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,27.592374801635742,0.7601082949303936,5,-1,-1,3,18,18,0
1,913,28.317127227783203,0.7608376754620522,3,66,483,3,19,19,0
2,1318,27.37468910217285,0.7592578901006536,2,866,883,3,18,17,1
3,1981,27.339818954467773,0.761289314240702,6,1002,713,3,18,18,0
4,2418,27.910247802734375,0.760276795410039,1,571,1977,3,19,19,0
5,2582,27.239702224731445,0.7613228797275828,3,1998,1702,3,19,19,0
6,3135,27.828208923339844,0.7613815845120661,3,2129,2590,3,12,12,0
7,3563,27.196115493774414,0.761992919338751,2,3197,2300,3,19,19,0
8,4447,27.044931411743164,0.7617818339930491,4,3679,3956,3,19,19,0
9,4542,26.96832847595215,0.7613791465985628,6,1847,4221,5,22,21,1
10,5209,26.849058151245117,0.7604394201128096,5,4021,2543,2,11,10,1
11,5990,26.902755737304688,0.7624070390447284,4,1318,4110,3,16,16,0
12,6215,26.70940399169922,0.7617286626568329,7,3051,913,3,16,16,0
13,6729,26.631473541259766,0.7615344610960837,3,6224,4890,2,12,12,0
14,7082,26.601390838623047,0.7619460934378821,7,4221,2072,3,15,14,1
15,7740,26.503215789794922,0.7619358077284816,5,7171,5950,6,24,22,2
16,8329,26.406112670898438,0.7610438138472018,7,5525,2009,3,20,19,1
17,8953,26.3663330078125,0.7616811306963458,4,6868,4268,3,18,18,0
18,9173,26.265838623046875,0.7610950605052823,2,4221,8876,2,13,13,0
19,9905,26.102317810058594,0.7597571542975461,2,7353,9109,3,17,17,0
20,10444,26.570528030395508,0.7622553193943632,3,5821,8790,2,14,14,0
21,10646,26.17738151550293,0.762436971628479,7,10444,9109,5,22,20,2
22,11273,25.91141700744629,0.761299194299443,5,8876,8577,2,10,10,0
23,11747,25.935575485229492,0.762111528615039,3,8790,8953,3,20,19,1
24,12307,26.333202362060547,0.7621494270065533,7,3135,7740,5,24,23,1
25,12685,25.98811912536621,0.7627303652111163,6,4268,8496,2,12,9,3
26,13279,25.613466262817383,0.7613772131043806,3,8953,6724,3,19,19,0
27,13762,25.62596321105957,0.761415097821666,7,6561,3642,4,21,20,1
28,14470,25.521427154541016,0.7616548530150682,5,6842,9847,3,19,19,0
29,14642,25.557350158691406,0.7623732694859758,2,10444,10061,3,20,20,0
30,15224,25.399105072021484,0.7611446137701093,3,4421,12836,3,19,19,0
31,15681,25.31902503967285,0.7616308595327939,7,15224,4287,2,12,9,3
32,16207,25.250682830810547,0.7615180666066332,3,4447,15505,3,14,13,1
33,16941,25.470399856567383,0.762668126780895,2,14642,11470,3,21,16,5
34,17154,25.10795783996582,0.761359468390196,2,14820,6634,3,13,12,1
35,17908,25.10839080810547,0.7617908682364172,2,10444,12152,3,13,13,0
36,18425,24.998340606689453,0.7614040938261617,4,2582,16109,3,18,17,1
37,18783,24.912132263183594,0.7610151888977712,2,13272,14190,3,18,18,0
38,19224,25.25929069519043,0.7622036893869043,7,18198,12836,2,12,11,1
39,19519,24.785484313964844,0.7615244603253314,7,14622,12621,2,13,12,1
40,20443,24.657995223999023,0.7613058533702322,7,4421,13279,2,11,11,0
41,20846,25.038732528686523,0.76266410527563,2,10646,19825,3,18,17,1
42,21253,24.57457160949707,0.7616794980410717,2,8790,2582,3,15,14,1
43,21744,24.541088104248047,0.7617694342314939,1,10061,16109,2,12,12,0
44,22446,24.428890228271484,0.7602200020165171,2,4146,1981,3,17,16,1
45,22704,24.375669479370117,0.7609026918633661,7,19895,10408,2,12,11,1
46,23027,24.33030891418457,0.761964382040138,4,19825,19122,4,20,18,2
47,23560,24.45772933959961,0.7616395922042917,2,13616,2754,3,18,18,0
48,24100,24.28131103515625,0.761489842875807,2,10408,19430,4,17,16,1
49,24722,24.407527923583984,0.7617900480490246,4,23764,1485,2,12,12,0
50,25500,24.483558654785156,0.7621137216577129,2,24348,7740,3,16,15,1
51,25891,24.418479919433594,0.7612786812398658,2,14434,10444,4,16,14,2
52,26434,24.435998916625977,0.7622138388595178,7,21869,19306,4,21,19,2
53,26595,23.861427307128906,0.7614499483991688,5,16503,10383,4,24,23,1
54,27168,23.846893310546875,0.761605522673489,2,21253,23560,6,23,21,2
55,27611,24.3094425201416,0.7618225577401058,3,7082,8790,5,25,20,5
56,28046,24.15142822265625,0.7617952592093257,7,24722,16503,5,24,22,2
57,28509,24.012752532958984,0.7626376906366393,2,23764,13726,3,16,14,2
58,29019,23.56721305847168,0.7605377723501172,7,19122,7200,3,13,13,0
59,29639,23.53586196899414,0.7618230856578833,3,11747,4421,3,16,16,0
60,30185,23.480302810668945,0.7620210590822941,2,21253,16503,3,16,15,1
61,30896,23.404560089111328,0.7613910800883256,1,6337,15681,4,20,18,2
62,31423,23.592025756835938,0.7626136226031107,2,29752,27491,2,12,10,2
63,31885,23.258853912353516,0.7609766326707018,3,23522,6215,3,21,20,1
64,32262,23.22447395324707,0.761951714211076,1,21724,19337,3,18,17,1
65,32621,23.15375518798828,0.7619742475642923,3,32276,25795,2,12,12,0
66,33227,23.124055862426758,0.7621013061703649,2,12307,31523,2,13,13,0
67,33832,23.373361587524414,0.7626626702205316,3,29752,27073,2,12,12,0
68,34097,22.954574584960938,0.761664884419536,7,4421,20984,2,12,11,1
69,34585,22.908769607543945,0.7616777492918099,3,16104,31523,3,16,15,1
70,35031,22.82105255126953,0.7614847672648029,5,23297,6621,2,10,10,0
71,35555,22.809247970581055,0.7619912813546121,1,28178,31402,3,20,20,0
72,36271,22.63804817199707,0.7614623643224754,2,32262,11747,3,14,13,1
73,36801,22.669845581054688,0.7618000796933804,3,26568,34957,3,17,16,1
74,37178,23.01822280883789,0.762038351549111,3,28752,25657,4,22,18,4
75,37553,22.808319091796875,0.7621084275255776,3,6215,29639,3,14,13,1
76,38212,22.422775268554688,0.761708920151829,7,35657,20705,2,13,12,1
77,38790,22.2738094329834,0.7588121250999923,7,20984,37853,3,20,20,0
78,39212,22.441417694091797,0.7625513385989596,1,28509,38826,3,21,21,0
79,39540,22.222564697265625,0.7619132398821288,7,8953,16207,2,12,10,2
80,40480,22.72060775756836,0.7603601748260547,1,37719,39532,3,14,12,2
81,40515,22.497650146484375,0.7617717567891253,1,24722,20973,4,23,19,4
82,41459,22.27565574645996,0.7613830705626137,7,36801,40960,3,20,19,1
83,41762,22.219314575195312,0.7627932558400162,2,7740,4447,4,21,18,3
84,42067,21.953506469726562,0.7611845475911727,7,34097,35657,2,13,12,1
85,42719,22.22212791442871,0.7616888253924573,1,37178,38587,3,13,12,1
86,43212,22.12720489501953,0.7623474607260059,1,34585,34715,3,17,15,2
87,43719,22.042795181274414,0.7619939692267705,3,20705,37553,2,14,14,0
88,44407,21.783363342285156,0.7614256949590237,1,24722,41028,3,17,16,1
89,44982,21.823352813720703,0.7625418574198852,3,34463,31423,3,18,17,1
90,45193,21.67034912109375,0.7618942732472,1,40515,12299,4,20,17,3
91,45536,21.64312171936035,0.7613085108218811,1,42719,37178,2,13,13,0
92,46062,21.560976028442383,0.7616219765924706,2,39540,14434,2,12,11,1
93,46698,21.528457641601562,0.7620224975722117,4,23027,40250,4,18,17,1
94,47179,21.414127349853516,0.7608793733805137,2,43446,8953,5,24,22,2
95,47945,21.41932487487793,0.7618056212330302,2,10444,32621,2,9,8,1
96,48310,21.356016159057617,0.7614605139629821,7,33633,38212,3,15,13,2
97,48915,21.5560302734375,0.7627826326567165,1,23560,37719,2,12,11,1
98,49143,21.197507858276367,0.7605093835348872,1,8790,39637,3,13,13,0
99,49581,21.2005615234375,0.7609889453351457,1,10646,38212,3,14,13,1
100,50494,21.19608497619629,0.7618100453355365,6,38212,20705,2,11,11,0
101,50687,21.121118545532227,0.7604522382646549,4,45193,46698,2,12,11,1
102,51354,21.088476181030273,0.7609292276727172,7,10683,40291,2,9,8,1
103,51517,20.995620727539062,0.7596233500778898,7,32262,7706,2,12,12,0
104,52264,21.420717239379883,0.7580087457289428,2,20984,32621,2,12,12,0
105,52749,20.931087493896484,0.7606481757393083,4,33633,23027,2,12,12,0
106,53348,20.953536987304688,0.7619504782224243,3,4095,36580,6,25,22,3
107,53545,20.97871208190918,0.7623347840651831,2,7740,32258,6,27,23,4
108,54308,21.32474136352539,0.7616765723238123,7,28509,40250,3,14,13,1
109,54811,20.77429962158203,0.7611459361346987,7,33074,40960,5,21,19,2
110,55323,20.99553871154785,0.7608950527013618,2,6215,31423,5,22,21,1
111,55969,20.656478881835938,0.7599771372673096,7,46062,39540,3,17,16,1
112,56234,20.82567596435547,0.762720654430851,2,12307,35551,3,16,15,1
