generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,136,79.51708221435547,-0.22220541815007244,5,-1,-1,3,18,18,0
1,586,79.8948745727539,-0.29100816142106434,4,481,44,3,18,18,0
2,1192,81.05692291259766,-0.26749776322646523,4,786,681,2,14,14,0
3,1514,80.6360855102539,-0.2645691505955116,5,1450,935,2,12,12,0
4,2058,80.75492858886719,-0.266202576944895,3,1406,956,3,18,18,0
5,2952,80.61450958251953,-0.26567525001627357,4,522,2058,3,17,17,0
6,3044,80.39968872070312,-0.26646071779079533,4,2968,2561,2,11,11,0
7,3583,80.26997375488281,-0.26457623947816616,1,2812,3405,3,19,19,0
8,4199,80.10110473632812,-0.26541182903017563,1,2075,1192,3,18,18,0
9,4699,79.9214859008789,-0.2649902135508743,5,3061,4066,4,21,20,1
10,5122,79.71354675292969,-0.2660287657778248,1,4843,2522,3,18,18,0
11,5963,79.5667724609375,-0.26492753493950644,5,2550,4638,4,22,20,2
12,6196,79.40967559814453,-0.26474533043213355,4,4319,4782,3,18,18,0
13,6928,79.19046783447266,-0.2643663807467766,1,5220,4199,3,17,16,1
14,7248,79.03511810302734,-0.26578269291528794,1,1514,4731,3,19,19,0
15,7947,78.86869812011719,-0.26467987142664146,5,7134,5072,3,21,19,2
16,8402,78.69578552246094,-0.26468549742483066,1,6739,3900,3,19,19,0
17,8937,78.51348876953125,-0.2645355780353101,4,8041,7947,5,23,20,3
18,9343,78.3357162475586,-0.26472176859318647,4,8083,7095,3,12,11,1
19,9833,78.14070129394531,-0.2647192715346944,5,2833,7012,2,11,11,0
20,10185,77.94908905029297,-0.2648409899430101,4,6531,7875,2,9,9,0
21,10693,77.76636505126953,-0.2649155433961768,4,7248,5220,3,19,19,0
22,11403,77.56634521484375,-0.26579363180906784,5,7504,6410,3,20,19,1
23,11897,77.38384246826172,-0.26462285664568713,5,7098,3204,2,12,12,0
24,12251,77.21305084228516,-0.2650079587459542,3,5523,5159,3,18,15,3
25,12998,77.03598022460938,-0.26510543033067546,4,6665,8498,3,14,13,1
26,13444,76.84014892578125,-0.26463826609907365,5,7965,4469,5,24,21,3
27,13598,76.65279388427734,-0.26458800525334164,1,7475,7851,3,19,19,0
28,14333,76.4718017578125,-0.2646561756193266,4,5121,7513,2,12,10,2
29,14840,76.28887939453125,-0.26480078637773097,4,7965,5072,3,14,12,2
30,15373,76.0869369506836,-0.26546201381527385,4,7875,4843,2,13,12,1
31,15966,75.90647888183594,-0.26480652697085993,5,8498,6410,4,20,17,3
32,16054,75.7407455444336,-0.2648534004203946,5,7139,7139,3,16,15,1
33,16902,75.5447998046875,-0.264529743775139,4,7475,6830,3,12,11,1
34,17228,75.3714370727539,-0.26465160016046135,1,7904,6887,2,13,10,3
35,17821,75.2029800415039,-0.2650430959611408,4,7947,8937,3,19,18,1
36,18473,75.00245666503906,-0.2644462592281982,5,7701,2058,4,22,20,2
37,18934,74.81868743896484,-0.26445827674536426,2,4469,7904,3,16,13,3
38,19070,74.64186096191406,-0.26464415080065723,5,6648,3044,5,23,19,4
39,19776,74.47635650634766,-0.26468223988444417,5,4790,6484,2,11,11,0
40,20324,74.31209564208984,-0.2645725514744764,5,6410,7984,3,18,15,3
41,20610,74.12594604492188,-0.264669096407506,2,5072,4319,4,17,14,3
