generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,0.9018165469169617,0.7601082949303936,5,-1,-1,3,18,18,0
1,593,0.9036627411842346,0.7596947771879214,3,316,307,3,17,17,0
2,1291,0.9179781675338745,0.760787569597274,4,821,176,3,18,18,0
3,1526,0.9130402207374573,0.7598942477579315,5,949,1411,3,18,18,0
4,2182,0.8980125784873962,0.7619805351107191,5,990,1331,4,21,21,0
5,2504,0.9033910632133484,0.7601792138183225,5,2182,969,3,18,18,0
6,3299,0.8987852334976196,0.7610324352658007,7,2051,924,2,14,13,1
7,3784,0.8966159820556641,0.7604609775851859,3,1036,1122,4,22,21,1
8,4220,0.8947182893753052,0.7608008609797161,2,3543,3134,3,19,19,0
9,4701,0.9034799337387085,0.7592818354269135,2,1291,1928,4,21,20,1
10,5127,0.9126693606376648,0.7611086833523566,2,4548,1853,3,20,20,0
11,5712,0.8953856825828552,0.7614548410520214,5,4021,5297,3,20,19,1
12,6311,0.9107331037521362,0.7625003997922383,2,2520,5123,2,11,10,1
13,6569,0.8926418423652649,0.7602504502132177,5,4776,1930,3,18,18,0
14,7424,0.8950833678245544,0.7611929439040622,2,6131,2873,2,11,11,0
15,7731,0.905182421207428,0.762374910421498,2,6311,2520,2,11,11,0
16,8407,0.8878092765808105,0.7609542509271554,2,5247,5809,3,20,19,1
17,8889,0.8900237083435059,0.7615631598825279,3,4700,81,3,19,19,0
18,9438,0.888738751411438,0.760755035521864,4,7881,6061,3,18,18,0
19,9888,0.8855427503585815,0.7610927202412952,1,9015,7499,5,25,23,2
20,10273,0.8875700235366821,0.7614833614498877,3,8827,6098,3,19,19,0
21,10891,0.8836870193481445,0.7611122784146925,6,9945,5020,3,19,19,0
22,11108,0.8909677267074585,0.7617897291990443,3,8863,9813,3,20,20,0
23,11804,0.8817312717437744,0.7614163371694408,6,11221,8051,3,22,20,2
24,12264,0.8833169341087341,0.7615966791109379,6,10891,10662,4,20,18,2
25,12758,0.8826293349266052,0.7617113180960854,6,2379,12173,5,26,22,4
26,13145,0.8864201307296753,0.7620125971921923,4,9022,3491,2,13,13,0
27,13922,0.8762001395225525,0.7617671358215702,3,3784,11318,3,19,18,1
28,14499,0.8765886425971985,0.7610282286497447,7,12072,13350,3,20,19,1
29,14968,0.8850064873695374,0.7619754577101968,3,13248,5127,3,21,21,0
30,15025,0.8754644989967346,0.7619108485761142,3,14658,6982,2,12,12,0
31,15761,0.8747439384460449,0.7620227234415794,7,10199,12602,3,20,20,0
32,16485,0.8873168230056763,0.7618575853794073,3,11335,3784,3,16,15,1
33,16717,0.8731085658073425,0.7611805475961773,6,13605,11852,3,20,19,1
34,17074,0.8755816221237183,0.7617738827003099,4,9438,14605,4,23,21,2
35,17839,0.8716277480125427,0.7618714761468822,6,9888,14991,4,21,20,1
36,18302,0.8730431795120239,0.7623921242180856,3,15994,13899,3,19,18,1
37,18983,0.890312135219574,0.7618886538289457,3,14968,15994,3,20,20,0
38,19489,0.8687596321105957,0.7611294962635315,6,10751,15115,2,14,13,1
39,19863,0.8686431050300598,0.7617269346733727,5,19410,15660,3,20,18,2
40,20398,0.8923936486244202,0.7617447011594141,3,18983,17503,4,23,22,1
41,20986,0.8681741952896118,0.7616181712366327,5,17503,10273,4,23,22,1
42,21037,0.8670265674591064,0.7616379122990251,2,5712,17805,6,27,26,1
43,21924,0.8643370866775513,0.7613027058925992,6,17809,18244,3,17,17,0
44,22193,0.8634486198425293,0.761204338648107,6,19642,17332,2,13,12,1
45,22604,0.8620057702064514,0.7624310351659329,5,16509,17805,3,20,20,0
46,23016,0.8710656762123108,0.7622042834389383,6,22654,19665,2,13,13,0
47,23890,0.8600679636001587,0.7620208951621379,2,20311,21041,3,21,19,2
48,24146,0.8778855800628662,0.7623747434653209,4,17778,16831,3,20,20,0
49,24847,0.8625601530075073,0.7610734211024793,6,17623,15835,5,25,21,4
50,25147,0.8609146475791931,0.7619501676921091,7,14658,18983,2,16,16,0
51,25661,0.8559905290603638,0.7619086721386328,6,22193,12758,3,18,18,0
52,26270,0.8651500344276428,0.7625144348841579,6,14968,20219,4,23,21,2
53,26680,0.8648493885993958,0.761642207336378,7,13145,17857,2,14,12,2
54,27325,0.8550916314125061,0.7613312909816788,2,22201,21061,2,15,15,0
55,27778,0.8587485551834106,0.7615073073459686,6,24438,13145,3,20,20,0
56,28200,0.8513144254684448,0.7616490836190363,7,7542,22879,3,20,18,2
57,28806,0.8515762686729431,0.7622446757897529,7,13990,18244,3,20,19,1
58,29294,0.8529416918754578,0.7615615310090827,2,16128,15949,3,20,20,0
59,29740,0.8638029098510742,0.7625790630696564,7,25661,17770,2,14,12,2
60,30461,0.8502042889595032,0.762558893814803,7,13593,26241,3,21,21,0
61,30832,0.8508942723274231,0.7619446133194665,7,30364,26793,4,22,22,0
62,31106,0.8484195470809937,0.760564574757856,2,17839,28009,3,16,16,0
63,31979,0.848974347114563,0.7617680765974593,6,22747,19863,2,14,13,1
64,32212,0.8516608476638794,0.7624445554241074,8,18983,12733,2,13,13,0
65,32700,0.8465314507484436,0.7615613756063941,7,17770,9293,2,12,12,0
66,33199,0.8452403545379639,0.7625814736749178,7,13990,21278,3,23,22,1
67,33917,0.8407611846923828,0.761141878596948,7,15025,15684,2,14,14,0
68,34454,0.8565796613693237,0.7615729494584181,8,23016,17769,2,15,15,0
69,34513,0.8410997986793518,0.7610018144905564,3,17969,26661,3,18,16,2
70,35088,0.8479618430137634,0.7615858549327256,8,24438,18784,3,19,16,3
71,35563,0.8412047028541565,0.7619292755742864,7,10273,33290,3,20,20,0
72,36458,0.8406977653503418,0.7615535578675022,7,19938,17969,3,18,17,1
73,36674,0.8389468193054199,0.7619116941990256,8,14968,34169,3,20,19,1
74,37351,0.8363144397735596,0.7614457502045863,3,22747,19635,4,21,20,1
75,37846,0.8355590105056763,0.762024588800048,8,36458,26270,6,27,26,1
76,38214,0.8376019597053528,0.7614275597411284,3,33199,35890,4,24,23,1
77,38855,0.835509181022644,0.7621309633089504,3,36300,26553,4,23,21,2
78,39203,0.8382932543754578,0.7622571752688508,8,26965,26270,5,24,20,4
79,39874,0.8357389569282532,0.7613925327995494,3,14658,34169,3,15,14,1
80,40135,0.8331780433654785,0.7620510165691025,3,7542,24204,2,15,13,2
81,40859,0.8298878073692322,0.7610625469487858,1,38855,13922,2,15,15,0
82,41290,0.8308031558990479,0.7612628711610928,6,24204,24004,3,19,19,0
83,41539,0.8251898884773254,0.7619341404137279,5,25554,36470,5,23,20,3
84,42274,0.8495386242866516,0.7616060746584763,3,26166,7731,2,10,9,1
85,42756,0.825874388217926,0.7627581274009203,1,29294,22918,3,20,20,0
86,43184,0.8275164365768433,0.7623135665345332,7,28806,41400,3,22,21,1
87,43799,0.8200578093528748,0.7609332163243486,8,39203,37846,3,22,22,0
88,44218,0.825209379196167,0.7626838241751019,8,14968,7542,2,15,14,1
89,44877,0.8421619534492493,0.7615145033845481,8,32212,17857,3,22,19,3
90,45417,0.8228009343147278,0.762654798834215,8,14968,20607,4,22,22,0
91,45791,0.826026439666748,0.7614374097063709,8,43338,22654,5,25,24,1
92,46320,0.8440437316894531,0.7618002027801352,4,26680,19665,2,14,13,1
93,46568,0.8479395508766174,0.7626912595531332,4,25554,26228,4,22,21,1
94,47177,0.8133412003517151,0.7618454131841964,1,22747,28009,3,21,21,0
95,47528,0.8104385733604431,0.7619219115827397,4,17857,40576,3,19,16,3
96,48384,0.8134617805480957,0.761296195870697,3,41876,36078,3,21,18,3
97,48907,0.8103188276290894,0.7610715702516938,7,35604,29862,4,22,21,1
98,49366,0.8122287392616272,0.7618765996466086,8,14968,11030,3,20,17,3
99,49587,0.806750476360321,0.761913143196668,7,36458,41905,4,22,18,4
100,50156,0.8065857291221619,0.7618898059185439,7,13990,22918,2,14,13,1
101,50735,0.8410393595695496,0.7624563444845245,4,32700,26228,3,20,19,1
102,51026,0.8051090836524963,0.7613954122310916,8,46606,21330,2,16,15,1
103,51593,0.8053886890411377,0.7621032870973341,8,46606,25147,3,20,19,1
104,52426,0.7954301834106445,0.7620532933828188,2,20918,21278,3,13,13,0
105,52545,0.795870304107666,0.7614310867515904,8,39203,36936,6,27,25,2
106,53037,0.7985419034957886,0.7618152638552776,3,18302,18302,3,20,18,2
107,53820,0.7975180745124817,0.7627008794331431,6,46320,42756,3,21,18,3
108,54328,0.7993391752243042,0.762004405773738,8,12758,46320,3,20,18,2
109,54518,0.7966532707214355,0.7622204640863985,8,44218,43218,3,20,18,2
110,55145,0.7881494760513306,0.7615813453503548,7,31979,32283,4,24,20,4
111,55621,0.791553258895874,0.7617789113860994,5,22747,36936,2,14,14,0
112,56036,0.7955890893936157,0.7607452464005023,8,50317,33927,4,14,13,1
113,56886,0.7910009026527405,0.7619643739608334,8,54518,41539,4,23,21,2
114,57073,0.7823976874351501,0.7617085076479003,6,52426,48331,5,24,21,3
115,57554,0.7890108823776245,0.761515357386525,1,32216,41342,3,20,20,0
116,58245,0.7851245999336243,0.7607306957297628,8,56886,54518,4,22,21,1
117,58966,0.7841078042984009,0.7616956320167486,8,51593,14635,4,20,20,0
118,59348,0.7815583348274231,0.7614794015180941,5,15761,41342,3,21,21,0
119,59639,0.7815681099891663,0.7625667664084569,8,50317,14968,3,17,16,1
120,60371,0.7815171480178833,0.7615578763717744,5,50503,47357,2,15,15,0
121,60843,0.8197136521339417,0.7618122945126542,4,13990,46568,4,22,19,3
122,61449,0.7785868644714355,0.7620268183842879,8,24146,44218,3,17,15,2
123,61963,0.7768272757530212,0.7622642733060025,4,43184,36470,3,20,17,3
124,62353,0.7736706733703613,0.7615460007262668,7,38855,26228,2,13,13,0
125,62776,0.77439945936203,0.7622680453560038,8,58837,36078,5,22,20,2
126,63016,0.8183066248893738,0.7618638148207726,4,26228,32283,3,20,18,2
127,63977,0.7615201473236084,0.7618981737871132,1,57073,53692,3,22,21,1
128,64439,0.7706684470176697,0.7614559590105193,8,51593,41907,4,23,20,3
129,64763,0.7677111029624939,0.7615920073951216,8,54518,46355,5,26,24,2
130,65175,0.7588533163070679,0.7610087861659668,8,22654,17857,6,27,26,1
131,65842,0.7637378573417664,0.7611176094176925,3,22747,40576,3,21,21,0
132,66464,0.7607489228248596,0.7615416983681865,5,30209,59022,3,23,22,1
133,66686,0.7611773014068604,0.7617433122913181,2,30461,36470,5,25,22,3
134,67357,0.7595049142837524,0.7619576098159302,8,49366,32781,4,25,24,1
135,67617,0.758766770362854,0.7623396622077413,5,56578,41342,5,24,21,3
136,68456,0.7639888525009155,0.7612185953287558,6,50503,43218,4,25,25,0
137,68536,0.7578374743461609,0.7618340860587076,5,35563,21330,3,19,18,1
138,69218,0.7577958106994629,0.7614867470289242,3,41539,50815,3,19,16,3
139,69575,0.7545577883720398,0.7617972340096181,5,23890,28009,3,20,19,1
140,70247,0.8002542853355408,0.7624623356861823,4,50735,61963,3,19,19,0
141,70668,0.7792850136756897,0.7627979428969489,7,29740,59835,2,12,12,0
142,71447,0.7765849232673645,0.7625790207500812,2,24146,68536,3,21,19,2
143,71920,0.7488856315612793,0.7611852179700733,8,44218,54518,3,21,21,0
144,72205,0.7380825281143188,0.7615850398884748,4,61299,59022,6,27,25,2
145,72872,0.7470232248306274,0.7618172779135108,6,53829,28806,3,20,20,0
146,73235,0.7444741129875183,0.7609695760772872,3,33294,30459,3,17,15,2
147,73804,0.7413411140441895,0.762590986247549,5,47528,15761,3,16,16,0
148,74106,0.7419561743736267,0.7615336020679416,8,54518,46355,4,23,20,3
149,74770,0.7404186725616455,0.7610550677295377,7,52455,50503,3,19,19,0
150,75198,0.7413700819015503,0.7606712471260264,7,17839,70538,4,23,20,3
151,75982,0.729468584060669,0.7622723918940467,8,32212,69797,3,21,21,0
152,76037,0.7369030117988586,0.7618375877696707,8,62776,43197,3,19,18,1
153,76790,0.7421570420265198,0.7620015744275862,8,56886,21330,3,21,18,3
154,77343,0.7324203848838806,0.7612610859516009,8,45417,50156,3,23,23,0
155,77922,0.7293805480003357,0.7625734570450555,7,36674,28806,3,20,18,2
156,78130,0.7315674424171448,0.7617795537579233,6,30060,67617,2,12,10,2
157,78770,0.7343913316726685,0.7619731630328749,1,33199,48331,3,19,17,2
158,79233,0.7626559734344482,0.7623357374196899,4,43184,6311,3,20,19,1
159,79624,0.7312764525413513,0.7622747274550528,8,52092,76790,4,23,20,3
