generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,124,0.461576908826828,0.007046023879345395,3,-1,-1,3,18,18,0
1,520,0.4612247049808502,0.2579576503776893,2,237,460,2,11,11,0
2,1325,0.46026769280433655,-0.02010160956948394,4,303,210,3,18,18,0
3,1724,0.4591391384601593,-0.018735078303490832,4,303,1268,3,17,16,1
4,2153,0.45886048674583435,0.07566510499849884,4,1325,1724,3,18,17,1
5,2543,0.4571082890033722,-0.009800062919488062,2,2381,1744,3,18,18,0
6,3160,0.4562647044658661,0.018287467944304688,5,360,1179,4,21,20,1
7,3894,0.45458486676216125,0.3596445551636677,5,1902,1648,3,17,16,1
8,4290,0.4548450708389282,0.023690142451916155,2,2016,360,4,15,14,1
9,4653,0.45328834652900696,0.00849667633061328,4,1724,2153,4,21,19,2
10,5166,0.45238903164863586,-0.018189402097060447,5,3422,828,3,20,20,0
11,5640,0.45387330651283264,0.25340005923467696,5,4290,2222,4,19,18,1
12,6381,0.4496365785598755,0.028981749268101282,5,5562,1432,4,19,18,1
13,6711,0.4488769471645355,0.014028503339635047,4,4653,1466,3,18,18,0
14,7466,0.44830113649368286,0.05343890918764599,1,2203,5700,3,19,18,1
15,7969,0.44723281264305115,0.013773523238241235,1,3229,4736,4,20,20,0
16,8424,0.44629043340682983,-0.056405026491705534,5,2543,3096,3,17,17,0
17,8562,0.4457877576351166,-0.010736272211392435,5,5562,4145,4,21,18,3
18,9146,0.4449816644191742,0.23082975892535632,2,4290,4290,2,11,9,2
19,9905,0.44377121329307556,-0.010055306263811941,2,2543,5441,4,19,17,2
20,10097,0.44246044754981995,0.18552524551212213,2,4774,5640,2,13,13,0
21,10535,0.4420261085033417,0.0044098068679336525,2,3422,4105,3,19,19,0
22,11284,0.44082459807395935,-0.02361901652463654,1,10097,7321,2,12,12,0
23,11621,0.43909400701522827,0.1958719862617034,1,5640,9146,3,17,16,1
