generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,75,57.86603264228782,0.695304173094712,1,-1,-1,3,18,18,0
1,531,45.406185606714715,-0.2645939172648297,1,154,329,3,19,19,0
2,1255,40.311608716601775,-0.07787036843032502,2,596,127,3,19,19,0
3,1506,38.446187399162085,0.214585162177721,1,1296,77,4,20,18,2
4,2078,24.13707193882373,-0.09572219336085347,1,1133,44,4,21,19,2
5,2820,21.292347406311467,-0.2245969028443213,1,531,173,3,17,17,0
6,3429,22.942028458839346,-0.10624150455793138,2,2802,2820,3,18,17,1
7,3585,31.339543090718237,0.12652250858773342,4,1009,1636,4,21,20,1
8,4339,21.783691674302286,-0.1010925672708057,2,3143,1255,3,17,17,0
9,4638,23.222755690988233,-0.12478656273524853,4,3367,41,2,11,11,0
10,5317,17.323882382640672,-0.16910348846362627,2,930,1609,4,18,16,2
11,5961,17.207936203630677,-0.15446177231493405,2,5336,1385,2,12,12,0
12,6308,17.64264331536833,-0.22279483322327565,4,3190,15,2,12,12,0
13,6506,22.184372500316943,-0.13653925669518047,4,2429,1796,3,18,18,0
14,7242,20.88864648839786,-0.1630351828890701,1,5058,889,4,20,19,1
15,7689,26.35443481163581,0.07660186453934464,2,1210,2078,2,10,9,1
16,8219,17.211179793639776,-0.08859458017734545,1,6779,95,2,13,13,0
17,8538,16.409247865461484,-0.19348384561472826,2,1304,2015,4,21,20,1
18,9416,20.96158033702687,-0.13838980878355275,1,8812,2429,3,19,18,1
19,9562,18.921882812745128,-0.11751921929532068,2,1724,7689,3,19,19,0
20,10068,18.968673177548048,0.017436672018760653,1,4069,1255,3,19,19,0
21,10580,16.849603213297623,-0.1813593067489106,4,9109,321,2,12,12,0
22,11121,16.467676552794746,-0.03924899921130321,2,1965,191,3,19,19,0
23,11720,16.60376404178928,-0.05524880778115761,2,3442,1380,2,11,11,0
24,12053,15.728014711546285,-0.25343038093962894,1,1096,32,3,12,11,1
25,12767,16.112380428521313,-0.2927723527734726,1,278,156,2,11,10,1
26,13132,16.46095457913458,-0.09999734121594038,4,600,817,2,13,13,0
27,13678,17.580444555189548,-0.1787902534102064,2,786,1728,2,11,11,0
28,14323,17.73556689058798,-0.15851130454246692,4,1045,1360,3,20,19,1
29,14598,17.33789714862198,-0.09707773238063797,1,11882,415,2,10,9,1
30,15343,18.11772850667979,-0.1741568976035349,4,2015,4638,3,18,18,0
31,15528,19.321983241454326,-0.14042395195291832,4,3367,2839,3,18,18,0
32,16330,30.00647109114665,0.14203516561814525,1,7689,4339,4,20,20,0
33,16581,19.07854752730327,-0.06644086890496992,1,3177,11882,3,19,18,1
34,17171,21.312263611279267,0.0657617393641519,4,3367,383,3,13,12,1
35,17871,16.990408854096373,-0.18191645022446845,4,7515,3435,4,14,12,2
36,18127,16.59860531701401,-0.11574304203142234,2,15932,731,2,11,11,0
37,18719,19.96475971421007,-0.12964041164028703,1,1011,1518,3,18,17,1
38,19353,15.539678730201958,-0.18589631229087825,1,18220,1385,3,19,19,0
39,19566,17.76398719809225,-0.18135998507790665,2,8006,470,2,11,9,2
40,20393,36.16308607786345,0.265705108150917,2,1487,1506,2,12,12,0
41,20603,22.158680481532322,0.07712591515430643,2,4050,1028,3,18,18,0
42,21185,34.015322899450396,0.2744766771348763,2,20393,1506,3,19,19,0
43,21630,18.91163223087127,0.05631824472816377,1,12991,12894,3,13,12,1
44,22011,22.04566150562814,0.12775604589125997,1,4623,2155,3,18,17,1
45,22844,17.36634620361881,-0.05354520280858046,1,10117,739,3,14,12,2
46,23318,15.783133684095668,-0.24313341507620215,1,17647,1357,2,10,10,0
47,23528,17.176866446119174,-0.3123197088735264,2,2608,7242,3,12,12,0
48,24041,16.907791311337256,-0.0634425196972781,1,4050,1096,2,11,11,0
49,24990,16.16065536070453,-0.3101093768506523,1,456,4638,4,21,20,1
50,25342,34.594904548979834,0.32976343297439253,1,506,20393,3,18,17,1
51,25660,27.993656398266847,0.45670600776906173,1,191,1171,3,20,19,1
52,26443,15.648703203964223,-0.031213907643900245,3,11882,5841,3,12,10,2
53,26941,16.203446262772655,-0.09981161155143967,2,10117,44,3,13,13,0
54,27370,26.202417578574842,0.23199221119983565,1,20393,2063,3,18,18,0
55,27784,15.507497493853457,-0.26630801355959033,1,9690,11882,2,12,12,0
