generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,93,57.4100784356446,0.7240061720068204,2,-1,-1,3,18,18,0
1,930,29.129659727622993,0.7573588805692589,1,5,93,3,19,19,0
2,1283,6.817992430615962,0.7615142765495807,3,740,93,3,19,19,0
3,1550,9.529964082872802,0.7598255240553095,4,1241,1273,4,20,18,2
4,2429,6.280005062937008,0.7613080608466402,2,1930,896,4,21,19,2
5,2744,5.525469837230182,0.7604205692409313,1,1031,1070,3,17,17,0
6,3177,5.345247953959781,0.7613114455986412,2,106,506,3,18,17,1
7,3794,3.3226895602996422,0.7609672314630405,2,2207,1934,4,21,20,1
8,4203,4.67523013820484,0.761328438523356,4,3190,2388,3,17,17,0
9,4811,2.4828706246248107,0.7617069242589791,2,3846,3523,2,11,11,0
10,5061,2.5669977357710017,0.7617256739831468,2,2388,2192,4,18,16,2
11,5925,3.261516842695884,0.7614564820745661,2,4248,1636,2,12,12,0
12,6329,3.4021202199159437,0.7613261708868311,4,2902,3808,2,12,12,0
13,6994,1.9206854667494906,0.76089849419646,4,4203,1394,3,18,18,0
14,7075,1.8097515286714674,0.7617556200941836,4,6695,6595,4,20,19,1
15,7784,1.51754538888179,0.7609050597217625,1,4668,6483,2,10,9,1
16,8006,2.166143181628333,0.7616850561070191,1,1394,7920,2,13,13,0
17,8689,0.603374637642312,0.7601047143307826,1,7356,5999,4,21,20,1
18,9145,1.3101282608706344,0.7612505186606966,2,6325,1767,3,19,18,1
19,9550,1.1212245558385654,0.7614347381626932,2,5925,7515,3,19,19,0
20,10211,3.743267477422722,0.7620513802610327,1,5359,1306,3,19,19,0
21,10659,1.3734953747302794,0.7615468578277598,4,9748,9863,2,12,12,0
22,11283,1.859821107197786,0.760966922754416,2,7086,8006,3,19,19,0
23,11882,4.281045609527309,0.7624241989674322,1,5841,10117,2,11,11,0
24,12426,1.2673828211149192,0.7611067824234939,2,9690,10860,3,12,11,1
25,12728,4.740014471324469,0.7624435209207769,1,11882,1542,2,11,10,1
26,13192,1.0747242659429195,0.7612389373540794,1,4623,428,2,13,13,0
27,13585,2.8080182108111598,0.7620770457058388,1,5359,204,2,11,11,0
28,14476,1.5601178316540099,0.7619307804466208,1,3177,1870,3,20,19,1
29,14901,1.262532627973687,0.7609844392554229,2,12426,493,2,10,9,1
30,15434,0.9155737429685833,0.7620254898716252,2,9550,12894,3,18,18,0
31,15709,3.9397660327882202,0.7625372862236762,2,15277,1119,3,18,18,0
32,16444,4.023392978929539,0.7617469120737338,1,15249,8171,4,20,20,0
33,16875,1.0631380438952693,0.7617919985365218,2,2744,7784,3,19,18,1
34,17106,1.671931513626935,0.7614207154282425,2,15920,1323,3,13,12,1
35,17700,1.5494112235579829,0.7621501960571259,2,3794,1506,4,14,12,2
36,18047,5.980974162771272,0.7609662136513717,4,5359,956,2,11,11,0
37,18788,1.8239804142433158,0.7623582208712266,2,10467,10125,3,18,17,1
38,19482,3.625524490810503,0.7610156252334028,4,14380,9594,3,19,19,0
39,19720,2.2274307949598997,0.7608976545494868,2,15932,12894,2,11,9,2
40,20099,0.7835326873331887,0.7616331262732532,2,17162,9463,2,12,12,0
41,20542,4.296715937608613,0.7624472033811138,3,14380,16444,3,18,18,0
42,21256,1.324483344442456,0.7609218369953218,2,15674,726,3,19,19,0
43,21608,1.053142182883499,0.7620983412961727,2,18875,7515,3,13,12,1
44,22150,1.3377071869073922,0.7614789953923875,1,17604,2334,3,18,17,1
45,22717,1.184758141078935,0.7611735534552055,1,15932,2015,3,14,12,2
46,23250,4.061237111581219,0.7617400115909835,2,15709,17700,2,10,10,0
47,23628,1.8419062031372333,0.7617940571427677,1,17604,15932,3,12,12,0
48,24435,4.306031975250497,0.7623088457911198,1,15897,1283,2,11,11,0
49,24966,0.8804328230335128,0.7609128987984908,1,18788,1441,4,21,20,1
50,25314,3.714499163273344,0.7615894685989365,1,15709,14380,3,18,17,1
51,25571,1.092068598942485,0.7618433008814701,1,24059,1659,3,20,19,1
52,26293,1.1168142295252723,0.7612794982695347,4,4203,12269,3,12,10,2
53,26758,1.7282889154760843,0.7614891324982876,2,21608,20843,3,13,13,0
54,27182,2.152873592075738,0.7620411408945913,2,15932,24059,3,18,18,0
55,27866,5.704995364351572,0.7619558427762209,2,3794,154,2,12,12,0
56,28348,2.9391850996298206,0.7628139573982214,2,10219,15897,3,13,12,1
57,28543,2.1257484397310225,0.7619404858673341,4,4203,28488,2,12,12,0
58,29413,1.7924859932075188,0.7605729949043007,1,15470,18788,3,18,18,0
59,29610,3.9303222592116223,0.7619679534702406,1,5227,44,3,14,12,2
60,30268,3.766493143615418,0.7619800309094645,2,24435,26758,2,13,13,0
61,30514,1.114190647148761,0.7609198873630714,2,15434,28348,3,18,18,0
62,31200,3.3828278947385844,0.7623327555375916,2,14215,20536,3,18,18,0
63,31836,3.010086355267772,0.7612898551262037,1,25566,13192,4,22,18,4
64,32016,1.018289026335586,0.7617192861833922,2,24059,1045,4,22,21,1
65,32867,2.8830891840669794,0.7616060934719264,3,28543,32,3,18,18,0
66,33290,1.0984794353751193,0.7619368063687592,1,13192,41,3,21,21,0
67,33960,4.149333940641944,0.7625396558493298,4,27793,686,3,19,19,0
68,34161,1.1337385552109338,0.7611376963281348,2,26758,16875,4,20,19,1
69,34920,3.432470151860314,0.7616137429290347,1,23250,30211,4,23,21,2
70,35255,3.8994167942049955,0.7618489175378845,1,33921,23250,3,15,14,1
71,35822,0.7592202470153808,0.7614339617005653,1,24059,14215,4,20,20,0
72,36117,2.661935095876776,0.7624332150896762,2,17162,204,4,14,13,1
73,36554,5.193502702654484,0.7616364920148857,1,25314,2078,3,19,19,0
74,37170,2.187867663906202,0.7616762634113468,1,3177,1829,2,11,9,2
75,37697,3.643543684764985,0.7617619538262286,1,20542,34920,3,19,19,0
76,38067,3.5778935994771617,0.7624815898547355,4,20370,28543,2,12,12,0
77,38788,1.273321498796355,0.7610908612639558,3,22204,14109,3,20,20,0
78,39432,2.6270625380221038,0.7616652177709051,2,37733,646,2,12,12,0
79,39892,2.0456928521851467,0.7613557979960357,1,18788,2932,2,11,11,0
80,40151,3.4593146862704374,0.7622076276246768,2,28348,1758,2,11,11,0
81,40743,4.1477629473643765,0.7615561159052865,1,34920,36554,2,11,10,1
82,41312,1.1771151920866918,0.7617809900005077,2,16221,9298,4,12,10,2
