generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,201,2.6964964866638184,-0.3974605108969704,5,-1,-1,3,18,18,0
1,831,0.11935769021511078,0.7419061949232287,3,482,201,2,12,12,0
2,1048,0.0952693521976471,-0.25871168811346945,2,582,988,3,19,19,0
3,2000,0.3300715386867523,-0.2835924633975525,2,1032,1101,4,23,21,2
4,2029,0.08110243827104568,-0.346255253952203,2,1909,1096,3,17,17,0
5,2799,0.014122186228632927,-0.4345479087208133,7,1909,2029,4,22,20,2
6,3500,0.017576927319169044,-0.35084222936383846,7,2201,2646,4,20,17,3
7,3573,0.013680404052138329,-0.3338750803108601,7,3054,3170,3,18,18,0
8,4255,0.005658815614879131,-0.34724228280127223,7,3765,3573,3,19,19,0
9,4523,0.008702652528882027,-0.12625622750363064,5,2097,3833,3,19,17,2
10,5376,0.00588630698621273,-0.3517497061074559,2,4502,4664,2,12,11,1
11,5888,0.012200940400362015,-0.3373001392079283,6,5376,5184,2,15,15,0
12,6059,0.027267824858427048,-0.3396811175111389,6,5769,5376,2,13,13,0
13,6514,0.026572640985250473,-0.3504854130147049,7,6124,6111,3,19,19,0
14,7225,0.026874303817749023,-0.36205673202987365,4,6248,5888,2,14,13,1
15,7871,0.0019670804031193256,-0.20896138152142346,6,5098,6925,2,12,10,2
16,8061,0.002994433045387268,-0.19667057180993658,6,6581,7871,2,12,11,1
17,8888,0.003077761735767126,-0.26968632641298645,6,8437,8174,3,18,18,0
18,9466,0.002568740863353014,-0.34341001770302804,6,8717,8888,3,19,18,1
19,9989,0.0025618108920753,-0.34813110672468395,4,1544,9397,2,13,11,2
20,10249,0.003258408047258854,0.28190570929769876,5,7277,9699,3,16,15,1
21,10527,0.0013146237470209599,0.744649137354246,6,9300,10393,4,22,21,1
22,11203,0.004221620503813028,-0.3384513621977828,4,8793,10918,5,22,19,3
23,11990,0.011961635202169418,0.10452894762321027,4,5646,9632,4,21,20,1
24,12385,0.008273502811789513,0.1591461197401608,4,4791,11224,4,22,21,1
25,12694,0.010394884273409843,0.30039427504680005,6,10284,12192,2,11,10,1
26,13163,0.004954391624778509,0.3313603222371623,1,12694,12885,4,22,20,2
27,13646,0.00961042195558548,0.27344548516498646,2,7963,13303,4,21,20,1
28,14340,0.008078041486442089,0.28822749420563093,4,10795,13634,5,23,22,1
29,14885,0.008878182619810104,-0.35085234576763574,4,14354,13646,3,19,15,4
30,15206,0.006375360302627087,-0.35684344666060897,5,6114,14836,4,22,19,3
31,15766,0.016833186149597168,-0.3676104895035905,2,15147,15206,3,19,16,3
32,16375,0.02490304224193096,-0.37609870615234425,5,10053,15861,2,12,11,1
33,16656,0.013745310716331005,-0.4354249074847793,4,16189,15206,2,14,13,1
34,17245,0.012640715576708317,-0.3879012261650664,5,16844,16375,2,14,13,1
35,17831,0.016259735450148582,-0.38884072895063104,1,16554,17245,3,13,13,0
36,18115,0.0324031226336956,-0.381669949448215,3,17040,17450,3,14,13,1
37,18847,0.010028360411524773,-0.39102244963500693,6,16554,18376,2,13,12,1
38,19175,0.006383906118571758,-0.3919759214241994,4,18515,18515,3,18,18,0
39,19588,0.00285908579826355,-0.4351595188287351,4,3654,19461,2,14,13,1
40,20195,0.00646041939035058,-0.14402029483373227,6,19821,19821,5,24,19,5
41,20620,0.007027792278677225,-0.2433484721707154,4,20399,20007,4,23,22,1
42,21360,0.0083451047539711,-0.079465410115211,6,11734,20620,2,14,12,2
43,21970,0.021489346399903297,-0.053361505033173794,3,21274,21274,2,15,13,2
44,22224,0.009070857428014278,-0.04061964980191974,6,21970,21607,2,14,14,0
45,22937,0.015132194384932518,-0.19667268635605412,3,10848,21970,3,20,18,2
46,23295,0.025202708318829536,-0.02145738780516855,3,8782,21508,3,16,15,1
47,23508,0.022167334333062172,-0.0408212752384403,6,21931,23034,2,11,10,1
48,24477,0.030141102150082588,-0.25265399535653277,4,19093,23392,3,19,18,1
49,24887,0.028305377811193466,-0.04970589505356745,6,18172,24459,3,15,13,2
50,25038,0.04166882112622261,-0.34895415963941395,1,11385,24920,3,19,18,1
51,25708,0.026099584996700287,-0.3289243518311268,5,13208,25073,2,15,13,2
52,26050,0.017512943595647812,-0.03819150043803761,2,25587,25912,5,26,23,3
53,26563,0.010493520647287369,-0.0283299449366483,5,25912,26062,2,13,9,4
54,27002,0.011088449507951736,-0.027861715857062007,3,26604,26062,4,20,20,0
55,27936,0.011262047104537487,-0.09039843743863285,6,11613,27338,4,18,17,1
56,28475,0.014584080316126347,-0.04897092337380306,6,14008,9937,3,19,19,0
57,28572,0.006313396152108908,0.2881453160793186,5,12666,26704,2,11,10,1
58,29147,0.011076519265770912,-0.3618911152735519,2,28520,28605,2,12,10,2
59,29866,0.007210159674286842,-0.34915983852965377,4,29179,29147,4,21,19,2
60,30346,0.014984536916017532,-0.005573532640312321,1,15608,11459,3,18,17,1
