generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,188,2.31581974029541,-0.2786011183933603,,-1,-1,3,18,18,0
0,201,2.6964964866638184,-0.3974605108969704,,-1,-1,3,18,18,0
0,217,2.3971877098083496,-0.34044256069504536,,-1,-1,3,18,18,0
0,227,2.303678512573242,-0.31623990692450643,,-1,-1,3,18,18,0
0,245,2.650832176208496,-0.39581553033745304,,-1,-1,3,18,18,0
0,250,2.280787467956543,-0.11220364381211265,,-1,-1,3,18,18,0
0,478,2.262662410736084,-0.3408371113620036,,-1,-1,3,18,18,0
0,491,2.469358205795288,-0.3262340120678435,,-1,-1,3,18,18,0
0,494,2.20200514793396,-0.3817235413397433,,-1,-1,3,18,18,0
1,250,0.05212559923529625,-0.11220364381211265,,-1,-1,3,18,18,0
1,535,0.046574369072914124,0.6069029136594781,,323,250,3,17,17,0
1,545,0.045252326875925064,-0.25722791086299807,,494,188,3,19,19,0
1,582,0.06256607174873352,0.687420511772723,,250,188,3,19,19,0
1,793,0.04569516330957413,-0.1311745836738193,,299,491,3,18,18,0
1,808,0.09940071403980255,0.7515711951530768,,182,291,3,18,18,0
1,829,0.049955837428569794,-0.12071866089974731,,217,250,3,18,18,0
1,831,0.11935769021511078,0.7419061949232287,,482,201,3,17,17,0
1,857,0.04993530362844467,-0.11947305957648482,,250,250,4,19,18,1
1,988,0.04937063157558441,-0.09511680127766359,,491,250,3,18,18,0
2,250,0.09476649761199951,-0.11220364381211265,,-1,-1,3,18,18,0
2,545,0.09627631306648254,-0.25722791086299807,,494,188,3,19,19,0
2,793,0.08692260086536407,-0.1311745836738193,,299,491,3,18,18,0
2,829,0.09232065081596375,-0.12071866089974731,,217,250,3,18,18,0
2,857,0.09219110012054443,-0.11947305957648482,,250,250,4,19,18,1
2,988,0.08943396061658859,-0.09511680127766359,,491,250,3,18,18,0
2,1017,0.07817591726779938,-0.18159472328330278,,831,545,2,12,12,0
2,1032,0.08970972895622253,-0.08741649756658633,,582,250,3,20,20,0
2,1048,0.0952693521976471,-0.25871168811346945,,582,988,3,19,19,0
2,1096,0.07393432408571243,-0.30874317734502793,,250,250,3,18,18,0
2,1101,0.0940449982881546,-0.09388266910258171,,857,857,4,19,18,1
2,1210,0.06721265614032745,-0.3193216139963807,,549,582,3,19,18,1
2,1215,0.09071524441242218,-0.14618129601686955,,582,857,3,18,18,0
2,1217,0.0650106742978096,-0.32548382915923835,,831,250,3,17,17,0
2,1229,0.09265297651290894,-0.1282578203474009,,78,829,2,12,12,0
2,1237,0.09318216145038605,-0.15067130038486803,,250,250,2,13,13,0
2,1449,0.063383087515831,-0.3355912011967632,,700,831,3,17,17,0
3,545,0.33202606439590454,-0.25722791086299807,,494,188,3,19,19,0
3,793,0.25977474451065063,-0.1311745836738193,,299,491,3,18,18,0
3,829,0.254698246717453,-0.12071866089974731,,217,250,3,18,18,0
3,857,0.2534329295158386,-0.11947305957648482,,250,250,4,19,18,1
3,1017,0.26910775899887085,-0.18159472328330278,,831,545,2,12,12,0
3,1048,0.3312535583972931,-0.25871168811346945,,582,988,3,19,19,0
3,1096,0.321546345949173,-0.30874317734502793,,250,250,3,18,18,0
3,1210,0.31482595205307007,-0.3193216139963807,,549,582,3,19,18,1
3,1215,0.27184629440307617,-0.14618129601686955,,582,857,3,18,18,0
