generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,1.6324635744094849,0.7601082949303936,5,-1,-1,3,18,18,0
1,808,0.09940071403980255,0.7515711951530768,5,182,291,2,12,12,0
2,1224,0.045292485505342484,0.7614427066510626,4,968,831,3,19,19,0
3,1544,0.028095752000808716,0.75930502885343,6,1015,793,4,23,21,2
4,2147,0.01628599315881729,0.7583955525849514,3,1256,1909,3,17,17,0
5,2892,0.010352804325520992,0.7591292909271017,3,2009,653,4,22,20,2
6,3490,0.00880558043718338,0.7626889882300464,4,323,1694,4,20,17,3
7,3654,0.004436674993485212,0.7612996429222133,6,3415,1451,3,18,18,0
8,4359,0.003848129650577903,0.760495713661651,6,1224,3337,3,19,19,0
9,4945,0.003277410985901952,0.7628391635581899,6,4392,1331,3,19,17,2
10,5499,0.002414403948932886,0.7618708439534901,3,4012,2491,2,12,11,1
11,5646,0.0021491805091500282,0.7605987055429951,4,5181,5181,2,15,15,0
12,6194,0.0016659355023875833,0.7617499631813386,6,3776,3944,2,13,13,0
13,6803,0.000754839857108891,0.7613498117544516,4,5578,5462,3,19,19,0
14,7278,0.0007780074374750257,0.7627283361858068,6,1076,6627,2,14,13,1
15,7878,0.0006122965714894235,0.7616722520220146,6,5918,6514,2,12,10,2
16,8054,0.0002846041461452842,0.7620100457334948,6,7116,6107,2,12,11,1
17,8958,0.00023132246860768646,0.7621673688008198,4,4812,6803,3,18,18,0
18,9437,0.00025674287462607026,0.7618619012618224,4,8923,8611,3,19,18,1
19,9632,0.0002843332476913929,0.7618153888647017,4,417,4359,2,13,11,2
20,10053,0.00033918258850462735,0.7612966293948366,1,1310,9594,3,16,15,1
21,10848,0.0005282418569549918,0.761400755998499,6,10420,6114,4,22,21,1
22,11459,0.0003011755470652133,0.7625005426148497,6,10527,10527,5,22,19,3
23,11613,0.0001971709862118587,0.7626381297467152,5,11004,11472,4,21,20,1
24,12221,0.0005143737653270364,0.7610114656616638,6,8793,7890,4,22,21,1
25,12666,0.0005028873565606773,0.7610676614982222,6,7278,7632,2,11,10,1
26,13216,0.00017615282558836043,0.7616735766858143,4,7380,12673,4,22,20,2
27,13503,0.00021876743994653225,0.7615546748441561,6,10848,11633,4,21,20,1
28,14350,0.00031825489713810384,0.76262784173071,5,6114,13050,5,23,22,1
29,14902,0.00025952374562621117,0.761444501484357,4,9437,11336,3,19,15,4
30,15264,0.00017691533139441162,0.761799404258743,7,13559,14999,4,22,19,3
31,15608,0.000572922290302813,0.7612124618193792,6,14487,15004,3,19,16,3
32,16458,0.0004095844633411616,0.7617321382791308,3,4791,13559,2,12,11,1
33,16678,0.00022302038269117475,0.7616534571860517,4,12979,16409,2,14,13,1
34,17111,0.0001720291329547763,0.761791057882673,7,6803,8034,2,14,13,1
35,17908,0.0005414503975771368,0.7617460436481492,2,12411,10666,3,13,13,0
36,18087,0.0002785192336887121,0.7626674692282165,4,9937,15264,3,14,13,1
37,18943,0.0008128962945193052,0.7620166522546358,6,11734,16678,2,13,12,1
38,19093,0.00045211496762931347,0.7616188318072102,1,16167,17183,3,18,18,0
39,19562,0.00010849949467228726,0.7611024009842636,1,17183,15608,2,14,13,1
40,20165,6.778803799534217e-05,0.7617552733156254,4,16571,19611,5,24,19,5
41,20539,0.00016727150068618357,0.7617999051505709,1,15481,16180,4,23,22,1
42,21357,0.00044994481140747666,0.7622012658014363,6,16180,19487,2,14,12,2
43,21828,0.00035940692760050297,0.7620218488679752,3,16458,21160,2,15,13,2
44,22235,0.00037967204116284847,0.7614015315001761,1,16167,21744,2,14,14,0
45,22512,0.0018626970704644918,0.7608974019557336,4,6194,20165,3,20,18,2
46,23467,0.0015067599015310407,0.7612782658705702,4,13559,20165,3,16,15,1
47,23989,0.0006511674728244543,0.7612272345446496,6,16571,21740,2,11,10,1
48,24474,0.0012884850148111582,0.7617895467245349,6,11339,19487,3,19,18,1
49,24946,0.0006295475759543478,0.7611364642997246,4,3654,13216,3,15,13,2
50,25062,0.001176597666926682,0.7603438903799064,7,9632,19562,3,19,18,1
51,25765,0.000999429146759212,0.7617468763384487,6,18180,8054,2,15,13,2
52,26037,0.0018658408662304282,0.7616818781154675,6,11734,8864,5,26,23,3
53,26831,0.00029438891215249896,0.7613988063391803,2,23989,21829,2,13,9,4
54,27071,4.953010648023337e-05,0.7616363706655619,4,16180,14902,4,20,20,0
55,27917,0.00013837938604410738,0.7620608845524889,6,9046,26604,4,18,17,1
56,28062,9.42805054364726e-05,0.7618475310524847,2,27049,25765,3,19,19,0
57,28853,0.00017309538088738918,0.7617393679135571,1,19093,13072,2,11,10,1
58,29456,0.00042304082307964563,0.7609995045457509,2,28896,28662,2,12,10,2
59,29563,8.554641681257635e-05,0.7617830685067744,4,11146,9632,4,21,19,2
60,30215,0.0001660095585975796,0.7614384621415362,6,20165,21828,3,18,17,1
61,30606,0.000817793479654938,0.760806953603278,6,9189,18172,3,19,18,1
62,31342,0.001221266109496355,0.7613428601925821,5,15307,15264,2,13,12,1
63,31786,0.0005108139012008905,0.7619375195015077,6,18172,16458,5,23,20,3
64,32241,0.00018262995581608266,0.7621652405337834,5,30215,31720,2,13,13,0
65,32973,4.989999069948681e-05,0.7606779417929863,2,14902,11874,3,19,18,1
66,33118,4.473704029805958e-05,0.7619388157456111,2,26831,32977,2,12,11,1
67,33839,0.000192066072486341,0.7609595300440103,5,10848,33221,2,12,11,1
68,34375,0.0008291007252410054,0.7618962502246303,3,10782,7106,4,22,20,2
69,34998,1.1749550139938947e-05,0.7613891622004522,2,18087,27071,2,12,10,2
70,35404,0.0005844016559422016,0.7608451744527391,4,28853,11874,2,14,13,1
71,35936,0.0004049232229590416,0.7608467223322848,7,8958,15307,2,12,10,2
72,36364,1.311784490098944e-05,0.7616853469461693,4,21757,29563,3,13,11,2
73,36947,1.1609399734879844e-05,0.7615025724234967,7,11496,17111,2,13,11,2
74,37131,2.0334253349574283e-05,0.7621732457454101,3,34375,18913,4,20,18,2
75,37812,3.201762228854932e-05,0.7619580993989781,2,24327,37373,2,11,10,1
76,38096,0.00027846614830195904,0.7618060212452311,6,11146,24474,2,14,14,0
77,38888,0.0002154204121325165,0.7610662995851868,1,13503,38384,2,14,12,2
78,39386,0.0003221200895495713,0.7617128570643669,3,9189,34375,2,11,10,1
79,39715,2.5440667741349898e-05,0.7619884775911872,3,31786,29561,2,12,9,3
80,40481,0.00019967764092143625,0.7618422015790409,7,14884,39613,5,25,23,2
81,40694,0.0002100713609252125,0.7619140495708098,4,9437,40479,3,17,13,4
82,41454,0.0013442003400996327,0.762069508284617,2,39386,28062,4,19,16,3
83,41750,0.000200184658751823,0.761724970852293,2,19487,17908,4,22,21,1
84,42100,0.0007119596120901406,0.7619634809200788,6,11734,11339,2,12,12,0
85,42711,0.00022167617862578481,0.7619817289171391,5,34375,42406,3,16,14,2
86,43404,0.00017839620704762638,0.7604528940872554,4,36722,19487,2,13,12,1
87,43852,0.0001538015785627067,0.7618478854255808,6,42711,27917,2,13,11,2
88,44475,0.00013187184231355786,0.7615841863152848,6,21357,43681,4,23,22,1
89,44643,3.425715840421617e-05,0.7628355342004333,4,14008,36181,2,13,12,1
90,45419,6.716921780025586e-05,0.7619747915198353,1,3490,43852,2,12,12,0
91,45840,0.00010867009405046701,0.7615184266206132,7,41750,27917,2,13,11,2
92,46379,0.0005270031979307532,0.7616141062391052,6,28062,7632,3,18,18,0
93,46852,0.0004125748237129301,0.7614260555275677,6,11633,46278,2,13,11,2
94,47304,0.0004916282487101853,0.7616518314237317,4,16678,46281,2,12,12,0
95,47749,0.0007519299979321659,0.7611505293088013,7,19487,21592,5,25,23,2
96,48237,0.004726475104689598,0.7613527722716171,2,17908,19487,2,12,11,1
97,48849,7.025149534456432e-05,0.7615962749803759,5,26037,48187,3,19,17,2
98,49260,0.000587916059885174,0.7623241636850376,6,44845,37812,4,18,17,1
99,49655,0.0001331742387264967,0.762515980713185,4,13216,13216,2,13,12,1
100,50060,0.001859431155025959,0.7618061613059972,5,16678,40058,2,12,12,0
101,50689,0.0008740518824197352,0.76211366629325,3,25765,37624,2,12,10,2
102,51460,0.0004501265357248485,0.7619958964423484,3,5499,49853,4,22,20,2
103,51960,0.006350233685225248,0.7621072717258861,4,41928,36364,2,12,11,1
104,52432,0.0010302286827936769,0.762081765580845,3,44509,33329,2,13,12,1
105,52831,0.001474257674999535,0.7611546338899099,2,36181,40750,2,13,10,3
106,53333,0.002756805857643485,0.7619319183510729,3,38096,34375,3,16,16,0
107,53812,0.006238339468836784,0.7626058547294817,5,7106,51394,2,13,12,1
108,54274,0.0008329730480909348,0.7614981354726338,1,29563,51460,3,19,18,1
109,54648,0.00044736466952599585,0.7623826016204287,5,53812,54316,5,25,24,1
110,55062,0.00543448980897665,0.7610337615513649,5,29561,54559,2,12,11,1
111,55906,0.007471437565982342,0.7619243333251395,4,20165,51394,2,13,12,1
112,56499,0.005936173256486654,0.7610428460765087,2,28062,54559,2,12,11,1
113,56823,0.005363351199775934,0.7618948654841813,4,16678,56177,2,13,11,2
114,57218,0.023889489471912384,0.7616996980686849,6,41750,16678,2,12,11,1
115,57855,0.00024699652567505836,0.7613697911684848,6,57241,57027,3,15,15,0
116,58369,0.0005228638183325529,0.7609768626708797,3,14350,37031,2,13,12,1
117,58910,0.003055051900446415,0.7617155722922886,6,9189,14008,2,13,11,2
118,59012,0.004861008375883102,0.7623251329018184,5,53812,57027,2,12,11,1
119,59811,0.05790669471025467,0.7617689793906144,3,51460,45419,4,20,19,1
120,60122,0.10521139204502106,0.7618236763726514,6,44509,37624,2,14,14,0
121,60936,0.0052419123239815235,0.7615643312436106,1,44913,60290,3,14,13,1
122,61220,0.0002034686622209847,0.7619112342899605,4,49260,37131,4,21,18,3
123,61619,0.011432070285081863,0.7614863685521549,4,37812,60802,2,14,13,1
124,62240,0.0158297810703516,0.7626718525743587,3,59939,61234,5,25,24,1
125,62776,0.168514221906662,0.7608870893775543,6,56823,62052,2,14,14,0
126,63117,0.014566279947757721,0.7627099533874259,4,61220,60156,3,19,17,2
127,63710,0.03295358270406723,0.7616426145110433,4,60122,8958,2,12,9,3
128,64411,0.0024877942632883787,0.7616495844402669,4,63863,63863,3,19,17,2
129,64693,0.0047338176518678665,0.7620395326753936,6,17908,41454,2,11,11,0
130,65107,0.030109280720353127,0.7617641629344302,3,62897,59027,2,16,15,1
131,65789,0.0014309979742392898,0.7613231414758658,6,16458,45431,6,27,25,2
132,66251,0.05301748216152191,0.7624556242606334,3,51460,63350,4,19,16,3
133,66657,0.0013515371829271317,0.7628009247377624,5,62240,42193,3,15,14,1
134,67153,0.0024542370811104774,0.7618512728530565,5,63918,58240,2,12,11,1
135,67570,0.02533591538667679,0.7626754993243395,4,51960,65318,2,15,14,1
136,68120,0.04097592830657959,0.7612342778392173,5,42193,62052,2,14,12,2
137,68993,0.01985674351453781,0.7616336486803801,6,11459,28062,2,13,12,1
138,69143,0.0006252604071050882,0.7627530495124021,3,42193,66251,4,18,16,2
139,69533,0.014696496538817883,0.7624894776504959,3,37812,3490,2,12,12,0
140,70312,0.03271525725722313,0.7618161810572419,4,45268,61220,2,12,11,1
141,70802,0.012026511132717133,0.7616507808310792,4,8958,44738,4,22,21,1
142,71009,0.001036992995068431,0.7610837589395093,3,50689,70392,2,14,11,3
143,71586,0.013576295226812363,0.7619195842561715,6,51960,6194,3,12,11,1
144,72249,0.0005260765901766717,0.7618274891754253,6,50060,37031,3,15,11,4
145,72623,0.002986878389492631,0.7619677199803168,5,72122,72151,5,24,23,1
146,73166,0.005177647806704044,0.7628473115991499,2,69143,72659,2,10,8,2
147,73600,0.0011161217698827386,0.7616651078962304,7,73072,73488,4,22,21,1
148,74146,0.014297639019787312,0.7615819550085073,7,8264,44786,3,15,15,0
149,74615,0.0005392401362769306,0.7622889116350673,3,64693,20539,2,15,13,2
150,75377,0.0012852575164288282,0.7614226604867141,6,55906,71586,2,15,14,1
151,76000,0.003230615984648466,0.7619100347398595,7,54648,8958,2,13,12,1
152,76212,0.002723896410316229,0.7616212179742191,6,38096,11734,2,13,12,1
153,76553,0.0033016488887369633,0.7623039893015722,5,59296,37131,4,23,22,1
154,77492,0.039774686098098755,0.76172639122941,4,76290,76617,4,16,14,2
155,77932,0.002202714793384075,0.761849311992439,4,77065,77191,4,20,18,2
156,78217,0.00893277209252119,0.7618449894156027,5,15264,77918,4,16,16,0
157,78666,0.03689105063676834,0.7618395355338492,2,77767,77845,4,21,16,5
158,79268,0.015471505001187325,0.7619495502885102,7,60122,77715,2,13,11,2
159,79542,0.0016344309551641345,0.7611929162996869,6,42193,15264,3,18,16,2
160,80279,0.00045504234731197357,0.7611574951201078,4,43852,78217,2,14,13,1
161,80705,0.05339425057172775,0.7616401650279648,7,37812,53812,3,18,18,0
162,81307,0.0007218270329758525,0.7619786373649766,4,9632,11734,4,19,16,3
163,81812,0.0006899578729644418,0.7618895226184135,5,73463,3490,2,13,12,1
164,82045,0.0005148540949448943,0.7626692029864334,6,45431,27917,2,13,12,1
165,82915,0.0010907818796113133,0.7615487372461126,3,82424,81770,4,20,16,4
166,83146,0.0031222146935760975,0.7622183007225328,4,49655,81434,2,12,11,1
167,83700,0.0006582000060006976,0.7622773431388548,7,54648,83341,3,18,18,0
168,84382,0.00784488394856453,0.7618780974391787,5,14350,83260,2,13,12,1
169,84624,0.006620173342525959,0.7608568290842966,3,76000,53333,4,16,13,3
170,85035,0.0012230688007548451,0.7623748878581363,7,78666,37131,3,14,12,2
171,85686,0.0005155451945029199,0.7625566684893231,3,53333,85077,2,13,11,2
