generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,81,200.6704992021979,0.7574579654906165,,-1,-1,3,18,18,0
0,207,200.47478177656274,0.744747112964584,,-1,-1,3,18,18,0
0,417,192.26321895269794,0.7601082949303936,,-1,-1,3,18,18,0
0,323,186.62499990447864,0.7503340573265458,,-1,-1,3,18,18,0
0,163,175.90467458058183,0.6357910517651192,,-1,-1,3,18,18,0
0,227,120.04845221111076,-0.31623990692450643,,-1,-1,3,18,18,0
0,478,119.80956467150682,-0.3408371113620036,,-1,-1,3,18,18,0
0,494,119.15610826147002,-0.3817235413397433,,-1,-1,3,18,18,0
0,272,118.25153106126176,-0.14009150853058694,,-1,-1,3,18,18,0
0,201,116.97499759630918,-0.3974605108969704,,-1,-1,3,18,18,0
0,245,116.70259108997523,-0.39581553033745304,,-1,-1,3,18,18,0
0,250,115.68460290671172,-0.11220364381211265,,-1,-1,3,18,18,0
0,188,111.24719615973753,-0.2786011183933603,,-1,-1,3,18,18,0
0,491,111.1667252668949,-0.3262340120678435,,-1,-1,3,18,18,0
0,217,110.98419833360546,-0.34044256069504536,,-1,-1,3,18,18,0
0,155,110.77831005755752,-0.17529124351706937,,-1,-1,3,18,18,0
1,592,165.28040137025582,0.5359202232009852,,188,323,2,12,12,0
1,570,90.39231414261596,-0.22628276063574781,,227,245,4,20,19,1
1,846,86.28539795593638,-0.14068866683215903,,494,155,4,20,18,2
1,624,80.61340910142033,-0.11924075650268803,,155,250,3,19,19,0
1,649,78.43728051573898,-0.09467039064941309,,250,491,3,18,18,0
1,974,68.98423625218517,-0.13231915852066384,,106,323,2,13,13,0
1,736,65.0851097955453,-0.12392533347964425,,258,217,3,18,18,0
1,724,64.7344076879127,-0.09834598040483843,,245,217,3,18,18,0
2,1242,61.36438410213311,-0.14911775544600667,,592,592,2,12,12,0
2,1006,55.60980000179065,-0.09551946702778527,,760,592,2,12,11,1
2,1335,39.94124769233006,-0.163090953070708,,724,570,3,18,18,0
2,1285,33.307094429556585,-0.051326546484443125,,850,736,4,19,18,1
2,1372,32.177963361250775,-0.11362631177129977,,624,724,3,17,17,0
2,1459,31.767847524956032,-0.11029866274586517,,911,624,3,18,18,0
2,1045,31.556489827767294,-0.20847531928183904,,974,624,3,20,20,0
2,1153,31.287521089509553,-0.08629712007703307,,649,724,4,20,19,1
2,1313,31.029873512929573,-0.07620002193452496,,649,736,3,18,18,0
2,1425,30.28455481680424,-0.17958237934898547,,997,570,3,18,18,0
3,1598,191.37510850114785,0.7515959813728824,,506,1313,3,19,19,0
3,1834,160.80895435718955,0.5778724900832648,,1138,1110,4,20,19,1
3,1824,98.88700390034245,0.3185938324636814,,1313,1313,3,18,18,0
3,1784,98.41165997949086,-0.1656860895082836,,562,1242,4,20,19,1
3,1648,92.64112598717398,-0.12140210947871524,,1285,1372,4,19,19,0
3,1896,92.37651699257863,-0.13390967937981885,,1110,1242,2,12,12,0
3,1602,87.4208260337655,-0.14379488089570625,,1455,1153,3,18,18,0
3,1604,86.1527837344442,-0.09058542780281391,,1153,1459,4,21,20,1
3,1531,85.01408358005733,-0.04342563465790813,,1242,1045,2,13,13,0
4,2203,102.53063773257462,-0.1401845374485496,,1896,1784,2,12,12,0
4,2420,51.40587037056892,-0.313545539358384,,1584,1784,2,12,12,0
4,2317,48.68244613735292,-0.05280580144059334,,1253,1896,3,19,19,0
4,2215,47.389502353290695,-0.08391238452176461,,1116,1531,2,12,12,0
4,2307,41.52902924144226,-0.2281641612790246,,1639,562,4,19,18,1
4,2428,37.42221937673272,-0.17208300712644042,,1602,1604,5,24,22,2
4,2482,37.354650146734315,-0.11460580746445176,,1784,1648,4,20,20,0
4,2296,36.61743383365711,-0.12468519243022182,,1648,1824,3,18,18,0
4,2102,36.14197855928866,-0.10601341875326975,,1177,1602,4,19,17,2
4,2479,35.32899606073498,-0.14631024889292074,,1604,1784,4,21,20,1
5,2801,77.86765194817225,0.003820066083223566,,2317,2482,4,21,20,1
5,2981,75.92788950834469,-0.2777622631702252,,2482,2317,4,21,20,1
