generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,192.26321895269794,0.7601082949303936,5,-1,-1,3,18,18,0
1,843,9.636353875967211,0.7614625927327575,5,417,81,3,17,17,0
2,1246,16.797010654830263,0.7574641525391819,5,935,736,3,18,17,1
3,1772,12.109417826904101,0.7553156970639378,4,694,1459,4,19,18,1
4,2120,6.901491924109278,0.7612614046933264,2,1799,1548,2,13,13,0
5,2729,4.347191368244497,0.7612038507357581,5,2350,2317,3,16,15,1
6,3012,7.022191542176598,0.761089065667448,2,553,2464,3,19,19,0
7,3765,4.2541863319488815,0.7605958933692128,4,2403,3348,2,12,10,2
8,4429,5.945917723196495,0.7605037084309667,4,3078,2286,3,19,17,2
9,4927,3.29538004236873,0.7613514408606518,4,769,3689,3,20,19,1
10,5344,3.640430332945143,0.7613096676604467,4,4088,1548,4,23,23,0
11,5519,5.180319226170529,0.7618665238779245,4,3371,4641,4,21,21,0
12,6354,1.4929321019155,0.7619345198822998,1,2782,4324,4,22,20,2
13,6918,1.0289201674969466,0.7610777611869495,5,6163,6163,4,21,21,0
14,7067,0.9895123663251078,0.7613569482733256,5,6800,911,3,20,19,1
15,7673,3.8442617936721506,0.762707578123587,5,3574,6325,4,20,18,2
16,8186,6.757762665125065,0.7616502336554407,2,7067,7856,4,22,20,2
17,8723,1.5656923188914427,0.7620249462193962,2,3574,8051,2,13,13,0
18,9320,7.543079573511165,0.7618202170269356,5,6160,8429,3,20,20,0
19,9947,1.2091698244456608,0.7618324050479045,3,7403,7209,3,19,18,1
20,10099,2.0323954615111544,0.761481046163014,4,7873,7209,3,19,18,1
21,10806,1.1640098905306908,0.7619176158923945,2,7376,8244,5,25,21,4
22,11074,2.1385100447111465,0.7617843998803264,3,4577,6160,2,13,12,1
23,11918,1.2898838263179406,0.7606946521535289,3,7780,9052,3,19,19,0
24,12447,4.6773160222267585,0.7613748766984701,4,843,10099,4,21,19,2
25,12937,0.8824387640127609,0.7620479279330334,4,9046,5428,4,18,18,0
26,13433,0.7813275555187507,0.7604277501550911,4,7380,8723,2,14,13,1
27,13913,5.712129011819844,0.7616633656503145,3,9511,7067,4,22,21,1
28,14212,4.6904054376046265,0.7624916718822174,3,9648,9026,2,14,12,2
29,14791,1.2988300143783211,0.7613442762000301,2,7033,13645,3,17,16,1
30,15101,3.116454484454177,0.7604184798816118,4,9052,7073,2,10,10,0
31,15831,1.907473471345712,0.7616769256242122,3,8119,15288,2,12,11,1
32,16053,1.3219473013183172,0.7601212948694909,3,12137,15714,3,16,15,1
33,16697,1.6361869204714146,0.7620119560797554,1,12651,6176,4,21,18,3
34,17383,1.0457201884597167,0.7621483343484133,4,12447,11838,3,19,18,1
35,17622,1.5805025706328162,0.7614840429774531,3,9105,14098,4,22,20,2
36,18271,94.04373874813287,0.779690036296589,2,17889,17889,4,20,17,3
37,18762,3.619304406421812,0.7615564194477124,4,6144,18472,3,18,16,2
38,19352,1.0590592229455027,0.7616908241831892,2,6144,8244,3,17,15,2
39,19909,4.008314226857551,0.7609926734014697,3,9105,19339,3,17,14,3
40,20146,170.4535949666038,0.810566309198429,5,19681,19681,4,20,17,3
41,20959,112.06844729384564,0.8110157615084845,5,20146,20371,3,16,13,3
42,21448,129.43706617322448,0.8497184598635874,5,20959,20812,2,15,11,4
43,21703,1.3652707393427046,0.761637767947841,4,17383,7604,2,14,12,2
44,22139,1.291599587347035,0.7611630350664286,6,14583,21587,4,19,18,1
45,22657,127.98398782950467,0.7954384908375204,5,22245,22035,2,11,10,1
46,23281,147.8480954384645,0.8237770025601527,5,22952,22579,2,15,14,1
47,23592,3.455896911013424,0.7621080009378409,1,12878,22079,2,15,12,3
48,24447,107.4621912206473,0.8315095938994272,5,23777,23777,3,21,20,1
49,24948,27.42349952945024,0.7970740210393542,5,24447,24447,3,22,18,4
50,25146,7.678228303002997,0.7618202211253712,3,22139,9320,2,17,15,2
51,25549,3.1270483416014185,0.7611220533096744,2,13619,25431,2,16,13,3
52,26417,3.69630504101716,0.7621815146266971,3,12878,25847,3,18,15,3
53,26663,2.2954645271112555,0.7615056787956874,1,18898,9635,3,20,20,0
54,27429,107.12746943406935,0.8608484300978357,7,14583,24447,2,16,16,0
55,27781,234.07288601479348,1.0,5,27030,27199,2,15,13,2
