generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,236,177.58382236088764,0.7465593549429677,1,-1,-1,3,18,18,0
1,691,87.61511326346421,-0.26825564429917026,3,140,446,3,19,19,0
2,1467,157.06215559465417,-0.2689733071700842,3,691,691,3,18,18,0
3,1569,87.62050747008884,-0.1394898250396206,4,1035,1102,2,11,11,0
4,2258,162.16772285329364,0.7409549067592522,6,1913,256,2,11,11,0
5,2993,87.56307202988936,-0.05964050303239094,3,2097,2209,3,19,19,0
6,3162,85.48751246084215,-0.16967885744870287,5,2898,2993,2,9,9,0
7,3548,193.5710560567743,0.7450724509811749,2,2218,2987,2,12,11,1
8,4298,76.49635496333248,0.21503726735897902,5,3941,3941,2,13,13,0
9,4857,154.74494600972105,-0.06902407932108498,2,4185,4293,3,19,17,2
10,5085,58.396823661362085,-0.23610361600528618,2,4098,4630,3,18,18,0
11,5667,56.23902888463632,-0.1401755389681044,2,5339,5014,2,13,13,0
12,6242,77.93093890348143,0.23355126428175949,3,5804,5804,2,11,10,1
13,6576,74.23880966680012,0.10910161581305541,3,6346,6216,3,19,19,0
14,7395,128.85522144828658,0.2179771228691527,3,6576,6576,3,19,19,0
15,7858,77.89031684553153,0.27171741212275446,5,7395,7395,3,18,17,1
16,8155,180.99894965893384,0.6135854397945316,4,1404,5180,4,21,19,2
17,8630,106.17394143069882,0.25666661113947103,3,8360,8485,2,13,13,0
18,9282,169.69264958829618,0.463349384915482,3,8639,8834,4,22,20,2
19,9617,195.74051774794478,0.621495227934601,6,9282,9202,3,18,15,3
20,10394,56.82244988263697,0.19677338424269242,5,9930,9636,3,18,16,2
21,10693,153.5740912338597,0.452646991570349,5,10394,10194,2,12,10,2
22,11305,61.111582761625826,0.18677354535274873,5,10751,10751,3,18,15,3
23,11832,66.4219742771372,0.19323240709660994,5,11054,11131,3,15,14,1
24,12239,26.70992522338617,0.2892416841300449,3,11832,11832,2,12,12,0
25,12705,188.06582172355454,0.42669404523875054,6,7575,12084,4,22,21,1
26,13266,63.775858112026775,-0.004973188296370548,2,8413,12971,2,12,12,0
27,13773,55.26340537428523,-0.26526121342507,2,13155,13085,4,23,22,1
28,14066,80.2438406484926,0.22795525874160066,6,13834,13711,4,22,21,1
29,14697,67.98771579513979,-0.1259485782126993,1,14431,14149,5,18,16,2
30,15099,93.40681905848173,-0.06802506360154552,1,14700,14955,3,18,16,2
31,15639,59.1066272745213,-0.18098343097120487,6,15404,15404,3,18,15,3
32,16361,84.70874963902688,0.16930321514988206,3,9266,15769,2,13,12,1
33,16638,67.61970508161257,0.22624047068381606,5,16178,16097,3,16,16,0
34,17309,89.04125521560968,0.31714455960891297,5,16638,16934,4,24,23,1
35,17605,71.21194938585977,-0.15309699628898893,3,17312,17359,3,14,14,0
36,18204,89.59809395008797,0.2907437800357303,3,17998,17605,3,18,17,1
37,18547,73.0260169925533,0.2781215842665426,3,18156,18434,4,21,20,1
38,19440,188.24418839905454,0.4616509884561001,1,593,18547,2,13,12,1
39,19516,100.543297120088,0.03361760610059397,6,19440,19479,3,19,18,1
40,20031,76.29310595252514,0.22714194795546966,3,19874,19573,3,18,18,0
41,20514,68.46936669283893,-0.11564523689542339,3,20225,20468,4,23,17,6
42,21498,71.56862262448851,0.18311010542765294,1,20920,20533,3,16,15,1
43,21730,83.06871447817687,0.28563572724538083,6,21403,21088,3,17,15,2
44,22423,99.42257776211272,-0.10850644117932867,6,21997,21813,2,12,12,0
45,22884,64.14982365871658,0.00019678314670585394,1,22214,22133,4,19,17,2
46,23091,143.66753421970233,0.6469859420936341,6,12512,22757,2,14,13,1
47,23665,97.39234344992934,0.3182245789431803,1,593,17580,2,13,12,1
48,24286,189.84273416809953,0.6513525544000756,4,23665,23871,3,14,13,1
49,24817,85.02909864617402,0.36413289823286044,2,24015,24029,4,18,14,4
50,25112,34.86636492463082,0.00037396609000731865,1,17804,16792,2,12,11,1
51,25586,222.46027831699834,0.6402881435266565,6,16913,25143,4,21,20,1
52,26127,84.50148809038167,-0.18823709410400621,6,25603,25878,4,15,12,3
53,26735,73.94487179526894,-0.15854380772493604,1,26413,26127,2,13,12,1
54,27224,76.78203242635911,-0.21222696050024384,6,26735,26699,2,14,14,0
55,27800,64.002127565356,0.22475579097579526,3,27238,27307,3,14,12,2
56,28433,82.35485907214844,0.2573514229174249,3,27657,27648,2,11,10,1
57,28535,73.64633510187453,-0.3484969522594021,3,28034,28433,3,13,11,2
58,29309,62.034235064841425,-0.13397300455695355,3,28535,28715,4,22,21,1
59,29543,60.397850011551434,-0.14272366496529218,4,25544,29025,4,21,17,4
60,30339,85.0536610090371,-0.13310392386298878,5,29726,29691,4,21,19,2
61,30984,92.72092518805664,0.25679635087278596,5,30310,30463,5,25,23,2
62,31331,51.97743135633335,0.25136049538359084,7,30554,30554,2,13,12,1
63,31526,68.73060083506107,-0.14644467294074248,7,31114,31398,2,13,11,2
64,32399,69.91410798527545,0.4245856746826267,1,31869,31561,4,22,19,3
65,32800,93.21502315308801,0.421442530574363,7,32277,32012,4,15,12,3
66,33316,91.06517767712181,0.4284256565294373,4,32622,32653,4,20,18,2
67,33783,107.51967718022748,0.4220580185763735,2,33316,33316,5,24,22,2
68,34051,29.29446285922863,0.132212840436146,7,33783,33821,2,13,13,0
69,34532,96.92734123736719,0.30682523677869367,7,34051,34051,3,19,18,1
70,35026,24.92475324740266,-0.34598641705163236,2,34779,34532,3,14,13,1
71,35982,101.55658442500136,0.35887983323810113,7,35274,35213,2,12,12,0
72,36476,92.47072761721581,-0.297817677198505,7,22903,35890,4,20,18,2
73,36669,22.279660649536027,0.4472976370023677,5,29531,10681,4,16,12,4
74,37299,191.96599660889115,0.6822889620747162,6,22903,593,4,20,18,2
75,37612,83.36874709643557,0.3586836895532697,7,37387,37039,4,21,19,2
76,38143,131.40562493745037,-0.4327848481363941,7,22526,37972,4,20,19,1
77,38667,92.70339238283354,0.4231512967579233,7,38217,38496,3,19,19,0
78,39120,91.51396722878418,0.3610843589864679,7,38667,38656,4,20,20,0
79,39694,71.07787564540384,-0.24976688036470426,2,39495,39120,2,13,13,0
80,40337,209.150991365061,0.6597702848214478,4,4607,17872,5,23,19,4
81,40579,117.29978518836053,0.3027370622401866,7,40399,40170,4,23,20,3
82,41372,91.62617135909164,0.25182043684817007,2,40579,40579,2,13,13,0
83,41637,49.14782432082806,-0.07779981847553298,2,41365,41243,8,30,27,3
84,42133,62.250861112685804,-0.2774025215530081,2,41637,41787,3,17,16,1
85,42543,55.05500620364601,-0.03379021853531324,7,42133,42295,4,21,20,1
86,43046,34.126776954133625,-0.11038253922720619,7,39150,42543,5,23,20,3
87,43777,60.067154172613456,-0.1340634271886859,5,43046,43418,3,18,16,2
88,44106,60.90670425112238,-0.19171646183102567,1,43961,43738,4,20,18,2
