generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,214.36369099276624,0.7581625877241497,1,-1,-1,3,18,18,0
1,699,160.04201815264432,0.5911919121006278,4,386,440,2,11,9,2
2,1430,131.95724539155253,0.7351564756310165,4,886,448,4,21,20,1
3,1536,37.876503315434846,-0.012980854997101809,2,699,900,2,12,12,0
4,2226,49.81309204400716,-0.13756098742853673,1,792,1954,4,21,20,1
5,2832,35.483391153432464,-0.05314281010210222,5,900,1117,2,10,8,2
6,3494,23.557337004624213,0.023157179471066505,3,1072,183,3,18,18,0
7,3708,32.48565474135741,0.0010540906663784664,5,976,1442,3,18,18,0
8,4393,44.1377245972093,0.10228161672915395,3,961,441,3,17,17,0
9,4853,40.0650837607916,-0.13981367813930298,1,183,440,2,10,10,0
10,5117,46.94824158242331,0.009871888667771245,2,440,1536,3,18,18,0
11,5524,27.33832225993918,-0.2469167076424263,4,859,1430,3,17,17,0
12,6214,36.626296853616715,0.0651190584106208,1,5977,1072,3,18,18,0
13,6714,19.651784342451528,0.4386482406597297,4,2521,1153,3,11,10,1
14,7018,32.873388108822745,0.06381654638482964,1,197,656,2,10,9,1
15,7890,21.268543980369206,-0.013253478849291265,1,1992,4938,4,20,20,0
16,8183,78.85032910800828,0.5523559261977907,2,3424,5753,3,18,18,0
17,8872,21.673192432348294,0.49912037758238964,1,180,6159,3,18,18,0
18,9488,59.34328001576929,0.23945256999798387,4,2600,489,4,20,19,1
19,9629,23.341208458576197,-0.03302709108445132,1,1188,7018,3,18,18,0
20,10141,37.136993796316034,0.00510229195030434,2,5178,699,3,18,17,1
21,10720,23.45851189234734,-0.20578273348924564,2,1482,3708,3,17,17,0
22,11047,22.133046602013938,-0.11673565831754672,3,8088,272,2,12,12,0
23,11521,24.47334484566705,-0.02306870886324558,5,41,416,3,13,11,2
24,12394,24.161454757998538,-0.07048223657148497,1,11689,3514,4,20,17,3
25,12810,20.65399888781751,-0.23225091189460664,2,11271,454,2,9,9,0
26,13055,19.91339475025942,-0.2921717567777587,3,874,8183,2,11,11,0
27,13961,23.453086190701804,0.039826457202831345,2,1430,62,3,18,18,0
28,14161,22.157874463237132,0.04986198720307744,2,11019,7763,3,18,18,0
29,14968,20.868970266051473,-0.20885856636912742,4,41,7018,4,20,19,1
30,15425,20.50157134888356,-0.053634728449676795,3,153,1482,3,18,17,1
31,15707,22.77055428004918,-0.26933294102125965,2,272,5674,4,20,17,3
32,16233,33.19355855147877,0.13619523031906502,3,5134,1117,3,18,14,4
33,16792,22.958769873917138,-0.21396185217927116,2,5134,1536,3,19,19,0
34,17211,21.90458734716327,-0.07414160144935485,2,1792,900,3,18,18,0
35,17853,21.98241580630656,0.015829827615438295,1,10099,1117,2,11,11,0
36,18010,21.023983498109278,-0.02671895252006601,4,11117,10811,4,22,21,1
37,18520,22.796617894137906,-0.17224769726346437,3,3778,5134,3,19,19,0
38,19204,22.42389184781679,0.0738234284478807,5,900,153,3,18,16,2
39,19877,21.440980689551175,-0.1265567089368171,3,17913,3627,3,19,19,0
40,20341,21.531483137290937,-0.08025327362667599,2,11019,900,3,19,19,0
41,20814,50.70596645511751,0.12987358705648705,3,5524,1482,2,10,10,0
42,21395,22.355020276412965,-0.11918230711439323,3,874,1153,2,9,9,0
43,21631,22.944018708411953,0.28498487586857185,2,4393,1853,3,19,17,2
44,22230,21.8259198600472,-0.04658470206020442,3,2589,448,2,11,11,0
45,22826,28.225983451236463,0.10660334698681397,2,699,454,3,20,20,0
46,23278,23.708456511223293,0.15155202554016722,3,1072,5709,2,11,10,1
47,23682,20.989309974333416,-0.060405418744483824,4,3135,699,2,13,12,1
48,24131,21.70259255842864,-0.097808863745375,2,18552,6159,2,12,12,0
49,24818,22.253905386253866,0.00029259879227471836,2,1430,1072,2,11,11,0
50,25363,21.962805303321595,-0.05427099738713958,2,3943,18883,3,18,18,0
51,25875,22.107066861981206,-0.1862354884310244,4,14985,12591,2,11,10,1
52,26419,22.89881523536701,-0.06310606205569544,1,1157,9488,3,18,18,0
53,26675,23.488682365639896,-0.16685581207815256,2,328,4853,3,18,18,0
54,27190,20.614237913873975,0.04000292946329117,4,5524,440,2,11,11,0
55,27638,21.68260448069726,-0.2517814090226479,4,197,41,4,24,24,0
