generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,214.36369099276624,0.7581625877241497,1,-1,-1,3,18,18,0
1,720,12.362821290134624,0.7612481814856267,5,304,489,2,11,9,2
2,1208,14.12328493701586,0.7605476404455327,4,874,155,4,21,20,1
3,1757,9.556074618613893,0.760067096178913,4,1124,581,2,12,12,0
4,2253,6.830301846650579,0.7618753751416482,3,413,1442,4,21,20,1
5,2589,7.6249090333579925,0.7619789322385652,1,1604,2338,2,10,8,2
6,3135,5.994672554399074,0.7613444827744961,4,2792,180,3,18,18,0
7,3778,4.828867932644824,0.7617861050871857,3,3033,183,3,18,18,0
8,4249,7.592760715554501,0.7615552857347138,1,2589,3953,3,17,17,0
9,4526,7.900788983596636,0.7616260394735193,4,2915,4204,2,10,10,0
10,5135,6.21557500795631,0.7619452796551426,2,3424,3990,3,18,18,0
11,5612,3.717651421479242,0.7617483249246592,4,3135,3096,3,17,17,0
12,6120,6.537056537544491,0.7624304922025689,5,1980,180,3,18,18,0
13,6876,5.4772514099717,0.7602230268505111,3,3309,2589,3,11,10,1
14,7213,4.773123567047594,0.7586671343548869,4,2686,1385,2,10,9,1
15,7894,6.987969604795484,0.7608686580557248,3,4864,454,4,20,20,0
16,8088,4.550207814853702,0.7611591306183701,2,3125,7763,3,18,18,0
17,8661,5.386454618698624,0.7618795237303517,5,3125,3524,3,18,18,0
18,9143,4.2028437193996115,0.7613209695862824,2,7611,7562,4,20,19,1
19,9780,6.313606151057629,0.7607546736289853,2,8047,656,3,18,18,0
20,10416,4.565492674239839,0.7607988077600828,2,8933,4263,3,18,17,1
21,10811,6.829964181538363,0.7618789313601326,1,9481,8661,3,17,17,0
22,11117,2.4420681565212257,0.7614346378042188,3,9143,6593,2,12,12,0
23,11877,5.325838381103239,0.7604256805950483,3,1208,6813,3,13,11,2
24,12420,5.784094359422235,0.7622090225520213,3,2217,2589,4,20,17,3
25,12866,2.424098787575887,0.7621105577482942,2,1208,8933,2,9,9,0
26,13244,2.8794365331668472,0.7610452730909968,3,11117,4094,2,11,11,0
27,13832,5.664590029807581,0.7623654550009541,5,6120,513,3,18,18,0
28,14071,6.7472984481107,0.761442260552548,3,8661,12591,3,18,18,0
29,14985,2.3393212163965,0.7611948156643057,1,9143,3691,4,20,19,1
30,15304,2.233918666007961,0.7619939775658656,2,9143,1430,3,18,17,1
31,15631,3.58155976019981,0.7619937120972399,5,14368,1757,4,20,17,3
32,16336,3.5678043051969692,0.7627830949968668,2,699,2428,3,18,14,4
33,16686,3.5192365075887206,0.7617725611257469,4,9143,699,3,19,19,0
34,17382,4.9422221602358025,0.7622950466481534,5,15631,10826,3,18,18,0
35,17525,1.7762179974656658,0.7613766002317489,1,17290,15568,2,11,11,0
36,18003,2.1447555683268704,0.7617020019164881,3,17913,2428,4,22,21,1
37,18579,1.0268636458828035,0.7611936837266238,3,18200,1072,3,19,19,0
38,19013,3.0038738818901485,0.7611720633872056,3,18572,11117,3,18,16,2
39,19630,1.5172397672218771,0.7615320179171661,3,18874,17913,3,19,19,0
40,20483,1.469168343235182,0.7612341166967083,2,19905,15651,3,19,19,0
41,20546,1.162682329047275,0.7615259956649758,5,4249,15740,2,10,10,0
42,21177,1.755141430641217,0.7616014500836101,2,8088,2253,2,9,9,0
43,21670,1.1284937282387857,0.7606376084321168,4,19013,19905,3,19,17,2
44,22134,2.2298763657784795,0.7617030809205373,1,17829,1208,2,11,11,0
45,22878,2.5407279451908638,0.761995147644744,5,180,180,3,20,20,0
46,23314,0.8516592995389253,0.7618106551069765,3,12866,976,2,11,10,1
47,23567,1.1639499184410809,0.7608836157558148,2,4011,23450,2,13,12,1
48,24284,1.1950213457762426,0.7612550783180595,1,22896,15304,2,12,12,0
49,24786,8.278840673530478,0.7604147712060285,5,16877,448,2,11,11,0
50,25423,1.7907587977111101,0.7614417566174831,1,19013,5134,3,18,18,0
51,25755,7.4259811625308565,0.7600684593712075,4,4249,5178,2,11,10,1
52,26157,0.8935559383449859,0.7612395200733472,1,24284,17126,3,18,18,0
53,26788,0.7314649340275624,0.7618155976075246,4,21670,17913,3,18,18,0
54,27087,1.783400886632324,0.7617158153327178,3,17215,23314,2,11,11,0
55,27822,1.1453879095669306,0.7617259894598588,5,16877,10416,4,24,24,0
56,28454,0.9959355629967509,0.7615102204958943,3,13244,27648,4,19,19,0
57,28877,1.0305937589560352,0.7614619503531705,3,25223,19630,2,12,12,0
58,29434,1.4064224695100218,0.7617882863240323,3,15651,17525,3,18,18,0
59,29854,1.0100105848166459,0.7616075408772291,1,17215,448,3,18,16,2
60,30483,1.5603082107180741,0.7620586761125581,5,29434,18579,3,18,18,0
61,30964,0.7841458952223493,0.7616813665071345,2,13244,180,3,20,20,0
62,31115,7.4958975657724745,0.761693072861183,2,1430,441,3,17,16,1
63,31627,1.4121266052478914,0.7613505752584178,1,19566,11117,3,19,19,0
64,32062,4.372401526038534,0.7623662796103768,2,3778,17290,3,19,19,0
65,32740,0.7275322303675097,0.7619589714197728,2,19566,1157,2,12,12,0
66,33135,1.2184317143707952,0.7617392724778127,2,32740,62,2,11,11,0
67,33961,0.5718508762411183,0.7614163435299292,5,225,5178,5,23,22,1
68,34042,5.585573373562595,0.7624496193806499,3,18572,14071,3,17,15,2
69,34760,6.550680295548981,0.7623670458265837,2,32277,5709,5,24,21,3
70,35080,0.8261117122980646,0.7619214078114509,4,32987,19630,2,12,11,1
71,35865,7.640510589483417,0.7613027509030371,5,12591,26558,4,20,19,1
72,36448,1.050323283607383,0.7613876230096643,2,15651,31627,4,20,17,3
73,36712,1.1324835809948108,0.7613405777037281,2,36391,32020,3,17,14,3
74,37147,0.6034676119695112,0.7618388692080595,3,17913,11117,3,17,17,0
75,37743,1.3439774846928978,0.7612348038201593,2,35945,35383,3,18,18,0
76,38326,4.844291797931654,0.7611709258103643,3,20546,4393,3,18,18,0
77,38575,1.3619107132897457,0.7613408203617332,2,26157,37743,3,16,15,1
78,39343,4.694216225348026,0.7626785060017791,4,9488,20814,3,18,18,0
