generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,201,145.14681407879664,-0.3974605108969704,5,-1,-1,3,18,18,0
1,790,187.97021857983592,-0.43344159276805494,4,227,491,3,19,19,0
2,1076,204.08595838846213,-0.43477003792828617,4,549,767,3,17,17,0
3,1855,237.78984507743658,-0.4320136720762307,1,517,207,2,11,10,1
4,2446,246.45211032963846,-0.4354375381888337,4,1898,1749,3,20,20,0
5,2608,241.66060192579562,-0.43442390440694406,6,2500,1048,3,18,18,0
6,3263,253.52830972160172,-0.4342069492352069,3,1108,2488,3,18,18,0
7,3892,260.82849096281836,-0.4074138888708905,6,1308,3018,2,11,10,1
8,4486,275.57443863059467,-0.43553016539096157,7,1570,3819,3,17,16,1
9,4989,266.0812203977267,-0.3679372468211306,5,910,3405,3,19,19,0
10,5299,284.41526581115716,-0.43431359946866277,5,4989,4989,2,11,11,0
11,5694,279.6721442645373,-0.412114167289687,6,2848,3718,2,13,12,1
12,6251,286.2021593938612,-0.4339690805592629,1,5694,5649,3,19,18,1
13,6565,287.3232188546048,-0.4341164788299866,7,6139,5649,3,20,18,2
14,7051,275.8223047649829,-0.38002413034746296,7,4688,81,3,18,16,2
15,7923,288.7758938589506,-0.43329253121807854,7,7051,7124,2,13,13,0
16,8217,289.2950223546374,-0.4330931877077186,6,6396,4144,3,18,18,0
17,8837,289.83099103341993,-0.43517386024335536,6,8217,8217,5,21,19,2
18,9296,273.9583596705144,-0.3648361498327887,4,6645,3621,4,21,20,1
19,9970,289.5644651318037,-0.4327530611124899,6,9296,9034,2,12,9,3
20,10402,289.98314535191247,-0.4336163235548678,6,9970,9509,2,11,10,1
21,10508,290.4758447915541,-0.4352669683027398,4,8252,10317,3,18,17,1
22,11106,249.9491538721663,-0.27739144257067677,7,5364,9909,3,20,20,0
23,11646,290.8303127188574,-0.43418870479075294,5,10489,8220,2,14,12,2
24,12261,291.3164226283794,-0.4351436475260541,4,11963,11963,4,21,19,2
25,12850,278.622452936247,-0.37996880714761405,3,8220,5924,3,18,17,1
26,13236,291.7469008655981,-0.43494941354157085,3,12967,12850,3,18,18,0
27,13911,272.2078194855881,-0.3493997014011244,5,11478,11184,4,22,21,1
28,14420,291.9963308275983,-0.4354681661893241,1,13554,13554,3,18,17,1
29,14784,291.26874808711557,-0.4310166561620911,4,2148,13622,3,16,14,2
30,15186,292.177045411215,-0.43567709200841975,6,14663,14791,3,16,14,2
31,15514,291.4642081465624,-0.43223101842975353,7,9866,10279,3,14,13,1
32,16484,291.823281020815,-0.43383067521438534,1,15514,15514,2,13,12,1
33,16961,292.24227681807497,-0.4353584336447483,1,16484,16484,2,12,11,1
34,17368,274.5485843720639,-0.3633878608955881,3,9723,8220,4,21,20,1
35,17507,292.28333155835134,-0.4351005172961089,6,17368,17368,3,20,20,0
36,18159,292.505341445377,-0.4356610487764206,2,17544,17544,4,21,18,3
37,18559,282.8865981936433,-0.393195759075878,6,14074,12461,3,19,19,0
38,19415,292.08965544531384,-0.4331828741527628,7,18994,18559,3,20,17,3
39,19512,292.68352135468854,-0.4352916965848139,4,19474,19415,3,20,17,3
40,20445,292.5229430287481,-0.4346282770892696,7,11283,17337,3,18,16,2
41,20624,292.3407130613048,-0.4338680807819069,4,18283,6282,2,10,10,0
42,21369,292.41825751844834,-0.4341657562308687,1,10264,19467,2,10,10,0
43,21874,292.3391041238174,-0.43385333593680503,4,21369,21369,2,12,11,1
44,22224,291.8150614526569,-0.4314727478187152,2,4191,6598,4,20,18,2
45,22858,292.380989205065,-0.43387822650825564,4,22047,22278,3,20,20,0
46,23213,292.72146539520014,-0.43537221517404656,7,22755,4992,3,14,12,2
47,23754,292.793830925426,-0.4356944017753123,5,23213,23003,2,13,12,1
48,24119,292.05166512696536,-0.432448723081045,6,4096,12569,3,18,17,1
49,24755,292.79850132832183,-0.4355638862659491,6,24119,24119,2,11,11,0
50,25361,282.44587874907114,-0.39014809915936355,6,4992,13984,3,18,17,1
51,25978,292.84412976473413,-0.4357377626836082,6,25361,25361,4,21,19,2
52,26035,292.04055250147155,-0.43224697659365763,5,10279,16855,4,23,19,4
53,26862,292.71504438243454,-0.43497870821514123,5,26035,26209,2,12,10,2
54,27017,281.37820100967787,-0.38494473340102736,6,21318,12569,3,19,17,2
55,27946,292.6405396275812,-0.4342037009683143,6,27017,27017,3,16,14,2
56,28020,217.9489355621884,-0.11177263827633892,6,2379,25266,3,18,17,1
57,28724,292.4760307704621,-0.43315237411039975,5,9723,22755,3,18,16,2
58,29334,292.89119243492627,-0.4350317434107574,5,28724,28724,4,23,18,5
59,29596,278.503177197606,-0.37223825802527133,5,19674,22054,2,12,11,1
60,30051,292.64256566292903,-0.43379806139597854,6,6598,29596,3,18,15,3
61,30973,262.4466269634991,-0.31266627804094993,6,2379,13243,3,18,17,1
62,31486,292.50950405251166,-0.4332327042009557,5,27463,30743,3,18,17,1
63,31800,292.7083736876394,-0.4341790346664642,5,31346,31346,5,22,19,3
64,32076,291.07449309915086,-0.42683986881823677,6,27021,7802,3,20,19,1
65,32609,292.15561319107843,-0.4316518612950455,4,32101,32101,3,19,15,4
66,33272,291.43665293459895,-0.42846153555807237,7,11813,25423,3,14,11,3
67,33612,292.7700214048989,-0.43438287025181027,3,33272,33272,3,18,17,1
68,34482,275.8767381004085,-0.3608250856715916,4,12137,13398,3,18,17,1
69,34825,293.05395846769477,-0.43535630293666056,3,34482,34482,3,14,13,1
70,35391,282.53621274358386,-0.38960954992087987,6,11184,33456,3,14,12,2
71,35875,292.5858196784805,-0.43329859732351705,6,35391,35391,4,18,17,1
72,36446,289.7352909114333,-0.4209263241327845,3,25033,7176,3,21,18,3
73,36750,292.6151738976031,-0.43350765427190774,6,33456,36446,3,20,19,1
74,37210,258.47443634806336,-0.2987787324980699,6,36020,9866,3,20,19,1
75,37984,292.87070098032603,-0.4346598580585171,1,37382,37148,3,15,15,0
76,38245,292.2713174740513,-0.4317500729255819,4,14074,18283,3,12,9,3
77,38746,292.8712964866321,-0.4344051907024314,3,38075,38245,4,21,19,2
78,39301,292.57737264113416,-0.4331402627346673,6,13815,18911,4,22,18,4
79,39639,292.82516582830056,-0.4340635945024695,2,39078,39078,3,18,18,0
80,40293,292.51250988164117,-0.43264326450422097,3,19674,18700,2,13,13,0
81,40893,292.9604225474382,-0.43446527281489966,4,40453,40453,4,23,22,1
82,41408,293.27299799460036,-0.43583267270098774,2,40673,40886,3,21,18,3
83,41680,292.4647538288392,-0.43224819824472627,2,6282,14074,3,19,18,1
84,42054,292.9215451156459,-0.4342968538649287,6,41734,41680,3,17,17,0
85,42820,268.8230710811949,-0.3308102902543348,2,21722,26220,3,18,17,1
86,43276,292.8512997187382,-0.43390276021514257,6,42959,42820,3,18,16,2
87,43758,286.5089111042397,-0.40594996871319494,1,39317,8198,3,15,14,1
88,44274,293.18866650752585,-0.4354129048106094,3,43758,43669,3,18,17,1
89,44864,285.1869739731992,-0.40024619087610647,5,21346,40722,3,20,18,2
90,45411,288.79353510601203,-0.4160562997472654,4,44864,44864,3,21,18,3
91,45821,293.1081944844042,-0.4348601472600133,4,45411,45411,3,17,16,1
92,46484,256.07670814118364,-0.2911173422899504,6,11024,10161,3,15,13,2
93,46922,292.8193696708958,-0.4335758534276446,6,46484,46484,2,13,12,1
94,47010,293.19860012594194,-0.43521311057486034,6,46700,46763,3,14,14,0
95,47728,291.06451199347225,-0.42572264954605377,3,15443,21722,4,19,19,0
96,48347,293.11764473549465,-0.43487487692970933,5,19674,47929,3,15,13,2
