generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,201,145.14681407879664,-0.3974605108969704,,-1,-1,3,18,18,0
0,245,144.84715285924298,-0.39581553033745304,,-1,-1,3,18,18,0
0,494,142.10992267365037,-0.3817235413397433,,-1,-1,3,18,18,0
0,478,132.4267593228732,-0.3408371113620036,,-1,-1,3,18,18,0
0,217,131.22408862363588,-0.34044256069504536,,-1,-1,3,18,18,0
0,491,126.84026160201785,-0.3262340120678435,,-1,-1,3,18,18,0
0,227,126.49927797695065,-0.31623990692450643,,-1,-1,3,18,18,0
0,188,113.64632233631073,-0.2786011183933603,,-1,-1,3,18,18,0
0,155,86.95439447200557,-0.17529124351706937,,-1,-1,3,18,18,0
1,790,187.97021857983592,-0.43344159276805494,,227,491,3,18,18,0
1,750,187.58187783707868,-0.43172131840403183,,227,217,2,12,12,0
1,997,187.55604508153232,-0.43155868276539355,,494,227,3,18,18,0
1,549,184.29972517165166,-0.417878143715092,,405,217,3,18,18,0
1,528,183.99402717491387,-0.4165690215560611,,217,201,2,11,11,0
1,635,183.10170552781176,-0.4134630770042692,,260,478,3,18,18,0
1,201,179.18426522693937,-0.3974605108969704,,-1,-1,3,18,18,0
1,245,178.88460400738578,-0.39581553033745304,,-1,-1,3,18,18,0
1,840,178.2829629549673,-0.39140753801718375,,499,97,3,18,18,0
1,944,176.75904395600045,-0.3871872366672254,,491,227,4,20,19,1
1,494,176.14737382179314,-0.3817235413397433,,-1,-1,3,18,18,0
1,988,173.8059995854628,-0.37173984838262464,,237,478,3,18,18,0
1,767,171.43922813628376,-0.3615227245895114,,217,217,2,12,12,0
1,742,167.57125110602556,-0.349839744937191,,155,188,3,18,18,0
1,653,167.05866731466207,-0.34730332219908033,,66,201,3,18,18,0
1,593,166.9323079662938,-0.347367131306251,,468,494,2,10,10,0
1,478,166.46421047101595,-0.3408371113620036,,-1,-1,3,18,18,0
3,1855,237.78984507743658,-0.4320136720762307,,517,207,4,20,19,1
3,1915,236.6303367331067,-0.4267127012800077,,405,844,3,18,18,0
3,1887,236.48059229151494,-0.42606469567468674,,1069,892,3,19,19,0
3,1740,235.5771877159561,-0.4225016982385901,,606,765,3,18,17,1
3,1749,232.6704017382535,-0.40924563176556783,,1108,1453,3,19,18,1
3,1898,227.0243040303696,-0.3850579285166796,,1274,1308,4,21,19,2
3,1836,226.32642700352,-0.38197777097574254,,1235,1184,2,9,8,1
3,1831,224.02366264312124,-0.3753036845370505,,606,130,3,19,19,0
3,1608,224.0001679371103,-0.3750825295078677,,1156,1184,2,13,13,0
3,1922,222.63958768327592,-0.36587123638618263,,887,1110,3,18,18,0
3,1568,216.8456954894659,-0.3482134325939911,,1172,1117,3,21,21,0
3,1648,214.76700833978222,-0.3402818878317104,,570,1379,2,14,14,0
3,1683,207.032262378855,-0.3013540038248771,,764,381,2,12,12,0
3,1901,201.58811635096424,-0.2917995152715273,,1379,561,2,14,14,0
3,1700,193.96810082777523,-0.2577729377857508,,1184,773,2,12,12,0
5,2608,241.66060192579562,-0.43442390440694406,,2500,1048,3,20,20,0
5,2996,239.33702152464983,-0.42479448154569094,,2201,1372,3,18,18,0
5,2896,229.58823134879185,-0.38190246317433446,,2437,1733,3,15,13,2
5,2683,226.4114982457729,-0.3679560365659859,,1308,910,3,17,16,1
5,2631,224.8168138956039,-0.3645972671758776,,1884,2322,3,19,19,0
5,2783,222.93436076934583,-0.3529627635654702,,2326,1585,3,19,18,1
5,2643,221.5334405141114,-0.3470271183638115,,1308,1733,3,18,17,1
5,2502,221.03256984536367,-0.35146819779657285,,1862,956,2,14,14,0
5,2587,215.34812200739256,-0.327265848369899,,2120,2064,2,13,13,0
5,2797,212.0377540567201,-0.31572646911418234,,2493,1240,3,18,18,0
5,2769,210.79650355525112,-0.3029380134839282,,2175,2064,3,15,14,1
5,2513,210.26958246776073,-0.3112521536309673,,2148,1069,3,20,19,1
5,2504,200.2806087518144,-0.2754667159721326,,258,1184,2,12,12,0
7,3892,260.82849096281836,-0.4074138888708905,,1308,3018,4,20,18,2
7,3674,254.69825522209538,-0.3805310799914963,,3020,2848,3,18,18,0
7,3504,253.512264307743,-0.3792700434479455,,3206,2493,3,18,16,2
7,3903,248.45173890972475,-0.357282076067433,,3421,2064,3,18,18,0
7,3772,232.79061717481954,-0.2894457439734975,,3478,2580,2,10,10,0
7,3819,228.01024958327525,-0.2826376439332731,,2123,2064,2,13,13,0
7,3978,227.3540090390707,-0.2748145786903604,,3241,1069,3,21,21,0
7,3857,226.42722328157106,-0.264302490019404,,1244,1688,3,20,18,2
9,4989,266.0812203977267,-0.3679372468211306,,910,3405,3,19,18,1
9,4943,264.3222051977869,-0.3603002581764041,,3020,3356,3,18,18,0
9,4621,255.9132405532709,-0.3333246224687379,,3338,910,3,18,16,2
9,4509,222.64099449037164,-0.20030682513441084,,1069,2310,3,19,19,0
9,4839,217.87488049742961,-0.16039621172646373,,2987,2064,2,13,13,0
9,4723,217.40149342065806,-0.16118959058143342,,3887,3615,4,20,18,2
11,5694,279.6721442645373,-0.412114167289687,,2848,3718,3,19,17,2
11,5649,274.0038697606327,-0.38653879369218386,,1244,2997,3,20,18,2
11,5507,273.0762949543354,-0.3850822431751687,,3126,5427,3,19,17,2
11,5810,266.4680328847582,-0.3538670823091074,,3445,4528,3,19,18,1
11,5551,240.1541804898254,-0.25654457226277627,,4144,5455,4,22,18,4
11,5855,238.2162583945995,-0.25294649139217074,,3615,5097,2,10,9,1
12,6251,286.2021593938612,-0.4339690805592629,,5694,5649,4,22,18,4
12,6139,284.2411565531963,-0.4253897674549766,,5507,5694,4,21,18,3
12,6165,281.26188011339946,-0.4131240432755479,,5455,5507,3,20,19,1
12,5694,280.9949055612717,-0.412114167289687,,2848,3718,3,19,17,2
12,6123,279.40162520922183,-0.40606718724446716,,5507,5507,2,12,11,1
12,6467,276.31697111417674,-0.39280458283610076,,5507,5507,2,12,10,2
12,5649,275.3266310573672,-0.38653879369218386,,1244,2997,3,20,18,2
12,6149,274.83587959923824,-0.38708758303327484,,5507,5507,3,20,18,2
