generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,59.22549766728772,0.7581625877241497,1,-1,-1,3,18,18,0
1,551,35.155846580031785,0.7583193870176368,4,116,454,3,18,18,0
2,1149,19.614170748603694,0.7589773325829108,4,520,984,3,18,18,0
3,1857,9.927206273887723,0.7625805720456376,3,1276,1423,2,12,12,0
4,2473,5.744898853887154,0.756650011182483,2,1727,1771,3,17,16,1
5,2859,2.7780322279884193,0.7597091661861868,1,2050,943,3,19,19,0
6,3036,2.23375000259513,0.7542886338868416,4,2859,1974,2,11,11,0
7,3522,2.077148411030266,0.7622780258413953,3,2091,3206,3,17,17,0
8,4370,1.4151700855913023,0.761823971400711,1,984,3141,2,10,10,0
9,4820,2.1885135371173203,0.7613023583706997,1,2730,440,3,18,18,0
