generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,230,59.44593874875717,0.7552909675000639,2,-1,-1,3,18,18,0
1,807,41.39163305564359,-0.16356045849651996,1,149,82,3,18,17,1
2,1220,30.60624215908101,-0.15594250034954762,1,818,807,3,17,17,0
3,1932,44.48703479456331,-0.06291902776738621,3,977,1084,3,18,18,0
4,2001,25.52760457399793,-0.23213592444666403,4,342,1972,4,19,18,1
5,2912,39.43871551182765,0.054889439425842346,5,1322,1220,3,17,17,0
6,3002,31.937640999479072,0.09632642099661168,3,2342,2912,4,20,18,2
7,3861,32.85149065783671,0.3600179464095734,3,3384,3319,3,17,16,1
8,4054,33.80851561294062,-0.17586947430200725,2,3088,1703,4,20,19,1
9,4987,36.98354698819809,-0.41859817836900154,2,3861,1220,3,17,15,2
10,5205,29.351572593168402,-0.09602739529006776,4,2421,2864,3,19,18,1
11,5845,28.205777065946528,0.12370382981921349,3,4939,4690,3,21,20,1
12,6098,30.334632467539393,-0.16889331734873367,3,4690,3988,3,17,14,3
13,6922,34.45143903069063,-0.42994703205645723,4,4642,2154,3,18,18,0
14,7309,29.827972731718415,-0.22325903291615098,4,6151,6922,4,20,17,3
15,7753,35.89291020230058,-0.2246626736759962,5,7309,6579,2,11,10,1
16,8423,34.31990504051967,0.124553107849316,5,7773,7773,3,17,15,2
17,8773,32.073646575592484,0.3920620580398543,5,8044,8423,3,17,15,2
18,9222,34.13527625762985,0.3036079452660638,5,8773,8502,3,18,18,0
19,9626,30.839237345730396,-0.20551178806677609,5,6900,5689,2,15,15,0
20,10421,34.13814988272444,0.07681838742815336,5,9222,9788,2,10,9,1
21,10575,27.23115350315804,-0.04395548133945556,5,10206,10362,2,10,7,3
22,11145,34.15807972666304,0.050048620374596904,5,9222,9222,2,11,10,1
23,11741,38.18271639890184,-0.38099816052547114,3,9779,10789,3,18,17,1
24,12278,27.762818122483512,-0.1475922528182715,5,11959,11624,2,11,10,1
25,12733,28.286750113608264,-0.06994034454267928,5,12338,12278,2,11,10,1
26,13198,34.14160984245804,0.11899779455661433,5,12733,12690,4,20,17,3
27,13994,30.378815777927915,-0.25251965494172707,5,13198,13276,3,18,17,1
28,14301,30.57092416248843,0.23909151321289127,5,13811,13811,3,18,15,3
29,14915,43.73906555747246,-0.41576768206556247,3,13715,14100,2,14,13,1
30,15065,33.527490389461846,0.1123177678057952,5,13811,14751,2,11,10,1
31,15551,33.236676271555766,-0.27164296481067407,5,15230,14661,2,13,12,1
32,16409,43.44242908992573,-0.00566822089361381,4,10196,15986,3,16,15,1
33,16814,30.005541157220787,0.16562069020637762,5,13219,16324,3,18,17,1
34,17382,32.12379026278284,-0.4347463474860403,5,16814,16934,2,11,10,1
35,17689,33.5436856329907,-0.11241244458146363,5,17055,17228,3,19,19,0
36,18428,31.04011505537794,-0.3137986393031285,3,2421,17879,3,19,18,1
37,18717,40.27688864256687,-0.06429812680776721,3,13082,13953,4,24,22,2
38,19203,29.57095783696759,-0.09760011916641514,3,18717,18717,3,20,19,1
39,19758,37.12345706223873,-0.04175821500214509,5,10910,19009,3,19,19,0
40,20100,26.224918416263208,-0.030996970693037477,4,19009,19927,2,13,12,1
41,20945,27.400875940461795,-0.09151479274978448,3,13090,18621,5,22,18,4
42,21373,39.765324173749356,0.06321616147693954,5,20543,20543,4,21,19,2
43,21950,34.750406729523625,0.1974638190530195,5,18411,19009,4,19,16,3
44,22115,31.121907894774235,0.13562301447268973,3,21711,20543,3,14,10,4
45,22643,29.711478240824988,-0.14779643747678617,5,22115,22224,3,20,19,1
46,23052,31.95275420753762,-0.01393966092636934,3,22643,22643,4,21,21,0
47,23698,32.276189872175976,0.15833103441891933,5,23141,23141,2,12,10,2
48,24304,25.397745376053287,-0.32944032704468157,5,23307,23996,3,15,14,1
49,24587,30.89112828933235,-0.06370896520464062,4,23831,23141,2,13,12,1
50,25367,35.95355426786271,-0.20610049150733983,5,10910,24541,4,17,14,3
51,25997,23.340886120053366,0.29401003438525736,3,25033,25167,4,21,19,2
52,26375,35.65726795911974,-0.2623924751524052,4,18567,14290,2,11,10,1
53,26928,40.235237225283846,0.011006234229443471,5,26265,26375,3,18,18,0
54,27353,27.11232384795369,0.21465858400799545,5,26727,26727,2,11,11,0
55,27718,22.132981213428998,0.3306828416227878,5,27242,27248,3,19,18,1
56,28449,27.427405437673883,-0.23091947890883735,3,2421,27088,3,18,18,0
57,28707,27.773641608917696,-0.026293391286243042,4,28449,28196,3,18,18,0
58,29189,29.883182305423635,0.20005416098875578,4,28782,26727,3,16,15,1
59,29728,27.989059271544548,-0.2223210145496604,5,27571,26860,3,18,18,0
60,30382,38.80333021354336,0.15825333353898197,4,29313,29099,2,11,11,0
61,30825,29.095754992378726,-0.13952382106580202,5,30416,30416,4,18,14,4
62,31194,36.05068069612409,0.13826604661717481,4,21427,30872,4,20,19,1
63,31938,31.27933723295661,-0.1905533610570879,4,31036,30872,4,19,16,3
64,32259,34.413584511532804,0.12759116966239253,4,31819,31257,2,14,12,2
65,32707,41.0291048617925,-0.43559888248585815,4,25038,31257,3,17,16,1
66,33069,37.674407748452225,0.06118424170165337,6,32813,32707,3,19,18,1
67,33953,35.719853246932004,0.32134347302353244,5,33419,33143,4,21,19,2
68,34055,31.503946640555366,0.2870261772255868,5,33953,33478,2,11,10,1
69,34585,39.75922541558004,-0.2540976643186325,3,33734,34055,3,20,19,1
70,35402,39.56542976697647,0.12357550077488409,3,34851,33953,3,17,16,1
71,35702,26.45654004369556,0.21616671676450921,4,35402,34585,4,20,18,2
72,36028,26.85296875875037,-0.2830290471103478,3,35250,35782,4,21,19,2
73,36683,40.929155509605586,0.022788409573118146,2,31922,10196,4,20,18,2
74,37326,30.504444143522562,0.12288310838388083,3,36802,36802,3,13,10,3
75,37812,33.271606766525956,0.2811263535044033,3,37255,37326,4,18,16,2
76,38117,45.296009117705324,-0.4047142620529659,3,37812,37812,2,11,10,1
77,38900,31.854839914019283,0.31057854994725276,1,38206,38072,3,15,13,2
78,39336,31.832072161964486,0.21073507266053562,4,38726,38234,2,12,10,2
79,39713,27.590413991673408,-0.16619047564342196,1,27087,37738,4,19,18,1
80,40088,38.696707134651355,0.12872017577130324,4,38900,38900,2,14,12,2
81,40520,39.61320708958166,-0.4334484925116195,2,16257,38227,4,20,19,1
82,41063,41.915505881567874,0.10409087786063671,3,40265,40872,3,14,12,2
83,41512,32.17833062813325,-0.12353653089295195,3,41248,41470,3,19,16,3
84,42480,38.80437932430445,0.13579771439015506,1,40265,41544,3,13,11,2
85,42775,43.54414808924105,-0.3676515012890084,1,42100,42100,4,20,18,2
86,43167,35.05246608919535,-0.11222277918055783,5,42775,42765,2,12,10,2
87,43794,29.949041504745644,0.08886701825290465,3,42599,42984,2,10,7,3
88,44306,46.34189638224692,-0.3923125841566583,1,37738,43794,4,17,16,1
89,44671,29.269343662670614,-0.15130967185704383,1,44306,44419,2,12,11,1
90,45072,46.17388353056602,-0.43085613332942707,1,44717,44671,5,18,15,3
91,45614,35.74813661277304,-0.05106126633365666,3,45081,45081,3,20,16,4
92,46038,31.04919614124432,0.3863951594011383,1,45878,45899,3,20,20,0
93,46674,29.840524235541526,0.11480232369379817,3,46386,46384,2,11,10,1
94,47068,34.152564018793306,0.34742009366726123,7,46893,46781,3,18,18,0
95,47813,33.274922807907856,-0.1771610809687417,7,47457,47068,4,21,19,2
96,48459,34.03731490592683,-0.22443175603184237,7,47553,47829,3,16,14,2
97,48684,29.007566603556004,0.12978451440407127,7,48238,47068,3,18,17,1
98,49494,29.99866105429137,-0.2290745768214963,7,48613,48684,4,20,18,2
99,49861,31.34411050154799,0.15363098806267605,7,49043,49043,3,17,16,1
100,50383,33.158602147408054,-0.06724390155220138,4,38080,34093,3,19,17,2
101,50572,43.77712658452072,0.0797771389192386,4,46759,18411,3,13,10,3
102,51048,33.18611107788522,-0.4322966863542886,1,50686,50588,3,14,12,2
103,51572,32.388000456611785,-0.12184862965929043,7,50926,51048,4,22,21,1
104,52203,32.35766415390507,0.32122238374085954,7,51682,51701,5,22,19,3
105,52612,25.58065445306712,-0.12573336292827594,7,52188,52298,3,17,14,3
106,53230,34.25592770599622,-0.38544082252316403,7,52053,52298,2,11,11,0
107,53593,27.631280813951808,0.1632478078333008,7,53230,53467,2,11,9,2
108,54098,33.498730215197284,0.24075669667514613,6,29029,50605,3,19,17,2
109,54774,25.94032281363612,-0.06540178145690653,5,51693,31922,3,17,16,1
110,55193,47.59561038493705,-0.0658144502622561,3,54774,54774,4,21,18,3
111,55697,34.015230313100396,0.10106812008950523,7,55399,55272,4,21,21,0
112,56246,30.486247504673496,0.15061834641563548,7,55551,55764,4,21,19,2
113,56807,36.83135059573143,-0.4281666420396122,7,56361,56004,3,18,17,1
114,57019,28.5359622099448,-0.1347320780537695,7,56361,56361,4,18,15,3
115,57893,42.02867601871728,-0.4062045828951699,6,20971,43919,4,19,16,3
116,58447,33.20105020914604,0.20396108101635466,7,57893,57861,5,23,21,2
117,58873,31.08466285051438,-0.21061183933466493,7,58447,58447,2,10,9,1
118,59255,32.15005527420596,0.1713075521623503,7,58843,58873,2,10,8,2
119,59652,42.09153239711715,-0.24754888985787385,7,59226,59226,3,13,11,2
120,60078,26.763865142673875,0.22758178539187424,7,59998,59594,3,19,17,2
121,60789,28.901758735116946,-0.2952552382348993,4,56013,48581,5,21,19,2
122,61391,28.487982704647084,0.14360454792012906,7,57538,60804,3,17,16,1
123,61593,34.36265511257451,-0.4241023055414707,4,60704,60704,4,19,15,4
124,62334,32.94483899073132,-0.18942556229574609,5,60704,60704,3,14,11,3
125,62739,35.298677687475724,-0.25627136815872087,5,62011,62032,4,19,18,1
126,63005,37.02945906884208,0.40469162533710845,3,62949,62739,3,19,18,1
127,63720,29.548493787388782,0.1550538562004602,1,63465,63282,6,20,17,3
128,64369,28.568617346974893,0.24007721129294193,4,63465,63720,7,24,22,2
129,64626,24.77333742196316,-0.11235889120110956,5,38750,64369,3,18,17,1
130,65259,37.67757291830047,0.04646867685404672,3,63005,64626,3,19,17,2
131,65821,26.17316453433114,-0.0918658575218389,3,13219,63005,3,19,18,1
132,66167,36.04663123050107,0.1568334698092936,2,63005,63005,6,21,18,3
133,66872,31.102863070394807,-0.19763996048724808,2,23598,66450,6,21,18,3
134,67019,36.426702836837784,0.16464488325811508,3,63005,63005,3,20,16,4
135,67848,37.60351929596404,-0.19608251289468442,3,63005,67415,3,17,16,1
136,68272,33.820455912130434,0.1725175290353563,7,67848,67807,4,20,18,2
137,68665,36.729028710071375,-0.17547119373231881,6,68383,68383,3,18,17,1
138,69380,28.82903322821179,0.2219827724817461,7,68272,68272,3,20,16,4
139,69520,30.792126808885413,-0.11846898156232628,3,63005,68272,4,21,19,2
140,70031,37.78002347134043,-0.18387948986036373,1,63005,69669,2,11,9,2
141,70979,34.33835426425731,0.22049862644211551,3,70087,70380,3,17,14,3
142,71099,34.16946449370945,0.14863008448089,2,70979,70576,6,20,17,3
143,71833,25.92925462391615,-0.1897077520030078,7,62979,70031,2,12,11,1
144,72059,44.83597690887619,0.09428514474900103,1,71689,71689,6,21,17,4
145,72733,32.18943200375235,0.19957810869720077,3,72011,71689,2,11,9,2
146,73239,34.727286027570614,-0.19772322616534307,7,72197,72329,4,21,20,1
147,73957,28.389293881136236,0.09941110485286345,7,73019,70979,3,19,17,2
148,74047,55.552070291480874,-0.13894537656005015,1,73901,73950,2,12,11,1
149,74963,36.41854487396628,-0.18634080911596768,7,74399,74012,2,12,8,4
150,75080,35.91093374918969,0.11291686151827161,1,63005,74047,5,24,22,2
151,75729,32.69107550987983,-0.054226126888882516,1,74637,75434,3,16,15,1
152,76125,32.54349056544634,0.0005061265129106725,4,75675,75729,3,18,17,1
153,76623,31.855310106535836,-0.2097741463132845,4,63005,75675,2,13,10,3
154,77493,29.58574103094272,0.4098904805260267,7,76943,75675,4,21,20,1
155,77744,29.558393329455264,-0.2700213453656225,4,57290,74969,5,15,14,1
156,78121,32.2631773947319,0.48214796154845996,3,76623,76623,4,22,22,0
157,78603,39.22799157679753,-0.23474466098646088,2,78121,74047,3,19,17,2
158,79010,31.497102160680367,-0.053032899657146616,2,78121,78931,4,22,22,0
159,79836,32.3131553285131,-0.3843998210882566,4,79488,78121,5,16,14,2
160,80291,30.258148223164135,-0.06760115876370285,7,78121,78121,3,19,16,3
161,80706,41.03312525178148,-0.036268958668422106,3,80291,78121,4,20,20,0
162,81176,130.98376836380342,0.07998329685287665,4,80871,78121,2,11,10,1
163,81695,76.2230884399989,0.3027563078488984,4,81414,80706,7,23,19,4
164,82260,38.2856315845186,-0.4002323002603915,4,81994,74047,5,22,20,2
165,82503,56.07813292844517,0.1482511945410647,2,81148,82260,4,20,20,0
166,83256,38.36166493986521,-0.1965828994670773,3,81695,81176,3,13,10,3
167,83790,41.780261303646846,-0.37215711462287654,1,81148,83489,4,22,22,0
168,84462,30.50458245465002,0.16727303397103008,1,81994,83542,4,20,16,4
169,84918,42.05888828089863,-0.40428044080663506,2,74047,74047,5,22,18,4
170,85229,40.56162604635143,-0.12916590979908193,4,81176,81994,3,19,18,1
171,86000,38.71415951460455,-0.43460836916328727,7,81176,81148,5,17,15,2
172,86395,60.22909095263116,0.14772824890935843,2,85984,85984,4,20,17,3
173,86587,42.670262946242325,-0.36188822362534506,2,82503,81994,3,19,14,5
174,87355,44.799417771049846,-0.11233406289792126,2,86587,81994,5,17,16,1
175,87999,32.58583151629128,0.41320451825816623,7,81994,81176,4,21,20,1
176,88035,41.19380706957046,-0.4197625577202427,2,81176,81994,3,12,11,1
177,88875,33.34552064499285,-0.2851080148320019,3,85984,88001,4,20,17,3
178,89386,103.22709027169101,0.0921790535169256,4,81176,85984,2,12,10,2
179,89772,44.23923523951905,-0.18721797362367099,4,81176,81994,3,18,18,0
180,90057,68.77654342031502,0.12077777975131206,1,87355,87355,3,18,14,4
181,90515,82.06853187054124,0.11261599367897117,2,89386,81176,2,11,10,1
182,91004,60.79026779252829,0.06715996257785795,2,81994,87355,2,11,9,2
183,91506,46.97808769888372,0.088944737163736,7,87355,87355,5,18,15,3
184,92416,35.94807919925518,0.18808667213138466,7,81148,90057,5,15,13,2
185,92833,70.6130418958923,0.021831891750027643,5,81695,86395,5,16,14,2
186,93040,35.27735414390365,-0.4247312355061607,7,90515,81148,5,17,16,1
187,93982,47.47882408624758,0.033124226923302906,7,91935,91004,4,20,18,2
188,94209,41.48003744412732,0.15712659487622885,3,91506,91004,5,16,15,1
189,94789,43.978939486867866,-0.10839606321740683,3,93982,81994,4,20,16,4
190,95470,59.06225786581228,0.5163676422603808,1,92833,90515,3,17,13,4
191,95549,47.87961685749524,0.45799249632624894,5,93982,91935,3,15,12,3
192,96393,38.4355640396504,-0.39995244828609455,2,95470,81176,4,20,17,3
193,96730,42.18582891290389,-0.06735157857264625,1,95549,94789,4,19,16,3
194,97428,53.80816683849447,0.14632346201609872,3,81176,92833,5,21,18,3
195,97800,30.90629885121238,0.09480631896374551,7,90515,89386,2,12,10,2
196,98319,36.56388972904392,-0.39716447161426566,3,91935,95709,2,11,10,1
197,98507,43.890013273692134,0.4991177201609946,3,97428,91935,5,16,15,1
198,99188,37.49012976858772,-0.3982030047045666,3,97484,91935,4,20,16,4
199,99850,45.16362111069031,0.5279807431017094,1,98507,97428,4,18,15,3
200,100259,31.874740299947955,-0.32209766234315235,4,29029,71376,2,12,10,2
201,100672,36.873004336154374,0.2048455152965392,7,89386,95549,2,11,10,1
202,101095,46.293557480622894,-0.11787782935526515,7,95549,96730,3,20,17,3
203,101919,40.77528011292584,-0.11487456820486983,1,96730,101095,3,13,11,2
204,102033,43.63370152402069,0.36118726855383804,1,95470,99850,3,17,15,2
