generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,230,48.26558501046786,0.6006965289520574,1,-1,-1,3,18,18,0
1,555,40.96367558468109,0.7609594249096802,2,294,289,2,11,11,0
2,1377,19.35549044029354,0.758310261759558,4,596,637,3,18,18,0
3,1567,24.90777695147901,0.7606617552333951,2,1380,730,3,18,18,0
4,2286,6.518358941347088,0.7597563582746651,2,864,1618,3,18,18,0
5,2516,4.518152101759881,0.7601815530755833,4,1831,2274,3,18,18,0
6,3277,7.464764516099778,0.7612483723134399,4,637,2571,3,19,19,0
7,3775,3.794964882995473,0.7615154516639897,6,3070,3008,3,18,18,0
8,4265,2.3469799203712354,0.7594171276196401,4,3775,3671,3,18,18,0
9,4989,5.057975680465847,0.7616515509264236,4,3845,4254,3,14,12,2
10,5142,3.34264398329515,0.761944017843662,4,3845,4066,4,22,22,0
11,5940,1.7357536425096929,0.7604054666854463,6,4087,2692,2,10,9,1
12,6485,7.0277110844401145,0.7608619913593062,5,1567,2272,2,9,8,1
13,6577,2.1440947291907833,0.7604127824416111,2,2516,5744,3,19,18,1
14,7414,5.03947493245943,0.7611187629049753,2,5800,6550,3,18,18,0
15,7882,2.1808449733322504,0.7610646982239003,2,6640,3148,2,10,8,2
16,8376,3.190042891216651,0.7615463522099105,4,3913,7882,2,11,10,1
17,8763,3.318045806878806,0.7599688072748305,3,5354,4527,2,13,12,1
18,9015,1.6279537215825746,0.7617127408945882,3,5758,8768,4,23,21,2
19,9838,2.0988155413629848,0.7619551664823143,2,8376,9063,2,11,11,0
20,10315,1.2940755128744956,0.7616983885733194,2,8763,9950,4,21,19,2
21,10714,1.844769034905,0.7617097845061774,3,8376,8768,3,18,18,0
22,11070,1.9870059301927654,0.7618093729681389,4,3148,10508,2,13,12,1
23,11882,4.436653402965201,0.7615990807609287,1,7165,10064,3,20,19,1
24,12090,1.7733661157273108,0.7621331987824103,3,9361,11576,3,18,18,0
25,12914,1.0813620721684025,0.7617286098280763,5,8376,11580,4,23,22,1
26,13117,1.215809953073752,0.7609517167734364,2,4636,4411,3,18,17,1
27,13908,1.5151250988417786,0.7616031211254426,3,6370,12153,3,18,16,2
28,14449,0.9900365589171599,0.7613674860205054,4,5744,9108,3,11,10,1
29,14974,1.87818753367899,0.7606586882786801,6,13965,5446,4,19,17,2
30,15250,1.4814551285327893,0.7612084267774547,2,4989,14949,3,20,19,1
31,15655,4.772454892284994,0.7613617653514086,6,11882,10508,4,21,16,5
32,16494,5.1629957232118775,0.7625020906257703,6,14321,3914,3,17,15,2
