generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,236,58.336081213582155,0.7465593549429677,,-1,-1,3,18,18,0
0,256,56.2577834052295,0.7613664806470559,,-1,-1,3,18,18,0
0,191,53.62844578682934,0.7467183631281309,,-1,-1,3,18,18,0
0,131,45.59150577068115,-0.22757582245344668,,-1,-1,3,18,18,0
0,57,42.11514717618486,0.6268719871899698,,-1,-1,3,18,18,0
0,10,38.666711059512394,-0.23143455503533225,,-1,-1,3,18,18,0
0,9,36.817582040546796,-0.0523975035732634,,-1,-1,3,18,18,0
0,398,35.54366195207104,-0.2647352083442546,,-1,-1,3,18,18,0
0,178,33.34967595950904,-0.27283287774790543,,-1,-1,3,18,18,0
0,177,33.07916873079702,0.46256828212308765,,-1,-1,3,18,18,0
0,226,33.003007630468595,0.482232290747888,,-1,-1,3,18,18,0
0,186,30.027119857772774,-0.3024979247532588,,-1,-1,3,18,18,0
1,700,45.534879007505836,-0.03293842295264127,,169,9,3,17,17,0
1,995,37.87763611828189,0.18071940218632618,,247,178,3,19,19,0
1,10,33.96111710145096,-0.23143455503533225,,-1,-1,3,18,18,0
1,978,33.276997897473194,-0.3831310788433639,,178,178,4,20,19,1
1,969,32.891372031694814,-0.43304478272863733,,399,446,3,18,18,0
1,624,30.89579541387912,-0.3798609394589172,,186,131,3,18,18,0
1,186,30.871081055353248,-0.3024979247532588,,-1,-1,3,18,18,0
1,566,30.402575376514072,-0.2108882023462708,,206,186,3,18,18,0
1,704,30.20215363720389,-0.048000808432592655,,219,122,3,18,18,0
1,871,29.725374938847406,-0.4147654087883936,,186,186,3,18,18,0
2,1469,39.91055683553548,0.7361926472826495,,10,624,3,18,18,0
2,700,38.756668475685366,-0.03293842295264127,,169,9,3,17,17,0
2,1059,36.84715387307243,0.7388576027160677,,774,761,3,18,18,0
2,1397,35.16754421266746,0.753339985815491,,649,624,3,18,18,0
2,1444,34.77631129778274,0.749600278643933,,795,982,3,18,18,0
2,995,33.96093815345781,0.18071940218632618,,247,178,3,19,19,0
