generation,id,fitness,species,parent1,parent2
0,256,0.00190341620161764,1,-1,-1
1,256,0.00190341620161764,6,-1,-1
2,256,0.00190341620161764,1,-1,-1
3,256,0.00190341620161764,5,-1,-1
4,256,0.00190341620161764,5,-1,-1
5,2676,0.0019038774565305133,4,1673,2032
6,3119,0.0019047754199345956,3,2773,2388
7,3119,0.0019047754199345956,3,2773,2388
8,3119,0.0019047754199345956,3,2773,2388
9,4704,0.0019051004539134522,1,4008,4064
10,4919,0.0019065553521037774,6,3054,4419
11,4919,0.0019065553521037774,6,3054,4419
12,4919,0.0019065553521037774,6,3054,4419
13,4919,0.0019065553521037774,6,3054,4419
14,4919,0.0019065553521037774,6,3054,4419
15,4919,0.0019065553521037774,6,3054,4419
16,4919,0.0019065553521037774,6,3054,4419
17,4919,0.0019065553521037774,6,3054,4419
18,4919,0.0019065553521037774,6,3054,4419
19,4919,0.0019065553521037774,6,3054,4419
20,9888,0.001906736364237702,5,9362,9386
21,10678,0.0019070434602614155,5,9888,5452
22,10678,0.0019070434602614155,5,9888,5452
23,10678,0.0019070434602614155,5,9888,5452
24,10678,0.0019070434602614155,5,9888,5452
25,10678,0.0019070434602614155,5,9888,5452
26,10678,0.0019070434602614155,5,9888,5452
27,10678,0.0019070434602614155,5,9888,5452
28,10678,0.0019070434602614155,5,9888,5452
29,10678,0.0019070434602614155,5,9888,5452
30,10678,0.0019070434602614155,5,9888,5452
31,10678,0.0019070434602614155,5,9888,5452
32,10678,0.0019070434602614155,5,9888,5452
33,10678,0.0019070434602614155,5,9888,5452
34,10678,0.0019070434602614155,5,9888,5452
35,10678,0.0019070434602614155,5,9888,5452
36,10678,0.0019070434602614155,5,9888,5452
37,10678,0.0019070434602614155,5,9888,5452
38,10678,0.0019070434602614155,5,9888,5452
39,10678,0.0019070434602614155,5,9888,5452
40,10678,0.0019070434602614155,5,9888,5452
41,10678,0.0019070434602614155,5,9888,5452
42,10678,0.0019070434602614155,5,9888,5452
43,10678,0.0019070434602614155,5,9888,5452
44,10678,0.0019070434602614155,5,9888,5452
45,10678,0.0019070434602614155,5,9888,5452
46,10678,0.0019070434602614155,5,9888,5452
47,10678,0.0019070434602614155,5,9888,5452
48,10678,0.0019070434602614155,5,9888,5452
49,10678,0.0019070434602614155,5,9888,5452
50,10678,0.0019070434602614155,5,9888,5452
51,10678,0.0019070434602614155,5,9888,5452
52,10678,0.0019070434602614155,5,9888,5452
53,10678,0.0019070434602614155,5,9888,5452
54,10678,0.0019070434602614155,5,9888,5452
55,10678,0.0019070434602614155,5,9888,5452
56,10678,0.0019070434602614155,5,9888,5452
57,10678,0.0019070434602614155,5,9888,5452
58,10678,0.0019070434602614155,5,9888,5452
59,10678,0.0019070434602614155,5,9888,5452
60,10678,0.0019070434602614155,5,9888,5452
61,30200,0.0019071044662812022,5,29687,29687
62,30200,0.0019071044662812022,5,29687,29687
63,30200,0.0019071044662812022,5,29687,29687
64,30200,0.0019071044662812022,5,29687,29687
65,30200,0.0019071044662812022,5,29687,29687
66,30200,0.0019071044662812022,5,29687,29687
67,30200,0.0019071044662812022,5,29687,29687
68,30200,0.0019071044662812022,5,29687,29687
69,30200,0.0019071044662812022,5,29687,29687
70,30200,0.0019071044662812022,5,29687,29687
71,30200,0.0019071044662812022,5,29687,29687
72,30200,0.0019071044662812022,5,29687,29687
73,30200,0.0019071044662812022,5,29687,29687
74,30200,0.0019071044662812022,5,29687,29687
75,30200,0.0019071044662812022,5,29687,29687
76,30200,0.0019071044662812022,5,29687,29687
77,30200,0.0019071044662812022,5,29687,29687
78,30200,0.0019071044662812022,5,29687,29687
79,30200,0.0019071044662812022,5,29687,29687
80,30200,0.0019071044662812022,5,29687,29687
81,30200,0.0019071044662812022,5,29687,29687
82,30200,0.0019071044662812022,5,29687,29687
83,30200,0.0019071044662812022,5,29687,29687
84,30200,0.0019071044662812022,5,29687,29687
85,30200,0.0019071044662812022,5,29687,29687
86,30200,0.0019071044662812022,5,29687,29687
87,30200,0.0019071044662812022,5,29687,29687
88,30200,0.0019071044662812022,5,29687,29687
89,30200,0.0019071044662812022,5,29687,29687
90,30200,0.0019071044662812022,5,29687,29687
91,30200,0.0019071044662812022,5,29687,29687
92,30200,0.0019071044662812022,5,29687,29687
93,30200,0.0019071044662812022,5,29687,29687
94,30200,0.0019071044662812022,5,29687,29687
95,30200,0.0019071044662812022,5,29687,29687
96,30200,0.0019071044662812022,5,29687,29687
97,30200,0.0019071044662812022,5,29687,29687
98,30200,0.0019071044662812022,5,29687,29687
99,30200,0.0019071044662812022,5,29687,29687
100,30200,0.0019071044662812022,5,29687,29687
101,30200,0.0019071044662812022,5,29687,29687
102,30200,0.0019071044662812022,5,29687,29687
103,30200,0.0019071044662812022,5,29687,29687
104,30200,0.0019071044662812022,5,29687,29687
105,30200,0.0019071044662812022,5,29687,29687
106,30200,0.0019071044662812022,5,29687,29687
107,30200,0.0019071044662812022,5,29687,29687
108,30200,0.0019071044662812022,5,29687,29687
109,30200,0.0019071044662812022,5,29687,29687
110,30200,0.0019071044662812022,5,29687,29687
111,30200,0.0019071044662812022,5,29687,29687
112,30200,0.0019071044662812022,5,29687,29687
113,30200,0.0019071044662812022,5,29687,29687
114,30200,0.0019071044662812022,5,29687,29687
115,30200,0.0019071044662812022,5,29687,29687
116,56716,0.0019071234009552611,1,53315,56019
117,56716,0.0019071234009552611,1,53315,56019
118,56716,0.0019071234009552611,1,53315,56019
119,56716,0.0019071234009552611,1,53315,56019
120,56716,0.0019071234009552611,1,53315,56019
121,56716,0.0019071234009552611,7,53315,56019
122,56716,0.0019071234009552611,7,53315,56019
