generation,id,novelty,score,species,parent1,parent2
0,1,0.0,0.16536744679522397,1,-1,-1
0,2,13.521341581748429,0.31455965820524867,1,-1,-1
0,3,-1,-0.07438031705966489,1,-1,-1
0,4,0.0,0.16536744679522397,2,-1,-1
0,5,2.034840467261953,0.16042429376165906,2,-1,-1
0,6,-1,-0.00963409565001027,2,-1,-1
0,7,0.0,0.16536744679522397,1,-1,-1
0,8,0.0,0.16536744679522397,1,-1,-1
0,9,0.0,0.16536744679522397,1,-1,-1
0,10,0.0,0.16536744679522397,1,-1,-1
0,11,-1,-0.061776825424741263,1,-1,-1
0,12,0.5467773181822996,0.19055044015037648,1,-1,-1
0,13,0.0,0.16536744679522397,2,-1,-1
0,14,2.728405171704709,0.16589994841938857,3,-1,-1
0,15,0.0,0.16536744679522397,2,-1,-1
0,16,0.0005516545309056653,0.17131802901972223,2,-1,-1
0,17,0.6868903121271274,0.1610712317476231,1,-1,-1
0,18,0.0,0.16536744679522397,2,-1,-1
0,19,0.0,0.16536744679522397,1,-1,-1
0,20,0.0,0.16536744679522397,2,-1,-1
0,21,0.0,0.16536744679522397,1,-1,-1
0,22,0.0,0.16536744679522397,2,-1,-1
0,23,0.0,0.16536744679522397,4,-1,-1
0,24,0.0,0.16536744679522397,3,-1,-1
0,25,0.0,0.16536744679522397,2,-1,-1
0,26,0.0,0.16536744679522397,1,-1,-1
0,27,0.0,0.16536744679522397,3,-1,-1
0,28,0.0,0.16536744679522397,3,-1,-1
0,29,0.0,0.16536744679522397,1,-1,-1
0,30,0.7400691996211397,0.14797399231356395,4,-1,-1
0,31,0.0,0.16536744679522397,2,-1,-1
0,32,0.7334303403935858,0.13675194084080813,1,-1,-1
0,33,0.0,0.16536744679522397,2,-1,-1
0,34,0.00040560285994123055,0.16536789312573474,2,-1,-1
0,35,0.0,0.16536744679522397,3,-1,-1
0,36,0.0,0.16536744679522397,3,-1,-1
0,37,23.26933149222022,0.019685677372825124,2,-1,-1
0,38,0.0,0.16536744679522397,1,-1,-1
0,39,0.0,0.16536744679522397,1,-1,-1
0,40,0.0,0.16536744679522397,3,-1,-1
0,41,0.0,0.16536744679522397,4,-1,-1
0,42,0.0,0.16536744679522397,2,-1,-1
0,43,0.7757389818425717,0.14727550845683635,4,-1,-1
0,44,6.868680291729873,0.11006417967104293,3,-1,-1
0,45,0.5063159093631932,0.16827042733523168,2,-1,-1
0,46,0.0,0.16536744679522397,2,-1,-1
0,47,-1,-0.43138868310429684,1,-1,-1
0,48,0.0,0.16536744679522397,4,-1,-1
0,49,-1,-0.06808324287345856,1,-1,-1
0,50,-1,-0.3688905367720175,2,-1,-1
0,51,0.0,0.16536744679522397,3,-1,-1
0,52,-1,-0.046169517299660554,2,-1,-1
0,53,14.324726340367711,0.15947877969091348,3,-1,-1
0,54,0.0,0.16536744679522397,5,-1,-1
0,55,0.0,0.16536744679522397,1,-1,-1
0,56,1.0915728933427369,0.18607572859213417,1,-1,-1
0,57,0.0,0.16536744679522397,3,-1,-1
0,58,0.0005658883079753708,0.17131804408564869,2,-1,-1
0,59,12.029033559193973,0.1118172888208119,1,-1,-1
0,60,0.0,0.16536744679522397,1,-1,-1
0,61,0.5803195821468302,0.19195112732258904,1,-1,-1
0,62,0.0,0.16536744679522397,5,-1,-1
0,63,0.0005647700906732685,0.1713180436481488,2,-1,-1
0,64,0.0,0.16536744679522397,2,-1,-1
0,65,0.48014086965574876,0.1912538353582948,4,-1,-1
0,66,16.150115246026058,0.20702814782726378,1,-1,-1
0,67,1.359953212371817,0.156093459801801,2,-1,-1
0,68,0.0005595634165490063,0.1713180774039502,3,-1,-1
0,69,-1,-0.032140514082759565,1,-1,-1
0,70,0.0,0.16536744679522397,3,-1,-1
0,71,0.0,0.16536744679522397,1,-1,-1
0,72,0.0,0.16536744679522397,2,-1,-1
0,73,16.79572670366378,0.0032320887125159474,2,-1,-1
0,74,3.3382034600609827,0.12442065766410236,1,-1,-1
0,75,0.0,0.16536744679522397,1,-1,-1
0,76,15.072594460695006,0.24422030246662868,2,-1,-1
0,77,-1,-0.006083472378231184,2,-1,-1
0,78,0.0005661168743062698,0.17131804402623835,2,-1,-1
0,79,0.0,0.16536744679522397,2,-1,-1
0,80,0.0,0.16536744679522397,2,-1,-1
0,81,0.0,0.16536744679522397,1,-1,-1
0,82,-1,-0.023757699934050358,2,-1,-1
0,83,0.0,0.16536744679522397,3,-1,-1
0,84,0.0,0.16536744679522397,1,-1,-1
0,85,0.7801131770672207,0.16149919710746755,2,-1,-1
0,86,1.901633485309218,0.15080673597235794,3,-1,-1
0,87,0.0007797168641002846,0.17131815803615127,2,-1,-1
0,88,12.077933915271915,0.1018708143592113,2,-1,-1
0,89,0.0,0.16536744679522397,4,-1,-1
0,90,-1,-0.259602547455494,1,-1,-1
0,91,0.0,0.16536744679522397,5,-1,-1
0,92,0.0,0.16536744679522397,1,-1,-1
0,93,10.86293371559093,0.28436151449927727,2,-1,-1
0,94,1.9465608307488254,0.14932581223838426,1,-1,-1
0,95,0.0,0.16536744679522397,2,-1,-1
0,96,-1,-0.38796309519800454,5,-1,-1
0,97,5.188492337993011e-08,0.1653674468427088,1,-1,-1
0,98,-1,-0.06650979111625482,4,-1,-1
0,99,0.0,0.16536744679522397,2,-1,-1
0,100,2.919569011924054,0.1727156050196185,5,-1,-1
0,101,4.469031837924389,0.19780215815115296,3,-1,-1
0,102,0.0,0.16536744679522397,4,-1,-1
0,103,0.5259854472581281,0.16212819332127643,1,-1,-1
0,104,0.0,0.16536744679522397,1,-1,-1
0,105,0.01777975349681616,0.17132234873048813,2,-1,-1
0,106,0.0,0.16536744679522397,1,-1,-1
0,107,0.0,0.16536744679522397,1,-1,-1
0,108,-1,-0.06779914167104996,2,-1,-1
0,109,0.0,0.16536744679522397,4,-1,-1
0,110,0.0,0.16536744679522397,2,-1,-1
0,111,-1,-0.055102063464445114,2,-1,-1
0,112,0.0,0.16536744679522397,5,-1,-1
0,113,1.2223125737794425,0.18695926743000343,3,-1,-1
0,114,0.0,0.16536744679522397,2,-1,-1
0,115,0.0,0.16536744679522397,3,-1,-1
0,116,0.0,0.16536744679522397,2,-1,-1
0,117,0.8581617508328537,0.16056408777803416,4,-1,-1
0,118,22.169340011694974,0.051374414834923145,2,-1,-1
0,119,1.3493340314700935,0.1838128792735365,2,-1,-1
0,120,3.2706396494423866,0.20299613852907117,3,-1,-1
0,121,0.0,0.16536744679522397,3,-1,-1
0,122,1.6033729644860097,0.19164485612876153,5,-1,-1
0,123,0.0,0.16536744679522397,3,-1,-1
0,124,3.2926939700188167,0.1807568626301018,2,-1,-1
0,125,0.0,0.16536744679522397,2,-1,-1
0,126,0.0,0.16536744679522397,2,-1,-1
0,127,14.925946446419278,0.1358027672841241,3,-1,-1
0,128,5.051198207526254,0.11327388859328702,5,-1,-1
0,129,0.7333127795644591,0.1367561737148131,1,-1,-1
0,130,0.0,0.16536744679522397,3,-1,-1
0,131,0.0,0.16536744679522397,1,-1,-1
0,132,0.0,0.16536744679522397,1,-1,-1
0,133,-1,-0.05130766140677345,2,-1,-1
0,134,27.52679341370633,0.4483617454792703,1,-1,-1
0,135,0.0,0.16536744679522397,2,-1,-1
0,136,-1,-0.2055770927603962,3,-1,-1
0,137,0.0,0.16536744679522397,4,-1,-1
0,138,1.883965037534528,0.17453589647726817,3,-1,-1
0,139,0.0,0.16536744679522397,3,-1,-1
0,140,0.0,0.16536744679522397,2,-1,-1
0,141,-1,-0.04356618091540689,5,-1,-1
0,142,0.8172258285115388,0.1610297462515538,2,-1,-1
0,143,0.0,0.16536744679522397,5,-1,-1
0,144,0.0,0.16536744679522397,2,-1,-1
0,145,0.4991884183117714,0.1912849101609798,2,-1,-1
0,146,0.7739310040026574,0.16191999695551273,2,-1,-1
0,147,12.948073659824956,0.07959756953886858,1,-1,-1
0,148,4.404034177980297,0.19734694510520737,5,-1,-1
0,149,9.103290091989276,0.09585337823648662,4,-1,-1
0,150,0.0,0.16536744679522397,1,-1,-1
0,151,0.0,0.16536744679522397,2,-1,-1
0,152,0.0,0.16536744679522397,3,-1,-1
0,153,0.7369877947140556,0.16515157047595072,2,-1,-1
0,154,0.0,0.16536744679522397,5,-1,-1
0,155,0.0,0.16536744679522397,2,-1,-1
0,156,0.0,0.16536744679522397,2,-1,-1
