generation,id,novelty,score,species,parent1,parent2
0,440,67.3605840729325,0.736481583452029,3,-1,-1
1,732,28.116636471473885,0.5806994316150476,5,407,303
2,1363,22.64707441896328,0.6127112319457889,4,875,620
3,1721,21.133252199376866,0.7376219120592096,3,1279,1294
4,2142,38.691511426348704,0.012876982674876974,4,1679,1679
5,2142,43.18193002832459,0.012876982674876974,4,1679,1679
6,3078,40.636624960315615,0.027992635682712798,3,2493,2434
7,3078,28.901079357226006,0.027992635682712798,5,2493,2434
8,4262,39.70994280838063,0.08063427458414855,4,3770,3848
9,4262,43.91600666342984,0.08063427458414855,4,3770,3848
10,4262,41.26986401495102,0.08063427458414855,5,3770,3848
11,4262,38.81856675090645,0.08063427458414855,5,3770,3848
12,4262,41.78817090196472,0.08063427458414855,5,3770,3848
13,4262,41.3145858110441,0.08063427458414855,5,3770,3848
14,4262,41.44645237130049,0.08063427458414855,5,3770,3848
15,4262,39.003048251993775,0.08063427458414855,5,3770,3848
16,4262,38.76373396757073,0.08063427458414855,5,3770,3848
17,4262,39.690044130716174,0.08063427458414855,5,3770,3848
18,4262,39.56756176075999,0.08063427458414855,5,3770,3848
19,4262,38.06569824868098,0.08063427458414855,5,3770,3848
20,4262,40.6136988036031,0.08063427458414855,5,3770,3848
21,10766,56.39029531586957,0.5794996086455491,5,10247,10200
22,10766,54.726515448810396,0.5794996086455491,5,10247,10200
23,10766,56.41953406653491,0.5794996086455491,5,10247,10200
24,10766,57.7565588272751,0.5794996086455491,5,10247,10200
25,10766,61.249383804039766,0.5794996086455491,5,10247,10200
26,10766,73.06329708629649,0.5794996086455491,5,10247,10200
27,10766,62.14968864964808,0.5794996086455491,5,10247,10200
28,10766,63.69003912377593,0.5794996086455491,5,10247,10200
29,10766,62.32372140769754,0.5794996086455491,5,10247,10200
30,10766,65.50487175639768,0.5794996086455491,5,10247,10200
31,10766,62.2682603939804,0.5794996086455491,5,10247,10200
32,10766,62.99410182899207,0.5794996086455491,5,10247,10200
33,10766,65.05287246900905,0.5794996086455491,5,10247,10200
34,10766,64.24826363809726,0.5794996086455491,5,10247,10200
35,17548,137.3410437647033,0.26584436733795147,2,17051,16982
36,17548,143.82566263355338,0.26584436733795147,2,17051,16982
37,17548,139.38990875332559,0.26584436733795147,2,17051,16982
38,17548,135.20106189592818,0.26584436733795147,2,17051,16982
39,17548,132.12496762029957,0.26584436733795147,2,17051,16982
40,17548,121.82722841317101,0.26584436733795147,2,17051,16982
41,17548,106.32159351734552,0.26584436733795147,2,17051,16982
42,21043,92.7526110913256,0.07265727315798469,2,15565,20569
43,17548,92.85301672262273,0.26584436733795147,2,17051,16982
44,17548,93.06907853549377,0.26584436733795147,2,17051,16982
45,21884,79.22309463069628,0.1060198058180821,2,21393,21399
46,21884,68.2846781119193,0.1060198058180821,5,21393,21399
47,22523,66.49667114471858,0.2779100842156708,2,21948,21988
48,21884,69.54583449749808,0.1060198058180821,5,21393,21399
49,21884,81.20233687089541,0.1060198058180821,5,21393,21399
50,21884,80.276512736303,0.1060198058180821,5,21393,21399
51,21884,69.16395119614133,0.1060198058180821,5,21393,21399
52,21884,57.59313002521596,0.1060198058180821,5,21393,21399
53,26446,50.38051546808797,0.11526554171222307,5,25879,21884
54,26446,54.72677431525951,0.11526554171222307,5,25879,21884
55,25332,51.75646534330227,0.5984902878782802,2,24747,24958
56,26831,45.57763850503107,0.024983265369242565,2,26284,25332
57,28386,43.75445361885239,0.049882015377367625,2,27837,27869
58,28890,44.00490865312441,0.012019966533539124,2,27893,28377
59,28377,36.19854059168867,0.6250541502814407,2,27909,27837
60,29728,40.90187365374404,0.31645454564320724,5,29165,29247
61,30206,41.47977966324117,0.019211247235890253,2,29877,29834
62,29668,49.199241313370635,0.6556229427727652,5,29238,29186
63,29668,46.14167169932356,0.6556229427727652,5,29238,29186
64,29668,39.25398066340442,0.6556229427727652,5,29238,29186
65,32239,42.95241317222071,0.006016602627487397,5,31731,31798
66,32804,36.78581865918839,0.014929920944315991,5,32260,32316
67,33132,42.340471929071406,0.6565361347073507,2,32662,32701
68,33762,36.577873601860325,0.4717248032424011,2,33126,33125
69,32804,37.26758949986892,0.014929920944315991,5,32260,32316
70,33762,34.27279547004155,0.4717248032424011,5,33126,33125
71,35189,33.89973732502765,0.03597573686269394,5,34691,34722
72,35150,34.62596333397296,0.6914106216617389,5,34757,34574
73,35150,36.11802851056604,0.6914106216617389,5,34757,34574
74,35612,32.95550770897626,0.024170115530007072,3,35117,34564
75,36670,42.01696544071909,0.7798286610674607,5,35961,35150
76,36670,32.777864166195386,0.7798286610674607,2,35961,35150
77,38004,38.30159035390806,0.8249869209679674,3,37573,37514
78,36670,40.4470341504293,0.7798286610674607,3,35961,35150
79,36670,36.7012288475029,0.7798286610674607,2,35961,35150
80,36670,35.861962149164825,0.7798286610674607,3,35961,35150
81,36670,31.733362491786988,0.7798286610674607,3,35961,35150
82,38982,29.86668525564265,0.783314334744657,5,38515,35612
83,36670,34.08393780641497,0.7798286610674607,2,35961,35150
84,41466,33.03942858213263,0.12618810025291755,2,41042,41023
85,42060,35.73309570412209,0.020429380011636078,2,40474,41406
86,42060,34.62447070247283,0.020429380011636078,2,40474,41406
87,36670,33.77559733422163,0.7798286610674607,3,35961,35150
88,42060,35.08406147448643,0.020429380011636078,2,40474,41406
89,42060,31.93481154346004,0.020429380011636078,2,40474,41406
90,44318,31.01178249522884,0.018240238771319046,6,36670,43264
91,44307,31.454999092787492,0.4029951222238873,3,43841,43841
92,36670,31.204873804381194,0.7798286610674607,3,35961,35150
93,45817,30.769552449869398,0.4102504705386706,5,45211,45211
94,45744,32.22557981519945,0.036760063719363,7,45341,45341
95,36670,33.95244873714286,0.7798286610674607,3,35961,35150
96,47298,31.77843545814092,0.002083322500142987,5,45239,46784
97,47162,32.10959608360517,0.7980183451364284,3,46849,46849
98,48378,33.07571613932613,0.23294280669389292,5,47684,47806
99,45744,30.39060200471639,0.036760063719363,7,45341,45341
100,47384,31.671915738900925,0.6174577913703765,7,46921,46892
101,47162,30.109659358393014,0.7980183451364284,6,46849,46849
102,50205,47.620778642535335,0.8455671738686966,7,49831,49786
103,50205,46.23374714405459,0.8455671738686966,7,49831,49786
104,50205,44.85937466263959,0.8455671738686966,7,49831,49786
