generation,id,novelty,fitness,species,parent1,parent2
0,170,100.06994090983554,0.588802178551287,2,-1,-1
1,885,59.210330793663054,0.7211888274941988,5,263,35
2,1028,112.14892180024528,0.8866174183361348,2,336,963
3,1869,77.45365299456219,0.8322787678311879,3,883,1322
4,2382,52.18158555306798,0.8197961444115108,3,1946,69
5,2982,15.260845317376473,0.716711265751858,3,1950,2331
6,3470,72.91760135124713,0.949432332664898,2,336,1162
7,3570,0.9126965397963557,0.6936857157887225,3,2335,2382
8,4360,83.32040323960322,0.9207852207738118,3,1028,1105
9,4880,15.793879236245386,0.7189088627105448,3,4148,3010
10,5084,64.48326625497698,1.0,3,4963,2982
