generation,id,novelty,fitness,species,parent1,parent2
0,95,98.66130304905586,0.6883420091901367,1,-1,-1
1,984,92.11175803271736,0.5557093452141099,3,119,106
2,1416,62.66690479530608,0.5694291119158627,4,20,793
3,1904,42.688166532619675,0.574624761726394,4,1485,1303
4,2315,87.12613405383043,0.6472079577484144,3,1992,1271
5,2796,34.81021785276716,0.43550806172338924,3,720,181
6,3434,39.97303471670998,0.6225118009393429,1,797,720
7,3913,48.138074370925565,0.609293224137718,4,3434,952
8,4338,38.40760755825415,0.6381325763866813,4,3913,614
9,4975,22.132650177712613,0.30935699007801504,2,720,1088
10,5191,63.28347925160745,0.6852901970734573,4,1904,1009
11,5511,39.43879719316962,0.5243570110867181,1,5328,1219
12,6160,66.6278582694948,0.7686167513402753,4,533,5874
13,6648,42.48465718094805,0.5747769050119431,1,674,1393
14,7437,34.32988775862282,0.5014797282539488,4,1034,93
15,7713,37.120394916112424,0.5994440646742899,1,5530,3190
16,8227,37.239156894271815,0.598279328616331,4,3913,548
17,8994,32.709549816367876,0.6374389014516844,4,4986,37
18,9065,108.95239901961534,0.9220326666698548,4,3913,346
19,9698,44.36567129237021,0.646600472867165,4,720,7713
20,10311,100.02955201608216,0.8440150558950852,2,529,2315
21,10930,42.69481108831314,0.6031481929533025,4,7785,7334
22,11275,31.22501973956882,0.5897947727954185,4,10288,8791
23,11958,25.27190775866716,0.5995776555182029,1,10548,515
24,12366,34.1023693743851,0.7048927799174418,4,720,872
25,12986,73.7350300237756,0.8801488028143027,2,44,1393
26,13376,28.943874573909458,0.5855568974503786,2,1144,338
27,13969,25.45637755150091,0.5889177685474133,1,6160,404
28,14457,33.82317152798609,0.7619587051323248,4,12504,12324
29,14731,32.54054678023968,0.7231278377367532,2,12986,93
30,15323,64.7721308754307,1.0,2,12986,802
