generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,38,0.7869323592693958,-0.00601906321555034,,-1,-1,3,18,18,0
0,91,0.654366734110823,-0.029482434770034673,,-1,-1,3,18,18,0
0,278,0.5362558723177127,-0.07349388932640623,,-1,-1,3,18,18,0
0,14,0.5023751214683801,-0.01496411077229534,,-1,-1,3,18,18,0
0,380,0.4857615911700105,-0.07378294282630801,,-1,-1,3,18,18,0
0,456,0.4822122763719522,-0.05193378658158122,,-1,-1,3,18,18,0
0,208,0.4429900437772618,0.21853131703961318,,-1,-1,3,18,18,0
0,173,0.40863855659983495,0.2186016380692015,,-1,-1,3,18,18,0
0,439,0.39246656551045833,-0.023609106616273065,,-1,-1,3,18,18,0
0,118,0.3835964448826652,-0.07186720714611362,,-1,-1,3,18,18,0
0,223,0.3699767244028697,0.15687393311006897,,-1,-1,3,18,18,0
0,61,0.36709727413869786,0.15317572141833488,,-1,-1,3,18,18,0
0,234,0.35713008927433837,0.19409212417625274,,-1,-1,3,18,18,0
0,274,0.35580872636861327,-0.07315587278133426,,-1,-1,3,18,18,0
0,494,0.35291798335739377,0.2166907227441532,,-1,-1,3,18,18,0
0,461,0.34786952475438887,0.1371066564944455,,-1,-1,3,18,18,0
0,77,0.2777521012058687,0.21881111946597362,,-1,-1,3,18,18,0
0,324,0.13783588794081778,0.1686121299109223,,-1,-1,3,18,18,0
1,710,0.6929783422467863,-0.026434039651635433,,82,70,3,19,18,1
1,650,0.6267944200343744,0.23958878220012836,,173,324,2,12,12,0
1,921,0.625423589170275,0.17772481697103276,,461,14,4,20,19,1
1,208,0.5813333338796877,0.21853131703961318,,-1,-1,3,18,18,0
1,659,0.5596807435775437,-0.004378742697670388,,11,38,3,18,18,0
1,732,0.5587064294373094,-0.0618211843981951,,36,11,3,19,19,0
1,380,0.554875927125045,-0.07378294282630801,,-1,-1,3,18,18,0
1,539,0.5160076297165868,-0.017709140192497946,,25,461,3,18,18,0
1,234,0.4953703878672674,0.19409212417625274,,-1,-1,3,18,18,0
1,645,0.48702897306566506,-0.06432925302604041,,11,274,3,19,19,0
1,817,0.48261224556736443,-0.0021491956743275847,,93,87,3,19,19,0
1,494,0.4750457197382333,0.2166907227441532,,-1,-1,3,18,18,0
1,959,0.4710560224682382,0.16910209255804795,,412,439,3,17,17,0
1,501,0.4577643619317615,0.15291629821396377,,61,274,3,18,18,0
1,720,0.4500261297294224,0.016838468731191714,,494,14,2,10,10,0
1,223,0.44958092029089125,0.15687393311006897,,-1,-1,3,18,18,0
1,937,0.44566937417926666,-0.06194777867038758,,174,439,3,18,18,0
1,796,0.441753069877641,-0.02446352850887753,,62,494,3,18,18,0
1,976,0.441582278848436,0.02497011658772106,,91,494,3,18,18,0
1,798,0.4325489248326793,0.21164464660207882,,19,75,3,18,18,0
1,773,0.42346596128025943,-0.017350286206064793,,498,461,3,18,17,1
1,118,0.40681069358097205,-0.07186720714611362,,-1,-1,3,18,18,0
1,693,0.40517193641382987,0.21205979969618222,,282,61,3,18,18,0
1,745,0.40084176243780273,0.11246795681217024,,223,118,3,18,18,0
1,926,0.2897762904131193,0.6526616922391569,,23,456,3,19,19,0
2,1434,0.5826937498076223,-0.036806029812449924,,645,937,4,20,19,1
2,659,0.5515258165758542,-0.004378742697670388,,11,38,3,18,18,0
2,650,0.5487538876761344,0.23958878220012836,,173,324,2,12,12,0
2,208,0.5354127190944682,0.21853131703961318,,-1,-1,3,18,18,0
2,710,0.5156958821021258,-0.026434039651635433,,82,70,3,19,18,1
2,1165,0.5121543003931863,0.19672819046483336,,476,619,3,18,18,0
2,1092,0.5027509878334129,0.16160594815368906,,900,952,3,18,18,0
