generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,95,0.42599887430729677,0.6883420091901367,1,-1,-1,3,18,18,0
1,926,0.2897762904131193,0.6526616922391569,2,23,456,3,19,19,0
2,1470,0.18867857603278593,0.6885224071220958,1,71,921,3,18,18,0
3,1556,0.10838438904161767,0.6920784696055626,1,1287,1140,3,18,18,0
4,2179,0.18120858604540663,0.6899012530706248,1,1710,1999,3,19,18,1
5,2986,0.18463546269456127,0.744749833519641,1,2496,659,2,8,8,0
6,3167,0.04896371613752532,0.6934638483139273,2,1271,1572,3,17,16,1
7,3711,0.07180143280210481,0.6938374786033547,1,2156,3048,3,17,16,1
8,4417,0.044219693209444674,0.6930625109438484,2,3711,3930,2,12,12,0
9,4732,0.043394675078464784,0.6925352299242538,2,3641,4029,3,19,19,0
10,5420,0.030905425882293246,0.6931317490557264,2,4732,4564,2,15,15,0
11,5621,0.027067119171946506,0.6937099710897924,5,3711,4997,2,13,13,0
12,6068,0.03158185144559652,0.6931468408722428,3,5383,5493,2,12,12,0
13,6847,0.1387399524819553,0.7237709627262124,1,5262,5960,3,20,20,0
14,7483,0.12224201721754349,0.71720277715168,5,6948,3903,3,14,12,2
15,7796,0.06568303581679893,0.6936682923549857,3,7358,7358,4,20,20,0
16,8454,0.023970656310756372,0.6938596943771221,5,6572,6671,3,20,19,1
17,8636,0.027404965989108653,0.6935900140410246,3,6558,7755,2,12,12,0
18,9091,0.046898623254528836,0.6939186568125164,3,6951,4474,3,18,17,1
19,9643,0.026605550564997416,0.6935718799486421,5,6572,8091,3,22,22,0
20,10363,0.047110544024634236,0.6936110308884037,5,5193,6942,2,12,12,0
21,10590,0.0452719640492658,0.6938093535762603,5,9435,9478,2,12,12,0
22,11159,0.18011633419522277,0.7431147551058883,5,5506,7757,2,13,13,0
23,11693,0.032530001912977155,0.6932712672395807,4,10787,7311,2,12,11,1
24,12038,0.035358732966030766,0.6937684210590956,5,7277,7755,4,22,21,1
25,12965,0.046350643789248656,0.6937841235433339,3,7959,6942,2,13,13,0
26,13071,0.02411864935855026,0.6932793233892163,5,12468,10363,3,17,17,0
27,13825,0.0339550702065884,0.6936730681141512,5,12038,7495,2,13,12,1
28,14295,0.035034212028065836,0.6933023338665344,3,8053,6834,2,14,14,0
29,14611,0.021785255175314266,0.693547741666001,3,9091,5621,3,19,18,1
30,15217,0.04734274582945372,0.6940003526422,5,8275,7495,2,12,12,0
31,15633,0.020605613536925343,0.6934295354238801,4,6068,12723,3,14,12,2
32,16490,0.022861338318255216,0.6938102098033873,3,9049,7757,2,14,14,0
33,16959,0.028441823247710458,0.6937614227106396,3,12431,7796,3,18,18,0
34,17244,0.01797256288252546,0.6939353782740941,4,8275,11236,6,25,24,1
35,17807,0.16944506338660761,0.7046660835486647,2,14372,12489,3,13,13,0
36,18385,0.025928926405428397,0.6934766938875045,4,10787,17576,4,19,16,3
37,18514,0.024842763734222555,0.693740507742767,3,17910,17253,3,19,19,0
38,19349,0.15810736954351096,0.7049564099474268,5,16758,9643,2,13,13,0
39,19914,0.12563904847299134,0.6956530464614392,5,6585,8636,4,24,23,1
40,20463,0.1328566269694113,0.6984225424253445,3,12588,12489,4,14,12,2
41,20595,0.05916976332243926,0.6940069967279484,3,20011,16323,4,21,19,2
42,21045,0.10478719876065737,0.7102350903186263,4,12588,12965,3,19,18,1
43,21759,0.15831130203922178,0.7104357926807254,3,16877,20269,6,27,26,1
44,22376,0.027654663062846092,0.6940498350758277,4,21902,13566,3,19,18,1
45,22936,0.02039813434316809,0.693709778397252,3,19844,20269,3,16,15,1
46,23060,0.11403706669643154,0.7005119287717191,3,21902,20843,3,21,21,0
47,23703,0.10015064593133252,0.7238207755781584,2,17942,18931,2,12,12,0
48,24281,0.03385642181840519,0.6935549796744939,5,6964,17244,3,20,20,0
49,24761,0.09126651725140297,0.7223748103098755,3,21045,22376,3,21,20,1
50,25436,0.019661566409460724,0.6938562044069341,4,19394,19797,3,19,18,1
51,25649,0.12883134782553118,0.8712446212397548,3,21974,20637,3,19,19,0
52,26168,0.14060440536991659,0.7041482523829636,3,25518,11064,2,12,12,0
53,26576,0.05955675496533118,0.6938200700418828,5,16877,23234,5,22,21,1
54,27494,0.16071967732210418,0.8514198757070918,3,19394,20808,4,24,24,0
55,27991,0.04028538341571003,0.6940270806627442,3,25649,25436,2,12,11,1
56,28123,0.030933791713070768,0.6929729916684833,3,12038,25436,4,22,21,1
57,28756,0.07821297321000689,0.6938512331297623,5,9091,28163,3,20,18,2
58,29258,0.12606041219342112,0.7055766720307111,4,17942,12723,5,25,24,1
59,29937,0.029909433202706892,0.6924363929029871,5,10363,12442,6,24,23,1
60,30280,0.1372475448100204,0.7031170802143021,2,17807,29345,2,13,12,1
61,30548,0.024910964412042755,0.6941078771137041,5,21623,22376,2,12,12,0
62,31064,0.03393710516004887,0.693706104310971,4,11151,25327,3,20,20,0
63,31794,0.03061620743908327,0.692664704994003,4,24281,16960,6,26,25,1
64,32375,0.03655605347302093,0.693761744403167,4,9091,19394,2,14,14,0
65,32586,0.031329947721106206,0.6934415986715277,3,27757,30982,3,15,14,1
66,33161,0.04554359254904036,0.6937225898347338,4,12442,20180,2,13,13,0
67,33828,0.08824110797886696,0.7027678378734712,5,16758,4986,4,22,22,0
68,34231,0.08844241055120357,0.7220029421452068,3,28756,24761,2,14,12,2
