generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,126,0.9089851957335137,-0.006019016377236329,1,-1,-1,3,18,18,0
1,744,0.6889851623533623,-0.006019069217775436,6,126,313,3,19,19,0
2,1440,0.6505297765904798,-0.006019131301131297,3,564,744,3,18,18,0
3,1514,0.6574757907429059,-0.06922509658908152,3,1136,861,3,18,18,0
4,2379,0.6220595575185974,-0.02634254830913329,2,1786,1434,3,17,17,0
5,2583,0.6109658337195236,0.15733998334750737,1,1850,2380,4,21,20,1
6,3132,0.5845977457282585,-0.026330308531167135,5,2492,1134,3,17,17,0
7,3601,0.6012530269744547,-0.02167279066794729,2,3297,1026,3,18,18,0
8,4444,0.608987726009951,-0.022793957237218367,2,636,3601,3,18,17,1
9,4729,0.6057894129505325,-0.07449614708155247,4,3369,3708,2,11,10,1
10,5127,0.6560883866196082,-0.006025798134120482,2,3534,4475,3,19,19,0
11,5961,0.697731901585368,-0.0060190957570272815,6,3105,3495,3,18,18,0
12,6294,0.7919409775368396,0.2536522280583818,5,5741,4649,2,12,12,0
13,6619,0.8283422024067871,0.23746406837538078,4,5741,2700,3,18,18,0
14,7285,0.8479423326286604,0.25366914909754856,2,6541,5741,3,18,18,0
15,7746,0.8566714550349885,0.23978679966938166,1,7319,5741,3,17,17,0
16,8352,1.035168629993457,-0.006019131425465757,3,5741,6224,2,10,10,0
17,8768,1.0827010300353317,-0.006019131532136216,5,8232,7619,2,13,13,0
18,9139,1.2367239026042647,-0.006019154612815559,5,8990,8768,3,14,12,2
19,9829,1.2897288616432387,-0.006016440035389356,5,8768,7616,2,10,10,0
20,10448,1.2879219737034333,-0.006019143019432075,3,8768,9699,2,11,11,0
21,10916,1.2856944026607597,-0.0060191535059036004,3,8836,8768,2,11,9,2
22,11200,1.3523332040326301,-0.006018538670624945,1,10094,8768,4,21,18,3
23,11618,1.2926902280206753,-0.006019067307270623,3,8768,10395,2,11,10,1
24,12031,1.3503854237917128,-0.006019073775948729,3,8768,8768,3,19,18,1
25,12582,1.4278362047162283,-0.0060190093517195516,3,1612,12031,2,13,13,0
26,13128,1.4230063323953401,-0.006015420517705179,6,12031,12031,3,17,17,0
27,13836,1.423121694238915,-0.006019145959129334,6,13418,12031,3,20,19,1
28,14191,1.42423649927222,-0.006019146927765427,6,13271,13836,3,17,16,1
29,14924,1.4242869132310176,-0.006019134532273149,1,13836,13836,2,10,10,0
30,15417,1.4202024810096332,-0.0060191307095955465,1,14924,1612,3,18,17,1
31,15561,1.4221650736436136,-0.006019138761370663,1,14924,14924,3,20,20,0
32,16214,1.4221499933057147,-0.00601913285530349,1,14924,13130,2,11,11,0
33,16780,1.4221684868398856,-0.006019132635093795,3,14924,15405,2,9,8,1
34,17395,1.4238793992286505,-0.00601912897821323,4,14924,14924,3,12,11,1
35,17671,1.4271475086759025,-0.006019132633767523,4,14924,14924,3,19,19,0
36,18282,1.4290925386478863,-0.006018889909367392,4,10094,14924,3,19,18,1
37,18946,1.4292194661828046,-0.0060191352380673585,4,14924,14924,2,13,12,1
38,19271,1.42921692941477,-0.006019133662489197,4,18946,18222,3,18,17,1
39,19752,1.429219520131892,-0.00601913277350346,3,15405,18946,2,14,14,0
40,20356,1.4292174162250766,-0.006019132811469592,3,19684,19752,3,18,17,1
41,20753,1.430823233508264,-0.006019132942678123,4,5628,19752,5,20,17,3
42,21209,1.4308239366760842,-0.006019132593356075,3,19752,19752,4,19,17,2
43,21891,1.4344184296469888,-0.006019059964516087,3,15405,19752,3,16,16,0
44,22288,1.4336441894704557,-0.0060186627194697,4,19752,10094,3,12,12,0
45,22609,1.497128396185917,-0.006019132802322861,3,19752,19752,4,19,17,2
46,23483,1.5026674548356662,-0.006019132805215973,3,19752,20365,3,12,11,1
47,23752,1.4995151318708242,-0.0060191325028715265,3,12597,19752,2,13,13,0
48,24476,1.4986592718378327,-0.006019132673475177,3,19752,19752,4,19,18,1
49,24710,1.5039588491948233,-0.00601913280066761,3,19752,19752,3,18,18,0
