generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,82,66.64417266845703,0.587792289107944,3,-1,-1,3,18,18,0
1,890,76.2559585571289,0.688569061225718,1,82,384,3,19,19,0
2,1292,76.68639373779297,0.6940154667588442,2,890,938,2,11,11,0
3,1971,76.49459075927734,0.6933727829635571,3,1217,1195,2,13,13,0
4,2298,76.34553527832031,0.6931381968534502,4,1575,1578,3,18,18,0
5,2553,76.27458190917969,0.6936775716124147,2,2077,2197,2,13,13,0
6,3023,76.07469940185547,0.6930049759030059,4,2204,2038,3,20,20,0
7,3924,75.95185852050781,0.6931422411971851,4,2970,1803,2,10,10,0
8,4332,96.8028793334961,0.7050498532114512,3,3418,2317,2,13,13,0
9,4934,102.43685913085938,0.6970523739964992,4,4332,3535,4,23,23,0
10,5443,75.6033935546875,0.6939028645406453,4,4967,1803,3,15,14,1
11,5762,75.409912109375,0.6934412312711786,5,4745,3530,2,13,13,0
12,6192,75.25448608398438,0.6933684394324252,5,5298,5534,2,14,14,0
13,6987,75.10892486572266,0.6934069081259436,2,5903,2194,3,19,18,1
14,7406,93.37124633789062,0.7049131134021565,4,5851,4269,2,12,12,0
15,7904,74.8399429321289,0.693722628053295,2,5517,7041,3,15,15,0
16,8393,74.6729507446289,0.6935648034216041,4,5812,6427,2,10,10,0
17,8512,74.5755844116211,0.6941104708569896,2,6397,5513,2,11,10,1
18,9362,77.73497772216797,0.7199960186679211,5,7050,6170,2,12,12,0
19,9588,74.2229995727539,0.6936448878926688,3,6192,4808,2,12,11,1
20,10109,74.06092071533203,0.6935597802338351,1,8532,7847,3,21,21,0
21,10884,83.25244140625,0.7557166076652996,2,7406,4845,2,13,13,0
22,11214,73.79180145263672,0.693952091268608,2,3975,5829,4,20,18,2
23,11785,77.06900024414062,0.7236644684922418,1,8296,8393,3,15,13,2
24,12076,73.45323181152344,0.6936405973507241,2,3530,11214,2,14,13,1
25,12509,73.32839965820312,0.693930842308925,2,3141,5817,3,19,19,0
26,13008,115.43477630615234,0.8364106776753897,2,10534,5967,3,17,17,0
27,13501,72.95429229736328,0.6932395549725374,5,8548,7872,2,10,10,0
28,14454,72.81739044189453,0.6933795997974534,4,13373,4612,2,14,13,1
29,14628,72.66631317138672,0.6933814790849909,5,13501,5944,3,18,18,0
30,15125,84.37350463867188,0.7096335975744924,2,7406,10308,2,14,13,1
31,15977,72.3594741821289,0.6932984224003552,5,8548,15243,4,21,19,2
32,16260,72.2594985961914,0.6937726556993136,2,7041,6697,2,13,11,2
33,16669,72.11647033691406,0.6938043627638605,2,16276,3700,2,14,13,1
34,17001,73.78271484375,0.7026252604972245,4,13378,14454,3,15,13,2
35,17769,71.83868408203125,0.6939710721274012,1,9401,4823,3,11,10,1
36,18043,91.84143829345703,0.7052144840980152,3,4934,8803,3,18,18,0
37,18836,87.75045013427734,0.8526202356434419,4,13378,18043,3,18,18,0
38,19339,103.16448211669922,0.90013274265987,2,18708,10308,2,11,11,0
39,19806,71.22750091552734,0.6937382796183847,2,9536,6533,2,14,14,0
40,20247,71.0910873413086,0.6938486333574397,5,9400,9676,2,11,10,1
41,20544,70.9404296875,0.6937921799827181,2,6987,7530,2,12,12,0
42,21011,73.35030364990234,0.7143949640848337,2,20817,4612,2,15,15,0
43,21760,88.66572570800781,0.7054411120152594,5,18836,21268,5,19,17,2
44,22191,93.48884582519531,0.7007002861816365,4,18235,18347,3,16,15,1
45,22599,88.50827026367188,0.7027121007951636,3,21024,22191,3,15,14,1
46,23103,70.2470932006836,0.694087533314955,5,8571,21506,2,15,14,1
47,23572,92.81305694580078,0.6950744815498685,2,4622,19339,3,16,14,2
48,24064,69.9378890991211,0.6937928182062563,1,14206,5443,4,23,21,2
49,24883,89.13919067382812,0.7048747638140418,5,11214,18836,2,14,13,1
50,25403,72.55587005615234,0.7191320640181939,2,2177,6972,3,15,13,2
51,25943,104.88077545166016,0.9132590450408338,5,4934,24883,3,16,14,2
52,26096,71.8955078125,0.7124833761940291,2,9908,19339,2,15,15,0
53,26927,91.35018920898438,0.7013617443081932,5,21506,25177,2,13,12,1
54,27124,80.11673736572266,0.8131953843042524,1,18043,2545,2,14,14,0
55,27992,98.40868377685547,1.0,4,4332,7872,3,16,15,1
