generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,126,41.27788543701172,0.6768381225012233,1,-1,-1,3,18,18,0
1,568,40.01723861694336,0.4832095022098608,2,331,99,3,18,18,0
2,1008,45.61055374145508,0.7048531962815977,4,938,178,3,18,18,0
3,1645,60.76828384399414,0.9260982375536306,2,560,1008,3,19,19,0
4,2183,53.05858612060547,0.6442577870248772,2,1758,1035,3,18,18,0
5,2750,45.315006256103516,0.703723024895475,4,2403,1008,3,18,18,0
6,3180,42.02136993408203,0.6928938438696668,4,2604,2100,3,17,17,0
7,3782,42.02580261230469,0.6934009674501319,4,2685,2690,3,18,18,0
8,4489,46.260459899902344,0.705190701009866,4,1008,3408,3,19,18,1
9,4908,41.978336334228516,0.6935060204380117,4,4217,4303,3,19,18,1
10,5141,41.94044494628906,0.6934401778794722,6,4949,4949,3,18,15,3
11,5857,41.93463897705078,0.6938282765443086,4,4811,5037,3,12,12,0
12,6123,50.858097076416016,0.6737775094230912,5,1008,4255,3,18,17,1
13,6868,41.861961364746094,0.6938397408947393,2,5944,4792,3,18,18,0
14,7070,41.79924011230469,0.6934550435110098,1,4908,6868,3,13,12,1
15,7705,59.899593353271484,0.9459039841404961,6,4229,1645,3,18,17,1
16,8418,41.73835372924805,0.6937114220363586,1,6332,7293,4,15,12,3
17,8974,51.46174240112305,0.851878012706592,6,6427,1645,3,13,11,2
18,9308,48.650569915771484,0.6904808819779568,2,1645,6123,2,13,13,0
19,9704,42.21733856201172,0.72307666324626,4,1008,7070,3,18,17,1
20,10331,56.34414291381836,1.0,6,5720,9704,3,17,15,2
