generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,95,0.06650894666794172,0.6883420091901367,,-1,-1,3,18,18,0
0,127,0.21140476882146664,0.6074466325121043,,-1,-1,3,18,18,0
0,71,0.07876961445699582,0.4807468103592843,,-1,-1,3,18,18,0
0,470,0.1217741195687243,0.462324796401703,,-1,-1,3,18,18,0
0,299,0.0791823388793953,0.44524028610127464,,-1,-1,3,18,18,0
0,242,0.0847662163147499,0.4429271989828878,,-1,-1,3,18,18,0
0,174,0.07819968582340309,0.4232914281440353,,-1,-1,3,18,18,0
0,42,0.11483465941024706,0.41720728362998327,,-1,-1,3,18,18,0
0,338,0.040136006798882407,0.4064717250622775,,-1,-1,3,18,18,0
0,500,0.14250819082590882,0.37789725549091707,,-1,-1,3,18,18,0
0,75,0.1954929875951692,0.34192842614178487,,-1,-1,3,18,18,0
0,346,0.02568705698505591,0.31466515906744513,,-1,-1,3,18,18,0
0,106,0.07630888474121966,0.31084717170909143,,-1,-1,3,18,18,0
0,202,0.13842999073771245,0.3060896172477025,,-1,-1,3,18,18,0
0,20,0.1453521582110373,0.2902418035592091,,-1,-1,3,18,18,0
0,426,0.02971012057682143,0.28505828259514976,,-1,-1,3,18,18,0
0,9,0.00784754903674667,0.2695394844504403,,-1,-1,3,18,18,0
0,49,0.03341446777976986,0.2615212778387035,,-1,-1,3,18,18,0
0,360,0.015019006853313699,0.26042222089219885,,-1,-1,3,18,18,0
0,57,0.007957921649893507,0.2555514440066858,,-1,-1,3,18,18,0
0,476,0.018295348022388858,0.25517717561099945,,-1,-1,3,18,18,0
0,406,0.0057168458478905615,0.2537572408698406,,-1,-1,3,18,18,0
0,16,0.011723814555312018,0.2537226850156067,,-1,-1,3,18,18,0
0,339,0.005246697905147868,0.2536691538335279,,-1,-1,3,18,18,0
0,498,0.005053453208345049,0.25366901417149024,,-1,-1,3,18,18,0
0,117,0.005313588157938698,0.25366900354474253,,-1,-1,3,18,18,0
0,72,0.005331480163298097,0.2536689646940427,,-1,-1,3,18,18,0
0,417,0.005043027243189391,0.25366892733990737,,-1,-1,3,18,18,0
0,282,0.01112476249884986,0.2536687938075435,,-1,-1,3,18,18,0
0,333,0.0052942195918583845,0.25366869905378686,,-1,-1,3,18,18,0
1,938,0.015296284110718483,0.6906483418938621,,299,57,3,19,19,0
1,95,0.06650894666794172,0.6883420091901367,,-1,-1,3,18,18,0
1,754,0.11028418709041543,0.6716320219551383,,20,95,3,18,18,0
1,924,0.02324337309771507,0.6699475962480065,,174,470,3,19,19,0
1,804,0.05233357972126085,0.6693171573675759,,299,198,3,18,16,2
1,867,0.0356201610869864,0.6657584482026316,,95,500,2,12,12,0
1,922,0.13547872276564765,0.640286924717559,,95,225,3,18,18,0
1,1000,0.042505975113140027,0.6303713708477974,,339,95,3,18,18,0
1,127,0.21140476882146664,0.6074466325121043,,-1,-1,3,18,18,0
1,738,0.019462397678529086,0.5783068419986409,,299,219,3,19,19,0
1,582,0.017754151168820398,0.5705773481089029,,339,470,3,17,17,0
1,657,0.11004733368998565,0.5367302450999468,,346,162,4,20,19,1
1,546,0.1580711341991613,0.5160752015335823,,174,127,3,17,17,0
1,945,0.114902463465544,0.4936482051599341,,9,145,3,19,19,0
1,807,0.08097341842346995,0.4837720691432731,,49,106,3,18,18,0
1,71,0.07876961445699582,0.4807468103592843,,-1,-1,3,18,18,0
1,470,0.1217741195687243,0.462324796401703,,-1,-1,3,18,18,0
1,982,0.25922920836106655,0.46045231959882843,,110,149,3,18,18,0
1,520,0.11038848935820555,0.45784744684916984,,426,284,3,18,17,1
1,299,0.0791823388793953,0.44524028610127464,,-1,-1,3,18,18,0
1,242,0.0847662163147499,0.4429271989828878,,-1,-1,3,18,18,0
1,659,0.017286780592605466,0.4395759604709798,,117,242,3,18,18,0
1,961,0.016814577806885334,0.43804986552434005,,71,405,3,19,19,0
1,751,0.12128091146906717,0.4312056875684085,,49,106,3,17,17,0
1,704,0.07386946744166012,0.4296916038642873,,476,338,3,18,18,0
1,174,0.07819968582340309,0.4232914281440353,,-1,-1,3,18,18,0
1,42,0.11483465941024706,0.41720728362998327,,-1,-1,3,18,18,0
1,338,0.040136006798882407,0.4064717250622775,,-1,-1,3,18,18,0
1,862,0.14550697619530983,0.40118773993643203,,117,500,4,20,19,1
1,921,0.09525621480077096,0.39608856469495307,,498,106,3,18,18,0
2,1024,0.02052102317573945,0.6924115977877716,,938,961,2,12,12,0
2,938,0.015296284110718483,0.6906483418938621,,299,57,3,19,19,0
2,95,0.06650894666794172,0.6883420091901367,,-1,-1,3,18,18,0
2,1117,0.012129370425372321,0.6838039167747259,,738,938,3,19,19,0
2,754,0.11028418709041543,0.6716320219551383,,20,95,3,18,18,0
2,924,0.02324337309771507,0.6699475962480065,,174,470,3,19,19,0
2,804,0.05233357972126085,0.6693171573675759,,299,198,3,18,16,2
2,1453,0.015474647305787181,0.6662881067908081,,938,237,3,19,19,0
2,867,0.0356201610869864,0.6657584482026316,,95,500,2,12,12,0
2,1452,0.048179612082026146,0.6585265663120317,,754,95,3,18,18,0
2,1329,0.056820962086350235,0.6466288785054207,,582,961,3,17,17,0
2,1315,0.012361697955767914,0.641342687694608,,867,582,2,12,12,0
2,922,0.13547872276564765,0.640286924717559,,95,225,3,18,18,0
2,1290,0.040604721248630016,0.6391562307700569,,804,213,3,17,15,2
2,1000,0.042505975113140027,0.6303713708477974,,339,95,3,18,18,0
2,1387,0.10660467729276824,0.6283799944859653,,738,86,3,20,20,0
2,1010,0.10198339268789369,0.6099168830580094,,922,676,3,18,18,0
2,1395,0.020527487039188275,0.6079434538603998,,704,738,3,19,19,0
2,127,0.21140476882146664,0.6074466325121043,,-1,-1,3,18,18,0
2,1242,0.08707389115031672,0.6055906751935098,,242,142,3,18,18,0
2,1473,0.18421828034622423,0.5850002154664127,,286,896,3,17,17,0
2,738,0.019462397678529086,0.5783068419986409,,299,219,3,19,19,0
2,1038,0.053209721552064826,0.5729473210556779,,95,546,3,18,18,0
2,582,0.017754151168820398,0.5705773481089029,,339,470,3,17,17,0
2,657,0.11004733368998565,0.5367302450999468,,346,162,4,20,19,1
2,1123,0.01436869589384382,0.5348479748548721,,867,142,3,14,13,1
2,1153,0.06305662420676739,0.5305341371784514,,299,680,3,18,18,0
