generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,494,0.36572346262016375,0.2166907227441532,2,-1,-1,3,18,18,0
1,668,0.3697827554428813,0.15393764851378053,3,406,122,3,18,18,0
2,1351,0.4324660225312692,0.15725196594896587,2,585,668,2,12,12,0
3,1567,0.482060834761328,0.1666140501475962,2,657,1321,3,18,18,0
4,2320,0.4847799051756383,0.1572556847796495,4,1592,676,3,19,19,0
5,2569,0.4861782673828542,0.15828965442619214,4,2039,2171,3,18,18,0
6,3150,0.4532245655230993,0.10994096981338042,4,2187,1762,3,19,19,0
7,3926,0.4826765516262953,0.15725801585340995,4,2320,2555,3,17,16,1
8,4393,0.5020750289399085,0.20005297789167928,4,1896,1060,3,18,16,2
9,4957,0.4993456803097296,0.13624639745899814,4,1650,1915,3,18,18,0
10,5099,0.48210956922189907,0.15725808207845898,2,1432,3426,3,19,19,0
11,5576,0.49092804058843664,0.15725432141422768,3,1736,4273,3,17,16,1
12,6321,0.5141069401425569,0.18823994486616022,2,5504,3482,3,18,17,1
13,6989,0.48769566964013444,0.17808167194148655,2,1413,1674,3,18,18,0
14,7442,0.5057941125490786,0.16899173615267662,2,1567,6747,3,20,20,0
15,7535,0.4992079034077064,0.15828395402331477,4,6989,6589,2,13,13,0
16,8001,0.501847860007167,0.13900512813268434,4,896,645,3,18,18,0
17,8845,0.5043449559575047,0.13549248364854188,4,8072,4957,4,22,20,2
18,9089,0.502444973830512,0.16995312022547276,4,2314,1592,3,14,11,3
19,9922,0.4934813725684959,0.2091284923218277,2,1024,4342,3,18,16,2
20,10263,0.5005441668280441,0.1572520281604706,2,5672,4495,3,19,19,0
21,10617,0.5063810443367204,0.15756183751872332,2,10263,5092,3,19,19,0
22,11383,0.5007216658742231,0.18622854970430433,4,7535,7482,2,11,10,1
23,11887,0.49370878381496985,0.16899063443420678,2,9095,6251,2,12,12,0
24,12448,0.502793411982403,0.16837663731361804,4,5282,5576,3,17,16,1
25,12826,0.5157563452344027,0.13746413175185943,3,6678,12387,3,19,19,0
26,13315,0.520111428308548,0.1343160992686639,2,7029,6199,3,18,16,2
27,13976,0.5012686048811845,0.157267698408046,1,13493,1566,3,18,18,0
28,14217,0.4960037710708235,0.15732052139507802,2,13737,8685,3,12,11,1
29,14703,0.5100275862888035,0.13773899838531775,3,13315,9347,3,18,17,1
30,15219,0.5095955963604101,0.20513422026050268,1,9982,14337,2,13,11,2
31,15590,0.5166712824509494,0.1370974414652146,2,8670,3977,3,18,18,0
32,16207,0.5115718706688888,0.1690507145048753,2,11887,13781,2,13,13,0
33,16972,0.518113485588392,0.21856556334425864,1,14718,7193,2,11,11,0
34,17034,0.5232288216661991,0.18714944653984122,3,15751,6977,4,22,21,1
35,17633,0.5179637579857548,0.1598748310017412,1,15590,1567,2,12,12,0
36,18019,0.5063523172022957,0.205770313283199,1,14609,15146,3,14,13,1
37,18719,0.5187668667517229,0.16068302125312064,3,17029,9523,3,18,17,1
38,19130,0.5008853161539288,0.15741949644756636,4,4957,3534,4,20,18,2
39,19870,0.5211859940612196,0.19624693304418578,3,2320,494,3,19,18,1
40,20061,0.5140167455387175,0.18044971926167605,1,12033,17941,3,19,19,0
41,20621,0.5133335923112973,0.1572534253378182,4,14671,12102,3,19,17,2
42,21356,0.5280163165807542,0.18715290005985563,2,7182,17999,4,22,20,2
43,21576,0.5001126346956931,0.20419619483537807,3,4789,7029,2,12,11,1
44,22204,0.5125894001733368,0.15756559525841995,2,15842,19130,2,12,11,1
45,22666,0.5141253934434894,0.15726485220399283,4,10109,16737,4,20,19,1
46,23349,0.5122122164177367,0.15846860237494118,1,15863,19995,3,19,19,0
47,23657,0.5106105461469441,0.18054402865750774,1,21356,2320,2,12,12,0
48,24407,0.5094085833551134,0.13270238783089167,4,16136,18723,3,19,19,0
49,24983,0.5077272030947647,0.13969233913404877,1,6258,2569,3,19,19,0
50,25101,0.5002933387178283,0.15726766650362042,3,18723,4957,3,19,18,1
51,25935,0.5150673771200572,0.13573485899937748,3,17073,6199,3,19,19,0
52,26282,0.5071664238503678,0.14088164446186516,3,6199,12826,3,14,13,1
53,26752,0.5038912475975331,0.17843756797257262,1,17633,20061,5,24,23,1
54,27231,0.5099463115186987,0.20029543965563812,3,4393,17201,3,12,12,0
55,27703,0.4942228055267862,0.1387768013214538,1,24983,25935,3,19,19,0
56,28400,0.5101652804198572,0.13464796127851938,1,6258,25935,3,19,19,0
57,28714,0.5080762814421579,0.15793822458017737,2,25935,24983,3,13,10,3
58,29469,0.4989019351836351,0.13852270139447767,1,12826,24983,2,10,9,1
