generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,95,0.06650894666794172,0.6883420091901367,1,-1,-1,3,18,18,0
1,938,0.015296284110718483,0.6906483418938621,3,299,57,3,18,18,0
2,1024,0.02052102317573945,0.6924115977877716,3,938,961,2,12,12,0
3,1692,0.05039837481611542,0.6919625153737926,1,1453,1060,3,18,18,0
4,2314,0.008419529546616844,0.6938844431783658,3,95,1796,3,19,19,0
5,2648,0.05536346937929015,0.6920429974567579,3,1681,2290,3,18,18,0
6,3228,0.01788146155783854,0.6940398281779536,3,1896,2314,3,19,19,0
7,3902,0.017708808107076424,0.6931292125274388,1,1024,2658,3,17,16,1
8,4462,0.029083963613003028,0.6934835726340298,3,3228,2658,3,18,16,2
9,4879,0.02337353314383639,0.6921652738303683,4,4017,4133,3,18,18,0
10,5397,0.017369808222847616,0.6920420053402461,3,4462,2658,3,19,19,0
11,5654,0.008212272923072583,0.6933463998595033,1,3132,3132,3,17,16,1
12,6318,0.027696076894446087,0.6933784704265626,3,4879,4818,3,18,17,1
13,6557,0.012889848982444052,0.6931479781373028,4,4547,6318,3,18,18,0
14,7440,0.15731796181802638,0.6915950689669964,3,3638,2290,3,20,20,0
15,7610,0.10736612560700576,0.6911942591985089,1,5654,2648,2,13,13,0
16,8057,0.035668183104019535,0.6938893058330635,4,3050,4462,3,18,18,0
17,8564,0.014199243715321996,0.6932706724236025,3,4946,1511,4,22,20,2
18,9277,0.019919898798694602,0.6934648532748078,4,2314,6263,3,14,11,3
19,9963,0.011588759767449885,0.6914420614686868,4,8101,2648,3,18,16,2
20,10026,0.009942393131907812,0.6932025636679733,4,9051,2314,3,19,19,0
21,10728,0.01087083673246192,0.6936266129671963,4,8564,5957,3,19,19,0
22,11022,0.035795579626303864,0.7207030302558635,2,3050,6251,2,11,10,1
23,11992,0.008033140606254485,0.694127909188045,3,8102,6251,2,12,12,0
24,12157,0.02239016555699125,0.6910883538933491,3,11141,8102,3,17,16,1
25,12773,0.0070673529091187515,0.6927387461474019,3,10056,1278,3,19,19,0
26,13052,0.008406277919743799,0.6937530917843785,4,6557,4260,3,18,16,2
27,13550,0.05818933802568371,0.6926448343165261,4,6318,3228,3,18,18,0
28,14105,0.007774906822691108,0.6932647674913222,2,5957,5654,3,12,11,1
29,14924,0.012632227142506891,0.6935572107315616,1,11022,13052,3,18,17,1
30,15040,0.005887492722185583,0.6937293994936631,3,8101,13453,2,13,11,2
31,15751,0.04525027753899091,0.6932162796215118,3,3228,15128,3,18,18,0
32,16096,0.030308253634382276,0.6937691984364499,4,14924,10728,2,13,13,0
33,16716,0.007870153808975155,0.6929595371902921,4,6557,3228,2,11,11,0
34,17154,0.006239748998753569,0.6930622770404746,3,8101,10962,4,22,21,1
35,17695,0.03215069160248185,0.6931384504632288,3,3132,3228,2,12,12,0
36,18212,0.11183358768282847,0.692470026397745,3,3228,11992,3,14,13,1
37,18725,0.008404390902090997,0.6914762352651289,2,5654,5654,3,18,17,1
38,19297,0.22398797393845238,0.87067704500907,2,11022,15751,4,20,18,2
39,19597,0.005105330763108262,0.6939647958021693,2,14924,10026,3,19,18,1
40,20036,0.00438053240080849,0.6940709288894641,4,14105,11992,3,19,19,0
41,20712,0.13732973613590604,0.6928186986210723,3,16096,6251,3,19,17,2
42,21322,0.016482811036707345,0.6891911578962697,3,13052,4462,4,22,20,2
43,21645,0.004818695059435996,0.6923980795617235,4,14105,10728,2,12,11,1
44,22425,0.07172222940931283,0.6931323615261835,3,14105,15040,2,12,11,1
45,22570,0.004994364467906465,0.6924734109295272,4,3228,13292,4,20,19,1
46,23335,0.01565018217589942,0.6916421120022033,1,19597,11022,3,19,19,0
47,23667,0.006559855495870237,0.6932843455274955,3,16096,20036,2,12,12,0
48,24001,0.13276897810024768,0.6935090553032248,2,9304,6318,3,19,19,0
49,24657,0.07018899432424841,0.6934399519624372,1,4462,14924,3,19,19,0
50,25280,0.04103648828733064,0.6939800314276028,2,14924,12448,3,19,18,1
51,25939,0.00455238243513878,0.6937533986246472,3,6318,19189,3,19,19,0
52,26106,0.004417568294273644,0.6931325380424682,2,19597,9237,3,14,13,1
53,26508,0.03720235438051378,0.6935193139443173,4,8101,4462,5,24,23,1
54,27321,0.012680198691787603,0.692032161980641,2,11022,10728,3,12,12,0
55,27509,0.006360004025132371,0.6933247252545967,2,13292,21356,3,19,19,0
56,28255,0.007789123620008609,0.69385765394869,4,19189,6258,3,19,19,0
57,28858,0.0032420336534121352,0.6937739999807061,4,25246,19189,3,13,10,3
58,29402,0.013900670691463501,0.6930904032687916,3,16029,25939,2,10,9,1
59,29724,0.006374829151292283,0.6939305416723595,4,28858,28306,2,11,9,2
60,30447,0.003384789309291869,0.6938224761192054,4,29724,13292,2,12,12,0
61,30767,0.14829462074218414,0.693048175835192,2,24657,6199,2,11,10,1
62,31298,0.01136423922699037,0.6935456345307509,2,16029,19597,2,11,11,0
63,31947,0.003709031867656698,0.6936761922577437,1,2314,11022,3,12,11,1
64,32454,0.018327727308800612,0.6937019944138023,4,19189,16029,3,12,12,0
65,32816,0.011291596674768534,0.6934414034141734,4,31298,29724,3,19,18,1
66,33269,0.004242219699843397,0.6939153164498838,1,19597,31695,3,19,19,0
67,33966,0.007290116951704229,0.6919783915773369,4,30447,19189,3,19,19,0
68,34321,0.006655268047398799,0.6933556790903357,3,2314,25939,3,13,13,0
69,34782,0.038095711438484336,0.6936338379955376,4,31858,2314,3,20,18,2
70,35211,0.01322902917056068,0.6929730629484204,3,25939,29724,3,11,11,0
