generation,id,fitness,species,parent1,parent2
0,210,0.0012097788806799995,3,-1,-1
1,571,0.0017284130946270905,1,179,64
2,1171,0.0017408102287484557,3,813,210
3,1664,0.0020277133035852355,6,918,1134
4,1664,0.0020277133035852355,1,918,1134
5,1664,0.0020277133035852355,1,918,1134
6,1664,0.0020277133035852355,1,918,1134
7,1664,0.0020277133035852355,1,918,1134
8,1664,0.0020277133035852355,1,918,1134
9,1664,0.0020277133035852355,1,918,1134
10,1664,0.0020277133035852355,1,918,1134
11,1664,0.0020277133035852355,1,918,1134
12,1664,0.0020277133035852355,1,918,1134
13,1664,0.0020277133035852355,1,918,1134
14,1664,0.0020277133035852355,1,918,1134
15,7704,0.002210629882879088,2,6219,6836
16,7704,0.002210629882879088,2,6219,6836
17,7704,0.002210629882879088,2,6219,6836
18,7704,0.002210629882879088,2,6219,6836
19,7704,0.002210629882879088,2,6219,6836
20,7704,0.002210629882879088,2,6219,6836
21,7704,0.002210629882879088,2,6219,6836
22,7704,0.002210629882879088,2,6219,6836
23,7704,0.002210629882879088,1,6219,6836
24,7704,0.002210629882879088,1,6219,6836
25,7704,0.002210629882879088,1,6219,6836
26,7704,0.002210629882879088,1,6219,6836
27,7704,0.002210629882879088,1,6219,6836
28,7704,0.002210629882879088,1,6219,6836
29,7704,0.002210629882879088,1,6219,6836
30,7704,0.002210629882879088,1,6219,6836
31,7704,0.002210629882879088,1,6219,6836
32,7704,0.002210629882879088,1,6219,6836
33,7704,0.002210629882879088,1,6219,6836
34,7704,0.002210629882879088,1,6219,6836
35,7704,0.002210629882879088,1,6219,6836
36,17955,0.0023968606975991904,1,7704,5386
37,17955,0.0023968606975991904,1,7704,5386
38,17955,0.0023968606975991904,1,7704,5386
39,17955,0.0023968606975991904,1,7704,5386
40,17955,0.0023968606975991904,6,7704,5386
41,17955,0.0023968606975991904,1,7704,5386
42,17955,0.0023968606975991904,6,7704,5386
43,17955,0.0023968606975991904,1,7704,5386
44,17955,0.0023968606975991904,1,7704,5386
45,17955,0.0023968606975991904,1,7704,5386
46,17955,0.0023968606975991904,6,7704,5386
47,17955,0.0023968606975991904,6,7704,5386
48,23645,1.0,6,22663,17955
