generation,id,fitness,species,parent1,parent2
0,82,0.0014694807227698602,3,-1,-1
1,864,0.0017314162522264706,3,266,82
2,1284,0.0017317663521432157,1,827,916
3,1678,0.0017467795732308018,4,1424,1287
4,2367,0.001787255914352833,5,1678,1865
5,2367,0.001787255914352833,4,1678,1865
6,2367,0.001787255914352833,5,1678,1865
7,2367,0.001787255914352833,5,1678,1865
8,2367,0.001787255914352833,5,1678,1865
9,2367,0.001787255914352833,5,1678,1865
10,2367,0.001787255914352833,5,1678,1865
11,5533,0.0022146559579012807,5,2135,5214
12,5533,0.0022146559579012807,5,2135,5214
13,5533,0.0022146559579012807,5,2135,5214
14,5533,0.0022146559579012807,5,2135,5214
15,5533,0.0022146559579012807,5,2135,5214
16,5533,0.0022146559579012807,5,2135,5214
17,5533,0.0022146559579012807,1,2135,5214
18,5533,0.0022146559579012807,5,2135,5214
19,5533,0.0022146559579012807,1,2135,5214
20,5533,0.0022146559579012807,4,2135,5214
21,5533,0.0022146559579012807,1,2135,5214
22,5533,0.0022146559579012807,4,2135,5214
23,5533,0.0022146559579012807,5,2135,5214
24,5533,0.0022146559579012807,4,2135,5214
25,5533,0.0022146559579012807,4,2135,5214
26,5533,0.0022146559579012807,4,2135,5214
27,5533,0.0022146559579012807,5,2135,5214
28,5533,0.0022146559579012807,4,2135,5214
29,5533,0.0022146559579012807,4,2135,5214
30,5533,0.0022146559579012807,5,2135,5214
31,5533,0.0022146559579012807,4,2135,5214
32,5533,0.0022146559579012807,4,2135,5214
33,16635,0.0023469733290938286,4,16132,8196
34,16635,0.0023469733290938286,4,16132,8196
35,16635,0.0023469733290938286,4,16132,8196
36,16635,0.0023469733290938286,4,16132,8196
37,16635,0.0023469733290938286,4,16132,8196
38,16635,0.0023469733290938286,4,16132,8196
39,16635,0.0023469733290938286,4,16132,8196
40,16635,0.0023469733290938286,4,16132,8196
41,16635,0.0023469733290938286,1,16132,8196
42,16635,0.0023469733290938286,1,16132,8196
43,16635,0.0023469733290938286,1,16132,8196
44,16635,0.0023469733290938286,4,16132,8196
45,16635,0.0023469733290938286,1,16132,8196
46,16635,0.0023469733290938286,1,16132,8196
47,16635,0.0023469733290938286,1,16132,8196
48,16635,0.0023469733290938286,1,16132,8196
49,16635,0.0023469733290938286,1,16132,8196
50,16635,0.0023469733290938286,1,16132,8196
51,16635,0.0023469733290938286,1,16132,8196
52,16635,0.0023469733290938286,1,16132,8196
53,16635,0.0023469733290938286,1,16132,8196
54,16635,0.0023469733290938286,1,16132,8196
55,27444,0.0023722967641255526,1,26956,26954
56,27444,0.0023722967641255526,1,26956,26954
57,27444,0.0023722967641255526,1,26956,26954
58,27444,0.0023722967641255526,1,26956,26954
59,27444,0.0023722967641255526,1,26956,26954
60,29862,1.0,1,29334,27444
